	chr11:62796075-62796224	chr11:62796225-62796374	chr11:62796375-62796524	chr11:62796525-62796674	chr11:62796675-62796824	chr11:62796825-62796974	chr11:62796975-62797124	chr11:62797125-62797274	chr11:62797275-62797424	chr11:62797425-62797574	chr11:62797575-62797724	chr11:62797725-62797874	chr11:62797875-62798024	chr11:62798025-62798174	chr11:62798175-62798324	chr11:62798325-62798474	chr11:62798475-62798624	chr11:62798625-62798774	chr11:62798775-62798924	chr11:62798925-62799074	chr11:62799075-62799224	chr11:62799225-62799374	chr11:62799375-62799524	chr11:62799525-62799674	chr11:62799675-62799824	chr11:62799825-62799974	chr11:62799975-62800124	chr11:62800125-62800274	chr11:62800275-62800424	chr11:62800425-62800574	chr11:62800575-62800724	chr11:62800725-62800874	chr11:62800875-62801024	chr11:62801025-62801174	chr11:62801175-62801324	chr11:62801325-62801474	chr11:62801475-62801624	chr11:62801625-62801774	chr11:62801775-62801924	chr11:62801925-62802074	chr11:62802075-62802224	chr11:62802225-62802374	chr11:62802375-62802524	chr11:62802525-62802674	chr11:62802675-62802824	chr11:62802825-62802877	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0	0	0.0300813	0.320881	0	0	0.189159	0.121159	0	0.0513787	0.287411	0	0	0	0	0	0.149761	0.188257	0	0	0	0.0164156	0.306144	0.00546947	0.174481	0.404711	0.0083404	0.0335904	0.420487	0.181931	0.0218902	0.642818	0.554602	0.0772149	0.169032	0.351902	0.602469	0.394245	0.201567	0.140335	0	0	0	0	0	0.480319
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000016.3.9c54dc88-50cd-4207-80de-15a482501404.fc.signal	0	0	0	0	0	0	0	0	0.444569	1.03508	0	0	0.404662	0.383364	0	0.503167	0.107787	0	0.617641	0.825703	0	0	0	0	0	0	0	0	0.438321	0.339371	0	0	0	0	0.550835	0.385155	0	0	0.0731225	0.553195	0.0468425	0	0.295486	0.233306	0	0	0.515385
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.738949	0.795087	0.601065	0.436454	0.101592	0.0690545	0.722626	0.819715	1.07533	1.30937	0.790896	0.755558	0.775321	1.1286	0.878616	0.350511	0.385862	0.52112	0.221605	0.345919	0.0910951	0.16124	0.383973	0.846562	0.458359	0.561807	0.526778	0.839331	0.978573	0.629341	0.354402	0.003432	0.603152	1.36367	0.846229	0.306575	0.291976	0.175674	0.0793086	0.617804	0.587057	0.624552	0.66496	0.704875	0.718573	0.747624	0.782427
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0	0	0	0.198533	0.152544	0	0	0	0	0	0	0	0	0	0	0	0	0.661087	0.455408	0	0.273239	0.734982	0.134691	0.963239	0.331996	0.43797	0.0463403	0.40728	0.615423	0	0.281175	0.234553	0	0	0.307329	0.197339	0	0	0.0770328	0.303766	0.023608	0.179678	0.230501	0	0.14528	0.258694	0.638673
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.cb67fdb1-74f3-48c8-aeff-9cfba1ceca46.fc.signal	0.193972	0	0	0	0.585029	0	0	0.582511	0.159155	1.85932	0.529749	0	0	0.246166	0.237311	0	0.233667	0.0190987	0.162058	0.21482	0	0	0	0	0.35053	0.339734	0.327826	0.337459	0.1753	0.219556	0.664321	0.271278	0.0957499	0.46402	0.290106	0.300851	1.0259	0.368788	0.186364	0.304512	0	0	0.612024	1.02798	0.578997	0	0.553806
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0	0.150105	0.212126	0.0117385	0.0750764	0.15304	0	0.146253	0.296728	0.313873	0	0.0258024	0.20573	0.0786606	0.223176	0.239191	0.0803955	0.0228	0.332518	0	0	0.135541	0.0996442	0	0.0496225	0.135368	0.305932	0	0	0	0	0	0.153246	0.270999	0.277818	0.47041	0.0112915	0.125001	0.087238	0.0371983	0	0.256441	0.180112	0.111445	0	0	0.174022
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.37e46e69-fcc7-4b78-84e3-84d20f000766.fc.signal	0	0.331092	0.461448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324123	0.153233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09173	0.499754	0	0	0	0.442553
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.35d5a8b6-1eb5-4bfe-b35b-6d956f6f9ff2.fc.signal	0.380792	0.176989	0.236023	0.0707176	0.205361	0.257806	0.172743	0.428467	0.774017	0.744304	0.399965	0.507503	0.71904	0.116639	0.280402	0.178093	0.194326	0.195148	0.343973	0.491146	0.73967	0.780758	0.475349	0.0219038	0.190086	0.182263	0.0672463	0.169973	0.457609	0.637646	0.132986	0.538484	0.718226	0.53953	0.533517	0.371397	0.677387	0.021949	0.132568	0.384858	0.253559	0.449555	0.628893	0.226218	0.0732599	0.257872	0.24442
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0.0798503	0.0973787	0.118473	0	0	0	0.176124	0.0938433	0	0.0945002	0.126864	0	0.0756403	0.46452	0.523747	0.38311	0.261873	0.174585	0.346737	0.292182	0.143329	0.13625	0.140913	0	0	0	0.0202806	0.165199	0.0921424	0.248892	0.0266728	0	0	0	0	0	0	0	0	0.124611	0.124166	0.0377539	0.123975	0.117563	0	0	0.540912
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.524777	0.41079	0.268272	0.210792	0	0	0.0682753	0.35925	0.0515103	0	0.126936	0.352066	0	0	0	0	0	0.264658	0.214363	0.269445	0.20957	0.281999	0.589471	0.250317	0.265879	0.0515111	0.261406	0.138278	0.142521	0.322141	0.0143752	0	0.176055	0.299397	0.0035938	0.15571	0.293411	0.0299483	0.452844	0.814018	0.390431	0.413179	0.504207	0.28622	0.262288	0.220345	0.527123
