	chr8:37742196-37742345	chr8:37742346-37742405	chr8:37742406-37742495	chr8:37742496-37742595	chr8:37742596-37742645	chr8:37742646-37742745	chr8:37742746-37742795	chr8:37742796-37742945	chr8:37742946-37743095	chr8:37743096-37743245	chr8:37743246-37743395	chr8:37743396-37743475	chr8:37743476-37743545	chr8:37743546-37743555	chr8:37743556-37743695	chr8:37743696-37743845	chr8:37743846-37743995	chr8:37743996-37744145	chr8:37744146-37744205	chr8:37744206-37744225	chr8:37744226-37744295	chr8:37744296-37744445	chr8:37744446-37744595	chr8:37744596-37744745	chr8:37744746-37744815	chr8:37744816-37744895	chr8:37744896-37745005	chr8:37745006-37745045	chr8:37745046-37745195	chr8:37745196-37745345	chr8:37745346-37745495	chr8:37745496-37745645	chr8:37745646-37745795	chr8:37745796-37745945	chr8:37745946-37746095	chr8:37746096-37746245	chr8:37746246-37746395	chr8:37746396-37746475	chr8:37746476-37746545	chr8:37746546-37746615	chr8:37746616-37746695	chr8:37746696-37746735	chr8:37746736-37746845	chr8:37746846-37746995	chr8:37746996-37747095	chr8:37747096-37747145	chr8:37747146-37747205	chr8:37747206-37747295	chr8:37747296-37747445	chr8:37747446-37747595	chr8:37747596-37747645	chr8:37747646-37747655	chr8:37747656-37747745	chr8:37747746-37747895	chr8:37747896-37748045	chr8:37748046-37748069	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0.116648	0.239701	0.172814	0	0	0	0	0.181444	0.196128	0.145318	0.660731	0.218097	0	0	0	0.261524	0.222177	0	0	0	0	0.393665	0.370163	0.987203	0.88148	0.13222	0	0	0	0	0	0.164651	0.180006	0.144318	0.169191	0.838657	0.173337	0.17076	0.44067	0.44067	0.683115	0.88148	0.95359	0.312959	0	0	0	0	0	0	0	0	0.435774	0.296718	0	0	0.608696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.1f07a69f-5385-434d-9868-2041e2fec782.fc.signal	0.546559	0.249654	0.367728	0.75603	1.18628	1.24046	1.0738	0.647707	1.01781	1.08494	0.426243	0.651953	0.426388	0.21837	0.488521	0.257112	0.258257	0.393487	0.843852	0.612619	0.33233	0.881452	0.988617	0.727606	0.501951	0.691632	0.917099	0.85329	0.422562	0.219704	0.71586	0.593067	0.51119	0.17726	0.140191	0.400521	0.467778	0.438998	0.434728	0.344224	0.28682	0.261051	0.431402	0.635783	0.5287	0.551318	0.555113	0.346046	0.403742	0.683036	0.192842	0.180595	0.520518	0.772932	0.567036	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.b7155ae3-84c0-47e8-9535-8c807cc3903c.fc.signal	0.263159	0.548713	0	0	0.642411	0.613078	1.66882	0.318869	0	0	0	0	0	0	0	0	0	0.451656	0	0	0	0	0	0	0	0	0	0	0	0.182496	0	0	0.203615	0.733162	0	0	0.510452	0	0	0	0	0	0	0	0	0	0	0	0.360565	0.115212	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	0.366487	0.916217	0	0	0.9652	0.061118	1.04699	0.0407453	0.137478	0.0407453	0.156944	0	0	2.66231	0	0	0	0.395214	0.0753333	2.99823	0	0.388608	0.381395	0.255367	0	0	0	0.518878	0.301456	0	0.346218	0.15121	0.131422	0	0.174933	0	0.12449	0	0	0	0	0	0	0.234328	0	0.452	0.370088	0.0679089	0.290123	0.293529	0	2.24421	0	0	0	0	0.647887
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.eee60a22-f599-43f7-a6b7-6bb8cd9c0fb1.fc.signal	1.11318	1.19721	0.573139	0.385607	0.514655	0.439036	0.340924	0.347033	0.38985	0.309679	0.354692	0.283241	0.347281	0.28325	0.378658	0.313006	0.273272	0.536459	0.628957	0.480916	0.359543	0.113123	0.0223297	0.0863223	0.211663	0.194015	0.287114	0.303243	0.134281	0.211239	0.441186	0.877144	0.864058	0.452553	0.736552	0.4678	0.434658	1.04789	0.839745	0.692129	0.603521	0.63329	0.531494	0.327116	0.235384	0.282927	0.384426	0.499196	0.85439	0.451418	0.595038	0.82404	0.955802	1.90784	2.73001	1.7373	0.292308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.bb5f2209-5784-4d8e-bc4f-dc5a3678ac34.fc.signal	0.585319	0.392083	0.157521	0.0283081	0.136038	0.301594	0.463996	0.944074	0.532077	0.634044	1.19346	0.617812	0.478436	0.377266	0.571043	1.34567	1.26747	0.699502	0.50478	0.55715	0.584732	0.752109	0.630583	0.477315	0.326887	0.309283	0.294586	0.50352	0.623446	0.436692	0.585603	0.4735	0.746198	1.20146	0.794535	0.153966	0.0999099	0.147253	0.353431	0.475023	0.672413	0.736554	0.948968	0.762815	0.4982	0.534174	0.377149	0.440029	1.10321	1.13983	0.746385	0.852308	0.625499	0.62352	0.495509	0.410673	0.414286
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.09140551-847e-4455-880b-7ea02a3132da.fc.signal	0.612535	0.80838	0.518122	0.185084	0.257648	0.387187	0.372709	0.428253	0.793581	0.720408	0.586594	0.790819	0.726673	0.643294	0.498834	0.535515	1.00438	0.758331	0.521411	0.644195	0.685657	0.738053	0.609288	0.0811187	0.16598	0.155482	0.0838075	0	0.0227544	0.325488	0.676667	0.562243	0.850533	0.180907	0.304492	0.969487	0.354997	0.424843	0.768483	0.739686	0.513903	0.309913	0.469388	0.936172	0.324147	0.170078	0.103714	0.0421199	0.656995	0.467236	0.156337	0.12824	0.143088	0.190202	0.397441	0.622093	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.b8e4fc89-a1f2-4c5d-ae40-28beee956889.fc.signal	0.0864718	0	0	0	0	0.34315	0.770175	0.945441	0.247058	0	0	0	0	0	0.1905	0.36598	0.291563	0.483153	0	0	0.0508393	0.320471	0.0860185	0.127234	0.713158	1.09159	0.590246	0.101607	0.385665	0.231558	0.226067	0.0657107	0.365914	0.306275	0.250373	0.132942	0.442875	0.232815	0.963047	0.733893	0.211201	0.182287	0.104817	0.254951	0.0138628	0	0	0	0.0329207	0.541127	0.492699	0.222672	0.0112461	0	0	0	0.0294118
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003848.5.70ecef92-a4d9-47d7-a9a6-d9def918e2ee.fc.signal	0.297311	0	0	0	0	0	0	0	0.327482	0.201303	0.166564	0.422651	0.456841	0	0	0	0	0	0	0	0	0.00573233	0.147366	0.248756	0.184149	0.356164	0.459519	0.119881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91342
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.af8f440a-d096-482c-84b1-79bcd318ff11.fc.signal	0.31736	0.823961	0.459787	0.604565	1.00745	0.838688	0.855006	1.08141	1.2963	0.0591119	0.119393	0.740776	0.59955	0.145103	0.240911	0.437092	0.15171	0	0.197611	0.29941	0.486818	0.335794	0.683556	0.552729	0.373017	0.874489	0.996677	0.329985	0.0178752	0.179581	0.371456	0.364674	0.39815	0	0	0	0.640466	0.220379	0.0837659	0.247051	0.236018	0.493766	0.824689	1.04584	0.143499	0	0	0.192999	0.7023	0.445719	0.325064	0.23953	0.420131	0.583063	0.398457	0.988153	0.213333
