	chr9:12695951-12696100	chr9:12696101-12696190	chr9:12696191-12696250	chr9:12696251-12696320	chr9:12696321-12696400	chr9:12696401-12696530	chr9:12696531-12696550	chr9:12696551-12696590	chr9:12696591-12696700	chr9:12696701-12696750	chr9:12696751-12696850	chr9:12696851-12696920	chr9:12696921-12697000	chr9:12697001-12697050	chr9:12697051-12697120	chr9:12697121-12697150	chr9:12697151-12697200	chr9:12697201-12697300	chr9:12697301-12697380	chr9:12697381-12697450	chr9:12697451-12697520	chr9:12697521-12697600	chr9:12697601-12697650	chr9:12697651-12697750	chr9:12697751-12697810	chr9:12697811-12697900	chr9:12697901-12697940	chr9:12697941-12698050	chr9:12698051-12698120	chr9:12698121-12698200	chr9:12698201-12698270	chr9:12698271-12698350	chr9:12698351-12698500	chr9:12698501-12698540	chr9:12698541-12698630	chr9:12698631-12698650	chr9:12698651-12698800	chr9:12698801-12698950	chr9:12698951-12699070	chr9:12699071-12699100	chr9:12699101-12699180	chr9:12699181-12699210	chr9:12699211-12699250	chr9:12699251-12699300	chr9:12699301-12699400	chr9:12699401-12699410	chr9:12699411-12699540	chr9:12699541-12699550	chr9:12699551-12699640	chr9:12699641-12699700	chr9:12699701-12699760	chr9:12699761-12699850	chr9:12699851-12699940	chr9:12699941-12700000	chr9:12700001-12700040	chr9:12700041-12700150	chr9:12700151-12700300	chr9:12700301-12700450	chr9:12700451-12700550	chr9:12700551-12700600	chr9:12700601-12700630	chr9:12700631-12700750	chr9:12700751-12700850	chr9:12700851-12700900	chr9:12700901-12701050	chr9:12701051-12701100	chr9:12701101-12701155	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.29696	0.436662	0.707148	0.618659	0.424049	0.114904	0	0	0	0.0109128	0.145449	0.255396	0.195951	0.199956	0.177874	0.345451	0.358018	0.214846	0.487028	0.858361	0.987318	0.52739	0.59494	0.822073	0.86793	0.736913	0.823892	1.11715	1.10766	0.714683	0.870813	0.817392	0.739241	0.582876	0.567727	0.419785	0.392038	0.489429	0.0433611	0.1369	0.547968	1.00009	1.05426	1.09981	0.496599	0	0	0	0.177428	0.326281	0.625551	0.538898	0.311377	0.317353	0.35925	0.271747	0.131491	0.648347	0.546057	0.122446	0.135042	0.531958	1.11382	0.798645	0.876976	1.26159	1.05134	0.591928
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.58e5cc13-3837-4676-9815-86ae7a4468bc.fc.signal	0.0059276	0	0	0.109722	0.171347	0.10468	0	0	0	0	0	0	0.0323366	0.107529	0.261691	0.395777	0.351631	0.38528	0.468646	0.365713	0.435571	0.357319	0.473788	0.314014	0.153224	0.0116063	0	0.0650682	0.189577	0.232772	0.244409	0.409706	0.304097	0.573194	0.91456	0.93153	0.578491	0.0477225	0	0.0261147	0.450711	0.66928	0.668634	0.651796	0.173427	0	0.167893	0.405966	0.666305	0.620873	0.524023	0.264326	0.436875	0.570041	0.612721	0.587875	0.410903	0.0991258	0.0824185	0.175862	0.440965	0.677976	0.785146	0.710122	0.364826	0.340385	0.35425	0.32716
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	0.156568	0.466558	0.497604	0.124605	0.168129	0.319267	0.103173	0.309579	1.00061	1.03187	0.247577	0.33966	0.437597	0.170032	0.127347	0	0.43561	0.54457	0.522919	0.459104	0.489283	0.321553	0.0135864	0.288913	0.434803	0.640833	0.578864	0.400773	0	0.145477	0.456413	0.456863	0.232148	0.632534	0.617678	0.369052	0.310386	0.681402	0.23453	0.27512	0.651476	0.957554	0.99057	0.978836	0.427061	0	0.00888892	0.222858	0.239873	0.319216	0.33021	0.599566	0.236261	0	0	0.150066	0.215671	0	0	0	0	0	0	0.100699	0.218802	0.196447	0.480328	0.684848
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.9c4780de-3fe9-463d-b53b-5fe60a9ad8a2.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241375	0.282207	0.288362	0.133712	0.286642	0.194123	0	0	0	0	0	0	0	0.0832045	0.1526	0.098273	0.106591	0	0	0	0	0	0	0	0	0	0.0499353	0.319456	0.287063	0	0	0	0.117183	0.301871	0.602377	0.266213	0	0	0	0	0	0	0	0.883181
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.d6d75692-32d3-4ddf-b607-bb2c11beb469.fc.signal	0.74564	1.30293	1.22186	1.42701	0.934634	0.377933	0.196678	0.312366	0.497252	0.594317	0.504997	0.229828	0.123833	0.139613	0.537071	0.623516	0.635461	0.797956	0.604769	0.712997	0.715629	0.528127	0.573153	0.34221	0.589454	0.40183	0.375039	0.0801812	0	0	0.18271	0.25409	0.505674	0.484314	0.429048	0.397544	0.270427	0.396018	0.546574	0.690985	0.795584	0.98504	1.00379	1.04622	1.14595	1.02647	1.12883	0.738554	0.837401	0.490515	0.24836	0.181513	0.243091	0.242334	0.240841	0.0571743	0.11326	0.518132	0.557215	0.342664	0.452063	0.594248	0.775711	0.669619	0.471801	0.579234	0.694743	0.427921
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.2d49fd2f-74c0-448e-a30b-e44db7e3a5ff.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313066	1.61322	0.394088	0.522699	1.03024	0	0	0.272376	0.480663	0	0	0	0	0	0	0	0.0213628	1.34875	1.49566	1.0684	0.776255	0	0	0	0.293457	0.712641	0.781103	0.566904	0.203089	0	0	0	0	0	0	0	0.0237364	0.53407	0.468164	0.00376582	0.242112	0.131737	0	0	0	0	0.12013	0.478948	0.0711405	0.598268	2.08823	0.55578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.a821fd7c-44ed-4d61-9142-fdff92927929.fc.signal	1.12214	0.943642	1.04589	1.08887	0.733557	0.716374	0.216132	0	0.203431	0.902466	1.21046	1.80025	2.24745	2.39208	1.73941	1.47148	0.840031	1.02663	0.919787	1.40683	1.46231	1.03867	0.767319	1.40063	1.50633	0.504508	0.379816	1.13929	1.12619	2.05661	2.05755	0.217404	0.0103309	0.649681	1.68074	2.09067	1.1991	0.686783	0.853175	0.536487	0.120865	0.179476	0.68382	0.724182	0.331469	0	0	0	0	0.159918	0.665002	0.490991	0	0.145663	0.420271	0.464706	0.890338	1.6258	0.946399	0.920231	0.47732	0.249854	0.472414	0.238826	0.0562906	0.462974	1.24644	0.423154
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7414bb41-cf54-40da-9950-d1fdfeffed2f.fc.signal	1.17846	0.946293	0.764041	0.872323	1.26153	1.76732	1.6168	1.61169	1.57279	1.69238	1.23914	0.841859	0.770034	0.678065	0.69211	0.884176	0.747672	0.765445	0.687559	0.752955	0.848075	0.756312	0.597384	0.79796	0.959218	1.01018	0.879809	0.923205	0.779733	0.569251	0.649267	0.69996	0.514142	0.650493	0.567236	0.408094	0.441384	0.763477	0.891316	0.70223	0.732395	0.586605	0.713244	0.995205	1.2808	1.14169	1.08587	0.771559	0.774483	0.471729	0.422382	0.47405	0.605331	0.617782	0.650325	0.522326	0.642485	1.22559	1.59118	1.55727	1.73315	1.59286	1.42861	0.889968	0.907525	0.796271	0.56734	0.5
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.986df781-84f6-4a4b-bb53-6b69b505dda3.fc.signal	0	0	0.254724	0.63681	0.206963	0	0.60497	0.63681	1.47024	0.598557	0	0	0.60497	0.560393	0	0.263478	0.45551	0.609928	0.168439	0.431526	0.272919	0	0.483971	1.16518	0.933885	1.0895	0.676599	0.492932	0.0545837	0.627979	0.302391	0.725405	1.20628	2.9289	1.87482	0.66864	0.280196	0.509448	0.0368436	0.40193	0.545334	0	0	0.514391	1.07498	0.318405	0	0	0.0331354	1.09303	1.22035	0.416262	0.68106	0.63681	0.589049	0	0.509448	0.169953	0.34297	0	0	1.12486	0.681371	0.522184	0.293313	0.253955	0.588489	0.570815
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.24f7fa54-2938-4834-8448-492029a59634.fc.signal	0	0	1.4004	1.28313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36821	1.22465	0	0	0	0	0	0.146855	0.90506	0.544922	0	0	0	0	1.01408	1.39714	2.30659	1.22102	1.0759	0.0063844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631336
