	chr1:150712115-150712264	chr1:150712265-150712414	chr1:150712415-150712564	chr1:150712565-150712714	chr1:150712715-150712864	chr1:150712865-150713014	chr1:150713015-150713164	chr1:150713165-150713194	chr1:150713195-150713274	chr1:150713275-150713314	chr1:150713315-150713464	chr1:150713465-150713614	chr1:150713615-150713764	chr1:150713765-150713814	chr1:150713815-150713914	chr1:150713915-150713964	chr1:150713965-150714044	chr1:150714045-150714064	chr1:150714065-150714084	chr1:150714085-150714164	chr1:150714165-150714194	chr1:150714195-150714214	chr1:150714215-150714334	chr1:150714335-150714364	chr1:150714365-150714514	chr1:150714515-150714664	chr1:150714665-150714814	chr1:150714815-150714964	chr1:150714965-150714994	chr1:150714995-150715094	chr1:150715095-150715114	chr1:150715115-150715264	chr1:150715265-150715414	chr1:150715415-150715544	chr1:150715545-150715564	chr1:150715565-150715714	chr1:150715715-150715864	chr1:150715865-150715954	chr1:150715955-150716014	chr1:150716015-150716164	chr1:150716165-150716274	chr1:150716275-150716314	chr1:150716315-150716374	chr1:150716375-150716464	chr1:150716465-150716564	chr1:150716565-150716614	chr1:150716615-150716764	chr1:150716765-150716914	chr1:150716915-150717064	chr1:150717065-150717084	chr1:150717085-150717164	chr1:150717165-150717178	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0.254474	0.263613	0.0836221	0	0	0.352881	0.203434	0.360811	0.310701	0.156888	0	0	0	0	0.178362	0.176658	0	0	0	0	0.066536	0.157986	0.275678	0	0	0	0	0	0	0	0.0647535	0.282208	0	0	0	0.0674552	0.665151	0.574212	1.11491	0.415885	0	0	0	0	0.25452	0.397837	0.0446763	0	0.144564	0.364127	0.236876	0	0.567708
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.ca485291-98be-4da7-8667-33d3bd0f55ac.fc.signal	0.118282	0.219943	0.690438	0.60535	0.734589	0.0402994	0	0	0.0939821	1.08019	1.1022	0.299619	0	0	0	0	0	0	0	0	0	0	0	0	0.231972	0.22856	0.00682133	0.654597	0.842855	0.617602	0.19185	0	0.139875	0.370051	0	0	0	0.349678	0.618397	0.464003	0	0	0	0.0241306	0.570807	0.721592	0.218024	0.810098	0.458098	0.19882	0	0	0.410959
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	1.23994	1.531	0.608635	1.22643	0.820231	0.331777	0	0	0	0	0	0	0.627846	1.04641	0.209282	0	0	0	0	0	0	0	0	0.941769	0.927817	0	0	0	0	0.0353436	0.88359	0.762377	0	0	0	0	0	0	0	0	0	0	0	0.130386	0.51463	0.513688	0	0.76878	0.303492	0	0	0	0.250674
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000346.2.45aa438b-a049-4760-931a-97ae21ce712b.fc.signal	0.0155852	0	0.593789	0.312231	0.104161	2.03072	0.625446	0	0	0	0.257011	1.13298	0.336449	0	0	0	0	0	0	0	0	0	0	0	0.160613	0.272265	0	0.168219	1.51035	1.64981	1.48048	0.0935112	0	0	0	0.0185535	1.22765	0.293397	0	0	0	0	0	0	0	0	0	1.60767	1.65916	0.81997	0	0	0.559242
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.b8e4fc89-a1f2-4c5d-ae40-28beee956889.fc.signal	0.0773863	0	0.0368865	0.304776	0.0133222	0.168067	0.147221	0.0260787	0	0	0.390294	0.196629	0	0	0	0	0	0	0	0	0	0	0	0.172793	0.346483	0.0424087	0	0.449246	1.00263	0.413538	0	0	0	0.384798	0.530121	0.267758	0.159322	0.266665	0.514719	0.0670888	0	0	0	0	0	0	0.404816	0.240958	0.279513	0	0	0	0.833333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.69848b5e-1d71-4ca5-a68d-b2c1db7d8201.fc.signal	0	0	0	0	0.153553	0.438334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375691
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000831.3.7977d1a9-d3db-490b-949d-c6cce43aab1c.fc.signal	0	0	0.24106	0.231895	0.245558	0	0	0	0	0	0.0787795	0.193576	0	0	0.0488776	0.373204	0.501438	0.451988	0.50221	0.268715	0	0	0	0	0	0	0	0	0	0	0	0.637254	0.26871	0.289975	0.19018	0.342967	0.028458	0	0	0.061938	0.349261	0.50221	0.38084	0.415717	0.336477	0.080352	0	0.200882	0.167401	0	0	0	0.308333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.e7144f2b-c79b-4aad-950f-07ae1b5e1dad.fc.signal	0	0	0.206738	0.295823	0.327091	0.184134	0.448035	0	0	0	0	0	0.00761733	0.227171	0.308904	0.0274224	0	0	0	0	0	0	0	0	0	0.0805544	0.184034	0	0	0.164424	0.49486	0.21516	0.125617	0.0116972	0	0.0714768	0.22346	0.209019	0.874915	0.148816	0	0	0.184252	0.864021	0.438626	0.147091	0.586728	0.14476	0	0	0.146483	0.227345	0.432432
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003848.5.70ecef92-a4d9-47d7-a9a6-d9def918e2ee.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14193	0.948374	0.342811	0.64277	0.394232	0	0	0	0	0	0	0.253369	0.729427	0.201401	0	0	0	0.423659
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.6c44093e-8a4f-4f36-9bdc-4181cde15c47.fc.signal	0	0	0.14027	0.231664	0.439731	0.61631	0.43656	0.00926	0.0248314	1.22736	2.36484	2.32132	0.648936	0	0	0	0	0	0	0	0	0	0	0	0	0.105963	1.02069	0.806463	0.384373	0.029516	0	0	0	0	0	0.319517	0.554319	0.0630733	0	0.0078712	0.348014	0.299326	0.26768	0.127161	0.139349	0.244632	0.284438	0.387015	1.04618	0.80039	0.39617	0	0.253652
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001851.4.05b73e87-893b-4343-ab37-69c778c437f8.fc.signal	0.400545	0.966163	0.778719	0.325552	0.915329	0.481337	0.872841	0.088161	0.452629	0.762644	1.05326	0.829064	0.647744	0	0.10361	0.488699	0.366797	0	0	0	0	0	0.163598	0.286326	0.46358	0.84264	0.536437	0.676772	0.664485	0.472204	0.43281	0.776286	1.19799	0.977933	0.459558	0.0866987	0.650789	0.0531566	1.18863	0.705559	0	0	0.0944185	1.03142	1.00491	0.478791	0	0.122392	0.615166	0.349904	0.0839781	0.341305	0.210366
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000109.3.5ba43b20-6417-4623-a4bf-5087e9f8a951.fc.signal	0	0	0	0	0	0	0	0	0.387108	0.401462	0.148591	0.311505	0.346847	0	0	0.133253	0.418659	0.397372	0.42274	0.326445	0.009785	0	0	0	0.0600162	0.402651	0.117227	0.226872	0	0.189822	0.389904	0.258242	0	0.622534	0.42274	0.0727092	0	0	0	0	0	0	0	0	0.380887	0.400754	0.14537	0.390901	0.15636	0.40438	0.40438	0.40438	0.556213
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000284.2.def26d64-d337-47e7-91c0-09e249ac5bc5.fc.signal	0	0	0	0	0	0	0.1766	0.500861	0.590876	0.368597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201091	1.30864	0.236063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276864	0.931137	1.31146	0.524584	0	0	0	0	0	0.584211
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004884.1.04b53f1e-ede2-4352-b282-8fd62b69ea23.fc.signal	0.49515	0.412882	0	0.119688	0.403694	0.0925343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.820823	0.474298	0.323877	0.90532	0.90532	0.90532	0.0844965	0.295738	0.90532	0.90532	0.156922	0	0	0	0	0	0	0	0	0	0	0.181064	0.90532	0.271596	0	0	0	0.188612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004728.1.84110ecf-3acc-4ab9-918a-d46b0401ed1e.fc.signal	0.609189	0.124503	0.583288	0	0.295301	0.434118	0.57238	1.94175	0	1.40018	0.203063	0.203063	0	0.609189	0	3.04594	0	1.52297	1.52297	0	2.03063	0	0	0	0	0.0720819	0.203063	0	1.01531	0	1.52297	0.406126	0.347227	0.439902	2.74135	0.170318	0.31055	0	0.507657	0	0	0	0.507657	0	0	1.21838	0.203063	0.203063	0.406126	1.52297	0	2.17567	0.3
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003830.4.182c98c8-4ca5-4dcd-abb2-f3a65447c98c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0.0801223	0.342952	0.21615	0.064845	0	0	0	0	0	0	0	0	0	0	0.207501	0.360135	0.008516	0	0	0	0	0.255055	0.307807	0.18924	0.0635751	0.354124	0.120082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.f473421b-0068-43e9-8689-afd1d3e0454e.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166491	0.245691	0.161021	0	0	0	0	0	0	0	0	0.147093	0.541012	0.189852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517123
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000244.3.2a952600-b0a6-4e68-be7d-4c6bb19924d7.fc.signal	0	0	0.204504	2.73165	2.56014	0.222556	0	0	0.0359404	0.31947	0.31947	0.342899	0.298172	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143059	0.234295	0.279871	0.318046	0.22066	0.14962	0	0	0	0	0	0.0470243	0.223986	0.468766	0.515435	0.526711	0.541346	0.35921	0.263161	0.378289	0.675828	0.87987	1.02625	0.559756	0.363711	0.24072	0.239766
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000683.3.a2f7b6cc-6c13-4941-b36a-dba812715f5d.fc.signal	0.201574	0.49911	0.565159	0.466658	0.423792	0.253758	0	0.0733147	0.109459	0.250045	0.493642	0.256668	0.23269	0.35979	0.304043	0.302244	0.35979	0.2429	0.17996	0.103477	0	0	0	0	0	0.290246	0.531358	0.133366	0	0	0	0	0.0989007	0.305006	0.257347	0.106576	0.536797	0.190078	0.383815	0.836082	0.493947	0.220422	0.071984	0	0	0	0	0	0.321481	0.71972	0.733218	0.71972	0.333333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000318.2.6d2c1eb1-64cd-4b80-95ec-5404bd3906e9.fc.signal	0.191164	0.316401	0.283978	0.805831	0.0226165	0.759095	0.345084	0.041075	0.367319	0.29162	0.121839	0.552988	0.639189	0.625716	0.296435	0	0	0	0	0	0	0.009721	0.354854	0.58331	0.546527	0.20231	0.634469	0.563949	0.38119	0.133417	0.38119	0.541333	0.8342	0.66499	0.443329	1.00187	0.661609	0.0162011	0.563883	0.662304	0	0	0.349456	0.84825	0.695327	0.0507156	0.0169624	0.527402	0.676343	0.297911	0.168383	0.15573	0.630841
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000195.3.1d49e429-7d54-40c1-a965-968c057abf12.fc.signal	0.007386	0.0109317	1.04678	0.359909	0.0687741	0.60683	0.0728196	0.440062	0.496079	0.557608	0.161821	0	0.060683	0.60683	0.60683	0.242732	0	0	0	0	0	0	0.0252846	0.60683	1.09646	0.258914	0	0	0	0	0	0.37028	0.216458	0.517159	0.47482	0.273366	0.765381	0.300617	0.0563658	0	0	0	0	0	0	0	0	0	0	0	0	0	0.381356
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000866.3.0bf1ced9-73d3-4bb4-80e8-08f993f2b136.fc.signal	0	0	0	0	0	0	0	0	0.104337	0.465561	0.79443	0.185517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328467
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000774.3.01056fa5-2189-424c-aa80-7250e2ec9dc9.fc.signal	0	0.926217	0.205826	0	1.7358	0.528287	0	0	0.154369	1.02913	0.775278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.981104	0.150939	0	0.668934	0.864469	0	0	0	0	0	0	0	0	0	0	0	0	0.271318
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004604.3.90b22b5d-3f31-4944-a92b-e05b092bb019.fc.signal	0	0	0.0799546	0.17391	0.319831	0.330926	0.0716281	0	0.234313	0.424755	0.502636	1.01088	0.428063	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375003	0.295266	0	0	0	0	0	0	0.126163	0.417287	0.0175272	0	0.0194747	0.531503	0.448714	0.87617	1.60148	1.32407	0.335923	0.29212	0.0623189	0	0.0623189	0.29212	0.29212	0.29212	0.421384
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.2df51237-5ee8-4df1-9b35-852de3df9810.fc.signal	0.270129	0.348734	0.913412	1.4583	0.542837	0.647228	0.224224	0.286305	0.815599	0.89789	0.574703	0.596672	0.921873	1.02177	0.822708	0.913841	0.808331	0.689308	0.75806	0.854066	1.57808	1.34273	1.28616	0.848075	0.0406491	0	0.353416	0.808803	0.857291	1.1538	0.89789	1.20521	1.34689	0.653911	0.59867	0.666132	0.977714	0.881291	0.803137	0.672478	0.337437	0.0074835	0	0.199543	1.55233	2.00132	1.30464	0.321291	0.488916	0.59867	0.538804	0.29934	0.757143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.52efbfdb-5e8a-4fc8-aa16-3be398d8b82d.fc.signal	0.437149	0.323747	0.0263268	0.25372	0.165477	0.294857	0.152965	0	0	0	0	0	0	0.0881892	0.357541	0.24497	0.079987	0.176592	0.18427	0.128432	0	0.0345495	0.210323	0	0.0600529	0.0959813	0.499007	1.00555	0.24497	0.269442	0.24497	0	0.0715879	0.0727634	0	0.306882	0.0522436	0	0	0	0	0	0	0	0	0	0.181243	0.334701	0.348018	0.486763	0.587678	0.48969	0
