	chr16:74407352-74407471	chr16:74407472-74407501	chr16:74407502-74407551	chr16:74407552-74407591	chr16:74407592-74407651	chr16:74407652-74407801	chr16:74407802-74407951	chr16:74407952-74408101	chr16:74408102-74408251	chr16:74408252-74408401	chr16:74408402-74408551	chr16:74408552-74408701	chr16:74408702-74408851	chr16:74408852-74409001	chr16:74409002-74409151	chr16:74409152-74409301	chr16:74409302-74409351	chr16:74409352-74409361	chr16:74409362-74409451	chr16:74409452-74409601	chr16:74409602-74409651	chr16:74409652-74409671	chr16:74409672-74409751	chr16:74409752-74409821	chr16:74409822-74409901	chr16:74409902-74409971	chr16:74409972-74410041	chr16:74410042-74410051	chr16:74410052-74410111	chr16:74410112-74410151	chr16:74410152-74410201	chr16:74410202-74410351	chr16:74410352-74410501	chr16:74410502-74410531	chr16:74410532-74410651	chr16:74410652-74410701	chr16:74410702-74410801	chr16:74410802-74410821	chr16:74410822-74410951	chr16:74410952-74410991	chr16:74410992-74411041	chr16:74411042-74411101	chr16:74411102-74411171	chr16:74411172-74411251	chr16:74411252-74411301	chr16:74411302-74411361	chr16:74411362-74411401	chr16:74411402-74411411	chr16:74411412-74411441	chr16:74411442-74411521	chr16:74411522-74411531	chr16:74411532-74411551	chr16:74411552-74411701	chr16:74411702-74411781	chr16:74411782-74411851	chr16:74411852-74411941	chr16:74411942-74411991	chr16:74411992-74412001	chr16:74412002-74412041	chr16:74412042-74412101	chr16:74412102-74412151	chr16:74412152-74412241	chr16:74412242-74412301	chr16:74412302-74412378	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74865	0	0	0	1.37433	0	0	0	0	0	2.74865	0	0	0.244472	0.378636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74865	0	0	0	0	0.916217	0	2.74865	0.687163	0	0	0	0	0	0.368932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.71944ce4-bd57-4526-b0d0-a368c7bbdce8.fc.signal	0.198143	0.596198	0.529382	0.25209	0.025209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185621	0.25209	0.302904	0.432274	0.478274	0.353894	0.0340843	0.2169	0.232298	0.382385	0.363531	0.705508	0.695131	0.90209	0.245354	0.0843882	0	0	0	0	0.393255	0.50417	0.0792281	0.317325	0.712753	0.252185	0.068692	0	0	0	0	0	0	0	0.0432154	0.380931	0.541311	0.680633	0.554588	0.277298	0.0151254	0	0.0420148	0.50417	0.311321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111112	0.2584	0.2584	0.254709	0.030685	0	0	0	0.0947467	0.25194	0.255743	0.167113	0.211017	0.1292	0.0333767	0	0	0	0	0	0	0.0882867	0.212258	0.499045	0.410866	0.327312	0.07752	0	0	0.21318	0.348847	0.38761	0.381578	0.166345	0.516809	0.747934	0.873402	0.64601	0.377914	0.23256	0.054264	0.0760844	0.1292	0.1292	0.584892
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.69848b5e-1d71-4ca5-a68d-b2c1db7d8201.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80234	0.987923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.359338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.af8f440a-d096-482c-84b1-79bcd318ff11.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.345632	0.497198	1.37999	1.29385	0.374937	0	0	0	0	0	0	0	0	0.200851	0.468727	0.35149	0.35149	0.175745	0	0	0	0	0	0.725523
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.e95554aa-fb20-4b17-91ac-139d0399c1c8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203644	0.22627	0.18689	0.15832	0.0389414	0.11314	0.11314	0.135766	0.152736	0.11314	0.11314	0.0302412	0	0	0	0	0	0	0	0	0	0.039599	0.129301	0.209969	0.198149	0.208915	0.11314	0.11314	0.11314	0.217785	0.22627	0.22627	0.150093	0	0.0824306	0.11314	0.11314	0.101826	0	0	0	0	0	0	0.677632
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.fc38d8a2-8f66-4203-ae35-4bfe2174aadb.fc.signal	0.33495	0.33495	0.328251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119977	0.33495	0.33495	0.190866	0	0	0	0	0	0	0	0.14174	0.152762	0.155452	0.264211	0.318196	0.16741	0.16741	0.133928	0	0.0297618	0.16741	0.16741	0.483051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.ee2442de-4362-4f9f-9331-9ed79b0e0f3c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102021	0.320293	0.252906	0.246727	0	0	0	0	0	0.0677618	0.428079	0.160325	0	0	0.455266	0.705148	0	0	0	0	0	0	0.532297	0.95053	0.641608	0	0	0	0.73134	0.87453	0.769585	1.10433	1.70904	2.26222	1.02021	1.31167	1.62879	0.785237	0	0	0	0	0.538776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.c19bd00a-5c6a-4173-86bf-6f467b56a6c8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287974	0.338765	0.44795	0.44795	0.229579	0.201582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358974
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.a6734a5b-3b03-45c9-8bf9-b4b30b035291.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817258	0.0673916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.554562	0.328526	0	0	0	0	0	0	0	0.682759
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.2df51237-5ee8-4df1-9b35-852de3df9810.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208217	0.535702	0.19956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0935438	0.573013	0.59867	0.508871	0.29934	0.044901	0	0	0	0	0	0.961722
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.1c43239d-dfc1-4ee8-9404-c3dda7976cff.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571064
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.e09563f2-ad32-412b-91d3-8f5c1229dde6.fc.signal	0.211375	0.41582	0.41582	0.20791	0.20791	0.0249492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218306	0.41582	0.450025	0.41582	0.20791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174644	0.20791	0.20791	0.20791	0.199594	0	0	0	0.740741
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.a821fd7c-44ed-4d61-9142-fdff92927929.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017132	0.964203	0.690691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181182	0.972994	1.3831	1.06391	0.81844	0.409153	0	0	0	0	0.648212
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.8e80fc9c-0a28-49e7-b117-74c22a7209b5.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111986	0.15998	0.200544	0.15998	0.15998	0.0899887	0	0	0	0	0	0	0	0	0.196464	0.21086	0	0	0	0	0	0	0	0	0	0.0822754	0.236037	0.3201	0.250715	0.15998	0.15998	0.0106653	0.15998	0.15998	0.192004	0.256052	0.0919885	0	0	0	0	0	0	0	0	0	0	0.112583
