	chr9:124019319-124019468	chr9:124019469-124019568	chr9:124019569-124019618	chr9:124019619-124019718	chr9:124019719-124019768	chr9:124019769-124019918	chr9:124019919-124020068	chr9:124020069-124020138	chr9:124020139-124020218	chr9:124020219-124020288	chr9:124020289-124020368	chr9:124020369-124020518	chr9:124020519-124020668	chr9:124020669-124020728	chr9:124020729-124020818	chr9:124020819-124020968	chr9:124020969-124021118	chr9:124021119-124021268	chr9:124021269-124021418	chr9:124021419-124021568	chr9:124021569-124021658	chr9:124021659-124021718	chr9:124021719-124021818	chr9:124021819-124021868	chr9:124021869-124021898	chr9:124021899-124022018	chr9:124022019-124022108	chr9:124022109-124022168	chr9:124022169-124022318	chr9:124022319-124022468	chr9:124022469-124022618	chr9:124022619-124022708	chr9:124022709-124022768	chr9:124022769-124022918	chr9:124022919-124023068	chr9:124023069-124023218	chr9:124023219-124023368	chr9:124023369-124023518	chr9:124023519-124023578	chr9:124023579-124023668	chr9:124023669-124023748	chr9:124023749-124023818	chr9:124023819-124023968	chr9:124023969-124024118	chr9:124024119-124024268	chr9:124024269-124024367	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0	0	0	0.207133	0.307009	0.205704	0.381182	0.452212	0.625318	0.631436	0.520137	0.0315904	0	0.217184	0.39488	0.281681	0	0	0	0	0	0	0	0	0	0	0	0	0.242193	0.3552	0.578174	0.706396	0.631808	0.364806	0.254246	0.518883	0.144789	0	0	0	0	0.0338469	0.39488	0.335571	0.505951	0.476748	0.445503
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0	0	0	0	0	0	0.70172	0.560103	0	0	0	0.438689	0.223741	1.40362	2.17433	0.562366	0.591096	0.145422	1.01048	0.297332	0.0826709	2.66617	2.97095	0.251053	0	0.0117818	2.53341	3.60724	0.972361	0.733424	0.471891	1.80733	3.55654	1.25523	1.54297	0.699633	0	0	0	0	0	0.0201974	0.841217	0.664998	0.521209	0	0.601594
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0	0	0	0	0.0843492	0.323914	0.384274	0.484863	0.200575	0	0	0.0597368	0.253903	0.194047	0.52705	1.66428	0.685777	0.547652	0.566969	0.270321	0.220196	0.647919	0.63422	0.142745	0.313606	0.359551	0.825339	0.648552	0.192457	0	0.181675	0.32442	0.140582	0.0692096	0.64872	0.711431	0.517856	0.213959	0	0	0.098091	0.281855	0.174194	0.121647	0.835028	0.83397	0.349765
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.a0cc4058-35e9-4651-8cca-631ead3cc726.fc.signal	0	0	0	0	0	0	0.129578	0	0.0865404	0.147918	0	0	0	0	0	0.319282	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029887	0.427042	0.542115	0.037506	0	0	0	0	0.0692592	0.333693	0.12728	0.114226	0.148194	0.0845586	0.189523	0.400391	0	0.422272
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.374174	0.151735	0.261484	0.208022	0.267853	0.348663	0.487791	0.493197	0.510823	0.862502	0.594666	0.198271	0.274319	0.389845	0.601249	0.67275	0.708324	0.323739	0.339595	0.0833919	0.0527071	0.382164	0.763821	1.02869	0.827762	0.516943	0.530175	0.715725	0.594633	0.276877	0.438698	0.569563	0.473354	0.655041	0.598857	0.567457	0.202541	0.150398	0.0298963	0.0334882	0.173734	0.197128	0.189965	0.616652	0.647683	0.93752	0.25016
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.236915	0.211945	0.158059	0.20468	0.461164	0.544886	0.196052	0.492037	0.81337	0.753331	0.38225	0.269283	0.528044	0.351501	0.302274	0.315885	0.418279	0.290083	0.119135	0.000579267	0.0207414	0.139032	0.198172	0.239913	0.165879	0.195389	0.079569	0.0551053	0.348899	0.627198	0.471876	0.399335	0.486887	0.543419	0.420343	0.593501	0.521003	0.376851	0.06001	0	0	0.0708856	0.167251	0.259339	0.229799	0.136122	0.149272
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.513823	0.28129	0.28129	0.146271	0.246401	0.301177	0.332343	0.28129	0.267225	0	0	0.117658	0.409526	0.2576	0.226306	0.591491	0.633439	0.509888	0.345596	0.372479	0	0	0	0.199599	0.26885	0.196806	0.252189	0.36408	0.530527	0.396501	0.334028	1.05084	1.1006	0.543281	0.255519	0.0157578	0	0.0353189	0.165218	0.173585	0.111005	0.032428	0.422112	0.194647	0.0731617	0.375939	0.473684
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.200577	0.158099	0	0.0458033	0.376149	0.74517	0.297898	0	0.162421	0.511343	0.640498	0.847242	0.428603	0.866403	0.923395	0.515253	0.0872294	0.349092	0.492476	0.312628	0.371048	0.266918	0	0.282403	0.252866	0.11381	0	0.386388	0.492603	0.212346	0.528442	0.681114	0.33414	0.140339	0	0.261537	0.502439	0.717377	0.185665	0.134536	0.199631	0.460279	0.631366	0.739585	0.373951	0	0.426519
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.e7144f2b-c79b-4aad-950f-07ae1b5e1dad.fc.signal	0	0.0180622	0.29716	0.181532	0.0595696	0.399286	0.722952	1.08034	0.35135	0.11426	0.387662	0.0868376	0	0	0.402928	0.776258	0.463134	0.158441	0	0	0	0	0.253657	0.434188	0.106643	0.202653	0.258489	0.110451	0.43374	0.106643	0.0798063	0	0.170201	0.0883611	0.591015	0.825114	0.411271	0.0121877	0.22852	0.266607	0.134256	0	0	0	0.206868	0.320186	0.442553
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.647256	0.0642133	0	0.123285	0.380411	0.735125	0.776417	0.340106	0.137742	0.320544	0.427234	0.69852	0.865129	0.624824	0.270766	0.149055	0.657217	0.813284	0.895717	0.440555	0.0876779	0.167792	0.357756	0.52105	0.476499	0.657722	0.668669	0.837398	0.78058	0.79654	1.49754	1.48672	1.06075	0.800832	0.577553	0.455247	0.212977	0.117098	0.165443	0.115127	0.163992	0.574587	1.08343	0.684767	0.286292	0.464028	0.183301
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.1164241b-8ba2-45bf-987f-0243c87c0a1c.fc.signal	0.202555	0.0188891	0	0.217683	0.380828	0.719881	0.965385	0.373966	0.815024	1.06309	0.921333	0.607123	0.539364	0.657852	0.939848	1.02157	0.747318	0.634543	0.696899	0.600039	0.232335	0.35042	0.19972	0.0530208	0.315083	0.283032	0.296012	0.151767	0.173397	0.164857	0	0.102553	0.349384	0.240999	0.101383	0.273861	0	0	0	0.169657	0.347504	0.328986	0	0.316547	0.987486	0.637925	0.46383
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.48a0264b-6e25-46c0-b33d-21ee41282ecb.fc.signal	0.118856	0.151785	0.185149	0.314258	0.357143	0.361745	0.101018	0.0404113	0.173716	0.359442	0.369104	0.163226	0.51319	0.642064	0.43056	0.464503	0.399962	0.742362	0.745715	0.391283	0.384953	0.322123	0.241996	0.16241	0.146169	0.0189478	0.159627	0.179892	0.412885	0.450499	0.3998	0.176713	0.0839118	0.275019	0.556541	0.376798	0.0573849	0.0105429	0.286291	0.297144	0.160732	0	0.0642293	0.139293	0.0821576	0.590445	0.0348432
