	chr12:52836953-52837002	chr12:52837003-52837102	chr12:52837103-52837252	chr12:52837253-52837302	chr12:52837303-52837402	chr12:52837403-52837482	chr12:52837483-52837552	chr12:52837553-52837592	chr12:52837593-52837662	chr12:52837663-52837702	chr12:52837703-52837722	chr12:52837723-52837852	chr12:52837853-52837922	chr12:52837923-52838002	chr12:52838003-52838092	chr12:52838093-52838152	chr12:52838153-52838232	chr12:52838233-52838302	chr12:52838303-52838362	chr12:52838363-52838452	chr12:52838453-52838602	chr12:52838603-52838632	chr12:52838633-52838752	chr12:52838753-52838822	chr12:52838823-52838862	chr12:52838863-52838902	chr12:52838903-52838932	chr12:52838933-52839052	chr12:52839053-52839202	chr12:52839203-52839352	chr12:52839353-52839402	chr12:52839403-52839502	chr12:52839503-52839652	chr12:52839653-52839802	chr12:52839803-52839912	chr12:52839913-52839952	chr12:52839953-52840032	chr12:52840033-52840102	chr12:52840103-52840222	chr12:52840223-52840252	chr12:52840253-52840332	chr12:52840333-52840402	chr12:52840403-52840552	chr12:52840553-52840702	chr12:52840703-52840852	chr12:52840853-52840892	chr12:52840893-52841002	chr12:52841003-52841152	chr12:52841153-52841212	chr12:52841213-52841302	chr12:52841303-52841332	chr12:52841333-52841392	chr12:52841393-52841452	chr12:52841453-52841522	chr12:52841523-52841602	chr12:52841603-52841702	chr12:52841703-52841752	chr12:52841753-52841902	chr12:52841903-52841987	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0.75762	0.208083	0.384601	0.410797	0.125084	0.24079	0.0378384	0	0	0	0	0	0	0.0566241	0.226705	0.13599	0.277494	0.370079	0.270534	0.0939858	0.37184	0.066248	0	0	0	0.176715	0.2513	0.177924	0.252762	0.235791	0.266385	0.204723	0.360734	0.426025	0.728498	0.870353	0.674579	0.251227	0.147705	0	0.105346	0.239245	0.12545	0.165456	0.273358	0.5388	0.443236	0.0740645	0.470737	0.353052	0.042075	0	0.286783	0.618899	0.441022	0.266918	0	0.135311	0.177166	0.477612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000071.3.ad6f214b-6bc2-494d-ba70-0c0eed50632c.fc.signal	0	0.206309	0.406887	0	0	0	0	0	0	0.838129	0.81823	0.217044	0	0	0.259164	1.53652	0.147159	0	0	0	0	0	0	0	0.042981	0.85962	0.85962	0.0712632	0	0	0	0.428534	0.271754	0.157273	0	0.338183	0.46551	0.16769	0.108766	0	0	0.701359	0.523786	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171924	0.452282	0	0.405941
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.eee60a22-f599-43f7-a6b7-6bb8cd9c0fb1.fc.signal	0.45056	0.19794	0	0	0	0	0	0	0	0.0061935	0.123955	0.234123	0.178434	0.0212531	0	0	0	0.0154896	0.202031	0.504597	0.386081	0	0.087677	0.137783	0.148131	0.15707	0.112907	0.101812	0.130279	0.0403209	0	0.186492	0.410083	0.362406	0.138845	0.113506	0.0903188	0.214781	0.331934	0.382237	0.519125	0.593704	0.322029	0.319879	0.506648	0.332028	0.122032	0.0866211	0.012502	0.0911456	0.114942	0.125531	0.186536	0.11429	0.166852	0.345419	0.44509	0.314706	0.1792	0.780822
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.bb5f2209-5784-4d8e-bc4f-dc5a3678ac34.fc.signal	0	0.113043	0.433051	0.332242	0.243923	0.365189	0.389243	0.394419	0.287459	0.241277	0.253587	0.376533	0.67665	0.764036	0.720475	0.353635	0.248038	0.33623	0.440342	0.297061	0.560497	0.785898	0.633028	0.358839	0.295412	0.209796	0.210971	0.297237	0.436958	0.285401	0.40715	0.842737	0.700208	0.421044	0.674003	0.699911	0.766687	0.770831	0.844776	0.86132	0.624212	0.527497	0.528092	0.632452	0.725837	0.413592	0.365704	0.28541	0.118438	0.0281408	0.0752827	0.140502	0.24953	0.632551	1.07734	1.44138	1.29211	0.903785	0.546623	0.303483
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000013.3.153650ef-7ef6-43cd-b5dc-cf062deb8afd.fc.signal	0.621089	0.366226	0	0	0.0724056	0.367272	0.385821	0	0	0	0	0.2528	0.384127	0	0	0	0	0	0	0.0335211	1.4956	1.1667	0	0	0	0	0	0	0	1.1304	1.46074	0.18931	0.158259	0.534325	0.394022	0.406983	0.0941301	0.48845	0.994377	0.165622	0.49349	0.713015	0.243711	0	0	0	0	0.449269	0.570387	0	0	0	0	0	0	0	0	0	0.741196	0.383721
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.69848b5e-1d71-4ca5-a68d-b2c1db7d8201.fc.signal	1.6952	0.974294	0.671277	1.01623	0.423857	1.35426	2.65335	1.6399	1.51489	0.53238	0.589626	0.297055	0	0.177644	0.764098	1.5128	1.47409	0.584624	0.705311	1.53128	1.18525	1.3262	0.354311	0	0.009213	0.36852	0.552791	2.08208	1.0437	1.94497	1.22903	1.80502	1.25533	0.957843	1.1685	0.895071	0.414753	0	0.911074	0.910676	0.102366	0	0	0	0	0	0.114931	0.337193	0	0	0	0	0	0	0.324173	0.799859	0.508563	1.47291	0.450543	0.780459
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000059.3.b5d4a5b3-a118-48b7-a386-2e56f2330a88.fc.signal	0.16611	0.31836	0.366289	0.152822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188696	0.314909	0.383077	0.24917	0.0768274	0	0	0	0	0	0	0	0	0	0.295248	1.02992	0.898857	1.17155	1.04283	0.51503	0.433484	0.514473	0.840795	0.49831	0.195355	0	0	0	1.34833	1.13786	0.0830567	0	0	0	0.199324	0.479171	0.752658	0.427115	0	0	0	0.434389
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.6c44093e-8a4f-4f36-9bdc-4181cde15c47.fc.signal	0.265888	0.330212	0.204772	0.274958	0.61144	0.942743	0.855131	0.614581	0.486554	0.296949	0.180347	0.171521	0.345941	0.341003	0.320987	0.189054	0.348057	0.445965	0.316522	0.221066	0.194162	0.225225	0.25072	0.34283	0.49677	0.603283	0.766466	0.854161	0.68078	0.29761	0.145131	0.577178	0.879149	0.703289	0.6926	0.586613	0.658196	0.53844	0.416799	0.359293	0.436473	0.816768	0.850676	0.320002	0.230842	0.492048	0.690112	0.380161	0.0280912	0.152193	0.392579	0.408729	0.403617	0.39081	0.222567	0.365942	0.321303	0.573224	0.609608	0.602339
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000055.3.409fce32-3c80-4968-819f-d774f10df209.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040112	0.23544	0.307941	0.057552	0	0	0	0	0	0	0.141273	0.62788	0.361014	0.0397653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317073
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003715.2.f2f63871-d4ff-46d8-b566-9462262914af.fc.signal	0.964796	1.25878	1.31928	1.10096	1.11408	0.9437	0.48821	0.346691	0	0	0	0.203871	0.59625	0.220559	0.046662	0.870007	1.20001	0.14428	0	0	0.671684	1.43125	0.658354	0.466334	0	1.18057	1.60622	2.13244	1.46571	0.949559	0.710809	0.252082	0.229482	0.378474	0.60206	1.33442	1.17289	2.7244	1.62378	0.343053	0.357403	0	0	0.552625	0.502932	0.747721	0.111521	1.54608	1.48698	1.40838	0.763273	0	0	0	0	0.381873	0.71727	0.883047	1.57995	0.345133
