	chr4:75554041-75554060	chr4:75554061-75554120	chr4:75554121-75554190	chr4:75554191-75554340	chr4:75554341-75554440	chr4:75554441-75554490	chr4:75554491-75554540	chr4:75554541-75554640	chr4:75554641-75554740	chr4:75554741-75554790	chr4:75554791-75554830	chr4:75554831-75554890	chr4:75554891-75554940	chr4:75554941-75555020	chr4:75555021-75555090	chr4:75555091-75555140	chr4:75555141-75555240	chr4:75555241-75555310	chr4:75555311-75555390	chr4:75555391-75555540	chr4:75555541-75555690	chr4:75555691-75555730	chr4:75555731-75555760	chr4:75555761-75555800	chr4:75555801-75555840	chr4:75555841-75555990	chr4:75555991-75556050	chr4:75556051-75556140	chr4:75556141-75556290	chr4:75556291-75556440	chr4:75556441-75556500	chr4:75556501-75556590	chr4:75556591-75556690	chr4:75556691-75556740	chr4:75556741-75556820	chr4:75556821-75556890	chr4:75556891-75556930	chr4:75556931-75556970	chr4:75556971-75557040	chr4:75557041-75557090	chr4:75557091-75557190	chr4:75557191-75557340	chr4:75557341-75557410	chr4:75557411-75557490	chr4:75557491-75557530	chr4:75557531-75557640	chr4:75557641-75557700	chr4:75557701-75557730	chr4:75557731-75557790	chr4:75557791-75557840	chr4:75557841-75557940	chr4:75557941-75558010	chr4:75558011-75558090	chr4:75558091-75558160	chr4:75558161-75558240	chr4:75558241-75558390	chr4:75558391-75558540	chr4:75558541-75558690	chr4:75558691-75558780	chr4:75558781-75558840	chr4:75558841-75558990	chr4:75558991-75559084	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0.00556967	0.297638	0.352041	0.0532993	0	0	0.0979056	0.54088	0.437314	0.428731	0.645995	0.777147	0.612633	0.511582	0.425258	0.0705664	0.072854	0.331187	0.7633	0.101348	0.067881	0.384758	0.393077	0.380557	0.01416	0	0.142033	0.195316	0.0147013	0.271822	0.358287	0	0	0	0	0.261129	0.416048	0.346531	0	0	0	0	0.102565	0.144586	0.156266	0.125185	0	0	0	0	0	0	0.129071	0.365806	0.0285998	0	0	0.0764503	0.385797	0.295272	0.389146	0.394737
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0	0	0	0.357075	0.676277	0	0	0	0	0	0	0	0	0	0	0	0.879648	0.873494	0	0.375272	0.494009	0.516043	0.417414	0.367198	0.191645	0	0.631354	1.40902	0.97999	0.376304	0.926928	2.03521	2.05306	1.18751	0.653509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237522	0.70691	0.479006	0	0	0	0	0	0.305934	0.831448	0.954776	0.757967	0.504902
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.a0cc4058-35e9-4651-8cca-631ead3cc726.fc.signal	0	0	0.155168	0.211158	0.0012453	0	0	0.130465	0.204387	0.168019	0.0453065	0.269692	0.312978	0.406861	0.696778	0.222204	0.0179595	0.0682949	0.19194	0.0717738	0.30556	0.404308	0.06723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191553	0.345806	0.481348	0.245729	0.103143	0.379974	0.500411	0.238109	0.279205	0.694734	0.408333	0	0	0.0807049	0.197218	0.156887	0.157053	0	0	0	0.643885
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.e7144f2b-c79b-4aad-950f-07ae1b5e1dad.fc.signal	0	0	0	0	0	0	0	0	0	0	0.089128	0.384718	0.491573	0.427725	0.31079	0.149991	0.34466	0.088645	0.118399	0.271931	0.125792	0	0	0	0.227514	0.264334	0	0	0.069481	0.293433	0.202897	0.0256044	0	0.151425	0.239887	0.0509283	0	0.0881775	0.326984	0.4263	0.483391	0.260247	0.199139	0.139969	0	0.290844	0.289459	0.159964	0.575115	0.591606	0.0638039	0	0	0	0	0.0635751	0.348458	0.144197	0.140534	0.322147	0.158392	0.0143585	0.54881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004884.1.04b53f1e-ede2-4352-b282-8fd62b69ea23.fc.signal	0.702606	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661328	0.558473	0.307303	0.0423071	0.122364	0.59375	0.207435	0	0	0	0	0.407194	0.539443	0.358533	0	0	0	0	0	0	0	0	0	0.0551345	1.31084	1.43698	2.11327	0.722859	0	0	0	0	0	0.327589	0.523068	0.363569	0.342937	0.215197	0.610694	0.660941	0.30438	0	0	0.427389	0.765457	0.590795	0	0	0.562857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.f473421b-0068-43e9-8689-afd1d3e0454e.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0.418266	0.505397	0.452723	0.75586	1.02427	0.557515	0	0	0	0.277788	0.249469	0.184892	0.282206	0.522126	0.165888	0	0	0	0	0	0.00560156	0.273325	0.35076	0.318253	0.203049	0.0523925	0	0	0	0	0.326293	0.114948	0	0	0	0	0	0	0	0	0	0	0	0	0.233492	0.0383231	0	0	0	0	0	0.609262
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001963.2.c17770a0-5e1a-467c-8c25-b0784609b22f.fc.signal	0.162578	0.116285	0.0395161	0	0	0	0	0.170353	0.236546	0.130217	0.0534563	0.23786	0.236475	0.2285	0.0118031	0	0	0.0512933	0.216994	0.155001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15111	0.23875	0.317503	0.28754	0.236187	0.222464	0.0764585	0	0	0	0	0	0	0	0	0	0	0	0.670166
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.e09563f2-ad32-412b-91d3-8f5c1229dde6.fc.signal	0.131938	0.254368	0.337723	0.416359	0.390962	0.371945	0.340873	0.796058	1.18496	1.1483	0.996119	0.805125	0.575235	0.312546	0.182135	0.471375	0.966492	1.02881	0.715543	0.628625	0.670064	0.758978	0.951737	0.872566	0.779305	0.2834	0.127807	0.188592	0.320168	0.539584	0.400818	0.491708	1.03239	0.983769	0.724798	0.588069	0.50452	0.403545	0.46047	0.220095	0.610971	0.825928	0.626554	0.213104	0.198098	0.0895082	0.372797	0.40468	0.405084	0.547411	0.437249	0.508245	0.427523	0.408331	0.57808	0.874874	1.60758	0.767694	0.567892	0.748303	0.571969	0.558011	0.469034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001962.2.6ff00d21-c2de-48d7-8406-d314ad572f14.fc.signal	0	0	0	0	0	0	0	0.0122175	0.45435	0.135872	0	0	0	0	0	0	0.133467	0.267447	0.151033	0.0029324	0	0	0	0	0.151485	0.298247	0	0	0	0	0	0.211166	0.302562	0.0449676	0	0	0	0.174095	0.258257	0.293848	0.132183	0	0	0	0	0	0	0	0.19917	0.230385	0.0451625	0	0	0	0	0	0	0	0	0	0	0	0.697753
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7414bb41-cf54-40da-9950-d1fdfeffed2f.fc.signal	1.28537	1.24142	0.754561	1.00774	1.41954	1.36106	1.50511	0.878778	0.68395	0.587471	0.743849	0.822485	0.965304	0.932002	0.986835	0.919851	0.821048	0.414197	0.462267	0.569321	0.542047	0.321942	0.380128	0.460652	0.513063	0.517189	0.311093	0.500903	0.845137	0.683397	0.984055	0.946207	0.853605	1.22976	1.23656	1.00423	0.43503	0.260493	0.295144	0.389183	0.864029	0.772708	0.164288	0.267112	0.292745	0.451719	0.408749	0.713894	0.618943	1.11378	1.07745	0.712629	0.435025	0.714869	0.621643	0.794066	0.985145	0.79376	0.456196	0.774241	0.976781	0.732781	0.391304
