	chr4:186283915-186283994	chr4:186283995-186284064	chr4:186284065-186284214	chr4:186284215-186284294	chr4:186284295-186284364	chr4:186284365-186284394	chr4:186284395-186284514	chr4:186284515-186284534	chr4:186284535-186284664	chr4:186284665-186284814	chr4:186284815-186284964	chr4:186284965-186285114	chr4:186285115-186285154	chr4:186285155-186285264	chr4:186285265-186285324	chr4:186285325-186285414	chr4:186285415-186285434	chr4:186285435-186285564	chr4:186285565-186285714	chr4:186285715-186285804	chr4:186285805-186285864	chr4:186285865-186285944	chr4:186285945-186286014	chr4:186286015-186286164	chr4:186286165-186286314	chr4:186286315-186286374	chr4:186286375-186286464	chr4:186286465-186286514	chr4:186286515-186286614	chr4:186286615-186286764	chr4:186286765-186286914	chr4:186286915-186286974	chr4:186286975-186287014	chr4:186287015-186287064	chr4:186287065-186287144	chr4:186287145-186287214	chr4:186287215-186287364	chr4:186287365-186287514	chr4:186287515-186287634	chr4:186287635-186287664	chr4:186287665-186287704	chr4:186287705-186287814	chr4:186287815-186287964	chr4:186287965-186287974	chr4:186287975-186288014	chr4:186288015-186288114	chr4:186288115-186288134	chr4:186288135-186288264	chr4:186288265-186288414	chr4:186288415-186288564	chr4:186288565-186288714	chr4:186288715-186288764	chr4:186288765-186288814	chr4:186288815-186288864	chr4:186288865-186288944	chr4:186288945-186289010	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0.187821	0.296328	0.0871607	0.577041	0.485266	0.306389	0.594066	0.691058	0.41094	0.661907	0.600742	0.356276	0.518132	0.342329	0.157367	0.231025	0.276103	0.219546	0.268366	0.650236	0.676844	0.47994	0.455361	0.389723	0.13355	0.248702	0.139661	0	0.219734	0.491395	0.188966	0.379987	0.346881	0.261873	0	0.106675	0.0732162	0.0618324	0.112147	0	0.0318255	0.176827	0.18283	0.153351	0.181709	0.287413	0.709244	0.707845	0.311002	0.175796	0.433357	0.334617	0.540138	0.370933	0.463457	0.669923	0.662997
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003811.1.d8f0d283-97b1-48be-a67c-353c0ecb4b0e.fc.signal	0.524799	0.311026	0.455495	0.509209	0.231573	0.348901	0.375936	0.557361	0.536915	0.262584	0.676771	0.459694	0	0	0	0	0	0	0.156458	0.815861	0.943719	0.474928	0.102162	0	0	0	0.153785	0.337043	0.4456	0.366508	0.102023	0.292866	0.477868	0.572263	0.605091	0.260317	0.153182	0.176497	0.0642481	0.120226	0.116818	0.103323	0.013063	0	0	0.255538	0.438806	0.502822	0.360737	0.568481	0.685703	0.392128	0.383734	0.388018	0.291306	0.406876	0.647086
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.47ac92c8-3161-452d-8dd3-b7ed71169f80.fc.signal	0.383249	0.407102	0.105474	0.0130194	0.333156	0.695842	0.525791	0.271915	0.287784	0.582353	0.578858	0.397994	0.376674	0.250874	0.0580375	0.209396	0.169554	0.362593	0.37855	0.103221	0.231122	0.405193	0.255307	0.211188	0.424111	0.190388	0.323463	0.352817	0.586238	0.629623	0.515536	0.739691	0.569516	0.515106	0.259942	0.232656	0.33479	0	0.0615198	0.13929	0.128843	0.144807	0.124371	0	0	0.198133	0.41764	0.614888	0.785629	0.408868	0.501273	0.356309	0.225281	0.307763	0.349231	0.515098	0.574329
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000942.6.d7f763be-bfdd-4c86-bf20-202adde8af39.fc.signal	0.151619	2.181	2.54899	1.1533	0.00777014	0.380734	1.99809	2.1983	1.27254	3.67205	0.688433	0.870751	0.033994	0.580988	1.26152	1.14306	0.966124	0	0	0	0	0	0	0.197979	2.55474	0.930939	0	0	0	0	0	0	0.922836	1.08167	0.880732	0	0	0	0	0	0	0.591312	0.972601	0.181296	0	0.039412	0.760394	0.933299	0.726351	1.6799	2.33854	1.33576	0	0	0	0	0.268015
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.af8f440a-d096-482c-84b1-79bcd318ff11.fc.signal	0.171382	0.994499	1.22351	0.601434	0.245382	0	0.123848	0.197058	0.802256	1.05152	0.471067	0.314009	0	0	0	0	0	0	0	0.0867009	0.546084	0.608084	0.424688	0.387713	0.716206	0.589146	0.953045	0.34422	0.1652	0.761762	0.356213	0.7032	0.615272	0.126536	0.914137	1.26068	0.568351	0.171058	0.500241	0.384272	0.26541	0.468696	0.146834	0	0	0.0285247	0.889005	1.11804	0.189065	0.298971	0.695549	0.950371	0.473552	0.441298	0.539678	0.373074	0.667969
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001902.1.97f665f6-6f48-4b26-ac5c-9db0c04ef7bc.fc.signal	0.314497	0.327869	0.319992	0.543699	0.944967	0.409983	0.104798	0	0.163761	0.14789	0.212054	0.74711	0.479913	0.2452	0.133645	0.455852	0.485094	0.240415	0.0804814	0.170834	0.107426	0.0406144	0.490923	0.275257	0.282722	0.385761	0.845086	0.0709572	0	0	0.478364	0.200001	0.406884	0.47141	0.46169	0.142323	0	0.0178193	0.190342	0	0	0.0993083	1.03029	0.607485	0.437388	0.49328	0.25514	0.705495	0.986552	1.13883	0.395177	0.307678	0.348353	0.71926	0.346264	0.24299	0.664774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.01d071c9-f298-47b3-9bd4-0b04699959a8.fc.signal	0.313815	0.459488	0.831391	0.500026	0.536591	0.580209	0.393753	0.0620305	0.217364	0.330324	0.476079	0.478474	0.44235	0.563847	0.356719	0.241497	0.623797	0.299517	0.266743	0.723666	0.675441	0.788268	0.586329	0.600963	0.467886	0.259834	0.495556	0.347424	0.280453	0.149087	0.299601	0.27211	0.074601	0	0	0	0.0832913	0.0773565	0.153491	0.453396	0.944199	0.977765	0.673843	0	0.074319	0.49542	0.222927	0.135857	0.548563	0.197523	0.141529	0.124092	0.457084	0.581045	0.419095	0.446978	0.601907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003810.1.86c1b69f-56b1-4f10-8993-9f16337e88d8.fc.signal	0.451039	0.0457443	0.237833	0	0	0	0.0924186	0.326012	0.147898	0.439605	0.644972	0.148129	0.33437	0.0486356	0	0	0	0	0	0	0	0	0	0.149091	0	0.018576	0.228226	0.334183	0.374415	0.30274	0.61926	0.455709	0	0	0	0	0	0	0.259441	0.75933	0.465093	0.13461	0.215401	0.493568	0.550517	0.273362	0	0	0.374607	0.789705	0.666615	0.351357	0.0877656	0.223558	0.433551	0.455717	0.597053
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.6bb5df92-9ff3-4e16-95ee-8879c7d772cd.fc.signal	0.700438	0.895848	0.231708	0	0	0.194593	0.573905	0.622732	0.293354	0.448006	0.254266	0.372551	0.907526	0.752852	0.053391	0.652474	1.0676	0.435332	0.518524	0.0197744	0.225429	0.35594	0.172885	0.211416	0.23767	0.590321	0.585324	0.911083	2.2919	0.510626	0.500193	0.95274	0.587301	0.0142376	0	0	0.220683	0.0759339	0.0652557	0.35594	0.35594	0.417421	0.0688151	0	0	0	0	0.36617	0.353978	0.168232	0.600692	0.412349	0.499303	1.01641	1.36145	0.353633	0.835877
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001875.2.c8e36202-3364-4044-b761-9decdba45b1b.fc.signal	1.16844	0.316305	0	0	0	0	0	0	0.938985	0.187582	0	0	0.453261	1.08301	0.88617	0.875766	0	0.095356	0.268042	0	0	0.907546	1.61929	0.465189	0	0	0	0	0	0.373469	1.15286	1.17776	0.57541	0	0.321317	0.754846	0.0806443	0	0.27704	0.75604	0.753323	0.0410105	1.59731	2.3607	0.395828	0.569061	0.800305	0.172525	1.02093	0.551164	1.35484	0.321043	0.72912	0.401049	0	0	0.806468
