	chr7:76510584-76510733	chr7:76510734-76510823	chr7:76510824-76510883	chr7:76510884-76510903	chr7:76510904-76511033	chr7:76511034-76511073	chr7:76511074-76511183	chr7:76511184-76511223	chr7:76511224-76511333	chr7:76511334-76511483	chr7:76511484-76511553	chr7:76511554-76511633	chr7:76511634-76511723	chr7:76511724-76511783	chr7:76511784-76511853	chr7:76511854-76511903	chr7:76511904-76511933	chr7:76511934-76512023	chr7:76512024-76512083	chr7:76512084-76512163	chr7:76512164-76512233	chr7:76512234-76512313	chr7:76512314-76512383	chr7:76512384-76512403	chr7:76512404-76512473	chr7:76512474-76512533	chr7:76512534-76512583	chr7:76512584-76512683	chr7:76512684-76512733	chr7:76512734-76512833	chr7:76512834-76512853	chr7:76512854-76512983	chr7:76512984-76513133	chr7:76513134-76513283	chr7:76513284-76513383	chr7:76513384-76513433	chr7:76513434-76513503	chr7:76513504-76513583	chr7:76513584-76513733	chr7:76513734-76513883	chr7:76513884-76514033	chr7:76514034-76514183	chr7:76514184-76514303	chr7:76514304-76514333	chr7:76514334-76514483	chr7:76514484-76514633	chr7:76514634-76514783	chr7:76514784-76514893	chr7:76514894-76514903	chr7:76514904-76514933	chr7:76514934-76515083	chr7:76515084-76515183	chr7:76515184-76515233	chr7:76515234-76515313	chr7:76515314-76515383	chr7:76515384-76515533	chr7:76515534-76515583	chr7:76515584-76515663	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.146921	0.0678628	0	0	0	0	0	0	0.183545	0.224333	0.0346114	0.514973	0.53854	0.260276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263816	0.2692	0.227242	0.348135	0.645555	0.456696	0.227192	0.295124	0.250442	0.754458	1.15475	0.360917	0	0.35758	1.12464	1.6052	0.755677	0.52511	0.00192455	0	0.109769	0.486005	0.667299	0.702989	0.459654	0.522045	0.2692	0.005384	0	0.309123
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0.0197718	0.283146	0.0479973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148919	0.059995	0	0.139596	0.0714286	0	0.126386	0.362103	0.170061	0.263985	0.146261	0.218226	0.11769	0	0	0	0	0	0	0	0	0	0	0	0.882593
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183243	0.183243	0	0	0	0	0	0.183243	0	2.74865	0	0.183243	0.54973	0	0.030559	1.02093	0.183243	0	0	0.3
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.ca485291-98be-4da7-8667-33d3bd0f55ac.fc.signal	0.0259103	0.38975	0.232212	0	0	0	0	0	0.143557	0.272246	0	0.249456	0.502352	0.507169	0.486308	0.025242	0	0.02558	0.5118	0.451012	0	0	0	0	0	0	0	0	0	0	0	0	0.132778	0.232328	0.395395	0.686551	0.895748	0.64974	0.421593	0.636102	1.35976	1.04012	0.220857	0	0.097223	0.828105	0.706037	0.178109	0.075905	0.152103	0.327288	0.810143	0.844622	0.699685	0.107105	0	0	0	0.203883
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.09140551-847e-4455-880b-7ea02a3132da.fc.signal	0.0612179	0.17659	0.170704	0	0.165723	0.17659	0.0610038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158931	0.17659	0.260743	0.210692	0	0.0882796	0.35304	0.35304	0.24274	0.276558	0.257754	0.209527	0.17659	0.230396	0.35304	0.563733	0.515459	0.233035	0.629069	0.70609	0.594323	0.174173	0	0	0	0.0832496	0.17659	0.0600406	0.017659	0.113281
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000232.3.bb312763-aab5-42d7-8f1f-61e48149dd10.fc.signal	0.316791	0.169134	0.0417635	0	0	0	0	0.0561165	0.124722	0.123186	0.021956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035672	0.113235	0.269459	0.271334	0.200146	0.106458	0.0871813	0.310594	0.368946	0.247341	0.291088	0.110078	0.0797879	0.191613	0.40568	0.445014	0.37024	0.360823	0.420428	0.583245	0.470313	0.370881	0.28442	0.230848	0.200656	0.174128	0.181954	0.19574	0.211023	0.249453	0.288448	0.251955	0.566038
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001915.1.bac25e3f-fc09-41ff-86d6-c2a6c3049d47.fc.signal	0.18621	0.146455	0.146567	0.181767	0.179595	0.186434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0436081	0.423958	0.315621	0.111396	0.276785	0.28323	0.133053	0.0942454	0.044248	0.206899	0.0809557	0	0	0.133194	0.195189	0	0	0	0.144331	0.104431	0	0	0	0	0	0	0.334928
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.69848b5e-1d71-4ca5-a68d-b2c1db7d8201.fc.signal	1.44691	2.75801	1.2178	0.6089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31382	1.94848	0	0.42623	2.37939	0.219204	2.2084	0.724751	0.540478	1.44478	0.917018	0.614324	0.559241	0.905541	0.54958	0.799196	3.18207	2.65557	1.42967	0.657612	0	0	0	1.24596	1.12092	0.475998	0.748554	0.66107	1.05094	1.54454	0.0568681	0.244964
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000070.3.cefb7c30-c246-45e3-a1c7-f28257f723dd.fc.signal	0	0	0	0	0	0	0	0	0	0.504492	0.83158	0.249474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532211	0.83158	0.83158	0.0249474	0	0.377409	0.853755	0.83158	0.0582106	0	0	0	0.382527	1.38042	1.13649	0.177404	0.462808	0.69859	0.304913	0	0	0	0	0	0.471229	1.34716	0.83158	0.758817	0	0	0	0	0.224551
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000246.3.450afe27-076b-4841-9c2a-cbdeff10853b.fc.signal	0.193471	0.211077	0.373634	0.423474	0.361702	0.283677	0.0894143	0.137502	0.187099	0.177931	0.163241	0.143197	0.0848819	0.0243307	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0274694	0.0345164	0.159235	0.172386	0.234272	0.224228	0.183595	0.187615	0.188674	0.211743	0.223979	0.219101	0.178871	0.244092	0.240424	0.256223	0.24463	0.377308	0.484175	0.41575	0.375219	0.33936	0.325881	0.34435	0.268391	0.27147	0.215252	0.256072	0.152439	0.0942546	0.102497	0.689655
