	chr16:29991406-29991555	chr16:29991556-29991705	chr16:29991706-29991855	chr16:29991856-29992005	chr16:29992006-29992155	chr16:29992156-29992305	chr16:29992306-29992455	chr16:29992456-29992605	chr16:29992606-29992755	chr16:29992756-29992905	chr16:29992906-29993055	chr16:29993056-29993205	chr16:29993206-29993355	chr16:29993356-29993505	chr16:29993506-29993655	chr16:29993656-29993805	chr16:29993806-29993955	chr16:29993956-29994105	chr16:29994106-29994255	chr16:29994256-29994405	chr16:29994406-29994555	chr16:29994556-29994705	chr16:29994706-29994855	chr16:29994856-29995005	chr16:29995006-29995155	chr16:29995156-29995305	chr16:29995306-29995455	chr16:29995456-29995605	chr16:29995606-29995755	chr16:29995756-29995905	chr16:29995906-29996055	chr16:29996056-29996205	chr16:29996206-29996355	chr16:29996356-29996505	chr16:29996506-29996655	chr16:29996656-29996805	chr16:29996806-29996955	chr16:29996956-29997105	chr16:29997106-29997255	chr16:29997256-29997343	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0.129068	0.367453	0.205819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0110993	0.211547	0.129286	0.293969	0.139807	0.112819	0.241169	0.102969	0.277578	0	0	0	0	0	0.268171	0.0712005	0.0161715	0.224469	0.504696	0.394548	0.474918
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.0952247	0.668969	0.399955	0.863593	0.425224	0.348935	0.724547	0.394471	0.345349	0.330593	0.476029	0.266909	0.237679	0.550975	0.285602	0.147612	0.346499	0.566333	0.317355	0.315286	0.200314	0.207891	0.655639	0.4639	0.319819	0.309252	0.369099	0.588253	0.657378	0.674784	0.335219	0.205751	0.267334	0.492505	0.230479	0.35748	0.28605	0.692577	0.581208	0.460764	0.437984
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0	0	0	0.337847	0.220335	0.305531	0.252651	0	0	0	0.035841	0.217835	0.0248187	0	0.0052136	0.308119	0.100361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156677	0.249897	0	0	0	0.0390995	0.49569
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.cb67fdb1-74f3-48c8-aeff-9cfba1ceca46.fc.signal	0	0	0	0.605169	0	0	0.555655	0.262956	0.291998	0.506141	0.303352	0.753942	0.702626	0.815157	0.0394603	0	0	0	0.527127	0	0	0	0	0	0	0	0	0	0	0.391212	0.0275077	0	0	0.239968	0.271292	0.105441	0.170451	0.0408265	0.205906	0.344717	0.509615
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0.263821	0.166653	0	0	0	0	0	0.0584385	0.137545	0.0227985	0.13342	0.0221193	0.149735	0.0370771	0	0	0	0.121163	0.182493	0.421887	0.0226079	0.0295641	0.154521	0	0.0448012	0.197443	0.128955	0.187258	0.036598	0.302139	0.0812518	0.00239987	0.129579	0	0	0	0	0.356308	1.03126	0.37289	0.698482
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.37e46e69-fcc7-4b78-84e3-84d20f000766.fc.signal	0	0	0.188624	0.0817915	0	0.14745	0.605073	0.262686	0.407895	0.224239	0	0	0	0.341665	0.229007	0	0	0	0	0	0.0387738	1.20608	0.34035	0	0	0.30011	0.148475	0.024108	0.351994	0.0706591	0.0753438	0.523985	0.020821	0	0	0	0	1.13306	0.460981	0	0.442308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.35d5a8b6-1eb5-4bfe-b35b-6d956f6f9ff2.fc.signal	0.356261	0.329998	0.103297	0.30711	0.548485	0.218138	0.108349	0.316297	0.8388	0.601421	0.315422	0.605545	0.769007	0.613954	0.331367	0.324604	0.524901	0.360189	0.362457	0.268283	0.103833	0.13226	0.282551	0.222641	0.584082	0.167041	0.245687	0.341184	0.452005	1.06295	0.529624	0.0591701	0.256265	1.01057	1.32336	0.235828	0.0740457	0.359384	0.44866	0.292336	0.464684
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0	0	0	0	0	0.170966	0	0.0966565	0.126716	0.130608	0.233693	0.233336	0	0.145284	0.044014	0.315996	0.232897	0.15299	0	0	0.0424255	0.109116	0.255451	0.428177	0.0639971	0.189716	0.0713048	0	0	0	0	0	0	0	0	0.1564	0.1467	0	0.0406538	0.185343	0.66559
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.147309	0.35925	0.0311393	0	0.0167659	0.780505	0.621617	0.0030012	0	0.277439	0.165923	0.0694569	0.814385	0.515017	0.11021	0.167711	0.27068	0.440728	0.554522	0.701851	0.561706	0.105386	0	0.336517	0.498216	0.235952	0.216799	0.164117	0.17969	0.152212	0.131773	0.281428	0.197603	0	0	0.053907	0.189267	0.195499	0.328076	0.26114	0.830725
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0.704691	0.784752	1.06883	1.29164	1.5779	1.90156	0.617866	0.904308	1.56558	1.10676	1.32005	1.07594	2.56053	0.533615	1.27518	0.972551	1.11096	2.35921	1.81355	1.65193	1.98241	0.608503	0.607114	0.414635	0.542771	0.550511	0.996513	0.316647	0.902413	0.198196	1.09851	0.331303	0.353315	0.324583	0.382841	0.92045	1.03519	0.713446	0.508184	1.0724	0.7894
