	chr10:84255393-84255442	chr10:84255443-84255522	chr10:84255523-84255542	chr10:84255543-84255612	chr10:84255613-84255692	chr10:84255693-84255842	chr10:84255843-84255922	chr10:84255923-84255992	chr10:84255993-84256082	chr10:84256083-84256142	chr10:84256143-84256192	chr10:84256193-84256292	chr10:84256293-84256352	chr10:84256353-84256402	chr10:84256403-84256442	chr10:84256443-84256592	chr10:84256593-84256742	chr10:84256743-84256832	chr10:84256833-84256892	chr10:84256893-84256942	chr10:84256943-84257002	chr10:84257003-84257042	chr10:84257043-84257092	chr10:84257093-84257142	chr10:84257143-84257192	chr10:84257193-84257272	chr10:84257273-84257342	chr10:84257343-84257392	chr10:84257393-84257492	chr10:84257493-84257642	chr10:84257643-84257792	chr10:84257793-84257942	chr10:84257943-84258032	chr10:84258033-84258092	chr10:84258093-84258162	chr10:84258163-84258242	chr10:84258243-84258392	chr10:84258393-84258462	chr10:84258463-84258542	chr10:84258543-84258692	chr10:84258693-84258842	chr10:84258843-84258892	chr10:84258893-84258942	chr10:84258943-84258992	chr10:84258993-84259032	chr10:84259033-84259142	chr10:84259143-84259212	chr10:84259213-84259292	chr10:84259293-84259442	chr10:84259443-84259592	chr10:84259593-84259742	chr10:84259743-84259792	chr10:84259793-84259892	chr10:84259893-84260042	chr10:84260043-84260192	chr10:84260193-84260242	chr10:84260243-84260342	chr10:84260343-84260442	chr10:84260443-84260492	chr10:84260493-84260506	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.258891	0.323645	0.43148	0.429426	0.172564	0.0268389	0.194152	0.2877	0.190358	0.027748	0	0	0	0	0	0	0.327677	0.346933	0.380798	0.329986	0.280325	0.200584	0.258939	0.543091	0.878743	0.946594	0.755452	0.231562	0.0964578	0.0027748	0.430417	0.777908	0.535777	0.658745	0.689488	0.84968	0.838008	0.651161	0.535839	0.981745	0.559019	0.267551	0.463114	0.923358	1.33753	2.00826	1.59024	1.33932	1.93089	1.22609	1.21095	1.12753	0.536445	0.0421867	0.543634	0.775618	0.588208	0.589902	0.662052	0.398146	0.544707
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.363653	0.108357	0.009414	0	0.3074	0.818205	0.80436	0.259594	0.244637	0.0837485	0.0034516	0.0870597	0.199456	0.279163	0.260057	0.591606	0.568999	0.24982	0.302178	0.271038	0.262229	0.300825	0.374119	0.336467	0.642855	0.619363	0.463522	0.395715	0.183248	0.19804	0.169393	0.0608366	0.250164	0.289406	0.247838	0.0841971	0.0954419	0.431983	0.56304	0.870086	1.52719	1.57511	0.843672	0.77967	0.501997	0.266053	0.12622	0.234434	0.223449	0.003951	0	0	0	0.0524245	0.23891	0.285542	0.293303	0.178053	0.113982	0.0653143	0.430126
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.48a0264b-6e25-46c0-b33d-21ee41282ecb.fc.signal	0.291776	0.066328	0	0	0	0	0	0	0	0	0	0	0.113542	0.29735	0.468997	0.481093	0.128871	0.251445	0.295137	0.289995	0.190066	0.315138	0.32104	0.320541	0.600015	0.564208	0.638992	0.58972	0.413961	0.40021	0.296553	0.429457	0.203727	0.115849	0.00155157	0.0680064	0.199644	0.720475	0.961771	0.957383	1.79096	1.11741	0.86983	1.11825	1.58722	2.07271	1.22842	0.812883	0.500513	0.486675	0.602017	0.308584	0.191646	0.357311	0.46701	0.224336	0.157587	0.370085	0.72112	0.81207	0.435927
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.e95554aa-fb20-4b17-91ac-139d0399c1c8.fc.signal	0.100584	0.177323	0.184	0.211429	0.160048	0.0244318	0.0649212	0.10344	0.0914967	0.0707095	0.136802	0.37474	0.402153	0.350496	0.224407	0.168249	0.271585	0.287867	0.184748	0.21042	0.181069	0.105149	0.0250736	0	0.0458028	0.117808	0.279394	0.371048	0.338452	0.151906	0.00157867	0	0.059648	0.348915	0.454866	0.756148	0.573266	0.301318	0.354014	0.7234	0.527322	0.474613	0.592327	0.770744	0.85754	1.78843	1.78559	1.19025	1.05158	0.66588	0.219999	0.416117	0.459136	0.249106	0.257275	0.46744	0.497757	0.388306	0.455708	0.598435	0.444138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.affdcac3-6070-43fc-99e1-6c9751bbcbf6.fc.signal	0.288335	0.16338	0.13071	0.0886929	0.0523709	0.204524	0.346786	0.280004	0.124307	0.116455	0.214532	0.404109	0.321155	0.224311	0.127466	0.0684342	0.1392	0.145547	0.156485	0.22375	0.223775	0.247366	0.289393	0.240096	0.274967	0.201816	0.148771	0.145126	0.172429	0.189199	0.210809	0.305418	0.335252	0.323436	0.46213	0.510552	0.309116	0.206076	0.259329	0.321883	0.437926	0.579477	0.387017	0.246816	0.131895	0.0754555	0.0433503	0	0	0	0	0	0	0.0395352	0.228424	0.62879	0.635325	0.26717	0.144338	0.145554	0.516784
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.fc38d8a2-8f66-4203-ae35-4bfe2174aadb.fc.signal	0.341646	0.311913	0.16741	0.16741	0.179976	0.260115	0.259557	0.0932713	0	0	0	0.113839	0.40189	0.50236	0.552625	0.360587	0.352807	0.370276	0.731277	0.854074	0.887593	0.489804	0.237777	0.150669	0	0	0.165018	0.174112	0.338298	0.398566	0.321522	0.372167	0.48749	0.521921	0.50236	0.414463	0.0390623	0.0956629	0.16741	0.356102	0.570812	0.100699	0.0867362	0.390205	0.60289	1.17033	1.52105	1.36901	1.05596	0.228868	0	0	0.209338	0.758075	0.670992	0.33495	0.381528	0.401098	0.620945	0.537886	0.46729
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f19b01fb-285f-4aa3-a654-49a7198b9c00.fc.signal	0.872311	0.205033	0.165917	0.105048	0.121962	0.232762	0.137649	0.0343406	0.0723151	0.108504	0.124591	0.0953232	0	0	0.0289465	0.182194	0.363104	0.369689	0.350868	0.357473	0.34747	0.289807	0.230823	0.232664	0.373843	0.400533	0.394471	0.286836	0.359914	0.861902	0.648985	0.37014	0.616261	0.735488	0.599704	0.824736	1.1599	1.20647	0.635977	0.47211	1.11948	0.916318	0.976284	0.826589	0.523567	0.339603	0.212766	0.279135	0.266491	0.140282	0	0	0	0.0088	0.236139	0.728223	0.87711	0.692211	0.429348	0.43649	0.526992
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.c19bd00a-5c6a-4173-86bf-6f467b56a6c8.fc.signal	0.652594	0.537598	0.67207	0.316774	0.22398	0.0029864	0	0	0.211537	0.343431	0.44795	0.235178	0.067194	0	0	0.21502	0.317107	0.311079	0.317301	0.44795	0.253843	0.37516	0.551042	1.03043	1.12002	0.957635	0.527991	0.887081	0.835568	0.17472	0.0481817	0.270958	0.324766	0.955532	1.11059	1.14386	0.23421	0.222771	0.196333	0.378178	0.26359	0.220311	0.551066	1.20513	1.42239	1.70849	1.21258	0.949235	1.17378	1.62474	1.66508	0.860206	0.616016	0.621237	1.29024	1.48735	0.552149	0.257077	0.219172	0.154269	0.521368
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.bd79aee4-cb3e-4358-b4aa-2b3125cb6682.fc.signal	0	0	0	0.0193384	0.0747196	0.24856	0.0799195	0.189431	0.139288	0.253399	0.327224	0.30157	0.23964	0.198798	0.191808	0.13711	0.293583	0.187621	0.0434625	0.153943	0.192309	0.145273	0.103933	0.104924	0.11492	0.18588	0.253473	0.211121	0.0769905	0	0.0932686	0.233776	0.0863678	0.11244	0.208809	0.256789	0.0522815	0	0.0655633	0.0902159	0.124022	0.377146	0.66807	1.01368	1.22915	0.983494	0.470879	0.375149	0.194509	0.0242717	0.101692	0	0.21865	0.283695	0.305364	0.398155	0.232689	0.16277	0.357002	0.404507	0.68254
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.424bbc61-947c-4459-9db6-6a124654e2c1.fc.signal	0	0.373233	0.757524	0.89118	0.768662	0.393616	0.278485	0.22276	0.0173258	0	0	0	0.196813	0.44566	0.651713	0.539208	0.346098	0.45061	0.37136	0.22276	0.00742533	0	0.089104	0.22276	0.387706	0.74917	0.66842	0.503578	0.113619	0	0	0.0886485	0.388421	0.37879	0.22276	0.0083535	0	0	0	0.0297013	0.375818	0.490212	0.463481	1.02941	1.25331	1.40165	0.77663	0.810429	0.638707	0.184148	0.112865	0.0400968	0.347584	0.349076	0	0.0757384	0.31192	0.404412	0.185306	0.125286	0.337981
