	chr6:70789189-70789338	chr6:70789339-70789488	chr6:70789489-70789638	chr6:70789639-70789788	chr6:70789789-70789938	chr6:70789939-70790088	chr6:70790089-70790238	chr6:70790239-70790388	chr6:70790389-70790538	chr6:70790539-70790688	chr6:70790689-70790838	chr6:70790839-70790988	chr6:70790989-70791138	chr6:70791139-70791288	chr6:70791289-70791438	chr6:70791439-70791588	chr6:70791589-70791738	chr6:70791739-70791888	chr6:70791889-70792038	chr6:70792039-70792188	chr6:70792189-70792338	chr6:70792339-70792488	chr6:70792489-70792638	chr6:70792639-70792788	chr6:70792789-70792938	chr6:70792939-70793088	chr6:70793089-70793238	chr6:70793239-70793388	chr6:70793389-70793538	chr6:70793539-70793688	chr6:70793689-70793838	chr6:70793839-70793988	chr6:70793989-70794138	chr6:70794139-70794269	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	1.29549	0.588085	0.618285	0.192239	0.364188	0.404123	0.170008	0.329288	0.0701091	0.546642	0.330655	0.861653	0.392979	0.151446	1.02814	0.869868	1.12084	0.549168	1.15923	0.737754	0.4853	0.672539	0.904962	1.62064	0.877978	0.805544	1.71267	0.947937	0.817991	0.787257	0.88072	0.439212	0.847861	1.06378	0.394161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000016.3.9c54dc88-50cd-4207-80de-15a482501404.fc.signal	0.0920397	0.497891	0.684212	1.53451	1.02075	0.514052	0.775245	0.281016	1.32127	0.725633	0.0929894	0.706877	2.56593	1.76194	0.549804	0	0.249595	0.538547	0.823656	1.97637	0.813362	1.95791	1.55631	2.33669	2.55505	1.14033	0.612714	0.860326	0.84533	1.6594	1.24634	0.146983	0.693854	3.03291	0.431452
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.644585	1.37087	1.03747	0.466693	1.11832	1.54737	1.42618	1.56124	1.36341	0.51519	0.935822	0.809044	0.544713	0.569287	0.235103	0.852665	2.07128	1.61643	0.599138	0.419889	1.20273	1.34273	1.92612	1.08961	1.09747	1.43186	1.24971	1.057	0.89439	1.41503	1.44147	2.03847	1.36377	0.618143	0.30719
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0.464519	0.488048	0.730021	0.558219	0.270278	0	0	0.297857	0.557581	0.242135	0.735726	0.738273	0.416654	0.0477894	0.217075	0.899046	2.17937	1.83065	2.58765	0.686501	0.194067	0.241555	1.00251	0.928932	0.741379	0.370342	0.761987	0.940071	0.903354	0.730482	1.01086	1.16826	2.2427	2.3001	0.39317
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.cb67fdb1-74f3-48c8-aeff-9cfba1ceca46.fc.signal	1.35931	0.479444	0.313466	0.117373	1.02366	2.15501	1.32427	1.03744	1.68347	2.50265	0.0596813	0	0.147975	1.26439	0.833594	1.85668	2.61367	1.40778	1.48442	1.7283	1.74603	0.96739	2.03397	3.85659	2.18962	0.506141	0.929762	0.886692	1.64693	2.61708	0.179044	0.157841	1.61546	0.971782	0.444444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0	0	0	0.0393553	0.378822	0.40795	0	0	0.0211913	0.326952	0	0	0.132265	0.233973	0.499505	0.620599	0.0843771	0.178822	0.920389	0.935475	0.384467	0.805288	1.29282	0.411896	0.839185	0.165588	0.0242187	0.492306	0.647937	1.41125	0.865843	0.423489	0.795907	0.362154	0.465698
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.37e46e69-fcc7-4b78-84e3-84d20f000766.fc.signal	0	0.098861	1.14396	0.771171	0.0344656	0.644169	0.116321	0.323115	0.423897	0.343511	0.0232957	0	0	0	0	0.081913	0.455464	1.45551	0.89115	2.11222	1.51398	0.277877	0.144902	0.981984	0.913085	0.305053	0.207836	0.781414	0.550109	0.834675	1.35994	1.49966	0.749552	1.76609	0.390291
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.35d5a8b6-1eb5-4bfe-b35b-6d956f6f9ff2.fc.signal	0.465072	0.636498	0.14353	0.0502928	0.395127	0.717729	0.813968	0.625988	0.29592	0.375877	0.200349	0.964044	0.305487	0.83911	1.3437	0.192386	1.11873	0.557898	0.42917	0.563823	0.503098	0.711844	1.79832	1.49412	0.932336	1.10547	3.02617	2.30682	1.29332	0.82266	0.52409	2.954	1.87495	0.992965	0.598068
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0.749549	0.563266	0.222176	0.306661	0.279078	0.121173	0.220505	0.232467	0.148341	0.422001	0.278047	0.294631	0.559754	1.00054	0.748837	0.800693	1.7336	1.26442	1.43701	1.14713	0.67722	1.10197	1.07101	0.865112	0.376826	0.692345	2.04518	2.06286	0.854335	0.664694	1.51059	1.00479	0.844974	0.530801	0.561254
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.407772	0.59046	0.567693	0.155687	0	0	0.109	0.322945	0.17553	0.344041	0.240348	0.491567	0.377193	0.00958347	0.0742658	1.00243	2.82313	1.29743	0.258573	0.255468	0.228553	0.298267	0.0655249	0.213472	0.277466	0.196752	0.47014	0.439246	0.601578	0.534495	0.848963	0.467517	0.341674	0.30692	0.384144
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0.246113	0.852067	0.706518	0.789781	1.30657	2.79582	0.476008	0.401671	1.09637	0.977663	0.671566	1.23388	1.12082	0.600879	0.958992	0.7743	0.299863	0.392242	0.921625	1.80398	1.30619	0.778332	2.47822	3.14216	0.815199	0	0	0.889852	1.17158	1.1101	0.176863	0.00743747	1.70448	1.49411	0.283141
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.1f07a69f-5385-434d-9868-2041e2fec782.fc.signal	0.531228	0.801869	0.13392	0.031852	0.680672	0.756251	0.27566	0.577632	0.59529	0.136877	0.329676	0.508709	0.709365	0.397023	0.482032	0.163679	1.08448	0.960892	0.260468	0.521	0.399346	0.233337	0.817914	1.1642	0.716639	0.424228	1.72776	1.7997	0.901946	0.162315	0.453812	1.27858	0.446855	0.519237	0.576119
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.b7155ae3-84c0-47e8-9535-8c807cc3903c.fc.signal	0.708492	0.472369	0.927331	0.241913	1.05873	0.601182	0.545769	0.201621	0.570299	1.73211	2.01431	1.15415	0.931077	0.238932	2.32721	0.662212	1.60029	1.96922	1.84298	1.90583	1.89047	1.58458	3.67482	1.41117	1.93041	1.06806	0.553007	1.80863	1.33137	1.98456	0.397481	0.93306	0.818399	1.14098	0.564334
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.9d84f1f6-2f6a-416c-bcef-ff170f289a63.fc.signal	0.535315	0.537032	0.219261	0.35598	0.58632	0.214053	0.334551	1.04539	0.856213	1.05492	0.86847	0.234464	0	0.288078	0.123313	0.46766	1.61471	1.32387	0.53746	0.26261	0.3797	0.776047	0.95823	1.52997	0.428107	0.00232667	1.73235	2.11929	1.33598	0.079706	0.824493	1.43944	2.13877	0.536584	0.588871
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000053.3.8efd4d25-0ff3-467d-8be9-cd2a58761d99.fc.signal	0.442978	0.898575	0.46512	0.46553	1.034	0.430929	0.307273	0.54505	1.32289	1.3688	0.769486	0.197331	0.754791	1.34825	1.48211	1.90598	0.809602	0.180889	0.47914	0.461503	1.45392	1.37885	0.622581	1.12911	0.768393	0.322991	0.215039	0.520692	0.725287	1.34935	1.27594	0.796935	1.26814	1.50836	0.445652
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004647.3.43f1c761-68ab-4b08-9b03-abbbc17d64b6.fc.signal	0.528345	0.548379	0.428159	0.303249	0.488856	0.639973	0.913332	0.619579	0.864301	0.994787	1.07645	0.580782	0.820429	0.839861	1.21909	1.83005	2.22082	2.16956	0.921903	0.708802	1.01617	1.87221	2.08512	2.17362	2.13036	1.63106	1.15669	1.14011	0.662337	1.22844	2.3485	1.57855	1.29348	1.33283	0.466667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.385235	0.619572	1.06456	1.692	1.80729	1.22883	0.636872	0.847859	0.369026	0.182814	0.189446	0.726539	0.706421	1.12356	0.396477	0.38566	0.907492	0.387134	0.785996	0.500388	0.707315	0.864034	0.493453	0.340194	0.845502	1.27283	1.31012	0.89689	0.257069	0.236362	0.731905	1.4677	0.854201	0.145819	0.880049
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	1.86219	1.04505	1.07553	0.883548	1.87291	1.68163	1.64876	1.28249	1.4169	1.95024	1.8447	1.03937	2.30713	2.23522	2.1659	3.16712	3.72	2.23656	2.41838	3.1143	2.05656	1.83216	2.32474	1.41698	2.21895	3.45257	1.29195	1.82409	1.60861	1.16467	1.15724	1.78835	2.34523	1.9065	0.477907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.ca485291-98be-4da7-8667-33d3bd0f55ac.fc.signal	0.680648	0.899021	0.254757	0	0	0.313849	0.169342	0.374172	0	0	0.337859	1.18059	0.561453	0.236209	0.412395	0	0.252437	0.208081	0.368465	0.292623	0.257571	0.892211	0.965525	2.2894	0.673808	0.491759	2.53177	0.963732	0.866355	1.20779	1.14297	1.71961	0.366772	0.359423	0.512106
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0.139521	1.34633	1.53948	0.772827	0.216258	0.872906	0.904955	0.432516	1.72995	1.10451	2.35079	0.436133	1.50816	1.28285	0	0.397636	1.49978	1.45095	0.551072	1.57378	0.703914	1.64475	1.89704	3.84395	2.83596	0.469906	0	0.481953	0.632361	0.934793	0.780037	0.289046	0.899848	2.04475	0.369231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000024.3.2302e24e-631b-4ec9-a235-e193b37d434c.fc.signal	0.877086	0.375755	0.665801	0.930879	0	0	0	0	0	0	0	0.0877107	0.621469	0.858967	0.349195	0.541608	0.0156035	0.542202	0.157963	0.82461	2.22693	1.14847	0.751786	0.0846791	1.66518	0.678655	0.443354	0.649847	1.10899	0.60337	0.504275	0.349098	0.763771	0.292705	0.672
