	chr1:154544979-154545068	chr1:154545069-154545128	chr1:154545129-154545278	chr1:154545279-154545358	chr1:154545359-154545428	chr1:154545429-154545468	chr1:154545469-154545578	chr1:154545579-154545638	chr1:154545639-154545728	chr1:154545729-154545758	chr1:154545759-154545808	chr1:154545809-154545838	chr1:154545839-154545878	chr1:154545879-154546028	chr1:154546029-154546108	chr1:154546109-154546178	chr1:154546179-154546198	chr1:154546199-154546248	chr1:154546249-154546268	chr1:154546269-154546328	chr1:154546329-154546368	chr1:154546369-154546378	chr1:154546379-154546478	chr1:154546479-154546508	chr1:154546509-154546628	chr1:154546629-154546778	chr1:154546779-154546848	chr1:154546849-154546898	chr1:154546899-154546928	chr1:154546929-154547078	chr1:154547079-154547228	chr1:154547229-154547308	chr1:154547309-154547378	chr1:154547379-154547528	chr1:154547529-154547678	chr1:154547679-154547828	chr1:154547829-154547978	chr1:154547979-154548028	chr1:154548029-154548118	chr1:154548119-154548128	chr1:154548129-154548278	chr1:154548279-154548318	chr1:154548319-154548338	chr1:154548339-154548428	chr1:154548429-154548438	chr1:154548439-154548578	chr1:154548579-154548658	chr1:154548659-154548668	chr1:154548669-154548728	chr1:154548729-154548808	chr1:154548809-154548878	chr1:154548879-154549028	chr1:154549029-154549178	chr1:154549179-154549328	chr1:154549329-154549478	chr1:154549479-154549628	chr1:154549629-154549778	chr1:154549779-154549828	chr1:154549829-154549928	chr1:154549929-154550078	chr1:154550079-154550118	chr1:154550119-154550178	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.532061	1.29405	1.70545	0.651948	0.331402	0.765439	1.07652	1.20808	0.578369	0.121902	0	0	0	0.0668975	0.228349	0.437568	0.354427	0.394898	0.401932	0.337658	0.186995	0.276396	0.23872	0.337563	0.265579	0.637602	1.16798	0.993451	0.740915	0.403402	0.54638	1.03934	0.894512	0.387301	0.149257	0.71879	0.699959	0.183502	0.281674	0.332828	0.274215	0.110651	0.0654935	0.0929096	0.168563	0.379432	0.659181	0.57686	0.678281	0.872466	0.653282	0.932287	1.20819	1.06334	0.932096	0.564407	0.415482	0.649215	0.344948	0.392213	0.453073	0.325935	0.39548
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0.0314182	0	0.745104	0.926985	1.5691	1.46278	0.640919	0.623028	0	0	0	0	0	0	0.469755	0.541964	0.56553	0.652642	0.77853	0.781626	0.78197	0.78197	0.0312788	0	0.762374	0.779707	0.80823	1.07442	0.576726	0.333842	0	0	0	0	0.561215	0.227917	1.77427	0.905966	0.523876	0.779906	0.393487	0	0	0	0	0.0757404	0.622082	0.70691	0.698089	0	0	0.576804	0.117706	0.371521	0.633473	0.989333	0.229039	0.0977304	0.765943	1.08298	1.41833	0.955832	0.597015
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000972.6.767f330d-c515-40cb-be8a-255001f91f74.fc.signal	0.717237	2.86573	2.60306	0.179353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994485	1.0597	0.322476	0.609954	0.79996	0.772745	0.171716	0.0262475	0.390964	0.236653	0.35564	0.648684	2.73371	2.10828	0.375098	0.83991	0.75202	0	0	0.16643	0.69994	0.369971	0	0	0	0.370567	0.978616	0.759382	0.308919	0	1.31375	2.28622	1.1702	1.1499	0.14698	1.01651	0.126301	0	0.659341
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.aff67f26-7ea5-4004-b6c7-42e5d6d7c336.fc.signal	0.329139	0.468695	0.705518	0.216354	0.0923394	0.275189	0.144438	0.187787	0.2582	0	0.098943	0.299903	0.300569	0.0571033	0.129803	0.373628	0.349765	0.31673	0.151556	0.0857588	0	0	0	0	0.177303	0.321005	0.00862686	0.302891	0.302488	0.0665219	0.108789	0.449225	0.327186	0.292459	0.284723	0.382531	0.579185	0.490562	0.239591	0.297617	0.593489	0.379966	0.213787	0.117723	0.147572	0.350892	0.00183762	0	0	0.139041	0.256768	0.00190867	0.358898	0.993666	0.427301	0.364305	0.112901	0.303146	0.811162	0.31742	0	0	0.50303
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.ae41c415-756f-48a0-be26-8a57c412db20.fc.signal	0.436973	0.59759	0.96492	0.722658	0.367589	0.142675	0.176532	0.290538	0.619172	0.739189	0.620911	0.611694	0.525426	0.298274	0.366519	0.485075	0.481307	0.481777	0.372756	0.184376	0.12033	0.156335	0.313493	0.590245	0.592917	0.713757	0.752725	0.823688	0.846525	0.3944	0.162827	0.223771	0.281568	0.339613	0.700003	1.06763	0.64523	0.177292	0.446838	0.533314	0.532205	0.39823	0.190851	0.024432	0	0	0	0	0	0.039853	0.280474	0.405231	0.676032	0.526361	0.925493	1.39812	0.917851	0.535883	0.510097	0.102337	0	0	0.58046
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0	0.0643853	0.19308	0.0701132	0.055358	0.107605	0.212692	0.131368	0.130715	0.182464	0.210811	0.210597	0.134407	0.0408645	0	0.00733429	0.102988	0.105374	0.174146	0.197131	0.210194	0.15747	0.133764	0.205854	0.480005	0.299635	0.0888686	0.0164288	0.0209693	0.300617	0.255915	0	0	0	0.0130747	0.242978	0.575885	0.655921	0.255023	0.0753	0.0150601	0	0.11096	0.118032	0.2228	0.392746	0.480055	0.291871	0.215798	0.215592	0.310672	0.338202	0.307985	0.492303	0.284885	0.339394	0.352942	0.879024	1.19336	0.629535	0.276798	0.287348	0.584746
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.d51ed427-007f-40d3-b98a-eaa67c358ae9.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0547241	0.0949594	0.0920577	0.0423068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021432	0.170039	0.175637	0.137525	0	0.101983	0.247198	0.297514	0.488281
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.6c44093e-8a4f-4f36-9bdc-4181cde15c47.fc.signal	0.270271	0.363492	0.605855	0.885465	0.835137	0.668582	0.28299	0.199613	0.243509	0.449836	0.55225	0.49188	0.483568	0.395823	0.322267	0.436205	0.450564	0.348686	0.258423	0.15424	0.113544	0	0	0	0.128442	0.569439	0.579825	0.47174	0.275535	0	0.0841118	0.297617	0.630529	0.658451	0.702699	0.633311	0.140698	0.0165298	0.275344	0.493165	0.803881	0.804564	0.689628	0.476138	0.191197	0.0500423	0	0	0	0	0.110817	0.303803	0.331447	0.418977	0.241249	0.0530511	0.188041	0.497747	0.45923	0.268873	0	0	0.634483
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000184.3.0a1684db-dfdc-416a-9b39-88bdc9d8980d.fc.signal	0	0	0	0	0.0536554	0.41732	0.367343	0.0856377	0	0	0.219712	0.43723	0.433806	0.259342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125572	0.283084	0	0.38259	0.240372	0	0.762037	0.828073	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057175	0.260035	0.0297248	0	0	0	0.515349	0.736797	0.238245	0	0.196396	0.609165	0.776786
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001902.1.97f665f6-6f48-4b26-ac5c-9db0c04ef7bc.fc.signal	0	0	0	0.0182613	0.237112	0.159806	0	0.0312557	0.704108	0.99627	0.398509	0.477886	0.48599	0.273772	0.109346	0.072897	0.24299	0.34505	0.41309	0.24299	0.133645	0.24299	0.187102	0	0	0	0.0913614	0.155429	0.096398	0.168416	0.0968676	0.00614925	0.186609	0.0766081	0.0975212	0	0.138778	0.0384056	0	0	0.432073	0.481062	0.337508	0.031819	0	0	0.105172	0.216449	0.194957	0	0.152605	0.0812655	0.103952	0.142257	0.110155	0.269892	0.439564	1.41908	0.639073	0.265971	0.0121495	0.24299	0.653846
