	chr12:6692557-6692706	chr12:6692707-6692856	chr12:6692857-6693006	chr12:6693007-6693086	chr12:6693087-6693156	chr12:6693157-6693306	chr12:6693307-6693456	chr12:6693457-6693606	chr12:6693607-6693756	chr12:6693757-6693806	chr12:6693807-6693896	chr12:6693897-6693906	chr12:6693907-6694056	chr12:6694057-6694206	chr12:6694207-6694356	chr12:6694357-6694506	chr12:6694507-6694656	chr12:6694657-6694806	chr12:6694807-6694956	chr12:6694957-6695106	chr12:6695107-6695256	chr12:6695257-6695406	chr12:6695407-6695556	chr12:6695557-6695706	chr12:6695707-6695856	chr12:6695857-6696006	chr12:6696007-6696056	chr12:6696057-6696156	chr12:6696157-6696186	chr12:6696187-6696286	chr12:6696287-6696306	chr12:6696307-6696316	chr12:6696317-6696456	chr12:6696457-6696546	chr12:6696547-6696606	chr12:6696607-6696716	chr12:6696717-6696756	chr12:6696757-6696906	chr12:6696907-6697056	chr12:6697057-6697206	chr12:6697207-6697356	chr12:6697357-6697506	chr12:6697507-6697656	chr12:6697657-6697806	chr12:6697807-6697930	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.330122	0	0	0	0	0.425506	1.29246	0.673923	0.487019	0.268518	0	0.078976	0.39488	0.610748	0.733253	0.674853	0.281681	0	0	0.381717	0.710784	0.442266	0.281681	0	0	0.039488	0.39488	0.548883	0.78976	0.533088	0.39488	0.39488	0.0874377	0	0	0	0	0	0.359469	0.180697	0	0	0	0	0	0.274854
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	0.280034	0	0	0	0	0	0	0.183243	0	0.378732	0	0	0	0.183243	0	0.183243	0.126244	0.280988	0.183243	0	0	0	0.366487	0.531394	0.29616	0.101949	0	0	0	0	0	0	0.0436557	0	0	0.146083	0	0.182907	0.257706	0	0	0	0	0	0	0.654321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0	0	0.0962682	0.320036	0.319773	0.0064588	0	0	0.129002	0.323858	0.321576	0	0.197918	0.631415	0.0194652	0.501979	0.297049	0	0	0	0	0	0	0.297914	0.400912	0.219483	0.296855	0.128204	0	0.196529	0.273521	0.472516	0.522417	0.371065	0.237128	0.128707	0	0	0.0903093	0.140329	0.285853	0.097326	0	0.0389304	0.276087	0.306006
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.304342	0.260086	0.36146	0.288713	0.2089	0.663771	0.469318	0.324124	0.718614	0.715904	0.21682	0	0	0.0584849	0.390857	0.2643	0.149741	0.13842	0.963529	0.426676	0.0057512	0.249321	0.128485	0.12081	0.571436	0.249291	0.2877	0.329353	0.484203	0.43148	0.251685	0.14378	0.052377	0.14378	0.14378	0.0805815	0.143002	0.108694	0.167868	0.365614	0.587483	0.248366	0.0915821	0.136112	0	0.589635
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.275279	0.0821893	0.174697	0.313095	0.323005	0.380716	0.37038	0.0120587	0	0.0150612	0.127158	0.123956	0.373946	0.676824	0.227888	0.141364	0.140109	0.0349339	0.217833	0.484242	0.235757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386835	0.260637	0.327674	0.00172267	0	0	0	0	0.222979	0.644822
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.103456	0.237301	0.238355	0.205846	0	0.021668	0.203318	0.0650763	0.224475	0.28129	0.17815	0.28129	0.28129	0.114391	0	0	0.275664	0.442694	0.0751157	0	0	0.166899	0.255036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24941	0.496946	0.485694	0.185651	0.577582	0.550094	0.28692
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0	0.0999391	0.274417	0	0	0	0	0	0	0	0	0	0.0518302	0.231403	0.0030664	0	0	0.144097	0.230791	0.287695	0.276841	0.207188	0	0.0642043	0.305586	0	0	0	0	0	0	0	0	0	0	0	0	0.0564685	0.340647	0.330882	0.0860663	0	0.0429123	0.19447	0.201827	0.255556
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.1a9690ca-63a1-4ea3-8dc4-24421ed40248.fc.signal	0.0865855	0.0764885	0.254775	0.298958	0.246563	0.0709384	0.0176033	0.110558	0.213832	0.18614	0.214157	0.180287	0.165406	0.0852576	0.13046	0.258808	0.18229	0.254707	0.340451	0.152947	0.0643081	0.0291217	0.10015	0.290549	0.372824	0.129369	0.0634922	0.122628	0.123571	0.0802701	0.060906	0.060734	0.00606871	0.0276897	0.110305	0.240504	0.361261	0.258945	0.0415195	0.0166436	0.185123	0.273598	0.235616	0.200606	0.180749	0.496124
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.438343	0.237402	0.124023	0.0559548	0	0	0	0.193076	0.369629	0.240776	0.149115	0.087175	0.120856	0.275178	0.334899	0.430799	0.541237	0.654306	0.877599	0.997722	0.717719	0.665718	0.389081	0.116348	0.0023688	0	0	0	0	0.186723	0.316695	0.309344	0.374632	0.246124	0.161442	0.0942253	0.058882	0.169235	0.311024	0.245947	0.513679	0.291451	0.0921642	0.330751	0.357437	0.452954
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.1164241b-8ba2-45bf-987f-0243c87c0a1c.fc.signal	0.35441	0.0307155	0	0	0	0	0	0	0.248654	0.29456	0.095018	0	0.0756075	0.35441	0.0189019	0.331424	0.106323	0	0	0.264615	0.566972	0.0661565	0	0	0.431507	0.244518	0	0	0	0	0	0	0.230175	0.222676	0	0.0285964	0.215397	0.246109	0	0	0	0	0	0	0	0.285714
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.48a0264b-6e25-46c0-b33d-21ee41282ecb.fc.signal	0.437897	0.429148	0.536662	0.430396	0.167051	0.199225	0.218716	0.0151583	0	0.0168344	0.303755	0.520727	0.66306	0.489214	0.246819	0.346264	0.591187	0.389547	0	0	0.064964	0.415779	0.520808	0.297759	0	0.102255	0.081565	0.105905	0.259766	0.392275	0.290725	0.255916	0.0848704	0.060741	0.23675	0.288844	0.252643	0.164837	0.0489079	0.0497919	0.318076	0.210261	0.16241	0.0097446	0.200398	0.617498
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	0.276121	0.40204	0.00733653	0.0312662	0.258341	0.281415	0.129864	0.119996	0	0	0	0	0	0	0	0.158122	0.0575474	0.0966821	0.0500747	0.148271	0.156926	0.785481	0.664075	0.288282	0.680644	0.0425316	0.163038	0.680644	0.70901	0.340293	0.70901	0.70901	0.822937	0.393828	0.502172	0.35443	0.256962	0.394083	0.43248	0.314285	0.522265	0.0141772	0.344899	0.706634	0.488997	0.348416
