	chr11:74699092-74699151	chr11:74699152-74699241	chr11:74699242-74699291	chr11:74699292-74699341	chr11:74699342-74699391	chr11:74699392-74699431	chr11:74699432-74699481	chr11:74699482-74699541	chr11:74699542-74699691	chr11:74699692-74699771	chr11:74699772-74699841	chr11:74699842-74699991	chr11:74699992-74700141	chr11:74700142-74700291	chr11:74700292-74700401	chr11:74700402-74700411	chr11:74700412-74700441	chr11:74700442-74700521	chr11:74700522-74700591	chr11:74700592-74700611	chr11:74700612-74700651	chr11:74700652-74700691	chr11:74700692-74700721	chr11:74700722-74700741	chr11:74700742-74700751	chr11:74700752-74700791	chr11:74700792-74700801	chr11:74700802-74700891	chr11:74700892-74700901	chr11:74700902-74700931	chr11:74700932-74700961	chr11:74700962-74700991	chr11:74700992-74701001	chr11:74701002-74701041	chr11:74701042-74701081	chr11:74701082-74701141	chr11:74701142-74701191	chr11:74701192-74701341	chr11:74701342-74701491	chr11:74701492-74701641	chr11:74701642-74701701	chr11:74701702-74701741	chr11:74701742-74701791	chr11:74701792-74701861	chr11:74701862-74701941	chr11:74701942-74702091	chr11:74702092-74702241	chr11:74702242-74702321	chr11:74702322-74702391	chr11:74702392-74702461	chr11:74702462-74702471	chr11:74702472-74702521	chr11:74702522-74702541	chr11:74702542-74702591	chr11:74702592-74702691	chr11:74702692-74702841	chr11:74702842-74702901	chr11:74702902-74702991	chr11:74702992-74703011	chr11:74703012-74703141	chr11:74703142-74703161	chr11:74703162-74703171	chr11:74703172-74703231	chr11:74703232-74703241	chr11:74703242-74703291	chr11:74703292-74703391	chr11:74703392-74703441	chr11:74703442-74703491	chr11:74703492-74703521	chr11:74703522-74703591	chr11:74703592-74703611	chr11:74703612-74703741	chr11:74703742-74703831	chr11:74703832-74703891	chr11:74703892-74703911	chr11:74703912-74703991	chr11:74703992-74704041	chr11:74704042-74704146	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.377225	0.199814	0.021726	0	0	0	0	0.124374	0.547061	0.732186	0.671357	0.710587	0.717908	0.0227149	0.0414457	0.15423	0.15423	0.143453	0.323975	0.318529	0.348537	0.379024	0.502843	0.400222	0.205013	0.216983	0.182181	0.230455	0.28913	0.287065	0.321069	0.3888	0.4785	0.410726	0.34694	0.470861	0.706588	0.804169	0.640772	0.646784	0.558943	0.636925	0.676711	0.772275	0.632738	0.588586	0.117309	0.111036	0.257399	0.152182	0.117983	0.132174	0.228662	0.175882	0.396126	0.391063	0.209259	0.276634	0.24359	0.174171	0.190476	0.27216	0.411168	0.54204	0.539288	0.321416	0.0495476	0.229228	0.483292	0.580105	0.66601	0.654374	0.70368	0.84044	0.993097	1.30889	1.05395	0.952105	0.306931
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.132098	0.176571	0.241632	0.463418	0.468447	0.494081	0.43199	0.181425	0.366949	0.320473	0.123524	0.0209687	0.191206	0.290359	0.2712	0.103444	0.098802	0.00847862	0.0639153	0.271196	0.40651	0.613409	0.623723	0.62067	0.641871	0.531439	0.400651	0.128641	0.0753	0.124192	0.210282	0.408978	0.581649	0.605542	0.680154	0.639739	0.694051	0.407922	0.330117	0.487444	0.0628285	0	0	0.0436409	0.108651	0.449629	0.949839	0.645603	0.324723	0.0843634	0	0.0760832	0.211734	0.315131	0.340434	0.17077	0.17419	0.287081	0.406581	0.260496	0.10596	0.10558	0.0421773	0	0	0.0010478	0.198717	0.242289	0.313422	0.330266	0.234074	0.160678	0.146374	0.124733	0.208001	0.238622	0.281494	0.210859	0.396552
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004603.3.4c655c7c-8a8a-4e2d-a610-f4e47cf57813.fc.signal	0.018239	0.402562	0.575289	0.631198	0.362169	0.265605	0.0418416	0	0.0616401	0.415303	0.410554	0.720749	0.590213	0.615213	0.603441	0.35934	0.33793	0.32315	0.091214	0	0	0	0	0	0	0.0487785	0.276551	0.327376	0.285445	0.295877	0.324261	0.511456	0.64059	0.626774	0.630561	0.300651	0.0094122	0.282681	0.569706	0.532299	0.0637257	0.183115	0.498239	0.758497	0.339519	0	0.374753	0.700773	0.42861	0.258262	0.147524	0.189145	0.397067	0.417639	0.615957	0.662573	0.149931	0.0280117	0	0.092054	0.3236	0.39227	0.364464	0.20265	0.201532	0.162139	0.280701	0.857192	0.882677	0.884995	0.488663	0.433375	0.361713	0.491436	0.356105	0.480512	0.637388	0.541828	0.455696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.202129	0.174415	0.325694	0.378494	0.336067	0.283099	0.110492	0.035962	0.23992	0.44704	0.497624	0.211834	0.186602	0.255773	0.406247	0.58954	0.652915	0.654109	0.500138	0.309034	0.183634	0	0	0	0.028242	0.0938857	0.07966	0.0826652	0.11506	0.131053	0.266254	0.337746	0.287946	0.311112	0.311193	0.402083	0.458646	0.469133	0.584735	0.336455	0.207856	0.193008	0.150854	0.202175	0.4126	0.567039	0.608622	0.311954	0.215736	0.0211067	0	0.222671	0.483402	0.47019	0.818963	0.895172	0.932021	0.543781	0.593151	0.525815	0.550137	0.550245	0.816987	1.02942	1.15337	0.936434	0.89941	0.876237	0.58483	0.605378	0.539522	0.515491	0.741645	0.676835	0.634685	0.715133	0.575466	0.477627	0.343434
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001009.4.6c91eb19-cf51-4ff7-b713-f8f2fc326b1d.fc.signal	0.361088	0.492519	0.845546	0.96281	0.857467	0.758474	0.6649	0.333063	0.141732	0.88111	1.14592	0.395552	0.250605	0.172535	0	0	0.0329787	0.33216	0.326995	0	0	0.136312	0.18175	0.18175	0.18175	0.18175	0.18175	0.0888556	0.18175	0.18175	0.18175	0.18175	0.10905	0	0.104459	0.647941	0.897414	0.853352	0.709026	0.589643	0.175482	0.169487	0.18175	0.03635	0	0.148386	0.238018	0.633545	0.72903	0.500675	0.77266	1.16269	1.08994	1.03182	0.562203	0.645641	0.05936	0	0	0.217216	0.37088	0.37088	0.259293	0.222501	0.606493	0.59554	0.396565	0.622471	0.567745	0.525912	0.14215	0.344198	0.104565	0	0	0.119918	0.303033	0.378948	0.338583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.fc38d8a2-8f66-4203-ae35-4bfe2174aadb.fc.signal	0.108233	0.202396	0.205476	0.379452	0.402922	0.513755	0.615807	0.502405	0.239384	0.0663482	0.0809706	0.0396733	0.379523	0.597445	0.81058	0.745076	0.523509	0.16976	0	0	0	0	0	0	0	0	0	0.0652132	0.138848	0.136751	0.159	0.244448	0.259308	0.238899	0.300835	0.297523	0.262498	0.0814671	0	0	0	0	0	0	0	0	0.317418	0.454583	0.445056	0.41629	0.39344	0.408518	0.411319	0.26198	0.507431	0.492799	0.40062	0.421159	0.215999	0.0933573	0.153983	0.22432	0.232873	0.220872	0.335118	0.41604	0.478645	0.401234	0.25185	0.129247	0.0308025	0.109581	0.226094	0.171468	0.05175	0	0	0.0678635	0.264865
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004728.1.84110ecf-3acc-4ab9-918a-d46b0401ed1e.fc.signal	0.507657	0.338438	0.923671	0	1.02191	1.52297	0	0.917504	0.0393368	0	0.633696	0.164047	0	0.160541	0	3.85304	0	0	0.154461	1.52297	0	1.67048	0	2.43676	1.21838	0	3.14482	0	3.04594	0	3.05284	0.200891	5.39521	0	0	1.32451	0	0.0927987	0	0.513011	0.820989	0	1.50937	0	1.09694	0.384517	0.453622	0	1.6671	0	1.39788	0.023602	4.33462	0	0.871392	0	0.484107	0	1.44487	0	0	2.8604	0	2.84596	0	0	0	0	1.76809	0	0.954891	0	0.801033	0	1.15479	0	0.259425	0.188659	0.432778
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.e1dc7d2c-ad1c-431d-b26b-8d6d2c33cf69.fc.signal	0.199162	0.252692	0.31372	0.372546	0.404169	0.392914	0.361134	0.325974	0.387913	0.3118	0.265266	0.175514	0.165844	0.226556	0.278806	0.28262	0.290582	0.201118	0.115147	0.113972	0.0440418	0	0	0	0	0	0	0.0728028	0.22292	0.253952	0.288079	0.404199	0.45599	0.500658	0.596217	0.57818	0.46822	0.382186	0.34046	0.290758	0.21692	0.259362	0.276806	0.316456	0.211132	0.15543	0.0786715	0.175505	0.171042	0.126963	0.06597	0.058856	0.0480435	0.062648	0.0653288	0.0976331	0.181666	0.34436	0.367593	0.43745	0.459346	0.42707	0.363015	0.346294	0.309461	0.24451	0.15577	0.142935	0.161913	0.158363	0.124004	0.118194	0.0624082	0.123855	0.231398	0.262752	0.279826	0.246586	0.34375
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001014.4.c5ae491c-ef59-4b85-83e8-7c458c9d3645.fc.signal	0.290714	0.134824	0.0522384	0.114129	0.296873	0.366738	0.29962	0.162001	0.177294	0.0657303	0.00129157	0.621954	0.380173	0.225236	0.184739	0	0.12962	0.513019	0.452154	0.0372165	0	0	0	0	0	0.022245	0.1483	0.148216	0.147852	0.069196	0	0	0	0	0	0.164838	0.191018	0.161722	0.125161	0.581743	0.410712	0.145593	0.146179	0.0439971	0	0	0.202121	0.353718	0.24366	0.415747	0.413434	0.322128	0.112392	0.104845	0.0515255	0.0723249	0.202257	0.124564	0	0.156038	0.403209	0.504101	0.536949	0.567586	0.551989	0.641947	0.600776	0.266373	0.0936263	0.339154	0.532555	0.596413	0.416897	0.369542	0.27941	0.285371	0.336065	0.148845	0.3125
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.ee2442de-4362-4f9f-9331-9ed79b0e0f3c.fc.signal	0.244368	0.249601	0.26221	0.326259	0.26311	0.164444	0	0.236209	0.264408	0.0857055	0.505297	0.345995	0.468394	0.51492	0.0919208	0.245853	0.244198	0.192622	0.240917	0.239917	0.14419	0.05997	0.232842	0.22447	0.1749	0.235021	0.26235	0.232353	0.048824	0	0	0	0	0	0	0	0	0	0.150458	0.108933	0.0303972	0	0	0	0	0.341641	0.926989	0.730044	0.461537	0.29136	0.46086	0.440663	0.198692	0.066462	0.0629192	0.0845061	0.288045	0.380684	0.113866	0.063215	0.240612	0.23327	0.206617	0.097541	0.185473	0.378207	0.0953256	0.253716	0.629333	0.724169	0.54768	0.44011	0.363232	0.061115	0.179266	0.206421	0.0795784	0	0.311178
