	chr9:143602-143751	chr9:143752-143901	chr9:143902-144051	chr9:144052-144201	chr9:144202-144351	chr9:144352-144411	chr9:144412-144481	chr9:144482-144501	chr9:144502-144651	chr9:144652-144721	chr9:144722-144801	chr9:144802-144951	chr9:144952-145041	chr9:145042-145101	chr9:145102-145181	chr9:145182-145251	chr9:145252-145281	chr9:145282-145401	chr9:145402-145431	chr9:145432-145521	chr9:145522-145551	chr9:145552-145701	chr9:145702-145751	chr9:145752-145851	chr9:145852-145971	chr9:145972-146001	chr9:146002-146091	chr9:146092-146151	chr9:146152-146301	chr9:146302-146391	chr9:146392-146451	chr9:146452-146541	chr9:146542-146601	chr9:146602-146641	chr9:146642-146751	chr9:146752-146831	chr9:146832-146901	chr9:146902-147051	chr9:147052-147161	chr9:147162-147201	chr9:147202-147251	chr9:147252-147351	chr9:147352-147471	chr9:147472-147501	chr9:147502-147591	chr9:147592-147651	chr9:147652-147801	chr9:147802-147951	chr9:147952-148031	chr9:148032-148101	chr9:148102-148151	chr9:148152-148251	chr9:148252-148291	chr9:148292-148311	chr9:148312-148401	chr9:148402-148421	chr9:148422-148551	chr9:148552-148658	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0	0	0	0	0	0.135462	0.44104	0.230811	0	0	0	0	0	0	0	0	0	0	0	0.0735067	0.536743	0.436735	0.0132312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447835	0.403089	0.211265	0.0689125	0	0	0	0	0	0	0	0	0	0.350573
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000016.3.9c54dc88-50cd-4207-80de-15a482501404.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0468556	0.63894	0.63894	0.127788	0	0	0	0.396143	1.12169	0.660238	0.404662	0	0	0	0	0	0.10649	0.63894	0.63894	0.127788	0	0	0	0.156185	0.63894	0.438739	0	0	0	0	0	0	0	0	0	0	0	0.541818
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0220335	0.640504	0.467145	0	0	0	0	0	0	0	0	0	0	0.367906
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.cb67fdb1-74f3-48c8-aeff-9cfba1ceca46.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462129	0.42912	0	0	0	0	0	0.440123	0.275077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22488
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176594	0.915812	0.572194	0.0514647	0.4541	0.116769	0	0	0	0	0	0	0	0	0.594979
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.37e46e69-fcc7-4b78-84e3-84d20f000766.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333087
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.35d5a8b6-1eb5-4bfe-b35b-6d956f6f9ff2.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202862	0.22188	0.194145	0.22188	0.00246533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.563866	0.159422	0	0	0	0	0	0	0	0.288553	0.313666	0.146996	0	0	0	0	0	0	0	0	0	0.939007
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153282	0.18186	0.118209	0.18186	0.107095	0	0	0	0	0	0	0.054558	0.278847	0.158822	0	0	0	0	0	0.0859702	0.165947	0.202641	0.465554	0.247987	0.0591045	0	0	0	0	0	0	0.106691	0.196408	0	0	0	0	0	0	0	0	0	0	0.18808
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15049	0.259209	0.255105	0.0310374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335869	0.653129
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42467	0.471856	0	0	0	0	0.124092	0.75834	0.455004	0	0	0	0	0	0	0	0	0	0.485338	0.222446	0	0	0	0	0	0	0	0	0	0	0.146625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.1f07a69f-5385-434d-9868-2041e2fec782.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092145	0.205177	0.18429	0.0147432	0	0	0	0	0	0	0	0	0	0	0	0	0.174489	0.534335	0.232872	0	0	0	0	0	0	0.138218	0.53445	0.245723	0.092145	0	0	0	0	0	0	0	0	0	0.929167
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.b7155ae3-84c0-47e8-9535-8c807cc3903c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115212	0.990778	0	0	0	0	0	0	0	0	0	0	0	0.211817
