	chr18:30991954-30992103	chr18:30992104-30992253	chr18:30992254-30992403	chr18:30992404-30992553	chr18:30992554-30992653	chr18:30992654-30992703	chr18:30992704-30992743	chr18:30992744-30992853	chr18:30992854-30993003	chr18:30993004-30993153	chr18:30993154-30993303	chr18:30993304-30993453	chr18:30993454-30993603	chr18:30993604-30993663	chr18:30993664-30993753	chr18:30993754-30993903	chr18:30993904-30993983	chr18:30993984-30994053	chr18:30994054-30994203	chr18:30994204-30994353	chr18:30994354-30994503	chr18:30994504-30994653	chr18:30994654-30994803	chr18:30994804-30994953	chr18:30994954-30995103	chr18:30995104-30995253	chr18:30995254-30995403	chr18:30995404-30995553	chr18:30995554-30995703	chr18:30995704-30995853	chr18:30995854-30995973	chr18:30995974-30996003	chr18:30996004-30996153	chr18:30996154-30996303	chr18:30996304-30996453	chr18:30996454-30996603	chr18:30996604-30996753	chr18:30996754-30996903	chr18:30996904-30996996	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0.0654761	0.380751	0.201722	0.264433	0	0	0	0	0.429004	0.588881	0.128233	0	0	0	0	0	0	0.141323	0.115567	0	0	0.148621	0.138148	0	0	0	0.171093	0.425347	0.160556	0.168201	0	0	0	0	0	0	0.0119353	0.249642	0.451089
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0	0.0503115	0.633505	1.1212	0.583571	0.216139	0.270135	0.552578	0.46727	0.43776	0.429369	0.449545	0.632737	1.38043	1.83502	0.782114	0.170885	0.359482	0.586382	0.739768	0.369496	0.416783	0.345863	0.393401	0.248287	0.619912	0.624305	0.235152	0.242493	0.00951027	0.0731366	0.137591	0.494079	0.837009	0.170583	0.298078	1.12373	0.700916	0.176002	0.367521
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.ca485291-98be-4da7-8667-33d3bd0f55ac.fc.signal	0.188553	0.714473	1.04121	0.617419	0.819477	0.788132	0.5118	0.421746	0.215207	0.310441	0.318947	0.129605	0	0	0	0	0	0	0	0	0	0	0.273716	0.163677	0.696621	1.69035	0.931394	0.354841	0.172191	0.63725	0.695127	0	0	0	0	0	0	0.0457513	0.245227	0.214863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0	0.498606	0.790339	0.926483	0.0932442	0	0	0.742974	1.5179	0.281191	2.81038	2.81119	1.78578	0	0.197655	1.10918	1.59568	2.00296	0.334851	0	0	0.606893	1.62531	0	0.221765	0.223582	0.665077	0.0329891	0	0	0	0	0	0.809224	0.306947	0	0.0627846	1.0014	0.0101348	0.428387
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.7dbee8a8-9cc7-46ce-85e2-59b2468157be.fc.signal	0.374006	0.0097702	0.509093	1.07763	0.773493	0.921019	1.22677	0.654276	0.9487	0.319868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0581579	0.632467	0.269871	0.485849	0.483437	0.312599	0.277159	0	0.0872368	0.574309	0.210822	0	0.167204	1.00686	0.322448	0.423421
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.6300cfe8-bf7c-4c50-b350-9885c462045f.fc.signal	0	0.27436	0.74828	0.713354	0.74828	0.329195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12396	1.11586	0.819902	0	0	0	0	0	0.506308	0.618557	0.0473835	0	0.187582	0.485961	0.232851	0.451588
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.a0cc4058-35e9-4651-8cca-631ead3cc726.fc.signal	0.428486	0.181833	0	0	0.458716	0.702563	0.241387	0	0	0	0.127744	0.13301	0	0	0	0	0	0	0	0	0	0	0	0.193956	0.0331388	0	0	0.225146	0.0662705	0	0	0	0	0	0	0	0	0.0399756	0.245472	0.475524
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.69848b5e-1d71-4ca5-a68d-b2c1db7d8201.fc.signal	0	0.788134	1.02967	1.61745	3.55581	2.28623	0	0.44205	0.1025	0	2.15142	1.11965	0	0	0	0	0	0	0	2.04301	0.105543	0	0	0.0849231	2.1213	2.29015	0.316566	0	0.304668	1.01893	0.79157	0	0	0	0	0	0	0.972347	1.59379	0.115549
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.e7144f2b-c79b-4aad-950f-07ae1b5e1dad.fc.signal	0	0	0	0.246147	0.0367309	0.0042108	0.420946	0.267432	0.171847	0.396292	0.496811	0.222704	0.33766	0.0782727	0.112104	0.46864	0.465766	0.25625	0.00571253	0	0	0.039618	0.162405	0.0518096	0.408184	0.336948	0.190911	0.0503709	0.142681	0.112504	0	0	0.00563227	0.304939	0	0	0.143291	0.13562	0.14947	0.407252
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.1a9690ca-63a1-4ea3-8dc4-24421ed40248.fc.signal	1.66893	1.2394	0.871974	1.37682	0.934887	0.38638	0.2221	0.573334	0.4441	0.0680953	0	0	0	0	0	0	0	0	0	0	0	0	0	0.543317	2.59225	2.69141	0.568505	0	0.592191	1.31167	0.618073	0	0	0	0	0	0.0459007	0.41598	0.434552	0.545947
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.8871bb3d-7ee4-4151-b7f6-e200809c7bd1.fc.signal	0.105598	0.22547	0.960928	0.682645	0.380009	0.502704	0.347172	0.0861995	0.248136	0.21437	0.461043	0.579038	0.208302	0	0	0.11772	0.267706	0.160836	0.212331	0.389783	0.223658	0.409152	0.218055	0.032544	0.150157	0.520266	0.517728	0.245343	0.318369	0.71256	0.493991	0.280653	0.368069	0.527728	0.831027	1.41669	0.439227	0.327577	0.163645	0.550301
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5433b540-f9ea-4edf-8a0e-cdc2c654fa20.fc.signal	0.566067	0.968475	0.853874	0.916407	1.51898	0.580818	0.44678	0.309113	0.392377	0.0178712	0	0	0.203538	1.10704	1.50449	0.166743	0	0	0.741681	0.464677	1.46534	0.963629	0	0	0	0.130292	1.13823	0.981707	1.0072	0.0600534	0.950104	1.00385	0.245864	0.42178	0.760698	0	0.78543	0.410366	0	0.5
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.a034ee31-90a4-46ec-8ae3-50525e7d309a.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.429864
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004884.1.04b53f1e-ede2-4352-b282-8fd62b69ea23.fc.signal	0.464731	0	0	0	0	0	0	0	0.899285	1.13948	0.637223	0	0	0	0.130768	1.50894	1.60703	0.581991	0.673934	0.639759	0	0	0.289702	0.939229	0.577583	0.491173	0.065812	0.570481	0.206617	0	0	0	0	0.205206	0.90532	0.247454	0	1.39425	1.64524	0.392727
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.f473421b-0068-43e9-8689-afd1d3e0454e.fc.signal	0.169119	0.595416	0.520966	0.0318786	0.293662	0.273244	0.264966	0.221208	0.859232	0.149248	0.234143	0	0	0	0	0	0	0	0	0	0	0	0.0253628	0.354366	0.337053	0.0296593	0.270404	0.0732529	0	0.206463	0.258078	0	0	0	0	0	0	0	0	0.407061
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.e1dc7d2c-ad1c-431d-b26b-8d6d2c33cf69.fc.signal	0.94934	1.09964	2.55237	3.37774	1.86954	0.96127	0.783117	0.66297	0.385621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253006	1.22427	2.05959	1.3184	0.225577	0.312123	0.329102	0.311309	0.37156	0.466397	0.0580327	0	0	0.340579	1.0728	1.12819	0.490411
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000969.7.e51e6c81-760c-43e7-86ae-cbe3dc54eb4c.fc.signal	0.342921	0.665932	0.953342	0.386216	0.269838	0.55113	0.124004	0	0.426329	0.671334	0.960198	0.0565833	0	0	0	0	0	0	0.772592	1.96647	0.0702372	0	0.702372	0	0.0738308	0.25857	0.387016	0	0.68806	0	0	0	0	0	0	0	0	0.787997	2.10515	0.121918
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.b3e823f8-bdfb-415e-8681-ed2acdcbeb38.fc.signal	0.0680307	0.0654992	0.508546	0.604202	0.721596	0	0	0.0845004	0.623714	0.0130279	0.483902	0.372079	0	0	0	0	0	0.183455	0.215891	0.843102	0.139586	0	0.439233	0.210311	0.263229	1.24771	0.832303	0.46428	0.200669	1.13586	1.34846	0	0	0	0	0	0.150752	0.936163	0.292028	0.297101
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004609.2.3aca4661-f677-47cf-b2b4-9335fbd4c1a8.fc.signal	0.469923	0.144619	1.08604	0.510201	0.300242	0.192168	0.366129	0.915355	1.33514	0.636448	0.564297	0.555258	0.994869	0.448721	0.27729	0.23736	0.317901	0.355521	0.349323	0.682381	0.61329	0.241758	0.310184	0.0522351	0.204116	0.539197	0.249823	0.888609	0.463536	0.179656	0.526953	0	0	0	0	0.235018	0.0787005	0.0327385	0.233285	0.468031
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.a3994b5d-df9e-4d2b-8d1f-2a68f9eea142.fc.signal	0.446386	0.83778	0.548354	1.70801	2.34752	0.347643	0.113605	2.54786	1.80683	0.769875	0.44801	0.184635	0	0	1.15054	0.484593	0.634877	2.05871	0.604452	1.48365	0.394663	0	0.794385	0.457831	0.0461845	1.21899	2.0742	1.16887	0.780476	0.631947	0.796168	0	0.586601	0.545603	0.143214	1.91407	0.379109	0.27516	0.394495	0.615385
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001888.4.30f2e2fa-2f52-48ca-a898-c1b357672427.fc.signal	0	0	1.84517	0.52203	0.528976	0	0	0.435233	0.845549	0.317576	0.32654	1.02008	0	0	1.74168	0	0	0	0	0	0	0	1.09051	0	0	0	0.81053	1.61911	0.332329	0	1.3208	0	0	0	0.606642	0.473219	0	0	0	0.437079
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.c8287f3a-ec01-4e9b-9790-466f356c7045.fc.signal	0.37112	0.166454	0.950906	0.852112	1.39854	0.785668	0.287221	0.327337	0.245385	0.309617	0.128348	0	0.180598	0.438964	0.380024	0.0815718	0	0	0	0	0	0.0457668	0.231021	0.0312724	0.0830015	0.240611	0.306822	0.447436	0.214164	0.218748	0.140004	0.274415	0.41916	0.0915475	0.0982259	0.329405	0.237915	0.274168	0.461011	0.441176
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.2df51237-5ee8-4df1-9b35-852de3df9810.fc.signal	0.883912	0.13688	0.440267	0.639222	0.714143	0.576626	0.29934	0.409488	0.700392	1.13138	1.37961	1.06715	0.97039	1.21921	1.21811	0.749794	1.11063	1.34859	0.695713	0.973428	0.527831	1.00078	0.61095	1.05145	1.60033	1.10174	0.356339	0.514599	0.932106	1.45193	0.573712	0.568737	0.772221	0.658504	0.897491	1.5063	0.93659	0.632085	0.913319	0.417468
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.9cc24acd-6188-40e5-bad4-b78f8ccb0b3a.fc.signal	0.199095	0.631174	0.999809	1.12159	0.377031	0.0303568	0.02379	0.581807	0.609264	0.330947	0.087808	1.06246	0.241456	0.323783	0.9999	1.60139	0.63541	0.108927	0	0	0	0.646801	1.26769	0.244457	0	0.686846	0.835665	0.183158	0.574847	0.787895	1.60085	1.01318	0.448974	0.362822	0	0.498768	0.431311	0.0996944	0.45439	0.47619
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.e09563f2-ad32-412b-91d3-8f5c1229dde6.fc.signal	0.0262405	0.527339	0.555047	0.765959	0.831404	0.575171	0.500837	0.538079	0.846901	0.57138	0.687643	1.30972	1.08378	0.859646	1.22572	1.09781	1.49092	1.86209	1.60821	0.642461	0.280047	0.742502	0.791367	0.759808	0.549891	0.303786	0.889646	1.25489	1.20936	1.0221	0.221161	0.263353	0.860757	1.01322	1.01313	1.27626	0.476807	1.18128	1.59118	0.413934
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.2d49fd2f-74c0-448e-a30b-e44db7e3a5ff.fc.signal	0.120895	0.103028	0.121878	0.984461	0.750605	0.346645	0.132824	0.234575	1.27568	0.505738	1.62543	0.242152	0	0.418355	0.365277	0.180647	0	0	0.353877	1.09057	0	0	0.861759	0.25997	0.246236	1.61599	0.906985	0.279878	0.462556	0.0736427	0.244782	0.53407	0.0712093	0.373849	0	0	0	0.128875	0.89564	0.558824
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004606.2.9b49aaf7-72bf-4817-8334-370db5ccd844.fc.signal	0.166008	0.100923	0.721519	0.448319	0.872242	0.671614	0.0783523	0.135381	0.193324	0.152419	0.723423	0.513961	0.163546	0.31707	0.463033	0.010798	0.415203	0.539569	0.13884	0.198696	0.44611	0.80938	0.4337	0.0088998	0.109138	0.174387	0.297255	1.46338	0.664245	0.777464	0.355307	0	0.340881	1.16086	0.451795	0.381076	0.0936866	0.487315	0.499892	0.424809
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004616.1.e6e5588b-fe96-4b91-9008-3b9e9024c855.fc.signal	0	0.245585	1.59777	1.34661	0.971506	0.680956	0.467736	0.438412	1.00673	0.831037	0.235295	0.185406	0.425298	0.78798	0.87351	0.293255	0.219243	0.34859	0.169636	0.223063	0.494253	0.696047	0.555136	0.435862	0.449079	0.552052	0.55671	0.932631	0.533498	0.619031	0.280836	0	0.215347	0.356339	0.591866	0.621301	0.299006	0.697997	0.77344	0.208955
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001962.2.6ff00d21-c2de-48d7-8406-d314ad572f14.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265129	0.26457	0.200277	0	0	0	0	0	0.26573	0.0902156	0.175481	0.194208	0	0.138362	0.0746711	0.26534	0.079602	0	0	0	0	0	0	0.563725
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7414bb41-cf54-40da-9950-d1fdfeffed2f.fc.signal	0.408932	0.795444	1.34783	0.939308	0.704403	0.549914	0.366778	0.383811	0.725225	0.949588	1.0792	1.25587	1.17554	0.912611	0.801633	0.76052	0.802456	0.785234	0.801622	0.715052	0.407703	0.808977	0.878023	0.517469	0.669597	0.680611	1.04874	1.15751	0.569842	0.413146	0.171958	0.00782867	0.131775	0.318889	0.458888	0.640961	0.588765	0.623246	0.351916	0.451761
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001964.2.daf2ffe6-6c5e-4ab8-9f88-8a9b4df4d380.fc.signal	0	0.188898	0.175641	0	0	0	0	0.186832	0.200894	0	0	0	0.105616	0.398017	0.172611	0.161506	0.198711	0	0	0.167859	0.53085	0	0.115014	0.153268	0.0324729	0.308926	0.314121	0.0490442	0.443471	0.641482	0.00648925	0	0.027518	0.268461	0.0178832	0	0.04252	0.1674	0.172086	0.444763
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.803d7f5d-192e-4b5b-9ea2-f9b8994e9342.fc.signal	0.214548	0.0212704	0.0479518	0.22732	0.275743	0.197443	0.115227	0.0259818	0.0425473	0.204669	0.379932	0.33578	0.24047	0.582734	0.741491	0.447702	0.449178	0.662003	0.794524	0.388016	0.0236708	0.0195767	0.122362	0.143493	0.216178	0.209495	0.242633	0.576327	0.294934	0.0083232	0.217322	0.27743	0.367213	0.560539	0.432885	0.539247	0.826878	0.717755	0.769781	0.360902
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.53bb9a01-f358-4483-9142-27b2e32f31f6.fc.signal	0	0	0.0901781	0.523396	0.270775	0	0	0.368221	0.317689	0.261721	0	0	0	0	0	0	0	0	0	0.219818	0.28705	0.16595	0.258767	0.0519841	0	0	0.337333	0.0424436	0.368739	0.337364	0.0408637	0	0	0	0	0	0	0	0.139845	0.425647
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.792a7453-f3de-4e03-b55b-6ed6dc280947.fc.signal	0.0406037	0.245163	0	0	0	0	0.0470458	0.345265	0.317307	0.0960993	0	0.135865	0.128071	0.172525	0.269371	0.00168107	0.0711385	0.324568	0.0712213	0	0.198719	0.0548535	0.183471	0.193991	0.161819	0.136819	0.283584	0.139289	0	0	0	0	0	0.110942	0.0596774	0.0477187	0.0521702	0.212015	0	0.427944
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001050.8.5efb4e46-177f-4d3d-96a6-19f7c95acfd8.fc.signal	0.0600418	0.0588011	1.5293	0.811989	1.05632	0.564719	0	0.436475	0.897341	0.369365	0.634865	0.523633	0.515376	0.249639	0.181958	0	0	0	0.827732	0.754534	0.323205	0.488187	1.39024	0.338278	0.260627	0.897875	0.46072	0.713774	0.117555	0.410665	0.0288493	0.390024	0.176673	0.167648	0.481944	0.043585	0.0581613	0.50573	1.84578	0.465217
