	chr8:48728848-48728997	chr8:48728998-48729147	chr8:48729148-48729297	chr8:48729298-48729447	chr8:48729448-48729547	chr8:48729548-48729587	chr8:48729588-48729597	chr8:48729598-48729617	chr8:48729618-48729677	chr8:48729678-48729747	chr8:48729748-48729897	chr8:48729898-48730047	chr8:48730048-48730137	chr8:48730138-48730197	chr8:48730198-48730217	chr8:48730218-48730267	chr8:48730268-48730277	chr8:48730278-48730347	chr8:48730348-48730497	chr8:48730498-48730587	chr8:48730588-48730597	chr8:48730598-48730647	chr8:48730648-48730667	chr8:48730668-48730767	chr8:48730768-48730777	chr8:48730778-48730797	chr8:48730798-48730827	chr8:48730828-48730897	chr8:48730898-48730917	chr8:48730918-48730947	chr8:48730948-48730977	chr8:48730978-48731047	chr8:48731048-48731057	chr8:48731058-48731097	chr8:48731098-48731127	chr8:48731128-48731197	chr8:48731198-48731247	chr8:48731248-48731397	chr8:48731398-48731487	chr8:48731488-48731547	chr8:48731548-48731677	chr8:48731678-48731697	chr8:48731698-48731847	chr8:48731848-48731997	chr8:48731998-48732147	chr8:48732148-48732297	chr8:48732298-48732447	chr8:48732448-48732597	chr8:48732598-48732677	chr8:48732678-48732747	chr8:48732748-48732897	chr8:48732898-48733047	chr8:48733048-48733197	chr8:48733198-48733267	chr8:48733268-48733347	chr8:48733348-48733497	chr8:48733498-48733567	chr8:48733568-48733647	chr8:48733648-48733797	chr8:48733798-48733887	chr8:48733888-48733947	chr8:48733948-48733967	chr8:48733968-48734003	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.7242	1.08098	0.426462	0.95027	1.33853	0.947654	0.78976	0.908191	1.80976	1.87275	1.92561	1.09595	1.44556	0.954248	1.30299	2.43229	2.72446	2.60177	1.91622	0.713468	0.78976	0.78976	0.774086	0.566828	0	0	0.2483	0.29796	0.442677	0.63845	1.07056	1.39751	1.20101	1.07713	1.42473	0.642593	0.313279	0.499186	2.12528	2.64964	1.3349	0.25699	0.396788	1.58869	1.79019	2.19215	1.35645	0.415735	0.414212	0.574595	1.48047	2.63275	2.69466	1.20553	0.969991	0.711718	0.637312	0.608019	1.36642	2.0511	1.97597	1.89269	1.40021	0.284946
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.576469	0.771693	1.1339	0.95638	1.0421	0.964689	0.91333	0.903877	0.547086	0.0208777	0.357272	0.466018	0.5079	0.634573	0.524737	0.307768	0.25575	0.304154	0.175864	1.13126	1.62198	2.25123	2.27069	1.80035	0.97313	0.966722	0.372931	0	0	0.194652	0.305661	0.310054	0.395725	0.36529	0.340938	0.514712	1.12044	1.63455	0.900282	0.549679	1.36791	2.06329	2.18217	1.74707	1.47304	0.738893	1.02319	0.877977	1.0274	1.10079	1.8811	2.99183	2.95533	2.81373	2.15354	3.0196	2.48673	1.09012	0.776543	1.03599	1.21621	1.50357	1.99203	0.498127
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	1.08872	0.978547	1.177	2.14525	1.97193	1.22786	0.885648	0.641967	0.390395	0.651529	0.887426	0.504618	0.608019	0.344331	0.372578	0.430261	0.414594	0.81613	1.07497	0.57381	0.36912	0.425619	0.491438	0.4507	0.494974	0.49541	0.319851	0.124934	0.037569	0	0	0	0	0.062308	0.144802	0.412075	1.00192	1.93839	1.59222	1.10989	1.57273	1.94476	1.33064	0.418596	1.14485	2.01165	1.83061	1.42559	2.52062	3.07155	1.6648	2.02835	4.58577	3.74056	2.74216	3.50492	2.57774	1.18218	1.38368	1.09849	0.536104	0.389925	0.365516	0.837662
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.628214	0.657696	1.40862	1.18176	0.990761	0.898049	0.84387	0.309419	0.24322	0.21668	0.640789	1.62399	1.59399	1.32207	1.12516	0.787612	0.84387	0.847888	1.07078	1.6565	1.96904	1.53672	1.30819	1.4371	1.65242	1.49085	1.2283	0.940312	0.84387	0.656343	0.506322	0.405861	0.805102	0.742104	0.43335	0.649695	1.10072	1.93517	1.5596	0.998579	1.4519	1.50491	1.3952	0.734923	1.05219	1.42521	2.99055	0.995264	1.41701	2.94954	4.81936	5.66509	3.99797	3.79732	3.09419	1.53138	1.27684	1.11994	1.16156	0.516081	0.375053	0.548515	0.263667	0.268293
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	1.71399	1.10917	1.08606	1.82178	2.99259	1.63311	1.02598	1.36807	1.04882	1.12861	0.524399	1.03515	0.978865	0.418398	0.286461	0.386062	0.34194	0.291505	0.181103	0.395088	0.68403	0.68403	0.68403	0.848173	0.68403	0.68403	0.68403	0.47881	0	0	0	0	0	0	0.034194	0.351714	0.841327	1.8081	1.37563	0.347641	1.04177	1.71001	2.11819	2.92763	2.05435	1.0967	2.0373	0.941202	1.43351	1.78363	1.97673	0.794828	1.80483	3.70421	3.21589	0.823207	0.48605	0.782341	0.950923	0.665104	0.9982	1.36807	1.89059	0.512
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.1a9690ca-63a1-4ea3-8dc4-24421ed40248.fc.signal	0	0	0.709139	1.74246	1.02372	0.2221	0.06663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494781
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.626132	0.75963	0.710592	1.20025	0.736308	0.47891	0.34394	0.0961545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.439012	0.424618	0	0	0	0.372419	1.49504	0.723248	0	0	0	0	0	0	0	0	0	0	0.668966
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	0.937681	0.580503	1.9984	2.0445	1.77055	1.15779	0.74295	0.631526	1.09544	1.02738	0.604011	0.876594	0.404156	0.467772	0.82547	0.99055	0.99057	1.01107	0.458177	0.265672	0.506078	0.746264	1.00736	1.79136	1.72789	1.57343	1.37584	0.678999	0	0	0	0.419772	0.61151	0.527437	0.24767	0.485879	0.776014	1.39171	0.899027	0.622099	0.727963	1.03327	1.04127	0.454373	0.119777	1.18862	2.00945	1.02955	1.33482	2.01201	1.78105	2.54166	1.66814	1.06846	1.81075	1.79811	1.67283	0.836465	1.8308	2.88116	2.19221	1.73865	1.44797	0.464435
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.8871bb3d-7ee4-4151-b7f6-e200809c7bd1.fc.signal	0.560384	0.195751	0.109229	0.469065	0.496386	0.287373	0.157096	0.0936765	0.281005	0.948811	0.905939	0.624851	0.481846	0.169959	0.113814	0.103701	0.118296	0.319261	0.420505	0.221361	0.20445	0.362679	0.415302	0.378498	0.41384	0.28541	0.142704	0	0	0	0.0237833	0.275216	0.28541	0.488758	0.589837	0.676816	0.556992	1.02149	1.02835	0.475937	0.355225	0.55974	0.474337	0.622832	0.734932	0.591997	0.817224	0.812487	1.48246	2.0894	0.958982	0.523696	0.704063	0.638188	0.602774	1.03641	0.829836	0.131427	0.366273	0.612034	0.554162	0.392435	0.28541	0.713244
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0.431837	1.11349	1.29035	1.22174	1.25019	0.503152	0	0	0.259448	0.551123	0.955129	0.180444	0.13827	0.116152	0.23135	0.270968	0.363226	0.403627	0.516053	0.739676	1.16112	1.53268	1.79974	1.71846	1.16112	0.909544	0.9676	0.724318	0.657968	0.980501	1.30303	1.2717	1.16112	1.07404	0.657968	0.680085	0.975341	1.45269	0.58056	0.19352	0.398397	1.09889	2.15929	1.8965	0.962439	1.23337	2.86661	1.51204	0.82246	0.696672	1.58686	0.795569	2.14382	1.82313	0.714522	0.461547	1.03704	1.50429	2.63557	1.918	0.430341	0.28917	0.503374	0.298507
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004728.1.84110ecf-3acc-4ab9-918a-d46b0401ed1e.fc.signal	0.773353	0.321073	1.12014	1.01531	0	0	6.09189	1.52297	0.0983417	0.87027	0.609189	0.949824	0	0	3.04594	0	3.04594	0	1.0874	0	3.04594	0	1.52297	0	3.04594	0	0	0	1.52297	0	0	0	3.04594	0	1.01531	0	0	0.419899	1.13545	0.262068	0.513996	2.5875	0.378796	0.501048	0.258487	0.687011	0.920623	0.445033	0.481742	2.44704	0.440249	0.609189	1.12014	2.17567	0	0.406126	0.87027	0	0	0.338438	0	1.52297	0	0.814159
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f19b01fb-285f-4aa3-a654-49a7198b9c00.fc.signal	0.641785	2.29424	2.97931	2.28106	0.553328	0.28231	0	0	0	0.133089	0.28231	0.246551	0.28231	0.263489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0713053	0.26775	0.594943	0.970499	0.524192	0	0	0	0	0	0.234065	0.610401	0.483654	0.271479	0	0	0.500293	2.18976	2.13526	0.722886	0.03514	0	0	0	0	0.159301	0.538813	0.56224	0.56224	0.763975
