	chr18:670576-670725	chr18:670726-670875	chr18:670876-671025	chr18:671026-671175	chr18:671176-671325	chr18:671326-671415	chr18:671416-671475	chr18:671476-671625	chr18:671626-671775	chr18:671776-671925	chr18:671926-672075	chr18:672076-672125	chr18:672126-672135	chr18:672136-672225	chr18:672226-672375	chr18:672376-672525	chr18:672526-672675	chr18:672676-672825	chr18:672826-672975	chr18:672976-673125	chr18:673126-673275	chr18:673276-673425	chr18:673426-673575	chr18:673576-673725	chr18:673726-673875	chr18:673876-674025	chr18:674026-674175	chr18:674176-674325	chr18:674326-674475	chr18:674476-674625	chr18:674626-674775	chr18:674776-674925	chr18:674926-675075	chr18:675076-675225	chr18:675226-675375	chr18:675376-675525	chr18:675526-675675	chr18:675676-675825	chr18:675826-675975	chr18:675976-676125	chr18:676126-676275	chr18:676276-676425	chr18:676426-676575	chr18:676576-676661	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.512592	0.547333	0.136547	0.775795	0.954997	0.00303133	0	0	0.261089	0.972498	0.573016	0.202854	0.10718	0.113107	0.124612	0.376632	0.748942	0.846408	0.485122	0.38028	0.535398	0.319932	0.244736	0.222992	0.204698	0.502697	0.0649302	0	0	0.0687295	0.336386	0.430902	0.184076	0.803124	0.235886	0.344591	0.40711	0.0670572	0.293182	0.122468	0	0	0.13364	0.363729	0.766667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	1.04663	1.34857	1.17018	0.858742	0.542406	0.610811	2.56371	0.663576	0.675974	0.154744	0.483113	0.250984	0	0.560649	0.466071	0.729321	0.39959	0.730229	0.366487	0.688068	0.366487	0.366487	0	0.366487	0	0	0	0	0.0407453	0	0.183243	0.427583	0.219892	0.646095	0	0	0.280003	0.504977	0	0	0.126244	0.2362	0.364527	0.29564	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0.335097	0.68136	0.0701472	0.50827	0.411821	0.794234	0.716313	1.79041	0.739452	0	0	0.489234	0.8415	0.79215	0.760361	0.51476	0	0.826526	0.06171	0	0.158274	0.748422	0.803349	1.18642	0.118107	0.877275	0	0	0	0	0.567902	0.220032	0.907712	0.80231	1.49144	0.502663	0	0	0.850881	0.133499	1.12235	0.926794	0.65785	0.62502	0.475275
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000972.6.767f330d-c515-40cb-be8a-255001f91f74.fc.signal	0	2.31884	1.52957	0	0.267165	1.10151	0.019997	0.0825929	1.62305	0	0	0	0	0.545057	0.877808	0	0.597284	0.786663	0	0	0	0	0	0	0	0	0	0.209423	0.935496	0	0	0	0	0.507587	2.78141	1.24676	0.25175	0.820712	2.35703	0	0.889171	5.07944	0.585745	0	0.144828
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.871bc941-52a9-4d1e-aec3-c4c2ce7bd4c1.fc.signal	0	0	0	0	0	0	0	0	0	0	0.0862327	0.324602	0.4705	0.45665	0.174451	0.404295	0.12312	0	0	0.0599371	0.397034	0.0839977	0	0	0	0	0	0	0.115193	0.280448	0.0821597	0	0	0	0.139578	0.209646	0.0038264	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.aff67f26-7ea5-4004-b6c7-42e5d6d7c336.fc.signal	1.9255	2.29646	0.244398	0.262539	0.306158	1.27058	1.25268	0.746921	0.583021	0.15866	0.807245	0.458035	0	0	0.339992	0.653614	0.613929	0.988167	1.16844	0.37726	0.31184	0.0331093	0	0	0.237921	0.101136	0	0.211651	0.441274	0	0	0	0.305308	1.17288	1.21234	0.558466	0.0822107	0	0.391854	0.339545	0.758603	1.01802	1.01425	0.484357	0.209091
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.09140551-847e-4455-880b-7ea02a3132da.fc.signal	0.34679	0.807773	1.06019	0.783012	0.494293	0.347158	0.201333	0.520947	0.208315	0.235211	0.238578	0.297126	0.4395	0.607197	0.959846	0.729821	0.453484	0.402668	0.393446	0.969761	1.49939	0.931009	0.433797	0.362654	0.15638	0.162764	0.892781	0.270265	0.0416681	0.278428	0.451114	0.57253	0.75887	0.488074	1.01893	0.464907	0.156368	0.16783	0.372328	0.830518	0.460058	0.500776	0.962897	0.775895	0.982729
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.ae41c415-756f-48a0-be26-8a57c412db20.fc.signal	0.405329	0.601208	0.321513	0	0	0	0.0521843	0.255313	0.485838	0.362254	0.0507744	0	0	0.0354714	0.458298	0.393759	0	0	0	0	0	0	0	0	0	0	0	0	0.113573	0.417159	0.485134	0.324511	0.282776	0.490495	0.934866	1.21337	0.598166	0.780217	1.0635	0.788288	0.864038	0.856244	0.83771	0.427486	0.469136
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.298886	0.619309	0.785613	0.965899	0.49307	0.543506	0.543612	0.24873	0.035104	0.15181	0.383725	0.402989	0.422694	0.532768	0.830612	0.944905	0.381473	0.798958	1.35368	0.998767	0.489922	1.06872	0.81226	0.204731	0.157691	0.414501	0.110482	0	0	0.389176	0.479377	0.320933	0.264788	0.373152	0.403349	0.347679	0.134405	0.0812199	0.337899	0.523475	0.244322	0.138323	0.161138	0.0433721	0.232
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.69848b5e-1d71-4ca5-a68d-b2c1db7d8201.fc.signal	0.859862	1.73305	1.60554	0.55783	0	0.0213593	1.32513	0.496631	0.683872	0.0684578	0	0	0	0	0.0460652	0.36009	1.03946	0.687372	0.619281	0.0454955	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00466	2.61101	1.13058	2.12808	0	0	0.0204727	2.18714	1.27079	0.161332	0	0.415929
