	chr12:21935518-21935617	chr12:21935618-21935667	chr12:21935668-21935767	chr12:21935768-21935817	chr12:21935818-21935887	chr12:21935888-21935967	chr12:21935968-21935977	chr12:21935978-21936117	chr12:21936118-21936137	chr12:21936138-21936267	chr12:21936268-21936417	chr12:21936418-21936507	chr12:21936508-21936567	chr12:21936568-21936717	chr12:21936718-21936867	chr12:21936868-21936917	chr12:21936918-21936937	chr12:21936938-21937017	chr12:21937018-21937167	chr12:21937168-21937317	chr12:21937318-21937467	chr12:21937468-21937617	chr12:21937618-21937767	chr12:21937768-21937917	chr12:21937918-21938007	chr12:21938008-21938067	chr12:21938068-21938157	chr12:21938158-21938187	chr12:21938188-21938217	chr12:21938218-21938367	chr12:21938368-21938457	chr12:21938458-21938517	chr12:21938518-21938547	chr12:21938548-21938627	chr12:21938628-21938637	chr12:21938638-21938667	chr12:21938668-21938817	chr12:21938818-21938967	chr12:21938968-21939117	chr12:21939118-21939267	chr12:21939268-21939417	chr12:21939418-21939567	chr12:21939568-21939717	chr12:21939718-21939867	chr12:21939868-21940017	chr12:21940018-21940167	chr12:21940168-21940317	chr12:21940318-21940467	chr12:21940468-21940577	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0.218934	0.105056	0.141585	0.341977	0.238238	0.190826	0.325135	0.432673	0.431204	0.192314	0.0548761	0.211691	0.121843	0.109877	0.101973	0.117309	0.118544	0.0749481	0.114638	0	0.153989	0.314763	0.173554	0.116817	0	0	0.0936797	0.198518	0.312742	0.098184	0.0758044	0.29247	0.391344	0.25775	0.14233	0.210737	0.188347	0.117377	0.514357	0.559457	0.58702	0.488939	0.0483655	0.200454	0.152998	0	0.169698	0.0633113	0.339463	0.59
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.58e5cc13-3837-4676-9815-86ae7a4468bc.fc.signal	0.205781	0.194985	0.352091	0.414751	0.336282	0.478461	0.630445	1.06783	0.739034	0.494537	0.850626	0.719648	0.360209	0.168011	0.285355	0.301743	0.270685	0.0811364	0.0477329	0.463674	0.417245	0.364862	0.185505	0.172084	0.280686	0.133437	0.0443218	0.13834	0.14872	0.127984	0	0	0	0.0349512	0.15412	0.139493	0.1232	0.101729	0.422734	0.394103	0.368872	0.0278751	0.469944	0.181703	0.0986785	0.397072	0.246499	0.127295	0.250723	0.403509
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.3e57f4b2-3eea-42bc-9983-8ecec55d5977.fc.signal	0.215804	1.79849	1.13303	0	0	0	0	0.547363	1.07695	0.625988	1.5525	0.741887	0.56505	0.968546	0.0724182	0	0	0	0	0.449775	0.921585	1.0687	0.655287	0.419824	0	0	0	0	0	0	0	0	0	0	0	0.25039	0.574899	0.248702	1.17465	0.609244	0.884444	1.83666	0.262574	0	0.0701092	0.557566	0	0.40467	1.49721	0.524297
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.313549b4-5e36-4d5c-9816-17b9c7f898e3.fc.signal	0	0.994358	1.78659	0.313083	0	0.096648	0.96648	1.56066	0.243902	0	0	0	0	1.39143	0.0686063	0	0	0	0	1.05892	0.603301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443332	0.814027	1.30069	0.108771	0	1.11284	0.159685	1.21129	0.376542	0	1.70622	0.425
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.af8f440a-d096-482c-84b1-79bcd318ff11.fc.signal	0.727615	0.317558	0.163681	0	0	0.191344	0.542467	0.303312	0	0.0263231	1.05042	0.787084	0.742626	0.327965	0.664023	0.764949	0.741675	0.663612	0.342848	0.263162	0.146352	0.141591	0.615586	0.307935	0.515573	0.190156	0	0	0	0.635888	0.596939	0.063213	0.192961	0.193098	0.26625	0.259586	0.532282	0.163522	0.382929	1.03892	0.540413	0.0848039	0.313767	0.326094	0.426571	0.592695	0.448839	0.228392	1.0637	0.474178
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001902.1.97f665f6-6f48-4b26-ac5c-9db0c04ef7bc.fc.signal	0	0	0	0	0	0.0631697	0.176645	0.33536	0.20597	0.181658	0.399075	0.234339	0.255643	0.256585	0.128947	0.448256	0.43666	0.221686	0.554136	0.601391	0.294227	0.0114789	0.0855639	0.584859	0.53917	0.428993	0.366247	0.426327	0.649661	0.221676	0.372639	0.333206	0.216459	0.0929946	0	0.127485	0.497574	0.5465	0.303873	0.599626	0.470481	0.152458	0.0939905	0.0818373	0.0472311	0.286654	0.0449597	0.442888	0.319982	0.57377
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5433b540-f9ea-4edf-8a0e-cdc2c654fa20.fc.signal	0.965365	0.74466	0.48245	0	0	0	0	0	0	0.485452	1.24964	0	0	0	1.22233	1.77043	0.9126	0.305656	0	0	0	1.34576	2.37901	0.446145	0.821307	0.653176	0	0	0	0	0	0.20548	0.876714	1.64899	1.6547	1.62573	1.01466	1.17893	2.9773	1.07602	0.699688	0.0357424	0	0	0.505247	0.602548	0.104603	0	0.0762818	0.45122
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.92b83b8d-5485-446e-910e-2f148077cb85.fc.signal	0	0.302766	0.352708	0.47102	0.349989	0	0.468045	0.357259	0	0	0.33079	0	0.268743	0.117145	0.220303	0	0	0	0	0	0	1.25026	0.173142	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165455	0.184022	0.504143	0.231985	0.0969725	0.15382	0.350935	0.0417976	0	0	0	0	0	0.530303
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.fc38d8a2-8f66-4203-ae35-4bfe2174aadb.fc.signal	0.239373	0.412136	0.747925	0.849582	0.752552	0.485639	0.428996	0.370148	0.325806	0.676128	1.59152	1.26771	0.493938	0.400744	0.616042	1.20272	1.10879	1.23957	0.982815	0.906312	0.419838	0.0181121	0.348461	1.57792	1.63771	0.608023	0.237259	0.261863	0.23044	0.354978	0.446236	0.787097	0.876243	0.952501	0.66991	0.770356	0.467772	1.34613	1.29034	0.356056	1.14885	1.14753	0.822704	0.872197	1.10068	0.879971	0.370703	1.51058	1.25756	0.274809
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.6e93a1e0-8828-4ce5-83f8-36249902bda2.fc.signal	1.31486	1.89986	1.37522	0.560874	0.108347	0.157302	0.61695	1.40372	1.41528	0.62987	2.09065	0.898182	0.980602	1.09826	0.725797	0.442942	0.019957	0.174624	0.906515	1.18303	0.521606	2.41722	2.2361	1.22298	0.438945	0.81315	1.51202	1.49942	0.970263	0.481968	0.476069	0.383887	0.74826	0.355962	0.29936	0.548927	0.899179	0.665684	1.02281	0.73917	0.406258	0.195581	0.734029	2.12576	1.93073	1.00389	0.685651	0.733519	0.67574	0.475248
