	chr1:151168019-151168118	chr1:151168119-151168168	chr1:151168169-151168178	chr1:151168179-151168318	chr1:151168319-151168468	chr1:151168469-151168528	chr1:151168529-151168618	chr1:151168619-151168668	chr1:151168669-151168768	chr1:151168769-151168918	chr1:151168919-151169068	chr1:151169069-151169188	chr1:151169189-151169198	chr1:151169199-151169218	chr1:151169219-151169288	chr1:151169289-151169308	chr1:151169309-151169348	chr1:151169349-151169358	chr1:151169359-151169368	chr1:151169369-151169478	chr1:151169479-151169518	chr1:151169519-151169568	chr1:151169569-151169608	chr1:151169609-151169668	chr1:151169669-151169678	chr1:151169679-151169728	chr1:151169729-151169738	chr1:151169739-151169818	chr1:151169819-151169858	chr1:151169859-151169968	chr1:151169969-151170058	chr1:151170059-151170118	chr1:151170119-151170168	chr1:151170169-151170188	chr1:151170189-151170268	chr1:151170269-151170358	chr1:151170359-151170368	chr1:151170369-151170398	chr1:151170399-151170408	chr1:151170409-151170418	chr1:151170419-151170448	chr1:151170449-151170478	chr1:151170479-151170518	chr1:151170519-151170548	chr1:151170549-151170568	chr1:151170569-151170578	chr1:151170579-151170668	chr1:151170669-151170718	chr1:151170719-151170728	chr1:151170729-151170788	chr1:151170789-151170818	chr1:151170819-151170868	chr1:151170869-151171018	chr1:151171019-151171118	chr1:151171119-151171148	chr1:151171149-151171168	chr1:151171169-151171318	chr1:151171319-151171468	chr1:151171469-151171548	chr1:151171549-151171618	chr1:151171619-151171768	chr1:151171769-151171828	chr1:151171829-151171918	chr1:151171919-151172028	chr1:151172029-151172068	chr1:151172069-151172148	chr1:151172149-151172218	chr1:151172219-151172298	chr1:151172299-151172368	chr1:151172369-151172518	chr1:151172519-151172568	chr1:151172569-151172668	chr1:151172669-151172808	chr1:151172809-151172818	chr1:151172819-151172858	chr1:151172859-151172968	chr1:151172969-151172978	chr1:151172979-151173008	chr1:151173009-151173068	chr1:151173069-151173118	chr1:151173119-151173163	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	0	0	1.64919	0.0174623	0	0	0	0	0	0	0	0	0	0	0	1.37433	0	0	0	0	0	0	1.16058	0	0	0.0977404	2.44219	0	0	0	0	0	0	1.15568	0	0	2.13157	0	2.15294	0	0.408312	0	1.07279	0	1.3137	0.429114	0	0	0	0.558303	0	0.642809	0.115547	0.115508	0	1.03776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74865	0	0	2.74865	0	0	0	0	0.345622
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001915.1.bac25e3f-fc09-41ff-86d6-c2a6c3049d47.fc.signal	0.107775	0.0110444	0.179965	0.421127	0.733218	0.743952	0.483455	0.281619	0.147069	0.402932	0.154266	0.0960443	0.245092	0.442743	0.55712	0.560756	0.326814	0.18675	0.18675	0.00169773	0	0	0	0.00341367	0.283925	0.330836	0.27932	0.282448	0.328247	0.264806	0.092421	0	0	0	0	0.117758	0.28448	0.283737	0.26794	0.23329	0.168042	0	0	0	0.035592	0.087678	0.157673	0.160921	0.29152	0.330467	0.489472	0.26954	0.227518	0	0	0	0	0.204877	0.625583	0.378067	0.22377	0.027092	0	0.0844705	0.293436	0.380123	0.530331	0.345414	0.108371	0	0	0	0	0	0	0	0	0	0	0	0	0.444444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.58e5cc13-3837-4676-9815-86ae7a4468bc.fc.signal	0.277424	0.433046	0.32369	0.353362	0.230938	0.00905733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0364274	0.113957	0.209237	0.194742	0.224208	0.070692	0	0.0651093	0.090462	0.09151	0.161729	0.182751	0.184249	0.196845	0.189535	0.169776	0.0530883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206395	0.30741	0.319701	0.743865	1.01091	0.860644	0.557143	0.264961	0.15364	0.15364	0.0102427	0	0	0.951645
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.3e57f4b2-3eea-42bc-9983-8ecec55d5977.fc.signal	0	0	0	0	0	0	0	0	0	0.0098754	0.813958	0	0	0	0	0	0	0	0	0	0.41704	0.397183	0.244974	0.00337767	0	0	0	0.177174	0.310371	0.141432	0	0	0	0	0	0.145798	0.446234	0.448983	0.439232	0.435742	0.425199	0.062355	0	0.0579937	0.238698	0.473607	0.480478	0.117076	0	0	0.293292	0.632616	0.666416	0.219236	0.315091	0.348553	0.162383	0.270501	0	0	0	0	0	0	0	0	0	0.106377	0.505764	1.09014	0.536243	0.689628	0.0827694	0	0	0	0	0	0	0	0	0.986776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.313549b4-5e36-4d5c-9816-17b9c7f898e3.fc.signal	0	0.41292	1.21447	1.61512	0	0	0	1.1416	2.18605	0.186219	0	0	0	2.0646	4.73643	4.85788	3.37015	0.242894	0	0	0	0	0	0	0	0	0	0	0	0	0.701694	2.30749	1.53023	1.09163	0.0129874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.141	1.58076	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967393
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000229.3.23ce8c02-fb50-4a0a-991c-771c3456cdf5.fc.signal	0.331582	0.369267	0.433161	0.341078	0.440125	0.698352	0.655835	0.422656	0.258137	0.318476	0.298791	0.337234	0.43136	0.43176	0.401982	0.485386	0.532525	0.52234	0.479289	0.472612	0.606596	0.73919	0.539413	0.637064	0.69774	0.607773	0.62022	0.427563	0.285921	0.163903	0.162494	0.159501	0.142558	0	0.0211405	0.117021	0.1506	0.144361	0.144006	0.144234	0.143334	0.18199	0.27901	0.334436	0.407391	0.41348	0.448973	0.527687	0.575587	0.493806	0.34967	0.221243	0.274227	0.425482	0.517041	0.55777	0.669872	0.765723	0.516159	0.491532	0.549668	0.672461	0.514487	0.301971	0.165083	0.0854961	0.0902213	0.153502	0.177975	0.30667	0.523932	0.619625	0.430401	0.255814	0.178238	0.302748	0.34871	0.349035	0.419651	0.535663	0.561218	0.266667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003827.1.320bbee6-9fb9-4b6e-9202-0bae2e741228.fc.signal	0	0	0	0.0761339	0.274094	0.0302178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0079704	0.132892	0.146683	0.265424	0.226416	0.133357	0.133609	0.133444	0.133341	0.053348	0	0	0	0	0	0	0	0	0	0	0.0118843	0.130092	0.175236	0.171968	0.0398921	0	0	0	0	0	0	0.0445255	0.390813	0.436956	0.414348	0.0417189	0	0	0	0	0.0199695	0.129595	0.256988	0.259673	0.25905	0.163039	0.0216427	0	0	0.481081
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001921.1.33f29835-e25b-4253-aaf6-b5aa600df80f.fc.signal	0.0007392	0.134587	0.131022	0.228282	0.403041	0.536593	0.378641	0.115078	0.138509	0.163046	0.00390927	0	0	0	0	0	0	0	0	0	0	0	0.0624005	0.176983	0.285892	0.32376	0.37244	0.407396	0.35219	0.217679	0.155575	0.262151	0.376154	0.447293	0.436927	0.379791	0.239168	0.304975	0.304566	0.28515	0.250085	0.174723	0.0945045	0.0944233	0.094226	0.09421	0.00627378	0	0.02772	0.0910338	0.173481	0.36689	0.321928	0.0985382	0.0747877	0.0700155	0.0242239	0.200016	0.252356	0.0925097	0.152429	0.268195	0.197253	0.234977	0.278337	0.218615	0.0512479	0.0796121	0.319935	0.61236	0.527711	0.27734	0.0230968	0	0	0.00417545	0.09199	0.116562	0.265756	0.2767	0.27701	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.c19bd00a-5c6a-4173-86bf-6f467b56a6c8.fc.signal	0.508462	0.165745	0	0.186276	0.123653	0	0	0	0	0.052262	0.430032	0.143719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022398	0.22398	0.22398	0.295243	0.22398	0.164017	0	0.0283335	0.234825	0.42045	0.44795	0.78405	0.67207	0.89604	0.89604	0.694467	0.67207	0.67207	0.67207	0.268789	0.07466	0	0	0	0	0	0.169533	0.091063	0.0562867	0.17172	0.180719	0.029864	0.067194	0.265574	0.386732	0.362095	0.248866	0.319676	0.22398	0.11199	0.169698	0.210736	0.207857	0.0725809	0	0.0291174	0.496022	0.67207	0.655261	0.264699	0	0	0	0	0	0.917431
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001916.1.c6c23af5-0935-493c-8ba8-43c28ffbfb6f.fc.signal	0.305544	0.753436	0.79033	0.808451	0.602345	0.31169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18438	0.28974	0.491559	0.482928	0.462292	0.34827	0.174161	0	0	0	0	0.21967	0.253547	0.475538	0.35561	0.186994	0.130363	0	0	0	0	0	0	0	0	0.223735	0.376909	0.515415	0.513899	0.69129	0.89569	1.03964	0.65057	0.421007	0.44882	0.13881	0.131211	0.49936	1.07166	1.98132	1.47325	0.402563	0.0823573	0.048756	0.279553	0.468141	0.492267	0.51847	0.259161	0	0.173844	0.722565	1.05373	0.750774	0.373549	0.2634	0.40388	0.355605	1.05373	1.05373	0.293651
