	chr21:41989389-41989538	chr21:41989539-41989688	chr21:41989689-41989838	chr21:41989839-41989988	chr21:41989989-41990138	chr21:41990139-41990288	chr21:41990289-41990438	chr21:41990439-41990588	chr21:41990589-41990738	chr21:41990739-41990888	chr21:41990889-41991038	chr21:41991039-41991188	chr21:41991189-41991338	chr21:41991339-41991488	chr21:41991489-41991638	chr21:41991639-41991788	chr21:41991789-41991938	chr21:41991939-41992088	chr21:41992089-41992238	chr21:41992239-41992388	chr21:41992389-41992538	chr21:41992539-41992688	chr21:41992689-41992838	chr21:41992839-41992988	chr21:41992989-41993138	chr21:41993139-41993288	chr21:41993289-41993438	chr21:41993439-41993588	chr21:41993589-41993738	chr21:41993739-41993888	chr21:41993889-41994038	chr21:41994039-41994188	chr21:41994189-41994338	chr21:41994339-41994488	chr21:41994489-41994638	chr21:41994639-41994788	chr21:41994789-41994938	chr21:41994939-41994993	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0.0884866	0.150096	0.381779	0.0305164	0.259059	0.0239662	0.0588938	0.199479	0	0	0	0.0452739	0.461903	0.697305	0.513189	0.751378	0.448965	0.32956	0.694209	0.912163	0.611765	0.536401	0.783364	0.530055	0.548367	0.428912	0.703692	1.15135	0.32891	0.186276	0.0625253	0	0.328329	0.294332	0.123352	0.325003	0.427703	0.183168	0.197505
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000016.3.9c54dc88-50cd-4207-80de-15a482501404.fc.signal	0.436293	0.0935351	0.467995	0.0126104	0	0	0	0	0	0.36858	0.133918	0	0.480445	1.42041	0.54079	0.847227	1.2624	0.276059	0	0.302513	1.14248	0.632408	0.10299	0.291901	0.122228	0.474599	1.08837	0.510851	0	0.0555268	0.412252	0.0489944	0.15068	1.14535	1.31456	1.19383	0.516544	2.07585	0.635514
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0.208145	0.157857	0	0	0	0.148414	0.335827	0.174336	0.350504	0.505322	0.837399	0.216131	0.264402	0.887328	1.63889	1.77635	2.29138	1.42202	0	0.376038	0.194856	0.378971	0.0969474	0.179206	0.378976	0.188019	0.370163	0.170392	0.38779	0.126325	0.427719	0.402479	0.300717	0.0864416	0.172037	0.321226	0.0454	0.351946	0.60105
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.cb67fdb1-74f3-48c8-aeff-9cfba1ceca46.fc.signal	0.915154	1.66912	0.5606	0.291961	1.10581	0.342593	0.896751	1.81551	0.319091	1.05678	0.62699	0.0477451	1.18834	0.0220061	0.355661	1.2579	1.2137	2.33816	0.583165	0.940765	1.18283	0.165046	0.397803	0	0.533501	1.55741	0.284514	0	1.12232	0.32459	0.368603	1.35338	0.731591	0.725238	2.0145	0.498847	0.276411	0.827036	0.696552
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0	0.0335953	0.291479	0.635021	0.25069	0.118276	0.222321	0	0	0	0.71043	0.284591	0.210389	0.317816	0.555829	0.656759	0.575833	0.623115	0.477907	0.330963	0.388945	0.266795	0.152259	0.161182	0	0.176714	0.811129	0.249694	0.563823	0.448506	0.387181	0.197502	0.817024	0.811065	0.591515	1.30197	2.45338	1.66904	0.573864
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.37e46e69-fcc7-4b78-84e3-84d20f000766.fc.signal	0	0	0.408305	0.69229	0.0977173	0	0	0	0.245735	0.951638	0.427343	0	0	0	0	0	0	0.070756	0.56571	0.168083	1.056	0.716195	0	0	0.645005	1.49415	0.877567	0	0	0	0	0	0.447885	0.492534	0.84894	2.02128	1.32483	0.727968	0.713483
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.35d5a8b6-1eb5-4bfe-b35b-6d956f6f9ff2.fc.signal	0	0.0931896	0.19527	0.37675	0.458303	0.377297	0.0783976	0.266304	0.18418	0.163546	0.472723	0.481328	0.999524	0.683279	0.473501	0.653304	0.620895	0.286046	0.69892	0.872235	1.12961	0.895735	1.30755	0.93929	0.665284	0.933535	0.942	0.425763	0.611857	0.421442	0.797385	0.938718	0.199211	0.204161	0.693804	1.42737	0.58492	0.780605	0.561538
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0	0	0.178479	0.166573	0.478857	0.203902	0.0797556	0.0619751	0.365635	0.206725	0.471935	0.759934	0.791758	0.864652	0.531954	0.335113	0.601036	0.568694	0.504129	0.400196	0.592795	0.680221	0.613287	0.232596	0.263497	0.189538	0.140845	0.120664	0.30957	0.518625	0.315701	0.0884303	0.278792	0.111445	0.504017	0.311318	0.319915	0.240721	0.48254
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.263347	0.7301	0.443426	0.219493	0.37607	0.536789	0.269961	1.07714	0.649344	0.22451	0.0964515	0.0191102	0.248182	0.150278	0.154441	0.368662	0.873157	0.504136	0.437628	0.344807	0.29262	0.198843	0.293411	0.2978	0.916964	0.597538	0.567698	0.270667	0.510171	1.23325	1.27338	0.452567	0.26728	0.0496743	0.103504	0.255347	0.170162	0.294339	0.529586
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	1.69844	2.20046	2.09284	1.84279	1.40781	0.654069	0.484953	1.21979	0.699824	1.3505	2.27502	1.24171	1.2745	1.01475	1.28921	0.11284	0.667367	2.42005	1.93806	0.795785	1.6369	2.13543	1.72979	0.906435	1.34504	0.947896	0.743477	1.67398	0.49642	2.58965	1.42725	1.38523	1.45605	1.03791	1.5424	0.826616	0.995996	0.253446	0.251337
