	chr10:128112428-128112577	chr10:128112578-128112727	chr10:128112728-128112877	chr10:128112878-128113027	chr10:128113028-128113177	chr10:128113178-128113327	chr10:128113328-128113477	chr10:128113478-128113627	chr10:128113628-128113777	chr10:128113778-128113927	chr10:128113928-128114077	chr10:128114078-128114227	chr10:128114228-128114377	chr10:128114378-128114527	chr10:128114528-128114677	chr10:128114678-128114827	chr10:128114828-128114977	chr10:128114978-128115127	chr10:128115128-128115277	chr10:128115278-128115427	chr10:128115428-128115577	chr10:128115578-128115727	chr10:128115728-128115877	chr10:128115878-128116027	chr10:128116028-128116177	chr10:128116178-128116327	chr10:128116328-128116477	chr10:128116478-128116627	chr10:128116628-128116777	chr10:128116778-128116927	chr10:128116928-128117077	chr10:128117078-128117227	chr10:128117228-128117377	chr10:128117378-128117527	chr10:128117528-128117677	chr10:128117678-128117827	chr10:128117828-128117977	chr10:128117978-128118127	chr10:128118128-128118197	chr10:128118198-128118277	chr10:128118278-128118427	chr10:128118428-128118507	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0.274993	0.458407	0.534738	0.174498	0.0115761	0.301632	0.391132	0	0.299864	0.0134293	0.0488057	0.218046	0.339037	0	0	0	0	0	0.0324295	0.240133	0.123118	0.218111	0	0.208028	0.260781	0.0247947	0.123694	0.493924	0.34944	0	0	0	0.569848	0.397036	0.330169	0.0687477	0	0.67802	0.592398	0.179173	0	0.311485	0.333649
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0.0858424	0.0966029	0.135247	0.268048	0.0547973	0.0283559	0.236801	0.006261	0.097303	0.422737	0.517033	0.0576261	0.44257	0.211082	0.440908	0.396032	0.172203	0.414007	0.338304	0.897147	0.156528	0.00479933	0.225175	0.285784	0.147227	0.09486	0.115618	0.377882	0.0767893	0.149429	0.486672	0.46729	0.238951	0.0071996	0.293078	0.299966	0	0.407948	0.206637	0	0	0.185515	0.362319
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0.678805	1.31933	1.14065	0.964844	1.03762	1.3696	1.63408	0.619521	2.28882	0.32739	0.404611	1.02881	0.690174	1.56391	1.67599	3.35987	0.907209	0.661102	1.03704	0.145564	2.69367	0.196074	2.10339	1.24395	1.4324	1.00449	1.84787	1.1782	1.16945	0	0	0.730192	3.90492	2.05399	0.445663	1.78725	0.736231	0.889564	0.283143	0	0	0.336049	0.064711
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.b7155ae3-84c0-47e8-9535-8c807cc3903c.fc.signal	0.151554	0.296428	0.275188	0.0779459	0.187654	0.363717	0.267598	0.416557	0.463801	0.397269	0.610103	0.442218	0	1.40967	0.05413	0	0	0.438887	0.0370146	0.358698	0.486476	0	0.00558787	0.734863	0.190617	0.965787	0.0052878	0.0350551	0.317414	0.065872	0.367656	1.04735	0.661517	0.178935	0	0	0	0.232526	0	0	0.427834	0.101818	0.564661
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004647.3.43f1c761-68ab-4b08-9b03-abbbc17d64b6.fc.signal	0.533132	0.185839	0.171487	0.189069	0.754047	0.646516	0.474588	0.365366	0.423718	0.411554	0.451996	0.590515	0.439654	0.247935	0.414872	0.548632	0.308959	0.359652	0.361033	0.566078	0.484606	0.48284	0.60327	0.465275	0.606022	0.424823	0.444098	0.392106	0.524073	0.332908	0.432543	0.242894	0.102744	0.179979	0.214022	0.500233	0.361063	0.284338	0.330301	0.227113	0.194437	0.358658	0.798834
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.ca485291-98be-4da7-8667-33d3bd0f55ac.fc.signal	0.139743	0.175898	0.606503	0.646642	0.0828735	0.254329	0.469875	0.425264	0.705006	0.768805	0.462549	0.631872	0.789927	0.278258	0.29995	0.138344	0	0	0.142363	0.729499	0.623198	0.0095632	0.181554	0.252484	0.0814644	0.41624	0.251922	0.0861901	0.622545	0.897829	0.250739	0.19598	0.167561	0.421582	0.0288239	0.0425419	0.380957	0.566823	0.877626	0.30909	0.0289907	0.255166	0.228444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0.57006	0.682146	0.230099	0.609596	0.599905	0.441905	0	0.0808547	1.08335	0.0791742	0.215849	0.591366	0	0.767687	0.658291	0.256167	0.470214	0	0	0	0.53347	1.49616	0.331864	1.30992	0.564191	0.381238	0	0	0.72821	0.0730425	0	1.5575	0.933531	0	0	0.810868	0.465607	0	0	0	0	0	0.307692
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000248.2.b9dd63b5-faa8-49f6-89a1-d994c468eb04.fc.signal	0	0.0774849	0.079421	0	0	0	0	0	0.683267	0.134979	0.428356	0	0	0	0	0	0	0.140289	0.440912	0	0	0	0.703411	0	0	0	0	0	0	0	0	0	0.453209	0	0	0	0	0	0	0	0	0.24497	0.727907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.eee60a22-f599-43f7-a6b7-6bb8cd9c0fb1.fc.signal	0.253119	0.458417	0.768196	0.506313	0.49085	0.506543	0.526359	0.666228	0.638719	0.219956	0.147557	0.0554672	0.375286	0.253324	0.399738	0.425256	0.158052	0.176721	0.107985	0.349226	0.148072	0.038049	0.597575	0.771388	0.803145	0.163517	0.215976	0.316224	0.0329937	0.151872	0.478932	0.469022	0.286681	0.24193	0.133435	0.552704	0.410162	0.146189	0.117543	0.0543987	0.0704593	0.658792	0.293669
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.71944ce4-bd57-4526-b0d0-a368c7bbdce8.fc.signal	0.147371	0.246917	0.657117	0.173377	0.180601	0.26626	0.432282	0.347566	0.0184451	0.306728	0.659705	0.583047	0.26036	0.502872	0.391113	0.526564	0.489336	0.377407	0.413833	0.685802	1.19867	0.380295	0.373007	0	0	0.292895	0.823722	0.206123	0.749228	0.224182	0.313668	0.364136	0.289148	0.283969	0	0	0.254621	0.588345	0.788961	0.887801	0.442123	0.0976665	0.160338
