	chr12:85049677-85049826	chr12:85049827-85049976	chr12:85049977-85050026	chr12:85050027-85050126	chr12:85050127-85050276	chr12:85050277-85050336	chr12:85050337-85050426	chr12:85050427-85050576	chr12:85050577-85050726	chr12:85050727-85050836	chr12:85050837-85050876	chr12:85050877-85050936	chr12:85050937-85050946	chr12:85050947-85051026	chr12:85051027-85051106	chr12:85051107-85051176	chr12:85051177-85051326	chr12:85051327-85051346	chr12:85051347-85051476	chr12:85051477-85051536	chr12:85051537-85051586	chr12:85051587-85051626	chr12:85051627-85051686	chr12:85051687-85051776	chr12:85051777-85051926	chr12:85051927-85051936	chr12:85051937-85052076	chr12:85052077-85052216	chr12:85052217-85052226	chr12:85052227-85052296	chr12:85052297-85052326	chr12:85052327-85052376	chr12:85052377-85052426	chr12:85052427-85052436	chr12:85052437-85052526	chr12:85052527-85052546	chr12:85052547-85052576	chr12:85052577-85052676	chr12:85052677-85052806	chr12:85052807-85052826	chr12:85052827-85052976	chr12:85052977-85053006	chr12:85053007-85053056	chr12:85053057-85053106	chr12:85053107-85053126	chr12:85053127-85053276	chr12:85053277-85053426	chr12:85053427-85053516	chr12:85053517-85053536	chr12:85053537-85053576	chr12:85053577-85053596	chr12:85053597-85053696	chr12:85053697-85053726	chr12:85053727-85053876	chr12:85053877-85053936	chr12:85053937-85054006	chr12:85054007-85054026	chr12:85054027-85054176	chr12:85054177-85054326	chr12:85054327-85054476	chr12:85054477-85054626	chr12:85054627-85054751	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.536193	0.399489	0.043188	0	0.163677	0.384622	0.405725	0.0916992	0.0824692	0.297057	0.479039	0.298997	0.32147	0.343142	0.207949	0.374288	0.537846	0.319488	0.122806	0	0	0.155573	0.559993	0.774721	0.333431	0.055722	0.0994568	0.295468	0.16673	0.016673	0.00574933	0.170978	0.329642	0.34168	0.339073	0.177192	0.33875	0.229896	0.376713	0.642618	0.513497	0.435355	0.304614	0.372748	0.334464	0.25968	0.364029	0.941371	1.25168	1.06149	0.866027	0.456921	0.414297	0.378228	0.132996	0.126294	0.269913	0.476694	0.562562	1.38797	1.01642	0.640908	0.274419
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.863043	0.869258	0.602343	0.907466	0.885349	0.265356	0.064754	0.0712712	0.323832	0.325203	0.444979	0.448873	0.25699	0.436236	0.642598	1.14277	1.03961	0.789546	0.361014	0.299155	0.15412	0	0	0.141417	0.479207	0.51398	0.265065	0.542724	0.58045	0.501676	0.231994	0	0	0	0	0	0	0	0.118599	0.250907	0.22521	0	0	0.103501	0.461948	0.48076	0.358946	0.424538	0.2483	0.2483	0.23719	0	0	0.119928	0.462128	0.851379	0.77089	0.417621	0.279416	0.433034	0.457194	0.150041	0.803922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.196277	0.244616	0.643237	0.433906	0.54367	0.695443	0.777522	0.704158	0.410062	0.314223	0.28412	0.724451	1.06854	1.27691	1.38249	0.686196	0.682915	0.318267	0.151391	0.314044	0.3142	0.31342	0.406909	0.30958	0.187729	0.197905	0.233778	0	0	0	0	0.15939	0.51139	0.574183	0.834265	0.83387	0.745	0.872485	1.00162	0.86396	0.356251	0.499627	0.28931	0.366819	0.572834	0.668074	0.47975	0.531778	0.73065	0.785446	1.10815	0.837941	0.283044	0.632944	1.03851	0.847769	0.315394	0.373394	0.674263	0.415277	0.249729	0.172373	0.858025
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.aff67f26-7ea5-4004-b6c7-42e5d6d7c336.fc.signal	0.16576	0.419928	0	0.587417	1.16186	0.385239	0.0675547	0	0.646451	0.381778	0.27636	0.156604	0.27636	0.6363	1.06162	1.00579	0.694557	0.27636	0.00212585	0	0	0	0	0	0.287384	0.27636	0.126336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261598	0.50998	0.165996	0	0	0.320453	0.335217	1.03873	0	0	0.628352
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.ae41c415-756f-48a0-be26-8a57c412db20.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0077585	0.833995	2.4161	2.9274	2.74636	1.0575	0.274134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179308	0.589655	0.662063	0.77311	1.0914	2.2822	2.99139	2.32301	1.32422	0.605172	0.0248272	0	0	0	0	0.480447
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.716206	0.873866	0.837373	0.324314	0.261198	0.737932	1.09446	1.01718	0.66778	0.711497	0.886151	1.17967	1.37798	1.01694	0.603274	0.8477	1.91468	1.70541	0.768255	0.348847	0.299747	0.42637	0.652472	1.18005	0.792939	0.323005	0.407909	0.842579	0.68477	0.428214	0.279938	0.317837	0.273905	0.38761	0.416319	0.2584	0.2584	0.184756	0	0.039019	0.365455	0.51681	0.459962	0.583994	0.47159	0.705442	0.962985	0.909585	0.960121	0.893791	1.14196	1.23646	1.21881	1.19343	0.899643	0.689076	1.10649	1.59261	1.93729	2.07692	0.675851	0.256606	0.397849
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.d51ed427-007f-40d3-b98a-eaa67c358ae9.fc.signal	0.143574	0.27326	0.320885	0.322438	0.20454	0.180697	0.0372102	0.161493	0.334632	0.38023	0.315383	0.45815	0.426685	0.421909	0.44685	0.363943	0.189299	0.09657	0.141888	0.19315	0.140997	0.19315	0.19315	0.172761	0.260161	0.19315	0.265637	0.168332	0.09657	0.136582	0.244697	0.305251	0.38637	0.38637	0.38637	0.38637	0.38637	0.29364	0.126287	0.19315	0.226011	0.21248	0.23374	0.38637	0.38637	0.293015	0.403113	0.2898	0.2898	0.2898	0.313942	0.17674	0.09657	0.137134	0.181882	0.0954301	0.09657	0.0798814	0	0	0	0	0.38512
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.af8f440a-d096-482c-84b1-79bcd318ff11.fc.signal	0.192792	0.505983	0.142028	0	0.536739	1.36509	0.540271	0.533893	0.570708	0.553981	0.602947	0.621929	0.778746	0.927557	0.439857	0.60977	1.03538	0.65888	0.409437	0.133817	0	0.21993	1.38413	1.39317	0.264183	0	0	0.146021	0.39936	0.419968	0.213165	0	0	0	0	0	0	0	0	0	0.479633	0.878556	0.248348	0.68845	1.2548	1.02336	0.262302	0	0	0	0	0	0.215999	1.43128	0.82359	0.0636859	0	0	0.17185	0.304143	0	0.309452	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	0.628774	0.749177	0.70901	0.609728	0.498925	0.66454	0.573285	0.532455	0.600699	0	0	0.378981	0.61151	0.607687	0.9516	0.99746	1.10826	0.819311	0.175266	0.090794	0.345885	0.521195	0.690065	0.283884	0.0401367	0.35443	0.617832	0.485259	0.35443	0.352476	0.0229273	0	0	0	0	0.158889	0.12381	0.219969	0.0425398	0	0	0	0	0	0	0.192593	0.36542	1.01134	0.68796	0.68796	0.717209	0.934205	1.08705	1.77433	1.33106	0.423885	0.66307	0.601937	0.203854	0.155621	0.0529913	0.203769	0.520833
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000233.3.fb9aae7d-4076-4e4e-92a7-34572e1b705b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0.218239	1.00145	1.62489	1.87041	1.16589	0.31177	0.0671505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155872	1.46033	2.04008	2.37895	2.352	2.2708	1.70476	0.659629	0.659935	0.55321	0.221428	0	0	0	0	1
