	chr22:41992214-41992363	chr22:41992364-41992513	chr22:41992514-41992663	chr22:41992664-41992813	chr22:41992814-41992963	chr22:41992964-41993113	chr22:41993114-41993263	chr22:41993264-41993413	chr22:41993414-41993563	chr22:41993564-41993713	chr22:41993714-41993863	chr22:41993864-41994013	chr22:41994014-41994163	chr22:41994164-41994313	chr22:41994314-41994463	chr22:41994464-41994613	chr22:41994614-41994763	chr22:41994764-41994913	chr22:41994914-41995063	chr22:41995064-41995213	chr22:41995214-41995363	chr22:41995364-41995513	chr22:41995514-41995663	chr22:41995664-41995813	chr22:41995814-41995963	chr22:41995964-41996113	chr22:41996114-41996263	chr22:41996264-41996413	chr22:41996414-41996563	chr22:41996564-41996713	chr22:41996714-41996863	chr22:41996864-41997013	chr22:41997014-41997163	chr22:41997164-41997313	chr22:41997314-41997463	chr22:41997464-41997613	chr22:41997614-41997763	chr22:41997764-41997913	chr22:41997914-41998063	chr22:41998064-41998213	chr22:41998214-41998363	chr22:41998364-41998513	chr22:41998514-41998663	chr22:41998664-41998813	chr22:41998814-41998963	chr22:41998964-41999113	chr22:41999114-41999263	chr22:41999264-41999303	chr22:41999304-41999402	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0.655156	0.0404684	0.279472	0.178539	0.0728981	0	0	0	0	0	0	0	0.152438	0.198642	0	0	0.116023	0.263827	0.289467	0.271918	0.0448916	0	0	0.203933	0.103646	0.112405	0.168183	0	0.476401	0.338479	0.264837	0.159047	0.159508	0.192384	0	0	0	0.170588	0.821228	0.726489	0.638161	0.533755	1.08608	0.832207	0.607064	1.77793	2.94663	1.57817	0.649625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0	0.359193	0.164471	0	0.333288	0.3403	0.169612	0	0.128994	0.39488	0.0816085	0	0	0	0	0.327366	0.265927	0	0	0.252723	0.325246	0	0	0.152462	0.53831	0.285512	0	0	0.502489	0.834412	0.45135	0.368412	0.0737109	0.104492	0.408053	0.492284	0.438534	0.579068	0.650119	0.528843	0.509146	1.30836	1.02545	0.545575	0.620449	0.439633	0.223765	0.710784	0.78976	0.677904
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0.21297	1.4979	1.18349	0.205031	0.36288	1.50646	0.83139	0.333348	0	0.450345	0.409022	0.266342	1.6711	0.298435	0	0	0.846588	0.535063	0.869075	0.260548	0.880351	0.0590124	0	0.580732	0.485837	1.02622	0.0341183	0.227995	0.946337	0	0.094255	0.468805	0.706986	0.0235637	0	0	0.48834	1.02864	0	0	0.299257	0.561426	0.93194	0.521469	1.31464	0.210293	2.00257	2.29869	0.960717	0.554593
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.7dbee8a8-9cc7-46ce-85e2-59b2468157be.fc.signal	0.365815	0.395665	0.240651	0.105126	0.263995	0.873178	0.49408	0.254943	0.159657	0.190631	0.0309232	0	0	0.0200888	0.423336	0.356357	0.30475	0.162958	0.0874759	0	0	0	0.234387	0.159408	0	0	0	0	0	0	0.0576669	0.117079	0.160294	0.229729	0.538534	0.386928	0.38191	0.479438	0.428893	0.406064	0.451027	0.227689	0.406774	0.196342	0.0696813	0.0493589	0.091012	0.097742	0.0729024	0.548387
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0	0	0.154829	0.3552	0.0363499	0	0	0.0113669	0.290158	0.472259	0.51204	0.0704752	0	0.111363	0.432081	0.160841	0.2782	0.0446585	0.0113669	0.269058	0.444198	0.815427	0.808326	0.349912	0.112093	0.595938	0.0746693	0	0	0	0	0	0	0	0	0.243406	0.233687	0.313661	0.215695	0.782912	0.319997	0.338702	1.00735	1.13226	1.33601	0.417902	0.398076	0.985605	1.71075	0.648228
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.a0cc4058-35e9-4651-8cca-631ead3cc726.fc.signal	0	0	0.292484	0.041944	0	0	0	0	0	0	0.163784	0.162183	0	0	0	0.21223	0.121638	0	0	0	0	0	0.233915	0.150545	0.147409	0.132743	0.112123	0.0665457	0.234886	0.0335552	0.297802	0.0354096	0	0	0	0	0.0724339	0.427729	0.108103	0.0223701	0.639658	0.33695	0.0713048	0.261538	1.0556	1.22618	0.857059	1.52048	0.835249	0.699857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0	0.00862567	0.120059	0.101764	0	0	0	0	0	0.43433	0.472449	0.203235	0.393448	0.156805	0.45969	0.197536	0.129917	0.0373044	0	0	0.0745315	0.292159	0.132455	0.569537	0.498397	0.678183	0.61467	0.190206	0.0691547	0.228866	0.403096	0.495039	0.225335	0.486121	0.311589	0.00766827	0	0.055689	0.128559	0.133635	0.274851	0.532201	0.4727	0.428608	0.223446	0.0172536	0.327673	0.607141	0.631212	0.538626
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0	0	0	0.0155853	0.160419	0.201764	0.126902	0	0.104286	0.198234	0.12482	0.00687133	0.144262	0.0759587	0	0.0746338	0.166989	0.191502	0.107563	0	0	0.25335	0.444242	0.224906	0.160225	0.159978	0.410769	0.259201	0.58956	0.147034	0	0.0268385	0.401111	0.3886	0.0648049	0.314938	0.3143	0.296431	0.295983	0.238623	0.462627	0.565739	0.797907	0.321987	0.184262	0.132778	0.12841	0.296446	0.532459	0.518207
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.32524	0.308626	0.429911	0.540233	0.111911	0	0	0	0.00366867	0.271022	0.131224	0.0540597	0.171177	0.209611	0.212902	0	0.146364	0.310882	0.288033	0.149965	0	0.147372	0.22122	0.231838	0.463039	0.337526	0.179794	0.0255047	0.101735	0.0303355	0	0	0.0841701	0.248368	0.244484	0.328003	0.21167	0	0.160958	0.112592	0	0.00321013	0.757203	0.916013	0.987085	1.01204	0.797199	0.646241	0.601567	0.682251
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.156904	0.116456	0.885148	0.394122	0.54202	0.187653	0.162327	0.216513	0.242318	0.011398	0.649774	0.484478	0.248328	0.340758	0.103779	0.043003	0.328043	0.0353397	0	0	0	0.149812	0.226617	0.218664	0.243118	0.0614754	0	0.222438	0.0847763	0.0755381	0.485817	0.525529	0.802361	0.509715	0.00883493	0.220531	0.0851523	0.186911	0.459542	0.172281	0.4217	0.559138	0.626454	0.489224	0.588399	1.0451	1.98046	1.54319	0.641169	0.706478
