	chr9:1049161-1049310	chr9:1049311-1049410	chr9:1049411-1049460	chr9:1049461-1049540	chr9:1049541-1049610	chr9:1049611-1049640	chr9:1049641-1049750	chr9:1049751-1049760	chr9:1049761-1049790	chr9:1049791-1049910	chr9:1049911-1050020	chr9:1050021-1050050	chr9:1050051-1050060	chr9:1050061-1050170	chr9:1050171-1050210	chr9:1050211-1050230	chr9:1050231-1050310	chr9:1050311-1050320	chr9:1050321-1050360	chr9:1050361-1050500	chr9:1050501-1050510	chr9:1050511-1050520	chr9:1050521-1050560	chr9:1050561-1050590	chr9:1050591-1050640	chr9:1050641-1050660	chr9:1050661-1050810	chr9:1050811-1050960	chr9:1050961-1051030	chr9:1051031-1051110	chr9:1051111-1051260	chr9:1051261-1051410	chr9:1051411-1051560	chr9:1051561-1051710	chr9:1051711-1051860	chr9:1051861-1052010	chr9:1052011-1052160	chr9:1052161-1052310	chr9:1052311-1052440	chr9:1052441-1052460	chr9:1052461-1052540	chr9:1052541-1052610	chr9:1052611-1052760	chr9:1052761-1052910	chr9:1052911-1053060	chr9:1053061-1053210	chr9:1053211-1053310	chr9:1053311-1053360	chr9:1053361-1053460	chr9:1053461-1053510	chr9:1053511-1053660	chr9:1053661-1053810	chr9:1053811-1053960	chr9:1053961-1054110	chr9:1054111-1054260	chr9:1054261-1054410	chr9:1054411-1054450	chr9:1054451-1054520	chr9:1054521-1054560	chr9:1054561-1054630	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.cb67fdb1-74f3-48c8-aeff-9cfba1ceca46.fc.signal	0	0.42173	1.39099	1.44191	0.690515	0	0.74626	0.876498	0.292166	0.800293	0.823093	0.81385	0.81385	0.663654	0.29096	0	0	0	0	0.230945	0.62607	0.62607	0.537755	0	0.0626654	0.29842	0.742127	0	0	0.209436	0.603111	0.105939	0.625381	0.0789205	0.0109417	0.94713	0.530781	0.461117	1.00587	1.09664	0.586246	0.182594	0.619545	1.06269	0.428055	0.47767	0.169798	0.44761	0.609958	1.48406	0.394601	0	0.381295	1.32167	1.04721	0.651244	0	0	0	0	0.155229
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0.497312	0.513752	0.888433	0.710894	0.871964	0.957647	0.972956	0.66383	0.641699	0.497319	0.473117	0.8095	0.88906	0.805175	0.354016	0.619568	0.578127	0.487562	0.186684	0.178372	0.31608	0.31608	0.457192	0.722518	1.17779	1.13954	0.929569	0.307328	0.376121	0.347151	0.521611	0.378501	0.319401	0.784259	0.226288	0.398768	0.117615	1.49176	0.68637	0.547656	0.622335	2.21806	2.64816	0.9121	0.231554	0.410807	0.776792	1.62374	0.473665	0.0681432	0.875891	1.1923	0.181439	1.82048	1.62315	0.971135	0.528578	1.29144	1.91615	0.918564	0.320388
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.71944ce4-bd57-4526-b0d0-a368c7bbdce8.fc.signal	1.45634	0.485809	0.150033	0	0.173223	0.453564	1.01604	1.34183	1.48402	1.06029	1.35176	1.07117	1.12654	1.30918	0.767662	1.08782	1.41871	1.03274	0.766591	1.64219	1.44014	1.10785	0.623155	0.690447	0.467923	0.39049	0.142312	0.0861293	0.600078	0.381245	0.154197	0.968421	1.58418	1.99409	2.83578	2.1152	1.37427	1.90361	0.51174	0.451535	0.653587	0.721168	0.638019	0.925037	1.03849	1.28462	0.750154	1.28555	1.82449	1.21962	0.745574	0.371961	0.200445	0.850656	1.03676	0.582915	0.169667	0.0226353	0.270724	0.428967	0.592233
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	1.30775	0.557497	0.0492634	0.0798544	0.128441	0.248269	0.296218	0.330946	0.437702	0.672227	1.05829	0.584863	0.517754	0.81325	0.86297	0.86297	0.661587	0.2877	0.316456	0.377049	0.57527	0.589648	0.697483	0.71905	0.831308	0.86297	0.568582	0.315497	0.647167	0.772747	0.603389	0.642415	1.07289	0.852393	0.838002	0.823623	0.25083	0.21887	0.709698	1.40945	1.38245	1.85323	2.08539	1.4604	1.20672	1.23408	0.600173	0.690667	0.784786	1.60483	1.80902	1.5865	1.37558	2.18122	2.35163	1.74485	0.503374	0.158172	0.093457	0.21574	0.892857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001488.1.3b2af9eb-fdf7-488c-8635-f562c6894205.fc.signal	4.34258	5.55471	1.72628	0.771574	2.31695	2.84304	2.69806	0.86415	0.870334	0.710631	0.440819	2.1572	3.28412	1.42555	1.23149	1.64206	1.71835	1.57639	1.68374	1.01132	0	0	0	0	0	0	1.40943	0.553693	0.970883	0.279333	0.56523	1.21369	0.0211875	0.460364	0.486919	1.1014	0.993774	1.88826	0.530481	0	0.449007	0.886467	0.713753	0.915732	0.351402	0.451941	0.27014	0.969382	2.28389	0.542953	0.77251	0.790729	0.75868	0.418756	1.22055	0.545471	0.316065	0.349513	1.037	0.546932	0.0915493
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.58e5cc13-3837-4676-9815-86ae7a4468bc.fc.signal	1.47973	1.44577	0.93818	0.87729	0.449891	0.350227	0.778181	1.40059	1.44048	1.73505	0.616113	0.226388	0.230827	0.429543	0.68433	0.61482	0.489927	0.30741	0.242058	0.542334	0.61482	0.61482	0.61482	0.394507	0.319688	0.15364	1.16397	1.289	0.434753	0.259675	0.063535	0.718243	1.01641	0.252045	0	0	0	0.22336	0.795925	1.07587	0.7117	0.851891	1.30639	1.83102	1.76748	1.53081	1.36941	2.03795	2.34847	1.66913	1.91299	2.84744	1.86715	1.44297	2.16904	3.52601	2.97995	2.65327	2.5124	2.13789	0.368932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.f1517182-68cd-4431-ae69-970e870c1c44.fc.signal	0.486412	0.867873	1.51439	1.536	0.474127	0.636578	0.643197	1.17127	1.02487	1.45123	0.70891	0.655287	0.55637	0.503765	0.198886	0	0	0	0	0	0	0	0	0	0	0.278175	0.614224	0.155209	1.01935	1.4284	0.569826	0.428915	0.475325	0	0	0	0.0877347	0.634934	0.184023	0.55635	0.638272	1.85628	1.24192	1.08804	0.368757	0.491579	1.38575	0.812314	0	0.853168	1.46055	1.26102	0.334708	0.285124	0.415041	0.751712	0.37089	0.224004	0	0	0.769912
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.affdcac3-6070-43fc-99e1-6c9751bbcbf6.fc.signal	0.7226	0.141879	0.0433508	0.0932119	0.110456	0.155353	0.16487	0.20876	0.254953	0.307469	0.252118	0.21852	0.279385	0.226314	0.228359	0.199934	0.156685	0.182663	0.17579	0.183908	0.21015	0.201792	0.216527	0.221539	0.210096	0.246857	0.194408	0.196263	0.330996	0.39689	0.484955	0.529979	0.731678	0.691617	1.06721	0.907641	0.563706	0.226346	0.169703	0.23405	0.434338	0.586929	0.410517	0.395417	0.628653	0.523004	0.617935	0.886366	1.14036	1.30968	0.792904	0.481381	0.75392	1.13718	0.867779	0.270357	0.084816	0.156453	0.17856	0.152201	0.542105
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004728.1.84110ecf-3acc-4ab9-918a-d46b0401ed1e.fc.signal	0.203063	0.864666	0	0.380743	0	1.01531	0	2.65364	0	0.761486	0.652102	4.06126	0	0	1.52297	1.52297	0	3.04594	0	0	1.82757	1.21838	0	2.03063	0	1.52297	0.851589	0	1.74054	0	0.23124	0.3381	0.407013	0	0	0	0	0	0	1.25781	0	0.374402	0.473607	0.235769	0.210889	0	0	0.605914	0	1.21838	1.01095	0.203063	0.995753	0.203063	0.543698	0.510953	0	1.74054	0	0.205037	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000969.7.e51e6c81-760c-43e7-86ae-cbe3dc54eb4c.fc.signal	0.894456	1.18181	0.94839	0	0	0	1.55696	2.81321	1.46952	3.96171	1.24644	1.28521	2.86141	5.12372	3.68591	2.25521	3.37674	4.10902	3.9458	2.27371	1.76339	0.88181	2.73339	2.6452	3.14402	2.47427	1.41681	1.2642	5.40426	4.53713	1.69086	0.193565	0.939435	3.70085	0.752209	1.1469	1.23656	1.24461	0.440409	0.192895	1.08182	1.53459	1.03291	1.19358	1.82338	1.14637	1.58879	2.84491	1.23565	0.203708	1.31768	2.46586	0.726271	0.650492	0.754856	1.88002	0	1.3908	1.85357	1.32315	0.22022
