	chr1:26291705-26291854	chr1:26291855-26292004	chr1:26292005-26292154	chr1:26292155-26292304	chr1:26292305-26292454	chr1:26292455-26292604	chr1:26292605-26292684	chr1:26292685-26292754	chr1:26292755-26292804	chr1:26292805-26292904	chr1:26292905-26293054	chr1:26293055-26293204	chr1:26293205-26293354	chr1:26293355-26293504	chr1:26293505-26293654	chr1:26293655-26293804	chr1:26293805-26293954	chr1:26293955-26294104	chr1:26294105-26294254	chr1:26294255-26294404	chr1:26294405-26294554	chr1:26294555-26294704	chr1:26294705-26294854	chr1:26294855-26295004	chr1:26295005-26295154	chr1:26295155-26295304	chr1:26295305-26295454	chr1:26295455-26295604	chr1:26295605-26295754	chr1:26295755-26295904	chr1:26295905-26296054	chr1:26296055-26296204	chr1:26296205-26296354	chr1:26296355-26296504	chr1:26296505-26296654	chr1:26296655-26296804	chr1:26296805-26296831	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0.00689393	0.304194	0	0.104576	0.405969	0.337287	0.223197	0.632555	0.289749	0.369147	0.256545	0	0	0	0.0352832	0.405824	0.283242	0.246668	0.536304	0.343494	0.0418932	0	0	0	0	0	0.309928	0.0143711	0	0	0	0	0.00147013	0.50875	0.195528	0	0.342412
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000016.3.9c54dc88-50cd-4207-80de-15a482501404.fc.signal	0	0	0.676273	0.437182	1.02862	0.441894	0	0	0	0	0	0.413459	0.306633	0.0198706	0.602502	0.122168	0	0	0	0	0.381603	1.17774	0.763079	1.56166	0.338427	0.349163	0.289067	0	0	0	0	0	0.461108	0.366542	0.626161	0.949886	1.27787	0.519084
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.303309	0.58033	0.528344	0.482208	1.11846	1.27847	0.227924	0.330338	0.707723	0.822365	0.242136	0.202818	0.411253	1.06101	0.451803	0.106195	0.594251	0.283721	0.760148	0.84127	0.704253	0.88909	0.368372	0.60735	0.908071	0.610106	0.698018	0.491207	0.275787	0.701957	0.584583	0.600597	0.495294	0.321636	0.36653	0.627074	0.51612	0.116379
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0.120461	0	0.0682448	0.255422	0.201371	0.193674	0	0	0	0.0818308	1.12506	0.493591	0.337847	0.646381	0.582021	0.138199	0.253815	0.0218475	0	0.0573571	0.524567	0.261015	0.0533299	0	0	0.111636	0.44067	0.0058756	0	0.252651	0.305531	0	0	0	0	0.117512	0.669238	0.809524
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.cb67fdb1-74f3-48c8-aeff-9cfba1ceca46.fc.signal	0	0	0	0.937163	0.222451	0.803088	0	0	0	0	0	1.21034	0	0.337228	0	0	0.192431	0.188992	0.605169	0.575036	0	0	0.285663	0.593677	0.377507	0.336145	0.471787	0	0	0	0.387932	0.0289185	0	0	0.605169	0	0	0.25
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0.103957	0.0916268	0.340257	0.263667	0.16944	0	0	0	0	0	0	0	0	0	0.159399	0.320689	0.221153	0.141509	0.539201	0.274242	0.52102	0.973985	0.251453	0.0273963	0.144	0.114904	0.0911286	0.0843602	0.057735	0.117192	0.236677	0.0247979	0.172097	0.0449698	0	0	0	0.734242
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.37e46e69-fcc7-4b78-84e3-84d20f000766.fc.signal	0	0	0	0.32	0.433227	0.211636	0	0	0	0	0	0	0	0	0	0	0	0.35034	0.0804992	0	0	0	0	0.290934	0.359486	0.579921	0.111729	0	0	0	0	0	0.454355	0.318421	0	0	0	0.589744
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.35d5a8b6-1eb5-4bfe-b35b-6d956f6f9ff2.fc.signal	0.252816	0.312392	0.594886	0.496754	0.355042	0.191036	0.151604	0.242208	0.234218	0.285894	0.122871	0.516243	0.842782	0.130007	0	0.110818	0.490356	0.45538	0.265675	0.43934	0.561934	0.990268	0.41551	0.54163	0.237807	0.12742	0.285684	0.207054	0.603249	0.238769	0.198498	0.362121	0.858654	0.396443	0.490573	0.496931	1.06234	0.512195
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.0970326	0.161721	0.0778657	0	0.182036	0.522158	0.71864	0.667301	0.226376	0.357436	0.325901	0.0837209	0.170107	0.0694801	0	0.0738175	0.322831	0.374492	0.17604	0	0.102561	0.153705	0.116396	0.203893	0.209306	0.295343	0.0167711	0.0669147	0.294999	0.0690248	0.00958347	0.331717	0.137726	0.0467194	0.17969	0.190464	0.17969	0.437973
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0.977311	2.46378	1.76622	1.3067	0.294536	0.848165	0.795689	0.541279	0	0.145031	1.48802	1.8821	0.886808	0.451885	0.406187	0.865604	0.742015	0.752329	0	0.352423	1.32205	1.51329	0.99756	1.07864	1.38015	0.865733	1.18538	1.24015	1.62826	0.675134	0.455515	0.676076	0.244808	1.05713	0.818925	0.828372	1.49543	0.556468
