	chr2:74557198-74557347	chr2:74557348-74557397	chr2:74557398-74557497	chr2:74557498-74557547	chr2:74557548-74557607	chr2:74557608-74557647	chr2:74557648-74557737	chr2:74557738-74557797	chr2:74557798-74557877	chr2:74557878-74557947	chr2:74557948-74557987	chr2:74557988-74558017	chr2:74558018-74558097	chr2:74558098-74558247	chr2:74558248-74558397	chr2:74558398-74558417	chr2:74558418-74558547	chr2:74558548-74558627	chr2:74558628-74558697	chr2:74558698-74558847	chr2:74558848-74558907	chr2:74558908-74558997	chr2:74558998-74559017	chr2:74559018-74559027	chr2:74559028-74559097	chr2:74559098-74559107	chr2:74559108-74559147	chr2:74559148-74559297	chr2:74559298-74559447	chr2:74559448-74559517	chr2:74559518-74559597	chr2:74559598-74559667	chr2:74559668-74559677	chr2:74559678-74559747	chr2:74559748-74559817	chr2:74559818-74559857	chr2:74559858-74559897	chr2:74559898-74559967	chr2:74559968-74560047	chr2:74560048-74560197	chr2:74560198-74560347	chr2:74560348-74560407	chr2:74560408-74560497	chr2:74560498-74560527	chr2:74560528-74560647	chr2:74560648-74560737	chr2:74560738-74560797	chr2:74560798-74560947	chr2:74560948-74560957	chr2:74560958-74561097	chr2:74561098-74561157	chr2:74561158-74561247	chr2:74561248-74561397	chr2:74561398-74561547	chr2:74561548-74561697	chr2:74561698-74561847	chr2:74561848-74561907	chr2:74561908-74561997	chr2:74561998-74562047	chr2:74562048-74562147	chr2:74562148-74562209	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0.191117	0.43663	0.077182	0.104308	0.199497	0.155874	0.235221	0.808777	0.664166	0.076247	0	0	0.0691965	0.214927	0.0187151	0	0	0	0.106547	0.250979	0	0	0	0	0.173038	0.18799	0.17033	0.137589	0.0150395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401982	0.51908	0	0	0	0	0	0	0	0.0139648	0.404923	0.266628	0	0	0	0.37963
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0.195265	0.17999	0.0526488	0	0	0	0.0999094	0.682027	0.606107	0.067074	0.18579	0.2252	0.146036	0	0	0	0	0.158078	0.139151	0.0500507	0.144638	0.0233326	0.092064	0.224238	0.417355	0.43226	0.278283	0.286294	0.0125202	0.17244	0.0405	0	0	0	0	0	0	0	0	0	0	0	0	0.020868	0.351165	0.232074	0.508032	0.122525	0	0	0	0	0	0.0791966	0.0982979	0.110954	0.462862	0.416902	0.186902	0.131755	0.294174	0.446701
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.a0cc4058-35e9-4651-8cca-631ead3cc726.fc.signal	0.0078272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.437616	0.233488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.534351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.aff67f26-7ea5-4004-b6c7-42e5d6d7c336.fc.signal	0.653692	0.400283	0.146368	0	0.393628	1.16408	1.56869	0.640534	0.0665922	0.102594	0.132959	0.137205	0.18989	1.26452	0.85561	0.257222	0.0628386	0.0300315	0.291892	0.521117	0.238465	0.211957	0.346677	0.486849	0.620141	0.419501	0.338786	0.17601	0.397049	0.105605	0	0.242173	0.42104	0.362963	0.292019	0.280117	0.252394	0.269162	0.624924	0.689701	1.13667	0.697321	0.609464	0.879112	0.526193	0.174784	0.474915	0.745334	0.905293	0.908854	1.86493	2.59298	0.245146	0	0.123854	0.538726	0.335315	0.0987167	0.083538	0.323352	0.561872	0.362694
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.ae41c415-756f-48a0-be26-8a57c412db20.fc.signal	0.160474	0.100405	0.0372095	0.178327	0.352077	0.501736	0.678762	0.774451	0.528326	0.225057	0.154944	0.22274	0.353678	0.654171	0.503295	0.641548	0.760129	1.27051	1.20366	0.933572	0.62647	0.521849	0.480368	0.40267	0.363226	0.323142	0.467565	0.675086	0.60637	0.214347	0.130269	0.0412934	0	0	0	0	0.242363	0.676094	0.915414	1.27055	0.50583	0.238983	0.196978	0.16792	0.320201	0.50143	0.638915	0.516431	0.2512	0.0499	0	0	0.121281	0.495748	0.529806	0.552823	0.53717	0.324138	0.0859712	0.0818181	0.33659	0.453237
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.768c3dd3-4d38-474a-b6d5-c316c21bc08d.fc.signal	0.376534	0.409048	0.296685	0.343697	0.259004	0.176329	0.221685	0.167301	0.148588	0.362588	0.589839	0.530192	0.527805	0.214739	0.0798433	0.215297	0.200818	0.0941731	0.0956856	0.22957	0.372199	0.408386	0.41062	0.41062	0.472839	0.40622	0.334161	0.388978	0.685943	0.334427	0.0753695	0	0	0	0.0900786	0.122082	0.122116	0.192261	0.379611	0.575441	0.486486	0.207281	0.0535273	0.0196463	0.21402	0.41943	0.421928	0.239287	0.12652	0.0296709	0	0.00325844	0.667499	1.21253	0.496246	0.751962	0.919636	0.626062	0.414488	0.0772771	0.214604	0.60355
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.d51ed427-007f-40d3-b98a-eaa67c358ae9.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0.0490226	0.0803619	0.0926237	0.0418515	0.0330675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802657	0.140443	0.131637	0.00587817	0	0	0	0.0348241	0.0555537	0.100798	0.177162	0.155169	0.151746	0.143951	0.063326	0.0258397	0	0	0.0219665	0.0631216	0.0709718	0.136573	0.14325	0.574359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.6c44093e-8a4f-4f36-9bdc-4181cde15c47.fc.signal	0.437235	0.102717	0.121543	0.236485	0.289755	0.446437	0.48227	0.667776	0.677014	0.554089	0.508695	0.292086	0.330388	0.610963	0.445467	0.175721	0.182939	0.397719	0.468226	0.245485	0	0.105518	0.30165	0.27004	0.357456	0.483575	0.400505	0.344558	0.565628	0.535518	0.335302	0.057004	0	0	0	0	0	0.108504	0.260753	0.565549	0.620684	0.619868	0.587057	0.599763	0.474233	0.29128	0.230912	0.422549	0.474678	0.263558	0	0.0116613	0.485789	0.947944	0.821596	0.566324	0.268766	0.115645	0.0404514	0.111562	0.375259	0.654321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	0.561543	0.275205	0.477338	0.644665	0.604355	0.183414	0.221973	0.24762	0.0185715	0	0.235289	0.33024	0.476223	0.164493	0	0	0.158971	0.561915	0.38919	0.743574	1.40981	0.83744	0.245716	0	0	0	0	0.117207	0.195983	0	0	0	0	0	0	0	0	0	0.477236	1.04621	0.747273	0.218621	0.0990536	0.837898	0.711996	0.0935592	0.0177215	1.18687	1.41111	0.643217	0.346325	0.80073	0.438327	0.0632807	0.160125	0.986495	1.10373	0.401027	0.24822	0.39188	0.491345	0.366667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000233.3.fb9aae7d-4076-4e4e-92a7-34572e1b705b.fc.signal	0.559717	0.59042	0.659767	0.95558	1.15769	1.18101	1.07342	1.04733	0.590255	0.63216	0.849205	0.86278	0.847646	0.565196	0.333342	0.69807	0.915859	1.09502	1.15657	0.68404	0.482172	0.227791	0.192371	0.184889	0.126933	0.194124	0.210982	0.388893	0.369816	0.246283	0.208586	0.194097	0.17647	0.0416851	0	0.090617	0.228397	0.231898	0.253573	0.559012	0.857071	0.520462	0.206681	0.182045	0.197232	0.237522	0.359081	0.236994	0.238244	0.128123	0	0.0342547	0.188623	0.335503	0.362428	0.374723	0.282455	0.112404	0	0.0205446	0.0791974	0.32549
