	chr19:30281572-30281621	chr19:30281622-30281721	chr19:30281722-30281751	chr19:30281752-30281871	chr19:30281872-30282021	chr19:30282022-30282121	chr19:30282122-30282171	chr19:30282172-30282321	chr19:30282322-30282471	chr19:30282472-30282571	chr19:30282572-30282621	chr19:30282622-30282771	chr19:30282772-30282811	chr19:30282812-30282871	chr19:30282872-30282921	chr19:30282922-30283071	chr19:30283072-30283221	chr19:30283222-30283251	chr19:30283252-30283371	chr19:30283372-30283521	chr19:30283522-30283671	chr19:30283672-30283761	chr19:30283762-30283821	chr19:30283822-30283971	chr19:30283972-30284121	chr19:30284122-30284221	chr19:30284222-30284271	chr19:30284272-30284311	chr19:30284312-30284421	chr19:30284422-30284571	chr19:30284572-30284651	chr19:30284652-30284721	chr19:30284722-30284791	chr19:30284792-30284871	chr19:30284872-30285021	chr19:30285022-30285081	chr19:30285082-30285171	chr19:30285172-30285271	chr19:30285272-30285321	chr19:30285322-30285471	chr19:30285472-30285541	chr19:30285542-30285621	chr19:30285622-30285771	chr19:30285772-30285811	chr19:30285812-30285921	chr19:30285922-30286021	chr19:30286022-30286071	chr19:30286072-30286221	chr19:30286222-30286261	chr19:30286262-30286371	chr19:30286372-30286501	chr19:30286502-30286521	chr19:30286522-30286641	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0	0	0	0.127465	0.711652	0.90385	0.78976	0.773114	1.15185	1.27381	1.13813	1.12546	1.12116	0.509034	0.297437	0.42957	1.17931	0.671289	0.009872	0.039488	0.705501	1.31616	1.27667	1.35296	0.489396	0.134259	0.712412	0.672423	0.628576	0.457147	0.46892	1.14505	1.18453	1.65345	1.22139	0.612209	0.266697	0.260416	0.474901	0.696286	0.794209	0.359772	0.116102	0	0.430846	1.02573	1.5537	0.903985	0.509684	0.257769	0.0151553	0.158474	0.265431	0.591241
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.9342	0.483322	0.583852	0.476179	1.241	1.17281	0.695633	0.326099	0.310459	0.477313	0.243227	0	0.025575	0.392037	0.70979	0.970151	0.61236	0.773949	0.565019	1.03599	1.25578	0.697093	0.306732	0.396377	0.288421	0.640036	0.826302	0.636126	0.781519	0.621595	0.623967	0.429218	0.608176	0.632891	0.085239	0	0	0	0.332549	0.813673	0.964576	0.767756	0.706522	0.552541	0.36197	0.603519	1.23621	1.47777	0.933394	1.00159	0.621795	0.620337	0.643048	0.664671
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.603351	0.544622	0.39411	0.606806	0.509948	0.37497	0.361701	0.504114	0.581773	0.658709	0.557582	0.652447	0.542585	0.51991	0.55633	1.18653	0.799221	0.494685	0.664408	0.343611	0.640762	0.932348	0.923529	0.549283	0.460505	0.733879	0.626752	0.559256	0.359572	0.35603	0.268616	0.442249	0.524365	0.416795	0.0802236	0.0504878	0.093128	0.227382	0.261818	0.131752	0.130686	0.388964	0.390856	0.194324	0.193353	0.190645	0.407546	0.639918	0.273875	0.0831686	0.481924	0.844144	0.836383	0.188811
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.300746	0.403327	0.503771	0.849548	1.58011	1.04004	0.745412	0.479628	0.535407	0.700593	0.331626	0.286735	0.39002	0.372351	0.282457	0.521731	0.755393	0.960595	1.3834	0.777204	0.139409	0	0.0442155	0.507203	0.481672	0.48143	0.78081	0.80033	1.1893	0.856411	0.722371	0.993285	1.33224	1.12434	0.787404	0.434803	0.199824	0.226996	0.256354	0.205691	0.365101	0.488083	0.366104	0.260551	0.395929	0.495276	0.548923	0.603313	0.715583	0.513324	0.413582	0.468107	0.42048	0.392
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.268263	0.450278	0.567851	1.03409	0.891611	0.886759	0.360714	0.189651	0.193075	0.585982	0.599872	0.558371	0.68403	0.655522	0.0478716	1.09829	0.921776	1.02598	1.331	0.91925	1.18548	1.46685	0.581359	0.401143	0.552449	0.974842	0.729856	0.664701	0.772548	0.251009	0.377953	0.590736	0.786569	0.602685	0.763978	1.11939	0.615954	0.595576	0.751955	0.869531	0.48247	0.0903576	0.641762	0.890666	0.755381	0.662816	0.587846	0.322986	0.696976	1.26325	1.43521	0.798699	0.268135	0.724868
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	1.43394	0.508534	0.390769	0.733486	0.609829	0.818886	0.434059	0.70491	1.20238	0.38153	0.12381	0.174305	0.218192	0.195359	0.255921	0.308211	0.382101	0.89683	0.537575	0.455004	0.280695	0	0	0.321428	0.428232	0.404889	0.421642	0.163016	0.289707	0.494727	0.185033	0.280797	0.303506	0.0912434	0.112165	0.442486	0.304835	0.209702	0.33024	0.421285	0.180409	0.600552	1.36807	1.05099	0.948294	0.364988	0.733047	2.30201	1.92308	0.795054	0.753864	1.89647	1.53605	0.412844
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.e95554aa-fb20-4b17-91ac-139d0399c1c8.fc.signal	0.728789	0.521521	0.193643	0.0990433	0.134989	0.385902	0.361139	0.221019	0.299568	0.415934	0.22337	0.161409	0.11314	0.247068	0.726605	0.911366	0.518531	0.365939	0.345197	0.433823	0.439857	0.531878	0.680871	0.686391	0.652562	0.783389	0.478916	0.242719	0.123539	0.169883	0.115185	0.0193629	0.0741989	0.167469	0.428512	0.894046	1.0185	0.715194	0.445892	0.170483	0.23037	0.350134	0.349363	0.376311	0.31688	0.499048	0.544132	0.513706	0.594102	0.686145	0.596306	0.548849	0.608244	0.173333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0.211293	0.211623	0.26051	0.142773	0.0327726	0.346864	0.364054	0.0436248	0	0	0	0.408791	0.57834	0.428746	0.266875	0.477504	0.338657	0.305592	0.63737	0.99969	0.766082	0.409337	0.190913	0.188997	0.262451	0.7852	0.72144	0.615221	0.26536	0.707175	0.793432	0.265399	0	0.377364	0.508313	0.738047	0.846748	0.34429	0.19352	0.584141	0.347022	0.674744	2.03548	1.42237	0.467967	0.824395	1.5946	1.3598	0.541856	0.763524	0.53853	0.47713	0.862203	0.45625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.6e93a1e0-8828-4ce5-83f8-36249902bda2.fc.signal	0.34557	0.282403	0	0	0.230424	0.230468	0	0.328034	0.592627	0.519989	0.225518	0	0	0	0.171659	0.516352	0.472747	0.419187	0.582496	0.196955	0.414468	0.490347	0.613255	0.332551	0.783035	1.32658	0.933579	0.610046	0.707662	0.823343	1.14811	0.414228	0.0235614	0.31972	0.172515	0	0.456703	0.600537	0.0618668	0.344589	1.14748	1.29734	0.687942	0.625594	0.691451	0.389258	0.16493	0.54285	0.678632	0.226815	0.177434	0.40318	0.709686	0.286713
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7414bb41-cf54-40da-9950-d1fdfeffed2f.fc.signal	0.477281	0.303437	0.15804	0.096141	0	0.0661531	0.257426	0.785979	0.783915	0.327143	0.256025	0.407739	0.555551	1.10733	1.27709	1.51446	1.5117	1.3224	0.972046	0.509942	0.527854	0.628648	0.400368	0.925604	0.573905	0.243668	0.175541	0.29244	0.304039	0.306313	0.0383699	0.126045	0.463637	0.647262	0.784849	0.557485	0.657201	0.881003	1.48946	1.56924	1.14931	0.727007	0.843997	0.7902	0.79022	0.774413	0.806066	0.43303	0.347688	0.801772	0.776859	0.323982	0.241975	0.348958
