	chr2:73077151-73077300	chr2:73077301-73077450	chr2:73077451-73077600	chr2:73077601-73077750	chr2:73077751-73077900	chr2:73077901-73078050	chr2:73078051-73078200	chr2:73078201-73078350	chr2:73078351-73078500	chr2:73078501-73078650	chr2:73078651-73078800	chr2:73078801-73078950	chr2:73078951-73079100	chr2:73079101-73079250	chr2:73079251-73079400	chr2:73079401-73079550	chr2:73079551-73079700	chr2:73079701-73079850	chr2:73079851-73080000	chr2:73080001-73080150	chr2:73080151-73080300	chr2:73080301-73080450	chr2:73080451-73080600	chr2:73080601-73080750	chr2:73080751-73080900	chr2:73080901-73081050	chr2:73081051-73081200	chr2:73081201-73081350	chr2:73081351-73081500	chr2:73081501-73081650	chr2:73081651-73081800	chr2:73081801-73081950	chr2:73081951-73082100	chr2:73082101-73082250	chr2:73082251-73082400	chr2:73082401-73082550	chr2:73082551-73082700	chr2:73082701-73082850	chr2:73082851-73083000	chr2:73083001-73083150	chr2:73083151-73083300	chr2:73083301-73083450	chr2:73083451-73083600	chr2:73083601-73083750	chr2:73083751-73083900	chr2:73083901-73084050	chr2:73084051-73084163	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0.137352	0.208979	0	0	0.0946094	0.205187	0.0294027	0	0	0	0	0.000771267	0.22634	0	0	0	0	0	0	0	0	0.119081	0.695574	0.244064	0	0.291086	0.0617456	0	0	0.15776	0.0899684	0.0335325	0	0	0	0.0911483	0.261684	0	0	0	0	0	0	0	0	0.0422285	0.823377
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.358787	0.8204	0.412157	0.673735	0.458271	0.427595	0.31865	0.4513	0.656426	0.28993	0.16838	0.107458	0.435772	0.867298	1.27262	1.12561	0.487713	1.11231	1.27031	1.32885	0.85066	0.743345	0.164801	0.108915	0.585943	0.811954	0.58694	0.561225	0.491443	1.34769	1.27102	1.55061	0.712544	0.598171	0.393899	0.257917	0.651758	0.261799	0.59878	0.983067	0.210282	0.164398	1.02338	0.41573	0.391392	0.234038	0.450567	0.564885
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0	0	0	0	0	0.238571	0.0577145	0.00739967	0.15738	0.135556	0	0.103278	0.258166	0.0268937	0	0.0918543	0.0428978	0	0.0520313	0.0831949	0	0.0911819	0.484004	0.206725	0.0119993	0	0	0	0	0.0366621	0.146158	0	0	0	0.0579585	0.34589	0.109534	0	0.0734983	0.0584821	0	0	0.182858	0.104277	0	0	0.0531947	0.980167
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.326929	0.326929	0.0107814	0.0335421	0.17969	0.202434	0.286253	0.716263	0.439538	0.12458	0.852728	0.493517	0.110042	0.500859	0.162899	0.28625	0.340097	0.00479173	0	0.0634697	0.35925	0.336506	0.198792	0.132971	0.212011	0.134169	0.0670652	0.35925	0.0526952	0	0	0	0	0	0.100287	0.27134	0.0210078	0.0776139	0.309253	0.117901	0.287135	0.328155	0.110722	0.141776	0.653902	0.766519	0.448305	0.352697
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0.633975	2.11	1.13254	1.25452	1.32749	1.52599	0.510392	0.676881	0.218323	0.642473	1.20123	0.646141	0.70289	0.62466	1.96812	1.27666	2.09874	3.05146	1.53782	1.29405	1.38802	1.70928	0.998621	1.84347	0.286227	1.60653	0.961297	2.07165	1.28482	0.605228	0.630394	1.38592	0.371621	0.629777	0.750299	0.434423	2.22988	0.870143	0.426284	1.70986	0.68759	0.154514	0.856714	2.39133	2.34228	1.42096	0.246621	0.435449
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.9d84f1f6-2f6a-416c-bcef-ff170f289a63.fc.signal	0.564513	0.106104	0.960601	0.418166	0.0981328	0.437063	0.0903064	0	0	0.0913166	0.696832	0.593397	0.391009	0.147878	0.300823	0.487881	0.399763	0.394244	0.61916	0.352893	0.170747	0.218032	0.332345	0.765993	0.342121	0.34165	0.749475	0.421405	0.422874	0.418503	0.113091	0.370032	0	0.395644	0.867328	0.352936	0.634523	0.827033	0.233498	0.10715	0.179305	0	0	0.755921	0.0457135	0.768982	0.576721	0.303704
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004647.3.43f1c761-68ab-4b08-9b03-abbbc17d64b6.fc.signal	0.584484	0.2917	0.429051	0.357543	0.324357	0.207593	0.628057	0.781064	0.347004	0.211428	0.568414	0.47213	0.41861	0.420432	0.170993	0.0218381	0.354488	0.556722	0.416974	0.372496	0.124537	0.241843	0.305317	0.449443	0.542525	0.33726	0.275578	0.502147	0.563991	0.529792	0.572065	0.409032	0.165053	0.214013	0.549272	0.511214	0.242971	0.548993	0.42498	0.394954	0.147848	0.313503	0.598325	0.421675	0.413749	0.363798	0.356378	0.261625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.223465	0.264829	0.394282	0.0444471	0	0	0	0	0	0	0	0	0	0.185711	0.240656	0.0137061	0.0828891	0.550199	0.515977	0.0552832	0	0.392247	0.213235	0.39488	0.75817	0.565995	0.342229	0.487019	0.39488	0.0842411	0.169731	0.229575	0	0	0	0	0	0	0	0	0	0.34897	0.752905	0	0	0.539663	1.13911	0.354386
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0.183243	0.181283	0.0977445	0	0.223989	0.366487	0	0.183243	0.549658	0.390937	0	0.183243	0.366487	0.54973	0.183243	0	0.183243	0	0	0.126244	0.0977445	0	0	0	0	0.166176	0.311035	0.25262	0.177487	0	0	0	0	0	0.464231	0.221667	0.254386
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.ca485291-98be-4da7-8667-33d3bd0f55ac.fc.signal	0.604318	0.775087	0.701944	0.391639	0.21418	0.194561	0.22272	0.478956	0.0452847	0.237618	0.90505	0.681688	0.304927	0.313412	0.415454	0.660767	0.0387602	0.135284	0.0831616	0	0.409395	0.466468	0.364231	0.170694	0.353822	0.270579	0.282964	0.545533	0	0.0261007	0.237504	0.430965	0.0569611	0.42976	0.294619	0.520608	0.368896	0.122816	0.426899	0.619669	0.00980173	0.207315	0.0606891	0.375836	0.170446	0.202946	0.102046	0.335968
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0.93311	0.682154	0.702111	0.0968768	0.0646317	1.02901	0.614284	1.8204	1.03557	0.57764	0.662834	0.126407	0.610292	0.978643	1.02491	0.583177	0	0.719512	1.56149	0.128814	1.9031	1.47319	1.59466	1.27241	0.912354	0	0.677364	0.591384	0.517515	0.171117	0	0	0	0.0149134	0.605914	0.0219926	0.143061	0.65655	1.73536	0.67367	0	0.594079	0.592534	0.0113106	0.684109	0.0414722	0.0500468	0.511475
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000972.6.767f330d-c515-40cb-be8a-255001f91f74.fc.signal	1.99401	2.28584	2.19945	3.55148	0.763417	1.02788	0.513267	1.47042	0	0	0.514687	0.745903	1.15628	2.94755	1.38009	0.921653	2.26768	1.18195	1.55826	1.06052	1.23776	1.39898	0.870967	1.21087	2.33991	2.79748	2.47542	2.72008	0.774342	0.951917	1.84685	0.799968	0.0746603	0	0	0.548918	0.673096	0.622099	2.05696	0.0279976	0	0.614599	0.127981	0.64545	1.15847	0.345795	0.965686	0.772989
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.71944ce4-bd57-4526-b0d0-a368c7bbdce8.fc.signal	0.3724	0.618957	0.366402	0.206689	0.261711	0.373206	0.244117	0.733622	0.320667	0.498108	0.281726	0.648872	0.526983	0.147779	0.21299	0.169771	0.398588	0.415074	0.275747	0.313141	0.464935	0.554578	0.24335	0.307639	0.25308	0.141381	0.235018	0.857903	0.790932	0.442035	0.124132	0.0966473	0.0299843	0.406672	0.131965	0.375251	0.412176	0.736889	0.191835	0.133241	0.379206	0.14706	0.334551	0.256392	0.370575	0.482708	0.404339	0.367188
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000810.3.ba7ad3ac-45d8-4d57-96d9-67d86c9899a4.fc.signal	0	0.193693	0.525801	0.178349	0	0.311033	0.495369	0.166229	0.0910644	0.741531	0.815252	0.375004	0.194247	0	0	0.00144547	0.339685	0.338239	0.484234	0.479897	0.0910644	0	0.0245729	0.394614	0.660587	0.0766097	0	0	0	0	0.190802	0.552174	0.423524	0.766122	0.474346	0.183358	0.166229	0.839823	1.04106	0.195273	0.104074	0.375821	0.0997372	0.374883	0.171334	0.367149	0.798215	0.171875
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.7dbee8a8-9cc7-46ce-85e2-59b2468157be.fc.signal	0.145303	0.217159	0	0	0	0.0744235	0.168892	0.18691	0.188767	0.155719	0	0	0.00122827	0.13396	0.0307649	0	0	0.00373487	0.0663065	0	0.0532319	0.0100521	0.0237619	0.0522461	0.0581573	0	0.0541946	0.0806315	0.0170389	0.0884665	0.121752	0.208648	0.127603	0.0342223	0	0	0.186894	0.28124	0.10747	0.103645	0.100841	0.151569	0	0	0.031654	0.0458143	0.0929342	0.397612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.6300cfe8-bf7c-4c50-b350-9885c462045f.fc.signal	0.244078	0.197505	0.208601	0.0534601	0.0664308	0.224907	0.0615509	0	0	0	0.125043	0.312579	0.153917	0.0246754	0.0719068	0.176826	0.247633	0.147217	0	0.138058	0.185116	0.19908	0.14206	0	0	0	0.119545	0.140059	0.0229216	0	0.0104864	0.0961056	0.263493	0.237524	0.00952113	0	0	0.0796574	0.118985	0.0685521	0.0572719	0.135153	0.0347223	0	0.109053	0.102278	0.161493	0.347201
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0	0	0.20534	0.182859	0	0.095904	0.292388	0.008525	0	0.300629	0.131931	0.296304	0.136256	0	0	0	0	0	0	0.0346048	0.32442	0.378468	0.127605	0	0	0	0	0.31787	0.547081	0.064884	0.307513	0.0501361	0.528436	0.274647	0.012519	0.33523	0.419545	0.097326	0	0	0	0	0	0	0.11537	0.221996	0.260671	0.365055
