	chr9:122167145-122167294	chr9:122167295-122167444	chr9:122167445-122167594	chr9:122167595-122167744	chr9:122167745-122167824	chr9:122167825-122167894	chr9:122167895-122167944	chr9:122167945-122168044	chr9:122168045-122168194	chr9:122168195-122168344	chr9:122168345-122168384	chr9:122168385-122168494	chr9:122168495-122168644	chr9:122168645-122168794	chr9:122168795-122168944	chr9:122168945-122169094	chr9:122169095-122169244	chr9:122169245-122169394	chr9:122169395-122169444	chr9:122169445-122169544	chr9:122169545-122169594	chr9:122169595-122169694	chr9:122169695-122169784	chr9:122169785-122169844	chr9:122169845-122169994	chr9:122169995-122170144	chr9:122170145-122170294	chr9:122170295-122170444	chr9:122170445-122170594	chr9:122170595-122170664	chr9:122170665-122170744	chr9:122170745-122170774	chr9:122170775-122170844	chr9:122170845-122170894	chr9:122170895-122170914	chr9:122170915-122171044	chr9:122171045-122171124	chr9:122171125-122171194	chr9:122171195-122171344	chr9:122171345-122171494	chr9:122171495-122171554	chr9:122171555-122171644	chr9:122171645-122171794	chr9:122171795-122171944	chr9:122171945-122172014	chr9:122172015-122172094	chr9:122172095-122172244	chr9:122172245-122172256	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0	0.0179467	0.625929	1.20988	0.834823	0.58436	0.602719	0.689736	0.761541	0.64147	0.450112	0.975991	1.61044	1.0886	1.42182	1.70541	0.66216	1.24865	1.05129	0.408077	0.461484	0.309009	0.385925	0.44988	0.664322	0.821525	0.693206	0.608795	1.05284	0.827928	0.41971	0.411138	0.425697	0.430804	0.2692	0.289918	0.538495	0.533348	0.277961	0.585113	0.36064	0.428035	0.487623	0.290675	0.249971	0.511606	0.788014	0.80775	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.198967	0.597966	1.33279	1.00739	0.591256	1.35013	1.43238	1.84105	0.704861	0.0559678	0	0.263132	0.281369	0.62277	0.354075	0.435224	1.40779	1.32861	0.596171	1.32749	1.14574	1.52035	0.617996	0.541291	0.29959	0.904024	1.09125	0.790612	0.573883	0.78976	0.784824	0.78976	0.569755	0.39488	0.39488	0.0455631	0.223791	0.240346	0.159333	0	0	0	0	0.379085	1.03792	1.50537	1.38198	0.78976	0.620438
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.520601	0.264862	0.839329	1.32945	0.922155	1.6173	1.61549	1.28832	0.410566	0.439765	0.297128	0.232734	0.0409748	0.746101	0.902858	0.805612	1.16807	0.882995	1.20169	1.722	0.96056	0.971453	0.528822	0.380596	0.790252	0.501085	0.663043	0.338618	0.451935	1.27657	1.17474	0.461732	0.269821	0	0	0.282012	0.321043	0.0556149	1.28024	1.26392	0	0.228652	0.398508	0.961293	0.533957	0.711884	0.982964	0.95889	0.635359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.59717	0.276141	0.454786	0.446328	0.501471	0.923998	1.05966	1.02224	0.972494	0.960688	1.15759	0.815266	0.328301	0.645591	0.72663	0.692263	0.521536	0.983195	0.960849	0.804235	0.616611	0.566179	0.567133	0.347438	0.446087	0.840209	0.40278	0.469352	1.23945	0.739398	0.291916	0.235602	0.276647	0.253294	0.449314	0.472849	0.632036	1.01402	1.41724	0.843529	0.417461	0.815849	0.85156	0.933463	0.775138	1.04485	0.737453	0.244445	0.524351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	1.52765	1.97455	0.638376	0.239392	0.713951	1.7931	2.37354	2.39752	1.5231	0.679047	0.434	0.516765	0.787003	0.396296	1.1923	1.35314	1.57888	0.956513	0.855783	0.35069	0.125362	0.373854	0.589456	0.684187	1.05088	0.34191	0.197278	0	0.425798	0.906073	0.713896	1.02598	0.82081	0.68403	0.359044	0.126255	0.34194	0.48855	0.53078	0.0908057	0	0.275419	0.57183	0.244577	0.34194	0.289657	0.547276	0.576518	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001008.4.00528f90-1767-43ef-bb37-a22f6e9f4039.fc.signal	1.03412	1.55136	1.27031	1.50963	1.24286	1.59022	2.50226	2.28863	0.93715	1.04287	0.640035	0.500319	0.909885	0.250971	0.402918	0.702319	0.422565	0.861585	0.307433	0.798694	0.691773	0.577139	0.360071	0.3463	0.439841	0.468829	0.73857	0.212433	0.808193	1.96003	0.338381	0.21874	0.439905	0.307373	0.110182	0	0.139056	0.466443	0.745524	0.126643	0.589409	1.14783	0.571763	0.504765	0.249457	0.405669	0.32951	0.241072	0.38273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.96636	2.02529	2.17417	0.874834	0.546905	0.935203	0.893105	0.954111	0.499837	0.224876	0.221933	0.279533	0.297072	0.128076	0.574432	1.46129	1.10797	1.30245	1.35524	1.23786	0.743543	0.664121	0.669924	0.606769	0.501453	0.493611	0.20009	0.108701	0.497682	0.795691	0.89651	0.734806	0.643873	0.333407	0.099506	0.139537	0.715889	0.912845	0.769828	0.365348	0.155071	0.0747494	0.0898618	0.360885	0.300851	0.398637	0.619165	0.812232	0.473282
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.48a0264b-6e25-46c0-b33d-21ee41282ecb.fc.signal	0.371224	0.596473	0.458548	0.291738	0.493116	0.460767	0.553466	0.410975	0.562495	0.461662	0.567769	0.791851	0.800128	0.394702	0.262429	0.596182	0.313618	0.562704	0.542303	0.519963	0.420093	0.392126	0.284005	0.111527	0.0571067	0.276374	0.610239	0.501677	0.164835	0.11751	0.122965	0.0907243	0.0492883	0	0	0.0217375	0.382727	0.5638	0.539587	0.639058	0.424953	0.687601	0.572182	0.107733	0.0669994	0.468283	0.606508	0.379019	0.422764
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	0.317546	0.63543	1.20004	0.86149	2.01437	3.38784	3.36758	2.71536	1.12667	0.836575	0.70901	0.4705	1.10121	0.616015	1.56451	1.31028	0.408963	0.967247	1.2394	0.672538	0.628772	0.617762	0.560434	0.501942	0.484907	0.364005	0.291678	0.139785	0.0379684	0.123575	0.159748	0	0	0	0	0	0	0.151929	0.88706	0.525691	0.898057	2.01964	1.65343	1.62537	0.596478	0	0.233604	0.82549	0.715909
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.e95554aa-fb20-4b17-91ac-139d0399c1c8.fc.signal	0.246189	0.386794	0.74975	0.604454	0.335581	0.318859	0.359327	0.462906	0.459689	0.345713	0.537822	0.452794	0.264448	0.370248	0.373598	0.19707	0.238101	0.521776	0.350515	0.409375	0.380688	0.288765	0.171125	0.101776	0.0842848	0.361419	0.388724	0.428821	0.302419	0.243457	0.187443	0.0917267	0.193001	0.196198	0.186008	0.132124	0	0	0	0.0796817	0.290273	0.541555	0.470058	0.233037	0.112634	0.534821	0.734164	0.4756	0.378601
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0	0	0.666389	0.936637	1.31481	1.55766	1.09094	0.832136	0.752382	1.23039	1.16112	0.960563	0.505418	0	0.0635417	0.588388	0.683596	0.520198	0.150951	0.538356	0.552281	0.290118	0.243813	0.649056	1.14859	0.466954	0.475888	0.923021	0.627808	0.316725	0.325332	0.19279	0.286643	0.362636	0.309788	0.282752	0.0349337	0.077116	0.644142	0.290142	0.268524	0.231256	0.289851	0.168281	0.581909	0.94443	0.601289	0.327097	0.47619
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.fc38d8a2-8f66-4203-ae35-4bfe2174aadb.fc.signal	0.486108	0.795094	0.395281	0.508463	0.740469	0.694951	0.677892	0.552322	0.369226	0.491301	0.39555	0.245177	0.0603634	0.296192	0.449745	0.271752	0.581778	0.784008	1.11706	1.36229	0.96258	0.619319	0.574679	0.380949	0.121073	0.282035	0.550208	0.337148	0	0	0	0	0.02451	0.144437	0.145781	0.260296	0.20814	0.174363	0.406124	0.491478	0.251685	0.118701	0.0350677	0.150751	0.0993136	0.596031	0.661685	0.449352	0.348066
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.6e93a1e0-8828-4ce5-83f8-36249902bda2.fc.signal	0.42248	0.621141	0.885346	0.86555	1.49074	1.7386	1.3191	0.338844	0.19778	0.283424	1.23709	1.63453	0.6879	0.629866	1.97799	1.08978	0.736529	0.979345	1.37424	1.36733	0.570595	0.193519	0.0565458	0	0	0	0.204008	0.22703	0.632617	0.970889	0.528339	0	0	0	0	0.131048	0.391704	1.14092	1.19715	0.0558805	0	0	0.279925	1.03401	0.217169	0	0.756849	1.19756	0.603774
