	chr5:16088389-16088538	chr5:16088539-16088688	chr5:16088689-16088838	chr5:16088839-16088898	chr5:16088899-16088988	chr5:16088989-16089138	chr5:16089139-16089198	chr5:16089199-16089288	chr5:16089289-16089438	chr5:16089439-16089488	chr5:16089489-16089588	chr5:16089589-16089738	chr5:16089739-16089788	chr5:16089789-16089888	chr5:16089889-16089928	chr5:16089929-16089998	chr5:16089999-16090038	chr5:16090039-16090188	chr5:16090189-16090238	chr5:16090239-16090338	chr5:16090339-16090488	chr5:16090489-16090528	chr5:16090529-16090638	chr5:16090639-16090718	chr5:16090719-16090758	chr5:16090759-16090788	chr5:16090789-16090848	chr5:16090849-16090938	chr5:16090939-16091018	chr5:16091019-16091088	chr5:16091089-16091238	chr5:16091239-16091388	chr5:16091389-16091478	chr5:16091479-16091538	chr5:16091539-16091588	chr5:16091589-16091638	chr5:16091639-16091688	chr5:16091689-16091838	chr5:16091839-16091988	chr5:16091989-16092138	chr5:16092139-16092208	chr5:16092209-16092288	chr5:16092289-16092438	chr5:16092439-16092588	chr5:16092589-16092678	chr5:16092679-16092738	chr5:16092739-16092788	chr5:16092789-16092888	chr5:16092889-16092928	chr5:16092929-16092998	chr5:16092999-16093038	chr5:16093039-16093188	chr5:16093189-16093338	chr5:16093339-16093408	chr5:16093409-16093488	chr5:16093489-16093581	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	1.25941	0.104848	0	0	0	0.131986	0.37005	0.150079	0	0	0	0.0621149	0.249157	0.438654	0.935344	1.03657	0.828054	0.90608	0.669996	0.23587	0.743051	0.623637	0.22763	0.36943	0.855743	1.37536	1.81942	3.89594	4.10539	1.60972	0.241769	0.0814132	0	0	0	0	0	0.0666097	0.564944	2.26348	1.93748	0.710036	0.325645	1.252	2.17713	0.848034	0	0	0.120269	0.745389	1.91501	2.88886	1.58998	3.17721	5.42373	6.46412	0.584252
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.f00a0f4a-5f50-4465-bbfb-8153fd1dc895.fc.signal	0.761521	0.245765	0.351832	0.090545	0	0	0	0	0	0	0	0	0	0.0213816	0.484244	1.23651	2.05108	1.45661	1.71194	0.912277	0.463145	0.873291	0.993708	0.377682	0.367703	0.840159	0.804885	1.16242	1.27525	0.777599	0.01548	0	0	0	0	0	0	0	0.113828	0.599392	0.569847	0.601378	0.315572	1.01391	1.24153	0.627236	0.302679	0.182383	0.426837	1.00444	0.76733	1.1007	0.459613	1.00692	2.98546	2.49296	0.227273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	4.8063	5.91525	5.87611	4.98772	4.12305	3.04395	4.07532	3.08654	2.61341	2.09822	1.49586	1.19849	0.865771	0.529983	0.331491	0.282779	0.199621	0.443401	0.686397	0.421955	0.574372	0.591659	0.395213	0.362572	0.629716	0.785084	0.541852	0.513774	0.634063	1.44236	1.60282	1.5773	2.4361	2.69249	2.37523	2.55856	2.89821	3.27126	3.46797	5.90795	4.49215	2.55388	1.98494	1.31063	1.06243	0.958372	0.925669	1.14072	1.10471	0.841949	0.505172	0.939219	1.36317	1.63273	2.59242	2.60114	0.669329
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d2972a82-a806-4e56-afab-8a78ae137176.fc.signal	0.075566	0.648249	0.926875	1.51229	0.0990073	0	0	0	0	0	0	0.259295	0.199176	0.292055	0.156178	0.19845	0.334958	0.588661	0.7298	0.114159	0	0	0	0.0202515	0.40503	0.40503	0.40503	0.400558	1.16464	1.10716	0.321801	0.172813	0.153011	0.40503	0.40503	0.0081006	0	0.230566	0.661071	1.61179	1.71185	0.282589	0.212385	0.0378028	0.606189	0.383321	0.107422	0	0	0	0	0.195056	0.138108	0.486831	1.37101	0.384352	0.38125
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.d690d3e6-ed87-46ee-9d2a-0a5b66f16245.fc.signal	1.12679	0.295966	0	0	0	0.31499	0.977721	1.26846	0.477756	0	0	0	0.101388	0.226546	0.218191	0.581864	0.30341	0.341212	0.229888	0.24959	0	0	0	0	0	0	0.105687	0.517934	0.63423	0.4983	0.0486159	0	0	0	0.386857	0.63423	0.665936	1.6701	1.70183	0.830834	1.10988	0.650083	0.456615	0.610971	0.18319	0	0	0.0095118	0.31706	0.557203	0.63423	1.33396	1.5765	1.60921	1.62782	1.88246	0.488778
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.df24c052-2a81-4f1a-b170-2f4fdc228ffe.fc.signal	3.76671	2.8873	2.27585	1.11743	0.732898	0.36431	1.33553	1.67168	1.1102	1.33829	0.478349	0.510398	0.522137	0.214033	0.281447	0.284804	0.477897	0.838656	0.579705	0.367714	0.494437	0.507603	0.214284	0.269094	0.538359	0.558805	0.667804	1.09173	1.35598	0.697008	0.425497	0.922934	1.17852	0.910425	0.951141	0.97372	1.4326	1.55436	1.61361	1.22572	1.08446	1.04986	0.895178	1.05832	0.676371	0.352517	0.62252	1.12685	0.946453	0.793688	0.534008	0.27112	0.35305	0.442786	0.536466	0.563075	0.616279
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.604f0a28-681a-4e69-b09a-96c7d6e32ad9.fc.signal	6.00212	6.79187	5.92473	4.58019	3.51115	2.52287	3.47292	3.68528	3.45216	1.99272	1.57553	1.05057	0.419873	0.102995	0	0	0	0.144142	0.286894	0.329219	0.364637	0.362232	0.31269	0.343097	0.357072	0.482054	0.385905	0.423671	0.519508	1.24531	2.02137	2.08944	1.42476	1.24182	1.08197	0.987637	1.38253	2.39589	3.51345	3.20745	2.58204	2.1002	1.76602	0.915409	0.671566	0.639213	0.766275	1.08769	1.12808	0.971744	0.945589	2.36658	3.31545	2.77882	2.72193	1.8974	0.666667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.469e2b5a-9cc0-4ba2-a1af-32ae688b6e56.fc.signal	0.467344	0.554718	0.437239	0.0704333	0	0.0755572	0.175081	0.372416	0.524763	0.234577	0.0015092	0.136638	0.22637	0.186839	0.24539	0.252195	0.376132	0.486122	0.618492	0.626618	0.677753	0.683043	0.691474	0.469835	0.605668	0.997067	1.20243	1.28385	1.08451	0.46429	0.455223	0.696993	0.588878	0.3019	0.214332	0.162998	0.26869	0.465012	0.783698	0.762187	1.00695	0.849095	0.790649	1.22733	1.74922	1.083	0.849825	0.504991	0.45284	0.370063	0.372586	0.26212	0.391942	1.06264	1.01184	0.725545	0.327273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.2aa5c3df-0722-47d5-82d4-eb34ba16be25.fc.signal	0.706451	0.0348292	0	0	0	0	0	0	0	0	0	0.211376	0.447898	0.581026	0.551176	0.420531	0.260548	0.224346	0.163993	0.179918	0.159829	0.296723	0.245565	0	0	0.741469	1.29347	1.94437	1.95424	0.895485	0.136829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074634	0.628969	0.74621	0.798461	0.52736	1.15135	1.2453	1.62084	0.428571
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f14540c7-18af-47fc-8cad-c0291db319dc.fc.signal	0.603493	0.483933	0.839767	0.6405	0.427	0.432693	0.0284667	0	0.246263	0.289703	0.012052	0.27993	0.24096	0.0380324	0.0745755	0.355838	1.25735	0.707914	0	0.636487	1.25494	0.736725	0.454173	0	0.416325	0.427	0.9394	1.79828	1.22764	0	0.130947	1.17032	0.756232	0	0	0.00854	1.1956	1.65396	1.12698	1.68267	0.224917	0.342237	0.622473	0.511674	0.0769989	0	0	0.104944	0.109623	0.037287	0.285879	0.307583	0.237574	0.224577	0.404919	0.753121	0.380952
