	chr5:179835385-179835454	chr5:179835455-179835534	chr5:179835535-179835684	chr5:179835685-179835834	chr5:179835835-179835984	chr5:179835985-179836054	chr5:179836055-179836134	chr5:179836135-179836284	chr5:179836285-179836434	chr5:179836435-179836584	chr5:179836585-179836734	chr5:179836735-179836884	chr5:179836885-179837034	chr5:179837035-179837184	chr5:179837185-179837334	chr5:179837335-179837484	chr5:179837485-179837634	chr5:179837635-179837784	chr5:179837785-179837934	chr5:179837935-179838084	chr5:179838085-179838234	chr5:179838235-179838384	chr5:179838385-179838534	chr5:179838535-179838684	chr5:179838685-179838834	chr5:179838835-179838984	chr5:179838985-179839134	chr5:179839135-179839284	chr5:179839285-179839434	chr5:179839435-179839584	chr5:179839585-179839734	chr5:179839735-179839884	chr5:179839885-179840034	chr5:179840035-179840184	chr5:179840185-179840334	chr5:179840335-179840484	chr5:179840485-179840634	chr5:179840635-179840784	chr5:179840785-179840934	chr5:179840935-179841084	chr5:179841085-179841234	chr5:179841235-179841384	chr5:179841385-179841534	chr5:179841535-179841684	chr5:179841685-179841834	chr5:179841835-179841984	chr5:179841985-179842134	chr5:179842135-179842284	chr5:179842285-179842434	chr5:179842435-179842584	chr5:179842585-179842734	chr5:179842735-179842884	chr5:179842885-179843034	chr5:179843035-179843184	chr5:179843185-179843334	chr5:179843335-179843372	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.075942	0.124273	0.35492	0.171441	0.13942	0.163746	0.135065	0.38598	0.165856	0.227703	0.456582	0.498	0.300766	0.147204	0.0219206	0.155861	0.218678	0.18892	0.228493	0.155508	0.0522131	0.0956005	0.0692874	0.159964	0.315482	0.264752	0.0427922	0.0288493	0.173884	0.256912	0.169811	0.120704	0.154898	0.26097	0.291711	0.206248	0.142423	0.107323	0.087941	0.196607	0.291204	0.333097	0.172422	0.2271	0.216883	0.219732	0.113689	0.316865	0.0705229	0.0724745	0.109358	0.0411339	0.298477	0.369776	0.226316	0.107144	0.385584
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.451844	0.47923	0.156548	0	0	0.147152	0.302466	1.20274	0.934389	0.431903	0.668894	0.794175	0.793833	1.74122	0.678838	0.605373	0.154909	0.156506	0.194408	0.953525	0.471172	0.211995	0.216384	0.437685	0.315085	0.167607	0.333824	0.257139	0.0843197	0.204288	0.210212	0.674854	0.410977	0.786058	0.471194	0.193382	0	0	0.271514	0.324237	0.027149	0	0	0	0.023955	0.244344	0.287486	0.067074	0	0	0	0	0	0.033537	0.448871	0.390927	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.11951	0.110547	0.329848	0.640574	0.469276	0.32097	0.488946	0.455663	0.546854	0.298487	0.18478	0.308702	0.738026	0.991805	0.403406	0.281203	0.13896	0.535615	0.321439	0.15158	0.166261	0.492677	0.255706	0.448247	0.425354	0.37215	0.0570752	0.0136771	0.214787	0.07227	0.105982	0.0965181	0.615156	0.355443	0.228506	0.168783	0.31526	0.241885	0.26345	0.25907	0.0623831	0.0908178	0.147425	0.117914	0.156251	0	0	0	0.0212821	0.204143	0.106272	0.0221829	0.34072	0.396324	0.880878	1.11596	0.17435
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	0	0	0	0	0	0.108762	0.670617	3.50407	7.68481	7.125	8.83847	15.6645	9.98428	7.30057	3.15243	2.19574	2.46929	0.500601	0.568136	1.32137	1.27591	0.387898	0.324251	0.145016	0	0	0.384244	0.654892	0.193347	0.662246	0.451396	0.241413	0.293608	0.304519	1.44999	1.80036	1.17075	0.0779589	0	0	0.566236	1.04129	0.6199	0.0211407	0	0.201772	0.548569	0.561206	0.335994	0.447105	0.665665	0.185155	0.159518	0.512362	0.696456	0.60689	0.727648
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0	0	0	0	0	0	0	1.27043	2.86398	4.59206	4.78487	2.84611	2.24416	1.65603	0	1.45885	1.69361	1.77269	1.43786	0.545928	1.18194	2.17381	1.00125	0.964302	0.965174	0.64054	0.366616	0.55559	2.54314	1.07238	8.39605	3.36997	2.05107	0.516305	1.0913	2.9162	1.15311	0.149218	1.73339	2.26141	1.14226	0.729932	1.20029	2.33446	1.62007	0.860222	0.931733	0.550151	0	0	0	0.683792	0.13344	0	0.220644	0.823511	0.736364
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0	0	0	0.0343105	0.279529	0.510328	0.878115	0.656476	0.408417	1.00256	0.581087	1.23878	0.499479	0.786232	0.499617	0.599728	0.117319	0.439107	0.160256	0.102826	0.247238	0.246229	0	0	0	0	0	0.167515	0.556065	0.184668	0.0800307	0.365594	0.135995	0.371077	0.293422	0.242891	0.199807	0.158623	0.204772	0	0.383466	0.27751	0.15137	0.394565	0.285584	0.16247	0.0100913	0.234119	0.0686211	0	0	0	0.130178	0.283565	0.677231	0.250956	0.25
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0	0	0	0	0	0.404334	2.8315	3.15028	1.70371	3.01594	1.0705	0.793871	2.1514	0.908241	1.31819	0.763381	1.33695	0.915112	2.01179	0.522855	0.952894	0.285964	0	0.42176	1.86938	0.450042	0.506297	1.44857	1.67827	0.472835	1.17674	0.40785	0	0.97509	1.93611	0.705321	0.469162	2.29708	2.46662	1.20011	0.443248	0	0.736006	0.717254	0.735962	0.302521	0	0	0	0	0	0	0.342219	0.572939	0.561947	0.987516
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.105442	0.242194	0.509501	0.132246	0	0	0.394042	0.976971	0.429538	0.905212	1.59617	0.742162	0.764459	1.24448	0.745201	0.35878	0.279839	0.264491	0.452092	0.599716	0.452094	0.428516	0.862923	1.13157	0.380752	0.439792	0.342403	0.298323	0.400992	0.392008	0.183466	0.146845	0.364249	0.314393	0	0	0.264493	0.300331	0.232995	0.454144	0.338304	0.408536	0.321051	0.405634	0.261416	0.310625	0.449018	0.498225	0.1905	0.46337	0.28602	0.216307	0.468496	0.367043	0.565618	0.392768	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0	0	0	0	0.200514	0.343918	0.279436	0.430318	0.33358	0.171903	0.495736	0.702415	0.133886	0.22602	0.425793	0.491901	0.315816	0.207859	0.213984	0.198651	0.30698	0.264351	0.144677	0.0409086	0.328402	0.337867	0.141314	0.188468	0.822057	0.539217	0.632687	0.589004	0.73712	0.709684	0.608311	0.575687	0.373138	0.204742	0.390389	0.161545	0.0933352	0.138695	0.236957	0.063864	0.000964267	0.26137	0.18543	0.158288	0.230191	0.150542	0.298969	0.252103	0.390228	0.645379	3.1233	4.95168	0.181056
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	0.228984	0.86707	1.13675	0.364792	0.0479024	0.236878	0.69089	2.65117	1.96397	1.31361	1.30987	1.04422	2.03717	1.75235	1.11481	0.975093	1.72454	0.635918	0.68352	0.993038	0.569292	0.794061	0.0313208	0.0350056	0.759057	0.738793	0.162129	0.246941	0.658228	0.61937	0.518866	0.939347	0.495699	0.26318	0.46837	0.844739	0.102749	0.83091	0.792219	0.420062	0.469805	0.742477	0.676151	0.961716	0.582188	0.0331632	0.370317	0.911928	0.427017	0.276696	0.388628	0.116748	0.33347	0.1695	1.74277	1.06663	0.683305
