	chr9:143602-143751	chr9:143752-143901	chr9:143902-144051	chr9:144052-144201	chr9:144202-144351	chr9:144352-144421	chr9:144422-144501	chr9:144502-144581	chr9:144582-144651	chr9:144652-144801	chr9:144802-144951	chr9:144952-145071	chr9:145072-145101	chr9:145102-145181	chr9:145182-145251	chr9:145252-145361	chr9:145362-145401	chr9:145402-145551	chr9:145552-145581	chr9:145582-145671	chr9:145672-145701	chr9:145702-145801	chr9:145802-145851	chr9:145852-145971	chr9:145972-146001	chr9:146002-146151	chr9:146152-146301	chr9:146302-146361	chr9:146362-146421	chr9:146422-146451	chr9:146452-146571	chr9:146572-146601	chr9:146602-146751	chr9:146752-146901	chr9:146902-147051	chr9:147052-147151	chr9:147152-147201	chr9:147202-147241	chr9:147242-147351	chr9:147352-147471	chr9:147472-147501	chr9:147502-147571	chr9:147572-147651	chr9:147652-147801	chr9:147802-147951	chr9:147952-148011	chr9:148012-148051	chr9:148052-148101	chr9:148102-148251	chr9:148252-148321	chr9:148322-148401	chr9:148402-148521	chr9:148522-148551	chr9:148552-148658	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012882	0.500546	0.300967	0.23118	0	0	0	0	0	0.145711	0.292341	0	0	0	0	0	0	0	0	0	0	0.925483
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204462	0.418518	0	0	0	0	0	0	0	0.020761	0.23955	0.23955	0.19164	0	0	0.007985	0.23955	0.697786	0.937562	0.698018	0.147725	0	0	0	0	0	0	0	0	0.580182
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175281	0.258142	0.318693	0.406334	0.294791	0.115526	0	0.192809	0.0748929	0.194403	0.023902	0	0	0	0	0	0	0.0791754	0.0772831	0.15855	0.346579	0.167314	0.0501942	0	0	0.273379	0.379444	0.11951	0.0067015	0.642952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261029	0.270697	0	0	0	0	0	0	0	0	0	0.277457
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40396
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172183	0.30274	0.0949503	0	0	0	0	0	0	0	0	0	0	0.378419	0.600424	0.199303	0.15137	0.0378425	0.15137	0.119078	0	0	0	0	0	0	0	0	0	0	0.108986	0.193754	0	0	0	0	0	0	0	0	0	0.84204
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210957	0.70319	0.70319	0.182829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.559251
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384425	0.15377	0.15377	0.0691965	0	0	0	0	0	0	0	0	0.141472	0.542306	0.30755	0.0333168	0	0	0	0	0.166073	0.210156	0.0507441	0	0	0	0	0	0.0834751	0.376744	0.375208	0.0358797	0.15377	0.15377	0.15377	0.015377	0	0	0	0	0	0.547829
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00387387	0.365112	0.363175	0.198536	0.0338963	0	0	0.0125901	0.137522	0.0881305	0.0929728	0	0	0	0	0	0	0.205194	0.377702	0.283761	0.397071	0.315962	0.276013	0.0949097	0.288465	0.43581	0.10411	0	0.0352993	0.741998
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0825265	0.532074	0.405676	0.308523	0.0095225	0	0	0	0	0	0.514318	0.627367	0.336454	0.166644	0	0	0	0	0	0	0	0.819835
