	chr2:73077151-73077300	chr2:73077301-73077450	chr2:73077451-73077600	chr2:73077601-73077750	chr2:73077751-73077900	chr2:73077901-73078050	chr2:73078051-73078200	chr2:73078201-73078350	chr2:73078351-73078500	chr2:73078501-73078650	chr2:73078651-73078800	chr2:73078801-73078950	chr2:73078951-73079100	chr2:73079101-73079250	chr2:73079251-73079400	chr2:73079401-73079550	chr2:73079551-73079700	chr2:73079701-73079850	chr2:73079851-73080000	chr2:73080001-73080150	chr2:73080151-73080300	chr2:73080301-73080450	chr2:73080451-73080600	chr2:73080601-73080750	chr2:73080751-73080900	chr2:73080901-73081050	chr2:73081051-73081200	chr2:73081201-73081350	chr2:73081351-73081500	chr2:73081501-73081650	chr2:73081651-73081800	chr2:73081801-73081950	chr2:73081951-73082100	chr2:73082101-73082250	chr2:73082251-73082400	chr2:73082401-73082550	chr2:73082551-73082700	chr2:73082701-73082850	chr2:73082851-73083000	chr2:73083001-73083150	chr2:73083151-73083300	chr2:73083301-73083450	chr2:73083451-73083600	chr2:73083601-73083750	chr2:73083751-73083900	chr2:73083901-73084050	chr2:73084051-73084163	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.114798	0.214221	0.145952	0.208707	0.180887	0.347474	0.269977	0.122244	0.231533	0.242765	0.187734	0.141489	0.111459	0.0823693	0.185656	0.193657	0.161722	0.0253859	0.0597838	0.176326	0.117061	0.158075	0.156631	0.166415	0.0892114	0.0698796	0.106431	0.127433	0.085505	0.129006	0.261856	0.181355	0.0457373	0.183159	0.119737	0.0350028	0.122149	0.0742238	0.0998426	0.175959	0.255716	0.179708	0.191745	0.209356	0.247988	0.150078	0.195618	0.376682
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.231125	0	0.564596	0.521255	1.27244	1.23574	0.581992	0.702093	0.940732	0.744928	0.22815	0.552518	0.957953	0.450315	0.862653	0.245418	0.118646	0.523927	0.311473	0.057492	0.23955	0.362613	0.54308	0.707601	0.26992	0.199625	0.218789	0.287486	0.228371	0.116611	0.544707	0.266708	0.006388	0.49837	0.507099	0.723571	0.354435	0.351116	0.388127	0.864101	0.469604	0.100611	0.330647	0.921597	0.989548	0.379486	0.772695	0.238532
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.346261	0.930656	2.92801	2.30766	1.37062	1.84606	1.03226	0.892383	0.835038	0.663478	0.478552	0.169713	0.325668	0.566682	0.569381	0.698696	0.309125	0.158282	0.320496	0.299775	0.447191	0.371829	0.190988	0.405188	0.0505859	0.102044	0.130027	0.102131	0.0571416	0.325038	0.360287	0.127205	0.120395	0.43868	0.359642	0.223298	0.108594	0.221357	0.374125	0.102391	0.243611	0.391465	0.470574	0.350578	0.401317	0.473193	0.416643	0.266896
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	2.3983	1.03742	0.129392	0.473804	0.0696625	1.0408	1.74975	1.1705	0.614512	1.98244	1.08604	2.45132	1.13299	0.833701	1.0102	0.991844	1.23337	0.94656	2.03186	0.274502	0.949754	1.89902	1.89034	0.510441	0.793339	1.1143	0.70814	1.03656	0.574346	1.68029	0.664549	1.47958	0.16517	0	0.155107	0.80673	0.0840151	0.347735	0.848835	0.420346	0.956859	2.90048	0.804589	3.44417	1.36696	1.66243	0.102734	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.0911465	0.439456	0.627217	0.583293	0.742853	0.91222	0.751619	1.52543	1.78414	1.18206	0.738054	1.09818	0.795142	0.418662	0.49144	0.111401	0.243199	0.0958587	0	0.239694	0.773117	0.414706	0.24247	0.145023	0.177973	0.273542	0.309255	0.167667	0.0668771	0.214016	0.220868	0.695679	0.417452	0.240796	0.524123	0.430459	0.400113	0.366425	0.29749	0.364469	0.67072	0.192051	0.33376	0.544042	0.224603	0.362077	0.360161	0.246261
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	1.43176	1.32301	1.23707	0.891009	0.479098	1.48806	1.65332	0.478057	0	0.738923	0.509733	1.00934	0.558595	1.61913	0.482856	0	0.381241	0.376647	1.18318	1.3469	0.34228	1.16419	1.34207	2.74463	3.81938	1.92131	2.57737	3.90284	2.00766	4.27517	3.55804	0.943022	0.824846	2.60086	2.27545	2.8328	1.48401	1.26321	3.8172	3.40951	5.61194	3.6975	5.30509	12.4912	8.68528	4.0653	7.78896	0.640205
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.421334	0.615094	0.598754	0.436527	0.341793	0.370635	0.517958	0.307107	0.397762	0.412114	0.309572	0.226509	0.516265	0.175765	0.452004	0.782195	0.797572	0.392635	0.215282	0.669059	1.22199	1.02618	0.570526	0.358784	0.579958	0.889836	0.839604	1.32963	1.62077	1.38396	1.91192	2.01341	0.736094	0.505223	0.55434	0.434517	0.574087	0.515651	0.0850861	0.217788	0.561606	0.765304	0.25612	0.372707	0.412113	0.539071	0.37559	0.283412
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	1.14061	1.35522	2.37339	3.00561	2.48045	2.30275	1.37698	0.954796	0.234369	0.381576	0.224681	0.712083	0.174409	0	0.115248	0.101689	0.12009	0.263423	0	0	0.00484233	0.14527	0.112342	0.0794143	0.213063	0.316689	0.255675	0.279887	0.0939413	0.159797	0.29054	0.0087162	0.276013	0.430968	0.142365	0.192725	0.293445	0.159797	0.44155	0.154955	0	0.0687611	0.188598	0.479391	0.310878	0.912878	1.97834	0.268293
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	0.772919	1.0792	0.685105	1.09127	0.905568	0.960778	0.463709	0.589364	0.463435	0.383101	1.21212	1.2961	0.697022	0.979348	0.625374	0.445995	1.18372	1.33499	0.313731	0.636198	0.691763	1.27811	0.623261	0.525765	0.540858	1.08669	0.944028	0.359858	0.766341	0.788151	0.30218	0.227597	0.204295	0.566865	0.299943	0.487031	0.637181	0.681598	1.02917	0.759898	0.853913	0.554606	0.64225	1.70775	1.38984	0.846123	0.55476	0.315789
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.a5362628-573c-4f29-aabc-203a1f7daa08.fc.signal	0.631934	0.881466	0.912756	0.611901	0.795561	1.0673	0.227618	0.204129	0.860003	0.855447	1.6636	0.866621	1.23536	1.29564	1.08735	0.911695	0.751192	0.571834	0.885231	0.81777	0.384563	0.137953	0.399162	0.698018	1.44444	2.01894	2.41161	3.00509	1.50044	1.28312	0.959011	0.844656	0.0251644	0.735643	0.413308	0.261424	0.303022	0.676014	0.716968	0.520361	0.773134	0.712899	0.480666	0.254463	0.458892	1.52068	1.14012	0.513333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000244.3.e3307280-fd43-48ec-bfea-65dc3dbb16cb.fc.signal	0.225974	0.519076	0.198955	0	0	0.0188766	0.136073	0.360343	0.48578	0.204681	0.255015	0.454173	0.324876	0.0417341	0.0498645	0.126228	0.0400391	0	0.0122454	0.136431	0.159342	0.19561	0.144616	0.280606	0.418617	0.26593	0.241703	0.349944	0.343814	0.21631	0.211947	0.0951742	0	0	0	0	0	0.0820563	0.144662	0.0873517	0.113463	0.0319919	0.075742	0.284034	0.178216	0.190242	0.476555	0.127049
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001471.1.0c91e2e5-1304-4ccf-8240-a439ef5e19fb.fc.signal	0.563641	0.489912	0.0150656	0	0.241999	0.428496	0	0.233784	0.192575	0.0178757	0.344111	0.473761	0.252495	0.244648	0.343774	0.308903	0.220004	0.0629538	0	0	0	0	0	0	0	0.18959	0.627343	0.861035	0.285798	0.332079	0.0465248	0	0	0.203336	0.283051	0.00621467	0.300056	0.376991	0.426937	0.725406	0.0132581	0	0	0.656866	1.09717	0.573909	0.142115	0.279188
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.69656c3b-1dfd-41af-af20-57e8f19233a1.fc.signal	0.65188	0.599117	1.15238	1.54275	0.738222	0.367926	0.542759	1.04713	0.640661	0.800584	0.421701	0.209528	0.338831	0.338575	0.399143	0.599339	0.219012	0.261563	0.168917	0.539251	0.417923	0.262812	0.280331	0.39544	0	0.287843	0.327892	0.135161	0.249048	0.476723	1.77044	1.50457	0.627574	1.4852	0.515671	0.354197	0.791941	0.759121	0.878652	0.656235	0.951741	0.871226	0.84675	1.20644	1.48145	1.22494	1.83866	0.352697
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001010.4.77bd98ba-d8dd-4231-a3ba-bd69ef2d4205.fc.signal	0.189808	0.454203	0.210058	0.257766	0.233628	0.0905707	0.172636	0.189666	0.202264	0.217617	0.236903	0.231703	0.297303	0.299339	0.199086	0.188604	0.163742	0.246112	0.0830554	0.0779876	0.135229	0.0465386	0.0831845	0.0818008	0.136307	0.253045	0.0811587	0.0668119	0.190637	0.265675	0.137453	0.0634349	0.0885594	0.252359	0.0514015	0.0930696	0.21173	0.228741	0.301059	0.317858	0.39171	0.44449	0.321205	0.953532	0.665941	0.967265	0.988613	0.308271
