	chr3:56000599-56000678	chr3:56000679-56000748	chr3:56000749-56000868	chr3:56000869-56000898	chr3:56000899-56001048	chr3:56001049-56001148	chr3:56001149-56001198	chr3:56001199-56001288	chr3:56001289-56001348	chr3:56001349-56001408	chr3:56001409-56001498	chr3:56001499-56001648	chr3:56001649-56001798	chr3:56001799-56001948	chr3:56001949-56002098	chr3:56002099-56002248	chr3:56002249-56002398	chr3:56002399-56002548	chr3:56002549-56002698	chr3:56002699-56002848	chr3:56002849-56002998	chr3:56002999-56003148	chr3:56003149-56003298	chr3:56003299-56003368	chr3:56003369-56003448	chr3:56003449-56003548	chr3:56003549-56003598	chr3:56003599-56003748	chr3:56003749-56003808	chr3:56003809-56003898	chr3:56003899-56004048	chr3:56004049-56004198	chr3:56004199-56004348	chr3:56004349-56004498	chr3:56004499-56004648	chr3:56004649-56004728	chr3:56004729-56004798	chr3:56004799-56004948	chr3:56004949-56005028	chr3:56005029-56005098	chr3:56005099-56005178	chr3:56005179-56005248	chr3:56005249-56005318	chr3:56005319-56005398	chr3:56005399-56005548	chr3:56005549-56005634	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0	0.248465	0.314544	0.0123353	0	0	0	0	0	0	0	0.0271377	1.2113	0.241768	0	0.307142	0.0629087	0	0	0	0.292343	1.22487	0.798078	0.407056	0.159588	0	0	0	0	0	0	0	0	0	0	0	0	0.0160359	0.18503	0.150667	0	0.118948	0.274897	0.265976	0.181328	0.895009	0.425197
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.431398	0.166755	0.242862	0.00504567	0.156146	0.593506	0.553264	0.216997	0.147575	0.493972	1.27436	0.834522	1.15259	1.34495	2.11895	1.24234	1.13869	1.40059	1.62059	1.26461	0.902292	0.99294	0.544578	0.833864	1.70546	1.18539	0.384475	0.278521	0.30274	0.0470929	0.746844	0.475299	0.32191	0.294666	0.607552	0.995427	0.94946	0.838738	0.596048	0.376257	0.140017	0	0	0	0.19597	1.22166	0.507692
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	0.0271973	0.0970466	0.165574	0.164472	0.282057	0.568756	0.631056	0.79055	0.764232	0.966095	1.09827	1.2365	1.28425	1.09919	2.23767	2.0371	1.47621	1.42818	1.18803	0.910262	0.896873	0.365729	0.615672	0.964433	0.859825	0.726208	0.798877	0.860693	0.791989	0.99275	1.20864	0.855945	0.430536	0.177928	0.196008	0.220038	0.198908	0.188813	0.229144	0.377808	0.419449	0.379588	0.29317	0.459494	0.459196	0.542905	0.520295
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.68c7e067-2bf1-45f2-8e15-c75a696edb6c.fc.signal	0	0.0291307	0.199988	0.381717	0.523989	0.271494	0.249943	0.131542	0.0829565	0.37551	0.38781	0.655436	0.393835	0.852476	0.462225	0.360513	0.343848	0.361902	0.190474	0	0.08078	0.339602	0.588088	0.570342	0.475548	0.258617	0	0.00502767	0.13866	0.146515	0.220382	0.206972	0.0210369	0.0369227	0.323802	0.242438	0.0565143	0.0469257	0.353887	0.409	0.342676	0.364983	0.424589	0.379586	0.330248	0.342972	0.356537
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d2972a82-a806-4e56-afab-8a78ae137176.fc.signal	0	0	0.0870015	0.272284	0.107492	0.085995	0.34599	0.42677	0.432044	0.669601	0.668888	0.937104	1.15048	0.696455	0.924081	0.741246	0.932831	0.210104	0.413452	0.627087	0.460824	1.29016	0.0899189	0.924032	1.63166	0.76264	0.337961	0.0709358	0.0771658	0.521507	0.276108	0	0.782281	0.484218	0.833007	0.522326	0.0239786	0.498286	0.0475554	0.20586	0.360963	0.471062	0.35186	0.0132536	0.113208	0.343472	0.31509
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.d690d3e6-ed87-46ee-9d2a-0a5b66f16245.fc.signal	0.393569	0.322062	0.322965	0.368345	0.334172	0	0	0.0246602	0.745185	1.15745	1.47278	2.00622	3.47547	3.09073	1.98509	2.18802	1.39315	0.577138	0.234624	0.632116	0.262134	0.581353	1.112	0.539082	0	0	0	0	0	0	0	0.298036	0.365693	0.308605	0.289623	0.63423	0.63423	0.0486159	0	0.380514	0.95129	1.26846	1.42246	1.38337	1.08663	0.217542	0.497159
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.7a7e31ec-6ff6-498c-99aa-3347eef341d7.fc.signal	0.669512	0.621065	0.45989	0.476304	0.333605	0.242534	0.313377	0.241319	0.267042	0.302648	0.567329	0.471672	0.886374	0.443532	0.496748	0.493033	0.428496	0.328134	0.381207	0.259325	0.258557	0.643572	0.606058	0.793494	0.667207	0.237406	0.166253	0.0687653	0.248488	0.330488	0.0553693	0	0	0.111917	0.265752	0.319955	0.16588	0.0462261	0.0857465	0.380296	0.503108	0.632991	0.548235	0.560945	0.345677	0.204969	0.36388
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.fa7392b1-17c1-4691-ba8f-d211a0f93db5.fc.signal	0.198075	0.264629	0.728291	0.7078	0.306365	0.531562	0.763384	0.583679	0.358629	0.0180295	0.52582	0.993913	0.931363	1.178	1.29079	0.98831	1.32023	1.28852	0.574961	0.323223	0.496443	1.33009	1.19383	1.42014	1.45476	0.941777	0.801121	1.4391	1.65518	0.57476	0.321095	0.160408	0.214324	0.163292	0.434248	0.167827	0.251182	0.330693	0.0889216	0	0.299281	1.11478	1.96447	1.70139	0.628065	0.442997	0.409954
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.9b5b0cc0-4302-439e-a9d9-d779f62c822e.fc.signal	0	0.165258	0.233199	0	0	0.014374	0.262221	0.103536	0.153061	0.106473	0.231814	0.343418	0.41437	0.41073	0.276649	1.28033	0.0943651	0.792458	0.471048	0.301886	0.27339	0.873825	0.595121	0.434275	0.836227	0.875899	1.0949	0.180155	0	0.339681	0.210839	0.517123	0.338548	0.59753	0.0314857	0	0	0	0	0	0.20209	0.49368	0.409968	0.574796	0.277912	0.573005	0.346484
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.baa2a3ca-0f47-4bf7-901e-dd73f7a290b4.fc.signal	0.497611	0.847432	0.879659	1.03797	0.812762	0.936271	0.908059	0.688295	0.262869	0	0.0545071	0.234124	0.785324	0.90962	0.244751	0.396742	0.564789	0.811583	0.524393	0.280134	0.434716	0.753146	0.368032	0.644312	0.711603	0.311569	0.287945	0.181776	0	0.0981536	0.289753	0.401166	0.243444	0.635709	0.907076	0.819307	0.855481	0.257897	0.178957	0.237846	0.250087	0.398272	0.381306	1.03719	0.971298	0.47317	0.417083
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000184.3.3b461c31-8bd0-484a-b2da-6d1ab68c1acb.fc.signal	0.007459	0.59659	0.535702	0	0	0	0.106328	0.605172	0.602737	0.184555	0.207574	0.357891	0.21404	0.0724592	0.284117	0.681288	0	0.148991	0.324468	0.334884	0.0763972	0.112892	0.600319	0.505919	0.335411	0.202426	0.39381	0.251532	0	0	0	0	0	0.115366	0.586699	0.00726025	0	0.956299	0.846436	0	0.49147	0.771315	0.854499	0.558282	0.0234408	0	0.380952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000099.3.299b05eb-8cb0-4190-94cb-01cf599ffae0.fc.signal	0.631583	0.396679	0.491914	0.567966	0.379423	0.380949	0	0	0	0	0	0.465997	1.35724	0.395457	0.492737	0	0	0.376874	0.162431	0.116371	0.888937	0.502368	1.33805	0.258821	0	0.160872	0.571639	0.433646	0	0.574123	0.47682	0	0.373162	1.21108	0.640952	0.182377	0	0	0	0	0	0	0	0	1.03321	0.880812	0.278788
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.df24c052-2a81-4f1a-b170-2f4fdc228ffe.fc.signal	0.386657	0.219946	0.528603	0.590596	0.197348	0.336551	0.67403	0.333677	0.0424993	0.291963	0.721334	0.343249	1.32986	1.99499	1.81705	2.7274	2.42757	2.22132	1.35881	0.618653	0.865379	1.04134	1.00207	0.13625	0.284422	0.433307	0.400575	0.497845	0.336083	0.905478	0.663178	0.19712	1.20693	0.823059	0.467658	0.40875	0.274446	0.104458	0.296346	0.321166	0.630303	0.619144	0.382706	0.428909	0.236224	0.620283	0.587719
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.604f0a28-681a-4e69-b09a-96c7d6e32ad9.fc.signal	0.451089	0.331279	0.114447	0.242279	0.311989	0.182349	0.0943648	0.0878457	0.502173	0.924362	1.48974	1.86775	1.93052	3.0637	3.65605	3.83409	2.6193	1.3624	0.883555	0.445229	0.590676	0.669326	0.665079	0.811899	0.786541	0.545235	0.602569	0.553802	0.376663	0.335624	0.305835	0.259974	0.62152	0.328519	0.175339	0.562535	0.60536	0.33995	0.161757	0	0	0.0639843	0.267468	0.428668	0.221962	0.0270755	0.472973
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000279.2.bbb3ffa6-51c0-4409-8f26-8c7dd99f4e83.fc.signal	2.61195	1.88577	1.57914	0.994124	0.284225	0.105838	0.806524	0.770475	0.366985	0.829165	2.26662	1.14838	0.906992	1.08254	0.84365	2.8412	1.99478	0.612364	0.615986	0.733809	1.32637	0.710692	0.732552	1.52268	2.24175	2.41877	1.26586	0.503937	0.567675	1.13277	1.18455	0.391796	0.814677	1.59511	1.62407	2.70572	1.44787	0.842391	0.801692	1.60199	1.90656	2.87737	4.51955	6.65366	5.41708	5.44107	0.904635
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000992.7.80dcfe52-cdf2-4d0d-bc40-0c75abc04fc1.fc.signal	1.23786	1.24146	2.1072	1.30562	0.398452	0.512908	1.00474	1.35787	0.628142	0.993378	2.29474	3.07314	2.76351	2.05021	0.916532	1.85097	0.226234	0.0592441	0.896178	0.559177	0.701174	3.51654	1.63895	1.23566	0.700703	0.704155	0.134702	0.140215	0.012632	0	0	0.037896	0.268965	0.294212	0.354372	0.431243	0.398747	0.128773	0	0	0	0.113688	0.779609	1.62517	0.811413	1.55655	0.348214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.03cd26f6-8245-4dba-a43d-b085dc5fbdba.fc.signal	0.0679075	0.430504	0.739383	0.298181	0.0699582	0.334725	0.813233	0.918507	0.942751	0.511077	0.234247	0.439473	1.09185	0.815026	1.43823	1.06137	0.603756	1.15677	1.57131	0.58841	0.168827	0.804295	0.550757	0.355503	0.433236	0.227346	0.44023	0.896763	0.706203	0.281411	0.0321525	0.378232	0.924536	0.992541	0.772771	0.188766	0.010432	0.43642	0.58804	0.424851	0.340985	0.207422	0.306159	0.439902	0.288613	0.359963	0.450112
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.469e2b5a-9cc0-4ba2-a1af-32ae688b6e56.fc.signal	0.135273	0.183505	0.232437	0.199871	0.213241	0.382089	0.723564	0.680019	0.522561	0.453486	0.431483	0.530304	1.90671	0.533343	0.484582	1.29262	0.877958	1.26723	0.479234	0.578849	0.987115	0.751853	0.795507	0.419414	0.118852	0.108963	0.054363	0.163064	0.307965	0.300266	0.307772	0.482884	0.155413	0.252576	0.586609	0.469821	0.242936	0.294326	0.242466	0.171936	0.0848781	0.0896806	0.201344	0.250988	0.503476	0.585345	0.405848
