	chr19:4285743-4285852	chr19:4285853-4285892	chr19:4285893-4286042	chr19:4286043-4286192	chr19:4286193-4286342	chr19:4286343-4286492	chr19:4286493-4286642	chr19:4286643-4286792	chr19:4286793-4286942	chr19:4286943-4287092	chr19:4287093-4287242	chr19:4287243-4287392	chr19:4287393-4287542	chr19:4287543-4287692	chr19:4287693-4287842	chr19:4287843-4287992	chr19:4287993-4288142	chr19:4288143-4288292	chr19:4288293-4288442	chr19:4288443-4288592	chr19:4288593-4288742	chr19:4288743-4288892	chr19:4288893-4288982	chr19:4288983-4289042	chr19:4289043-4289112	chr19:4289113-4289152	chr19:4289153-4289192	chr19:4289193-4289332	chr19:4289333-4289342	chr19:4289343-4289402	chr19:4289403-4289492	chr19:4289493-4289552	chr19:4289553-4289642	chr19:4289643-4289712	chr19:4289713-4289792	chr19:4289793-4289942	chr19:4289943-4290092	chr19:4290093-4290242	chr19:4290243-4290392	chr19:4290393-4290542	chr19:4290543-4290692	chr19:4290693-4290842	chr19:4290843-4290862	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.0677	0	0.131698	0.250754	0.185561	0.910101	0.503584	0.493932	0.276745	0.207668	0.153539	0.213224	0.638203	0.387677	0.182726	0.151692	0.255179	0.272592	0.284224	0.681106	0.457436	0.135518	0.161413	0.0950392	0.0541337	0	0	0	0	0.0120308	0.156024	0.156957	0.0135874	0	0	0.0477291	0.207108	0.167637	0.195347	0.232394	0.192481	0.250211	0.388257	0.434975
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	1.52414	1.0859	0.298323	0.821571	0.310817	0.700477	0.338065	0.355211	0.649939	0.705487	0.0524749	0	0.115041	0.478322	0.432913	0.253292	0.492486	0.948755	0.751997	0.312558	0.385483	0.155624	0.104277	0.15137	0.060548	0	0	0	0	0	0	0	0.0925039	0.15137	0.0529795	0.288609	0.460386	0.639846	1.01636	0.676636	1.10113	1.18239	1.42304	0.269058
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0	0	0	0	0	0.141088	0.533932	0	0	0	0.549273	0.0495753	0	0	0	0.229709	1.3095	1.83745	1.49186	0.305081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352808	1.18876	0.609431	0.600684	0	0	0.319328
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	1.62181	0.27956	0.924028	1.41608	0.482662	3.00574	2.67544	1.45629	1.01304	0.801002	1.45032	0.281871	0.849782	1.50894	0.699041	0.6334	1.06595	1.64078	2.17692	1.18095	0.878627	0.349362	0.610603	0.50381	0.222603	0	0	0.005657	0.329925	1.13869	1.36118	0.150787	0.149978	0.332835	0.342233	0.8116	0.263588	0.194758	0.863785	1.24403	1.03813	1.06111	1.16128	0.932039
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.49e5ea45-59d8-417f-b446-420c07cf032e.fc.signal	1.42704	0.259407	0.261111	0.542829	0.310005	0.793856	0.457229	0.641362	0.164769	0.0643751	0.366507	0.457574	1.49794	0.264835	0.182365	0.239115	0.337329	0.491198	0.775185	0.676191	0.545519	0.206649	0.157299	0	0.167938	0.210029	0.209133	0.129036	0.21061	0.219657	0.611423	0.785943	0.318731	0.216443	0.0730424	0.0293	0.452225	0.382452	0.290964	0.352943	0.652236	0.332161	0.206093	0.22236
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.f30cfd28-f0bb-4e61-a8ad-120bd3fb3681.fc.signal	1.94843	0.414434	0.584715	1.01315	0.814873	1.92968	2.58327	3.65556	2.381	1.23984	0.607277	0.237199	1.65758	3.4784	2.79868	1.72855	1.34019	2.93874	3.15294	1.79437	1.61132	1.80345	0.872622	0.378618	0.0406971	0	0	0.0363985	0.25943	0.420071	0.534409	0.35054	0.0401503	0	0	0.205717	0.560354	0.777279	1.50774	1.14166	1.13917	0.963283	0.879155	0.920792
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001020.4.c512952b-84f9-420c-aa6f-798ebaf5413d.fc.signal	2.05638	0.461007	1.16951	2.55796	0.93006	1.52774	1.87429	2.14779	1.79299	1.14047	1.60697	0.888392	0.421373	1.58142	2.39264	0.951109	0.979827	2.41663	4.00575	2.31598	1.8835	0.547581	0.757144	0.519499	0.157007	0.011755	0	0.00267229	0.093562	0.134716	0.198336	0.274089	0.332843	0.183998	0.237605	0.553722	0.899893	0.481625	0.998204	1.22615	1.20818	1.47151	0.924138	0.910959
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	0.322574	0.129837	0.312057	0.631036	0.25931	0.389806	0.314535	0.404059	0.208131	0.297052	0.697168	0.417	0.162598	0.0644491	0.238683	0.299809	0.149622	0.328324	0.507227	0.392454	0.185533	0	0	0	0	0	0	0	0.035588	0.17053	0.35601	0.33522	0.0939128	0	0	0.0382732	0.351985	0.375989	0.419737	0.374996	0.28493	0.571342	0.837393	0.269307
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d2972a82-a806-4e56-afab-8a78ae137176.fc.signal	0.502409	0.38584	0.433828	0.351611	0.0621046	0.727557	0.628252	0.544629	0.120925	0.310072	0.356378	0.4841	0.121616	0.288926	0.494187	0.301477	0.336506	0.0462499	0.23182	0	0	0	0.23627	0.623045	0.320547	0	0	0	0	0	0.040503	0.40503	0.336633	0	0	0	0	0.0432032	0.897573	0.42132	0.436101	0.602232	0.40503	0.479042
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.d690d3e6-ed87-46ee-9d2a-0a5b66f16245.fc.signal	0.185674	0.19853	0.17621	0.394605	0.679638	0.293106	0.499055	0.366807	0.132574	0.517643	0.72034	0.262452	0.0513946	0.285771	0.492488	0.0605592	0	0	0	0.204628	0.282243	0.264251	0.108478	0	0	0	0	0	0.104083	0.140952	0.260703	0.259653	0.160307	0.129563	0.215884	0.40574	0.318506	0.557772	0.378828	0.00155453	0.0887152	0.264822	0.304969	0.343826
