	chr16:53619719-53619868	chr16:53619869-53620018	chr16:53620019-53620168	chr16:53620169-53620318	chr16:53620319-53620468	chr16:53620469-53620618	chr16:53620619-53620768	chr16:53620769-53620918	chr16:53620919-53621068	chr16:53621069-53621218	chr16:53621219-53621368	chr16:53621369-53621518	chr16:53621519-53621668	chr16:53621669-53621818	chr16:53621819-53621968	chr16:53621969-53622118	chr16:53622119-53622268	chr16:53622269-53622418	chr16:53622419-53622568	chr16:53622569-53622718	chr16:53622719-53622868	chr16:53622869-53623018	chr16:53623019-53623168	chr16:53623169-53623318	chr16:53623319-53623468	chr16:53623469-53623618	chr16:53623619-53623768	chr16:53623769-53623918	chr16:53623919-53624068	chr16:53624069-53624218	chr16:53624219-53624368	chr16:53624369-53624518	chr16:53624519-53624668	chr16:53624669-53624818	chr16:53624819-53624856	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0	0	0	0	0	0	0.418811	0.176548	0	0	0	0.0154965	0.198742	0.615907	0.696249	0.118483	0.119286	0.0579556	0.360637	0.747778	0.731026	0.96828	0.429275	0.939999	0.824037	1.11644	1.68754	1.04304	0.659013	0.00460067	0	0.193867	0.141386	0.0501754	0.126713	0.402477
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.609638	1.06016	1.17302	0.857189	0.633913	1.13378	1.09035	0.964859	0.814016	0.522604	0.503474	0.560851	0.620848	0.355355	0.66448	0.495168	0.370575	0.229968	0.291761	0.903038	0.335996	0.258326	0.406086	0.374512	0.586794	0.0792931	0.259933	0.443555	0.486227	0.004791	0.084641	0.640501	0.507551	0.172482	0.47923	0.745652
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.711483	0.905089	0.43422	0.375261	0.781595	0.674036	0.808684	0.952893	1.21654	1.91279	1.15759	0.460512	0.812668	0.239817	0.462105	0.277263	0.0932178	0.209261	0.128103	0.0918294	0.136058	0.31982	0.737357	0.372304	0.240801	0.518494	0.268485	0.229459	0.386036	0.123832	0.227871	0.217508	0.154566	0.216711	0.034595	0.599398
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.340087	0.838725	1.60072	2.97626	2.8289	4.36496	5.2188	4.0309	2.70578	1.44221	0.404674	0.263382	0.492449	0.136233	0.153388	0.118069	0.315855	0.125837	0.319747	0.1363	0.0718291	0.236593	0.447898	0	0.164402	0.435011	0.207011	0.304159	0.285585	0.274484	0.317873	0.561078	0.314845	0.0090822	0	0.552288
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0.67975	0.239085	1.00322	0.787573	0.167152	0	0	0	0	0.351595	0.375035	0.820388	0.632871	0	0	0.346907	0.379723	0	1.368	0.0843828	0	0	0.49118	0.937587	0.187517	0.537363	0.489703	0.125836	0.918835	0.534424	0	0	0	0	0.461538
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	1.1173	0.929916	1.09761	0.962701	0.748455	0.54993	0.854341	1.28699	1.48921	0.858752	0.801058	1.00518	0.892781	0.60279	0.367006	0.597729	0.758498	0.527281	0.36727	0.133269	0.327025	0.293805	0.270432	0.492586	0.722065	1.07912	0.524879	0.696905	0.514443	0.15582	0.452052	0.981521	0.888291	0.452483	0.15377	0.56872
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.058108	0.731129	0.975114	1.16974	1.56488	0.697247	1.29758	1.51064	1.78855	2.67268	2.14689	1.47384	0.439674	0.251801	0.397071	0.247653	0.188248	0.138228	0.16792	0.228946	0.270878	0.134471	0.323257	0.886648	0.272474	0.765909	0.685584	0.444151	0.440386	0.0642681	0.402604	0.250175	0.256644	0.0803827	0	0.526667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.a5362628-573c-4f29-aabc-203a1f7daa08.fc.signal	0.0641592	0.269685	0	0	0	0	0.334549	0.4006	0.039938	0	0.342815	0.122188	0	0	0	0	0.0362824	0.559471	0.99267	0.150475	0.286357	0.217197	0.333827	0.133293	0.146564	1.16178	1.14109	0.193032	0.256372	0	0	0	0	0.38038	0.552688	0.417614
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.49e5ea45-59d8-417f-b446-420c07cf032e.fc.signal	0.424457	0.647866	0.658438	0.820222	0.821856	0.452556	0.468875	0.464001	1.71235	2.73176	2.25487	0.724477	0	0.434575	0.0555639	0.106443	0.791226	0.554708	1.30654	0.614499	0.821192	1.33054	1.18085	0.591659	0.668126	0.754456	0.633961	0.576792	0.566321	0.602768	0.352954	0.869264	0.364324	0.165002	0	0.0680628
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003828.3.fa27d843-786a-4e79-8835-42abca97de87.fc.signal	4.47904	3.53939	2.56008	1.91828	0.822642	0.690125	1.46973	0.823496	0.380263	1.85493	1.20287	0.487367	0.425139	0	0	0.0564447	0.141687	0.642325	0.459901	0.134617	0.0298058	0.711748	0.402653	0.341333	0.561422	0.435396	0.837306	0.727979	1.25576	1.02641	0.236164	0.232686	0	0.0587475	0.34557	0.402439
