	chr11:15239067-15239156	chr11:15239157-15239216	chr11:15239217-15239236	chr11:15239237-15239366	chr11:15239367-15239516	chr11:15239517-15239596	chr11:15239597-15239666	chr11:15239667-15239726	chr11:15239727-15239816	chr11:15239817-15239906	chr11:15239907-15239966	chr11:15239967-15240116	chr11:15240117-15240266	chr11:15240267-15240416	chr11:15240417-15240476	chr11:15240477-15240566	chr11:15240567-15240646	chr11:15240647-15240716	chr11:15240717-15240786	chr11:15240787-15240866	chr11:15240867-15241016	chr11:15241017-15241106	chr11:15241107-15241166	chr11:15241167-15241246	chr11:15241247-15241316	chr11:15241317-15241466	chr11:15241467-15241576	chr11:15241577-15241616	chr11:15241617-15241696	chr11:15241697-15241766	chr11:15241767-15241816	chr11:15241817-15241856	chr11:15241857-15241916	chr11:15241917-15242066	chr11:15242067-15242186	chr11:15242187-15242216	chr11:15242217-15242366	chr11:15242367-15242516	chr11:15242517-15242666	chr11:15242667-15242816	chr11:15242817-15242966	chr11:15242967-15243116	chr11:15243117-15243186	chr11:15243187-15243266	chr11:15243267-15243336	chr11:15243337-15243416	chr11:15243417-15243456	chr11:15243457-15243566	chr11:15243567-15243716	chr11:15243717-15243866	chr11:15243867-15244016	chr11:15244017-15244145	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	1.06167	0.190675	0	0	0	0.132742	0.744366	1.06814	0.725417	0.542584	0.137297	0	0	0	0	0	0	0	0	0.650602	0.796347	0.185897	0.383401	0.88018	1.21473	0.268101	0.189633	0	0	0	0	0.282217	0.410407	0.926734	0.690363	0.56343	0.565242	0.778248	0.17922	0.379062	0.792046	0	0	0.18498	0.554205	0.405059	0.347162	0.500274	0.288932	0.566305	0.154834	0.788759	0.406852
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.1e064882-e572-482d-b86a-86e4adf3de86.fc.signal	0.727262	0.991342	1.01838	0.379495	0.169295	1.12635	0.899316	0.594261	0.464879	1.1428	1.43865	0.316919	0	0.0995269	0.501981	0.313329	0.28787	0.135327	0	0.14517	0.44068	0.410914	0.295564	0.561688	0.396606	0.830577	0.378214	0.298025	0.196988	0.00648343	0	0	0.161825	0.44922	0.293382	0.05212	0.0950531	0.273608	0.622731	0.434538	0.618595	0.206972	0.627832	1.2171	1.24761	0.82769	0.953811	0.614373	0.607137	0.803307	0.0300813	0.901454	0.448922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.c2f3aee8-0c03-4973-b136-7021565c707b.fc.signal	0	0	0	0	0	0	0.169894	0.209287	0.062961	0.10619	0.28275	0.240031	0.395302	0	0	0.0444151	0.438671	0.366676	0.266495	0.62826	0.341591	0	0	0.017489	0.471253	0.862155	0.40952	0.724501	0.622322	0	0.0209868	0.353104	0.361439	0.0903624	0	0	0	0.484127	0.65976	0	0.537868	0.062964	0	0.107801	0.621304	0.842251	0.61369	0.931266	0.827822	0.622223	1.41625	1.28218	0.273649
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.604f0a28-681a-4e69-b09a-96c7d6e32ad9.fc.signal	0.136297	0.0699403	0.128859	0.170524	0.320066	0.242227	0.159755	0.171536	0.151114	0.135502	0.074403	0.0798623	0.341939	0.471562	0.414579	0.417462	0.282179	0.0703749	0.172222	0.238887	0.147069	0.0426392	0.0950077	0.157689	0.216399	0.149785	0.0175619	0.0698675	0.118672	0.289723	0.601096	0.716552	1.06276	1.24036	1.42081	1.36621	1.32588	1.03863	0.627868	0.749153	0.98245	1.19617	1.22438	0.984637	0.941078	1.07269	1.57039	1.71344	1.64354	2.05823	1.67565	1.34657	0.380952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.02b605e5-4373-4009-a925-f6e4537147f5.fc.signal	0.263421	0.212261	0	0.132933	0.425188	0.513132	0.636375	0.470193	0.31299	0.216049	0.42421	0.452351	0.195202	0.246599	0.148161	0.0177287	0	0.0347337	0.07598	0.143551	0.353963	0.634078	0.427617	0.63105	0.836429	0.497816	0	0.190896	0.42421	0.42421	0.394516	0.00530275	0.201504	0.500609	0.569226	0.784905	0.739667	0.728344	0.378979	0	0.281396	0.309676	0.575777	0.84855	0.827339	0.583354	0.42421	0.493667	0.463859	1.09601	0.842894	0.963648	0.142857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.1fd4d0f1-41c8-41b4-882d-bbcd98fbef74.fc.signal	3.73692	2.34556	1.16589	0.488054	0.235398	0	0	0.118003	0.424819	0.467213	0	0.0516819	1.09725	1.20856	1.72935	1.19266	0.395069	0	0	0.59633	0.997859	0.457186	0	0	0	0.0599865	0.59633	1.22248	1.37156	1.19266	0.691743	0	0	0	0.00496942	1.13303	1.48287	0.671864	0.22263	1.28751	0.780104	0.753511	0.328811	0.413706	0.635053	1.46425	1.44954	2.08267	1.1016	0.620002	0.874615	2.06172	0.145161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003730.1.665ec701-8746-423d-9e1f-6b813507441b.fc.signal	0.749857	0.469255	0.06704	0.94268	0.763942	1.78596	1.7799	0.446647	0	0	0	0	0.0287973	2.08478	2.55881	1.05097	0.639002	0	0	0	0.258155	0.726701	0.901702	1.39269	1.10896	0.308508	0.695237	1.0291	1.04145	0	0	0.050276	1.29191	2.04234	1.23112	0.9928	0.148296	0	0	0	0	1.42762	1.51734	0.201789	0	0	0.296993	0.917849	0.329195	0	0	0	0.497561
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003803.1.fb97cdb0-391e-4e74-a4dc-d06dfb2e7cbb.fc.signal	2.59689	2.79501	1.86139	0.482561	0	0	0	0.28635	1.0392	1.02592	0.514221	1.07097	0.939475	0.933521	0	0.0224517	1.20412	1.28844	0.718379	0	0.852234	0.980207	0.066042	0	0	0	0	0	0	0	0	0	0.12526	0.730876	0.745496	0.961373	0.816466	0.331173	0.986417	0.88653	1.76467	0.639716	1.23451	4.72349	6.23712	4.41218	2.98614	1.31137	0.0876443	0.749621	0.724485	0.334413	0.682316
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.78755d78-d69c-44bc-a0ab-147f64c5fd5c.fc.signal	0.689776	0.101885	0	0	0.379989	0.682239	1.43428	3.05795	4.61144	3.9681	1.56221	0.34763	0.886055	0.484704	0.238226	0.0763786	0.357337	0.629179	0.693464	0.387019	0.0792667	0	0.0586105	0.289171	0.566973	0.705928	0.651865	0.944537	0.84803	0.741154	0.184252	0.0124115	0.236147	0.206618	0.004597	0.141111	0.181078	0.712395	0.72332	0.191028	0.91421	0.653924	0.457248	0.513851	0.311624	0.46718	0.74459	0.865927	1.41216	0.556498	0.596156	1.2379	0.198276
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.5f689ee3-a1ac-46cd-9df5-204fd2293fe3.fc.signal	1.71711	1.32805	1.09571	0.489294	0.848006	0.963756	0.875042	0.875597	2.13126	1.51525	0.758604	0.291057	0	0	0.0925208	0.535106	1.4714	1.79877	1.36553	0.733167	0.446887	0.118939	0	0.30611	0.802813	0.701247	0.473316	0.651178	0.184753	0	0	0	0	0.326794	1.48619	1.90964	2.12903	1.13229	0.325296	0.347632	0.698955	0.827397	0.555263	0.431958	0.630634	0.663802	0.790463	0.752165	0.777774	0.518471	1.03848	0.373101	0.511905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.af323a26-7686-421e-89db-fa2bad412a32.fc.signal	2.74146	0.785395	0.65397	0.363471	0.087564	0.190561	0.362111	0.226312	1.1992	1.59883	0.835494	0	0.342935	1.47346	2.76956	0.812894	1.3162	0.222687	0.241842	0.556967	0.592827	0.351908	0	0.00949075	0.380227	0.0972011	0	0	0	0	0	0	0	0.0666896	0.28947	0	0	0	0.761942	0.621048	0.183162	0	0.394944	0.592316	0.0445414	0	0.293546	1.18066	0.307034	0	0.0284161	0.543968	0.298496
