	chr19:54925105-54925184	chr19:54925185-54925254	chr19:54925255-54925304	chr19:54925305-54925404	chr19:54925405-54925554	chr19:54925555-54925704	chr19:54925705-54925744	chr19:54925745-54925774	chr19:54925775-54925854	chr19:54925855-54925914	chr19:54925915-54925954	chr19:54925955-54926004	chr19:54926005-54926154	chr19:54926155-54926214	chr19:54926215-54926304	chr19:54926305-54926454	chr19:54926455-54926604	chr19:54926605-54926754	chr19:54926755-54926904	chr19:54926905-54926994	chr19:54926995-54927054	chr19:54927055-54927124	chr19:54927125-54927204	chr19:54927205-54927354	chr19:54927355-54927504	chr19:54927505-54927544	chr19:54927545-54927654	chr19:54927655-54927804	chr19:54927805-54927954	chr19:54927955-54928004	chr19:54928005-54928104	chr19:54928105-54928254	chr19:54928255-54928404	chr19:54928405-54928484	chr19:54928485-54928554	chr19:54928555-54928634	chr19:54928635-54928704	chr19:54928705-54928764	chr19:54928765-54928814	chr19:54928815-54928854	chr19:54928855-54928924	chr19:54928925-54929004	chr19:54929005-54929104	chr19:54929105-54929154	chr19:54929155-54929224	chr19:54929225-54929304	chr19:54929305-54929404	chr19:54929405-54929454	chr19:54929455-54929494	chr19:54929495-54929604	chr19:54929605-54929754	chr19:54929755-54929794	chr19:54929795-54929834	chr19:54929835-54929904	chr19:54929905-54930054	chr19:54930055-54930134	chr19:54930135-54930204	chr19:54930205-54930275	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.20a7277a-189d-447e-b862-19ad112ed91b.fc.signal	0.794647	0.641991	0.82891	0.931411	1.3006	1.11875	0.577951	0.404133	0.268722	0.359011	0.417305	0.524424	0.956739	0.987714	0.539402	0.448566	0.608703	0.271293	0.296793	0.328089	0.51032	0.702408	0.994822	0.828609	0.294025	0.148014	0.217125	0.270148	0.184878	0.331596	0.375217	0.45799	0.65247	0.707664	0.573542	0.496442	0.41325	0.335544	0.349652	0.385722	0.511071	0.828556	0.862196	0.747972	0.465591	0.439966	0.320306	0.253733	0.370749	0.691	1.09809	0.647043	0.358098	0.181262	0.0979019	0.133334	0.325903	0.429059	0.373057
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.15c43137-8b62-45aa-904f-5b9257a45d2c.fc.signal	0.915862	1.32851	1.4324	1.34226	1.61512	2.01223	1.12062	0.523797	0.130951	0.0274095	0.13095	0.434873	0.772297	0.593541	0.230693	0.314371	0.734018	0.678009	0.567819	0.248363	0.156326	0.135732	0.243626	0.357319	0.753098	0.604588	0.49904	0.844991	0.529706	0.440964	0.241999	0.207488	0.627746	0.611291	0.360377	0.328165	0.578897	0.650922	0.786185	0.699589	0.535101	0.440062	0.51494	0.521427	0.557067	0.266721	0.152247	0.235099	0.345644	0.554251	0.564808	0.216218	0.146174	0.0130521	0	0.000761375	0.0678701	0.252205	0.453608
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000332.2.5497448a-601c-483d-a9cd-9eaf651148a5.fc.signal	0	0.218559	0.375615	0.591225	0.549579	0.327242	0	0	0	0	0	0	0	0	0	0.351688	0.499718	0	0	0	0	0.0452031	0.317132	0.201961	0.234235	0.37378	0.292228	0.234147	0	0	0	0.12541	0.580371	0.626043	0.25968	0.326632	0.0286131	0	0	0	0	0	0	0	0.0213589	0.883198	1.33829	0.755177	0.37378	0.591339	0.533344	0	0	0	0.137053	0.37378	0.563236	0.299077	0.529412
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.a5c54e8d-c399-4c95-b6c6-525ed1d5f1b6.fc.signal	0.385041	0.190527	0.11813	0.144551	0.418564	0.482741	0.3006	0.2672	0.05511	0	0	0	0	0	0	0.0287667	0.592997	0.123131	0.000890667	0.21376	0.2672	0.183223	0.2672	0.088176	0.114896	0.297992	0.372345	0.316115	0	0	0	0	0	0	0.12024	0.39579	0.34736	0.382987	0.4008	0.33734	0.0477143	0.0633795	0.241646	0.144467	0.0113019	0.0989273	0.0905823	0.0740164	0.0676765	0.0427734	0.0102889	0.263484	0.46212	0.41802	0.0593843	0.0618084	0.291305	0.313826	0.730159
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.bea5f21d-c715-4019-8eed-c69728473893.fc.signal	0.194469	0.398799	0.740994	0.843905	0.613399	0.883324	0.614733	0.3698	0.0831667	0.0893248	0.189435	0.369137	0.288448	0.480786	0.504168	0.86956	0.126955	0.436321	0.227991	0.844308	0.780067	0.851266	0.932174	0.404372	0.395146	0.737129	0.808347	0.660613	1.16476	1.54553	0.944586	0.270476	0.234708	0.254658	0.592642	0.827322	0.402375	0.463595	0.584098	0.451122	0.360293	0.815045	0.744456	0.1257	0	0	0.0665316	0.587923	0.770972	0.900863	0.454116	0.236438	0.18337	0	0.168793	0.100341	0.351161	0.965102	0.228188
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.26f0e8b3-e0d8-467c-92a7-4029668db296.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0674799	0.923889	0	0	0	0	0	0	0	0	0	0	0.976363	0.0711634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478088
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.afb78491-e0c2-4398-aa2a-4c98b0c4c5b7.fc.signal	1.08519	0.246834	0.0103692	0	0.335361	0.848548	0.69343	0.639425	0.207384	0	0.252748	0.725831	0.997257	1.25583	0.910967	0.9263	0.979493	1.97351	1.32378	0.878487	1.40414	1.69977	3.2563	3.09667	2.86295	2.44305	1.00091	1.0217	2.40707	3.1533	3.92446	2.45212	2.4504	0.754995	1.69503	2.12809	0.715733	0.58023	0.878541	1.49055	2.18108	2.05025	0.80762	0.790036	0.640768	1.27751	1.0683	0.399183	0.407311	1.3574	1.08875	1.49055	1.64608	1.17022	1.03172	0.725831	0.510468	0.479034	0.52381
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003692.4.370f0fb4-0bb1-4fa3-8e1d-75f06bf7b384.fc.signal	0.299765	0.0825236	0.462932	1.11311	0.408772	0.331895	0	0	0	0	0	0.175047	0.265034	0.20614	0.334639	0.026841	0	0	0.329085	0.01556	0	0	0.153169	0.248923	0.336092	0.542645	0.276892	0.106195	0.232227	0	0.0871721	0.245492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131928	0.310453	0.385758	0.211289	0.245063	0.349583	0.35009	0.0163376	0	0	0	0.637255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.85f89b17-aeba-4a6e-bcd1-5f7463b1eb27.fc.signal	1.00345	0.055719	0.19463	0.486698	0.499253	0.477964	0.303534	0.198682	0	0	0	0	0.206185	0.593788	0.248731	0.261381	0.424208	0.12004	0	0.0535833	0.637838	0.574264	0.00401875	0	0	0	0.171028	0.383134	0.651532	0.229126	0.434095	0.547497	0.776692	0.260288	0.320397	0.203145	0	0.0675675	0.70382	1.52752	1.58594	0.703037	0.821645	0.327462	0.118993	0	0	0.101346	0.31441	0.308645	0.775273	0.701861	0.313539	0.3215	0.0300067	0	0.517794	0.980248	0.250907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.99b27424-8cc1-4279-877c-81e486b3d19a.fc.signal	0.579369	0.316636	0.339413	0.274367	0.258661	0.654379	0.527637	0.288593	0.13534	0.0293237	0	0	0.109151	0.37423	0.553185	0.28053	0.701611	0.379668	0.0676352	0.0390982	0.142098	0.384536	0.540874	0.168294	0.0640609	0.13534	0.201691	0.241019	0.227358	0	0.0054136	0.277735	0.551036	0.571545	0.40946	0.241792	0.17975	0.347219	0.42208	0.551308	0.521794	0.34435	0.0807821	0	0	0.237464	0.2181	0	0.111674	0.219813	0.370115	0.375389	0.287418	0.195197	0.0387975	0	0	0	0.557803
