	chr16:31459695-31459844	chr16:31459845-31459914	chr16:31459915-31459994	chr16:31459995-31460044	chr16:31460045-31460144	chr16:31460145-31460294	chr16:31460295-31460444	chr16:31460445-31460594	chr16:31460595-31460744	chr16:31460745-31460894	chr16:31460895-31461044	chr16:31461045-31461194	chr16:31461195-31461344	chr16:31461345-31461494	chr16:31461495-31461644	chr16:31461645-31461794	chr16:31461795-31461944	chr16:31461945-31462094	chr16:31462095-31462244	chr16:31462245-31462394	chr16:31462395-31462544	chr16:31462545-31462694	chr16:31462695-31462844	chr16:31462845-31462994	chr16:31462995-31463144	chr16:31463145-31463294	chr16:31463295-31463444	chr16:31463445-31463594	chr16:31463595-31463744	chr16:31463745-31463894	chr16:31463895-31464044	chr16:31464045-31464194	chr16:31464195-31464344	chr16:31464345-31464494	chr16:31464495-31464644	chr16:31464645-31464794	chr16:31464795-31464944	chr16:31464945-31465094	chr16:31465095-31465244	chr16:31465245-31465272	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.0821181	0.0499786	0.0492637	0.0329314	0.234964	0.245864	0.320567	0.389275	0.504683	0.0768205	0.0379741	0.470949	1.02343	0.659831	0.319748	0.232636	0.359398	0.396429	0.386838	0.186443	0.0860777	0.121048	0.25199	0.315855	0.276863	0.380073	0.303887	0.0799671	0.0746465	0.108593	0.329253	0.33523	0.111317	0.164902	0.160989	0.260505	0.179002	0.0952211	0.200251	0.187824	0.609231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.0152521	0	0.0691617	0.375221	0.817852	2.01883	2.11454	2.80125	2.59552	1.78046	1.63712	2.56689	1.8862	1.29223	1.03741	0.300437	0.164446	0.385405	0.0404691	0.218869	0.117352	0.408043	0.365167	0.126176	0.204516	0.289932	0.427818	0.530354	0.936139	0.336049	0.454952	0.314579	0.122969	0.23955	0.011179	0	0	0.062283	0.479887	0.530562	0.669759
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.307146	0.557301	0.884857	1.39753	2.98222	3.29739	6.00205	4.64596	5.20818	4.98633	5.55967	3.93358	2.53847	0.787958	0.602468	0.282254	0.160941	0.289728	0.0844339	0.0518605	0.845516	0.361547	0.176172	0.159106	0.189995	0.366156	0.239637	0.260009	0.326748	0.112004	0.153717	0.229157	0.183172	0.0907277	0.113981	0.173401	0.176497	0.222642	0.342425	0.273681	0.899625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	0	0.794653	3.12246	6.11998	8.1891	12.1776	17.5516	11.0188	16.3147	9.29865	4.77037	3.08991	2.03318	1.93616	1.15745	0.629515	1.78035	1.18342	1.05112	1.84502	2.09751	1.77241	0.740239	1.01858	0.545363	0	0.53134	1.4633	3.30569	3.69853	2.62927	1.47896	0.943739	1.35341	0.482137	1.23551	1.22076	0.938023	0.901408	0.82856	0.67
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0.022575	0	0.0164895	0.892741	2.08819	2.44449	4.76119	2.13544	2.95376	0	0.17238	0.45603	1.80183	3.42877	0.850355	0	0.0315069	1.50153	1.35524	2.75157	3.06951	1.2713	0.143601	1.62566	0	0.0813099	0.952405	1.02322	1.18709	0.371582	1.07432	1.16976	0.65601	0.220002	1.89359	1.27777	0.877269	0.204213	1.5472	0.491006	0.352075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.0111005	0	0.117684	0.13667	0.286395	0.906501	3.14437	2.86271	4.47517	2.7839	2.73802	2.47338	1.21619	1.27066	0.686274	0.536863	0.324951	0.231092	0.194762	0.261365	0	0.381445	0.292648	0.154397	0.446029	0.350173	1.15259	0.546541	0.509754	0.155895	0.183248	0.0948585	0.409703	0.398603	0.33099	0	0	0	0.408527	0.423693	0.898853
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0	0.0760059	0.36237	0.300615	1.49627	2.30388	4.0539	3.55631	1.1894	1.22617	1.08163	1.43632	1.97911	0.231209	0.292383	0.719887	0.836585	0.0842283	0.388535	0.999506	0.654005	0.477656	1.35772	0.627638	0	0.354628	0.447796	0.647129	0.799937	2.22398	1.72516	0.989154	0.257836	0	0	0	0	0	0	0.702538
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.245463	0.327115	0.302937	0.329582	0.550292	1.18289	2.22163	1.9572	1.18917	1.78514	1.68991	1.8079	1.52485	0.738113	0.580641	0.245617	0.658668	1.00448	0.176048	0.161763	0.517102	0.82563	0.334139	0.226892	0.245352	0.29004	0.195803	0.398787	0.343533	0.148271	0.412114	0.0758616	0.0830377	0.464395	0.27875	0.197329	0.441309	0.554021	0.964671	0.911656	0.56873
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.0377702	0	0.355912	1.05989	2.26817	2.29971	4.20182	3.09605	3.54031	2.66776	3.86063	3.49851	1.72046	0.917623	0.568159	0.698227	0.929839	0.462288	0.181078	0.193046	0.0070624	0	0	0	0	0.163292	0.128023	0.217415	0.409016	0.141659	0.111236	0.0708761	0.0699633	0.0941639	0.108436	0.035044	0.18794	0.370155	0.157197	0.23988	0.709984
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	0.181375	0.256642	0.701781	0.601942	1.20473	1.40374	1.80863	1.66185	3.06686	1.32292	0.473244	1.12477	1.15163	1.12041	0.755724	0.750686	0.94533	0.879023	0.877508	0.830901	0.679937	0.638624	0.519137	0.546643	0.649812	0.944195	1.08942	1.32829	0.77708	1.19112	0.943039	1.25328	0.43004	0.922473	0.923766	0.943555	0.609937	1.05402	0.934564	1.02396	0.512821
