	chr21:28877370-28877519	chr21:28877520-28877669	chr21:28877670-28877819	chr21:28877820-28877969	chr21:28877970-28878119	chr21:28878120-28878269	chr21:28878270-28878419	chr21:28878420-28878569	chr21:28878570-28878719	chr21:28878720-28878869	chr21:28878870-28878919	chr21:28878920-28879019	chr21:28879020-28879169	chr21:28879170-28879319	chr21:28879320-28879469	chr21:28879470-28879619	chr21:28879620-28879769	chr21:28879770-28879919	chr21:28879920-28880069	chr21:28880070-28880219	chr21:28880220-28880369	chr21:28880370-28880519	chr21:28880520-28880669	chr21:28880670-28880819	chr21:28880820-28880969	chr21:28880970-28881119	chr21:28881120-28881269	chr21:28881270-28881419	chr21:28881420-28881569	chr21:28881570-28881719	chr21:28881720-28881869	chr21:28881870-28882019	chr21:28882020-28882169	chr21:28882170-28882319	chr21:28882320-28882453	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.154192	0.0357725	0	0	0	0.515604	0.888123	0.0764789	0	0	0	0.0493597	0.190026	0.417716	0.209697	0.154395	0.0398786	0	0	0.021179	0.252549	0.283876	0.426059	0.288792	0.0007578	0.0269911	0.894295	1.46313	0.732651	0.638215	0.550346	0.865388	0.586921	0.362276	0.0223737	0.642105
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.742218	0.532865	0.738904	0.529224	0.685914	1.06262	0.956884	0.640128	0.139913	0.587701	0.647033	0.20297	0.0739694	0.0140271	0.339719	0.465826	0.160951	0.756681	0.733266	0.301257	0.104288	0.412009	0.526786	0.310468	0.252377	0.259814	0.310897	0.291741	0.44581	0.275232	0.0781446	0.600794	0.73463	0.594013	1.10363	0.404844
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.667663	0.329051	1.79969	1.3018	1.33367	1.03655	0.77196	1.02856	1.03016	1.28982	1.24523	0.501942	0.125884	0.405732	0.184668	0.376253	0.877203	0.944926	0.71228	0.544169	0.925007	0.804701	0.465709	0.386416	0.284434	0.368888	0.109152	0.919347	0.964796	0.173392	0.366103	0.712977	0.802488	0.469812	0.830327	0.384962
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	1.42937	2.02669	3.58674	3.06853	2.23062	2.65169	1.95096	0.995983	0.469704	0.718661	0.318404	0.566542	0.883899	1.08274	0.474641	0.46904	0.844333	0.654141	1.05698	0.730708	0.697319	0.376801	0.0845719	0.395471	0.111874	0.742729	1.19712	1.04675	0.596213	0.362255	0.159443	0.352588	0.0761401	0.212262	0.951774	0.533686
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0.467002	0.425617	0.468793	0	0.153803	1.53919	0.787007	0.322863	0.876052	0.125836	0	0	0.958716	1.30325	1.03235	0.186847	0	0	0.270241	0.384861	1.1882	1.78852	0.842645	0.303357	0.535796	0.620205	1.692	0.871207	0.92816	0.867553	0.934949	1.77149	1.57477	0.825498	0.631813
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.452094	0.484073	0.463864	0.842222	0.888636	0.442287	0.441495	0.537128	1.30414	1.61257	1.15945	1.13485	0.672502	0.545381	0.675724	0.617981	0.838429	0.796899	0.754735	0.748389	0.853123	0.535646	0.875787	0.467357	0.604001	0.953887	0.774995	0.326512	0.418841	0.235982	0.359837	0.472112	0.848818	0.875322	0.710593	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.350649	0.862528	1.43725	2.31073	1.36745	1.23656	0.726107	1.27434	1.10196	1.38474	0.615901	0.168513	0.386321	0.140859	0.402519	0.462893	0.443141	0.704005	0.575252	0.714664	0.561666	0.0612748	0.16965	0.225888	0.318453	0.61799	1.47241	0.613483	0.619949	0.095944	0.20897	0.343174	0.527755	1.22688	0.81299	0.343321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.a5362628-573c-4f29-aabc-203a1f7daa08.fc.signal	0.564891	0.313352	0.204304	0.136917	0.159291	0.13845	0.181516	0.375433	0.449319	0.253844	0	0	0	0.0501648	0.540906	0.129161	0.276333	0.16183	0.148227	0.0805163	0.250829	0.15918	0.194235	0	0	0.482739	0.481646	0.539402	1.01523	1.03028	0.695929	0.643657	0.435709	0.0432823	0.0509332	0.262799
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001458.1.95d5ed16-4642-4ac8-b3c3-c6d52abdacb8.fc.signal	0.132089	0.33582	0.376105	0.548447	0.764247	0.655637	0.293153	0.617454	0.277591	0	0.111633	0.499612	0.997964	1.11927	0.47681	0.0300093	0.359927	0.506797	0.429411	0.941244	0.818694	0.550598	0.707128	0.799142	0.693157	0.297507	1.05438	1.00289	0.124518	0.302241	0.651446	1.18816	0.726023	0.640823	0.113316	0.22314
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003828.3.fa27d843-786a-4e79-8835-42abca97de87.fc.signal	0.703929	1.04862	0.503307	0.761541	1.5577	1.50931	0.882818	1.27454	1.53213	1.76508	1.30304	0.112338	0.0437735	0.642917	0.245384	0.626791	0.740825	0.281086	1.95521	2.31466	1.67522	0.841074	0.876781	1.04035	0.686652	0.864312	0.420765	0.611722	0.872945	0.182121	0.020826	0.658576	0.481215	1.23458	1.3804	0.261628
