	chr3:134640816-134640915	chr3:134640916-134640965	chr3:134640966-134641055	chr3:134641056-134641115	chr3:134641116-134641165	chr3:134641166-134641265	chr3:134641266-134641305	chr3:134641306-134641415	chr3:134641416-134641565	chr3:134641566-134641615	chr3:134641616-134641715	chr3:134641716-134641865	chr3:134641866-134642015	chr3:134642016-134642165	chr3:134642166-134642315	chr3:134642316-134642465	chr3:134642466-134642615	chr3:134642616-134642765	chr3:134642766-134642915	chr3:134642916-134643065	chr3:134643066-134643215	chr3:134643216-134643365	chr3:134643366-134643515	chr3:134643516-134643665	chr3:134643666-134643815	chr3:134643816-134643965	chr3:134643966-134644115	chr3:134644116-134644265	chr3:134644266-134644415	chr3:134644416-134644565	chr3:134644566-134644715	chr3:134644716-134644865	chr3:134644866-134644965	chr3:134644966-134645015	chr3:134645016-134645165	chr3:134645166-134645255	chr3:134645256-134645315	chr3:134645316-134645465	chr3:134645466-134645615	chr3:134645616-134645765	chr3:134645766-134645878	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.483324	1.15147	1.47759	0.848893	1.03811	2.1594	2.26256	1.16189	0.650997	0.993712	0.868864	0.502728	0.371518	0.156321	0.478326	0.20537	0.110663	0.0629063	0	0.19892	0.291222	0.12469	0.0874496	0.034297	0.0201524	0.0738281	0.217975	0.197085	0.195798	0.143056	0.222066	0.368023	0.556637	0.476308	0.19311	0.297684	0.231484	0.66843	0.609499	0.335224	0.111274	0.522005
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	1.18961	1.32709	0.374445	0.131221	0.541287	0.905901	0.436745	0.522247	0.438707	0.858055	0.765149	0.36253	0.428129	0.129078	0	0.293592	0.242555	0.351934	0.458854	0.038135	0.119505	0.367685	0	0.0381427	0.625464	0.528873	0.050765	1.79012	1.69507	5.37594	3.38551	4.1992	5.48975	1.91303	2.68533	4.1994	3.11182	2.3058	1.34424	1.10462	0.329857	0.580311
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.793891	1.90809	1.78593	0.494798	0.238522	0.856885	0.855845	0.367745	0.202289	0.176995	0.212978	0.228867	0.145118	0.0473529	0	0.00995473	0.0599781	0.0914011	0.0774163	0.179768	0.26008	0	0	0	0.0833844	0.00832533	0.0403884	0.171924	0.0549738	0.138941	0.0627782	0.0938714	0.224432	0.0475344	0.262318	0.131667	0	0	0.161613	0.397833	0.6608	0.716724
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.81777bd7-a811-47be-9ebc-c73408291448.fc.signal	1.44853	1.73946	1.58775	1.41433	1.28071	1.07728	1.31417	1.03923	1.10874	0.619547	0.41478	0.433993	0.908166	0.645897	0.420176	0.444405	0.813396	1.0099	0.433662	0.210994	0.219331	0.139287	0.310026	0.537158	0.286009	0.133452	0.438667	0.284852	0.112466	0.198037	0.278504	0.359793	0.275495	0.324458	0.446382	0.4718	0.359172	0.186293	0.392022	0.341234	0.190776	0.551282
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.52ed6dfc-f444-41dd-94ff-8e67dd11315f.fc.signal	0.691096	1.83127	2.2142	1.42016	1.10147	1.18295	0.755544	0.458902	0.356572	0.292385	0.304768	0.271756	0.312268	0.0571037	0.0772403	0.120076	0.100133	0.0084498	0.220904	0.257959	0.0801518	0	0	0	0.0962433	0.0858652	0.310634	0.22711	0.089989	0.10098	0.0445879	0	0	0.152951	0.190491	0.108634	0.195353	0.331365	0.256321	0.355478	0.528535	0.638587
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000230.3.c59c5d40-3fa1-4268-aee6-d3649316b884.fc.signal	1.54795	2.10245	2.02789	1.84805	1.23206	0.887207	0.796152	1.06733	1.2812	1.16489	0.926863	0.688422	0.480641	0.581426	0.607379	0.361202	0.381857	0.670655	0.540118	0.5109	1.06607	0.876936	0.629693	0.453623	0.88547	0.877974	1.01294	0.958739	1.03736	0.898272	0.9477	1.55604	1.0273	0.615517	1.0166	1.18487	0.873301	0.817169	1.01875	1.04598	0.718832	0.458042
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.2bdb0d55-cf7c-42db-b5e9-1e7fc8464aa8.fc.signal	0.81055	1.48545	2.35512	2.30913	1.6163	0.93915	0.764753	1.0819	0.661199	0.428667	0.781953	0.456578	0.507851	1.18171	1.05108	0.515446	1.13647	1.33315	1.1616	1.77803	0.655821	0.492729	1.06938	0.837278	0.736846	0.759475	0.660146	0.91256	0.83702	0.757288	1.34465	1.93802	3.43195	2.90081	1.41918	1.95894	2.52935	2.687	2.073	1.55663	1.49595	0.563636
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.bc3e1eea-ba58-4048-a6a7-fa645ef42e40.fc.signal	3.10952	4.01308	3.35049	1.19328	0.834315	0.900992	1.14527	1.76096	1.71306	2.7538	1.97169	1.76033	1.24868	2.91327	3.80324	5.28085	6.51138	7.85509	10.0077	9.93021	7.00125	3.73869	9.32635	4.91802	7.82856	9.68845	10.4499	9.92784	14.0768	11.6067	14.6436	15.9779	5.92615	3.34808	1.70383	3.19311	9.03988	13.6643	11.9511	9.83185	3.09615	0.535853
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.d51198c1-7a73-4d86-97a2-4552cc10d322.fc.signal	2.16313	3.21371	5.08045	3.23604	1.80188	1.4366	1.08933	1.25078	0.841624	0.335429	0.273679	0.846365	0.565551	0.608196	0.884042	0.561434	0.668877	1.22611	0.71995	0.556976	0.616591	0.956014	0.864484	0.617246	0.624415	0.591108	0.6181	0.595871	1.26157	0.616371	0.949079	1.14492	2.01629	1.33987	1.22994	1.99749	3.35913	2.84164	1.0632	0.412451	0.232212	0.603604
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.b45ed777-a5dc-4527-b410-7a0e01173bd4.fc.signal	1.6176	3.14444	3.00959	0.970263	1.2979	2.7019	1.7149	0.51923	0.500005	0.566668	0.374086	0.261301	0.799751	0.24542	0.218958	0.129421	0.218597	0.211018	0.325282	0.439883	0.131209	0.283561	0.299958	0.157427	0	0	0.108619	0.569104	0.579915	0.514306	0.371107	0.571755	1.25514	1.88003	1.7102	1.80515	1.65132	1.76931	1.33613	0.447918	0.42742	0.605327
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.3012eb3e-9d87-4c93-aaf5-58e99d8aaa84.fc.signal	2.40141	3.72861	4.15452	2.37761	1.78813	2.75264	2.52781	2.18907	1.67862	1.20959	1.23971	0.975269	0.664475	0.886732	0.986814	0.257648	0.114138	0.0485783	0.413131	0.443048	0.430304	0.0364209	0.0592213	0.140603	0.252991	0.292953	0.0828787	0.00370013	0.312213	0.40318	0.391338	0.530973	0.539319	0.741272	0.602173	0.302052	0.2219	0.075458	0.242436	0.321761	0.870483	0.611639
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.0646f25a-515d-4a28-9d49-c5b4db0fa40f.fc.signal	1.28834	4.03586	4.84246	2.12162	1.79408	4.44226	3.55649	1.20696	0.65138	0.426888	0.41589	0.265449	0.218839	0.0366937	0.139775	0.0080832	0.0279445	0.0928415	0.292665	0.236118	0.0889398	0.128127	0.326795	0.0150946	0.104318	0	0.0739299	0.218413	0.409615	0.535317	0.312465	0.931485	1.44817	2.59803	2.74471	2.47623	2.79204	2.80468	1.57707	1.10832	0.710525	0.684896
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003691.3.860bedc9-692c-462c-94be-59ab1fd7c824.fc.signal	0.630311	2.42144	3.39886	1.24235	1.23207	2.59408	2.5123	1.1994	1.25564	1.55242	0.762759	0.322559	0.365862	0.44793	0.442295	0.134062	0.0202729	0.0639537	0.0379535	0.297569	0.358858	0.356883	0.201806	0.0844404	0.185605	0.0420675	0.337832	0.705438	0.425199	0.329255	0.222244	0.102049	0.167566	0.353176	0.16506	0.391814	0.355864	0.424347	0.277551	0.0798459	0.632028	0.649789
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.54e2d258-2a9b-4416-87fd-8933cfcab4dd.fc.signal	2.84129	2.1438	2.782	3.57304	3.78626	2.43147	1.28968	1.38647	2.55736	2.71893	1.83738	2.42365	2.76982	4.21793	5.75325	6.5825	8.78201	9.27377	7.26995	5.89628	7.07061	4.03152	3.52765	9.05367	8.2486	8.41561	7.78351	11.2087	14.3499	20.2531	21.4327	20.2082	12.6507	4.31334	1.11423	3.11052	6.9937	13.567	15.4177	12.389	11.7411	0.468395
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.08c7f8f1-8d33-4b78-a437-57675e0cb0f4.fc.signal	1.1952	3.99759	4.35274	1.61238	1.58107	3.89008	3.00995	1.33773	1.23968	1.04746	0.676235	0.819068	0.839503	0.392557	0.332563	0.352637	0.237397	0.0399321	0.242529	0.0315951	0.367252	0.289855	0	0.136168	0.244651	0.222478	0.395701	0.438868	0.396802	0.582553	0.265183	0.446472	0.280549	0.329176	0.262751	0.0905373	0.277049	0.174408	0.196565	0.29803	0.492667	0.515672
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000233.3.58100d32-de3d-456a-a280-51cbf3f744ab.fc.signal	1.57323	1.76199	2.07803	2.14598	1.64021	0.974844	0.770992	1.10707	1.3235	0.799594	0.715928	0.673861	0.627653	0.393657	0.410281	0.786843	0.755372	0.547305	0.352631	0.148264	0.238681	0.456568	0.605355	0.468766	0.297049	0.546437	0.344441	0.382858	0.819669	0.923156	0.710125	0.967473	1.55871	1.57138	1.07312	0.709005	0.497056	0.426438	0.559982	0.260742	0.0650319	0.502433
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.49d57242-0349-4448-9479-911cd2c363c1.fc.signal	1.95808	3.16932	3.19905	1.35807	1.3896	3.09098	3.1722	1.52147	1.29679	0.741199	0.402243	0.785053	0.476516	0.443995	0.233523	0.252471	0.228156	0.0494711	0.297613	0.412413	0.203403	0.377992	0.177831	0.190861	0.0189744	0	0	0.0478073	0.286704	0.00640447	0.099389	0.280751	0.936035	1.30519	0.934685	1.22434	1.25858	0.773468	0.565776	0.694874	0.640537	0.720307
