	chr2:113468533-113468682	chr2:113468683-113468782	chr2:113468783-113468832	chr2:113468833-113468982	chr2:113468983-113469062	chr2:113469063-113469132	chr2:113469133-113469282	chr2:113469283-113469432	chr2:113469433-113469522	chr2:113469523-113469582	chr2:113469583-113469732	chr2:113469733-113469882	chr2:113469883-113469942	chr2:113469943-113470032	chr2:113470033-113470182	chr2:113470183-113470312	chr2:113470313-113470332	chr2:113470333-113470352	chr2:113470353-113470482	chr2:113470483-113470572	chr2:113470573-113470632	chr2:113470633-113470782	chr2:113470783-113470822	chr2:113470823-113470932	chr2:113470933-113471082	chr2:113471083-113471152	chr2:113471153-113471232	chr2:113471233-113471382	chr2:113471383-113471532	chr2:113471533-113471582	chr2:113471583-113471682	chr2:113471683-113471752	chr2:113471753-113471832	chr2:113471833-113471912	chr2:113471913-113471982	chr2:113471983-113472072	chr2:113472073-113472132	chr2:113472133-113472282	chr2:113472283-113472432	chr2:113472433-113472512	chr2:113472513-113472542	chr2:113472543-113472582	chr2:113472583-113472732	chr2:113472733-113472762	chr2:113472763-113472882	chr2:113472883-113473032	chr2:113473033-113473182	chr2:113473183-113473332	chr2:113473333-113473482	chr2:113473483-113473589	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.717905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.178864	0.198826	0	0	0	0.0821314	0.680445	0.215641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125764	0.272234	0.341813	0.304606	0.23955	0.329031	0.071865	0	0	0	0	0	0.219017	0.23955	0.163692	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845297
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.391196	0.0561697	0	0.113136	0.011951	0.0307311	0.20476	0.0199183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111543	0.0939007	0.23902	0.582412	0.0908276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.933276
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276596
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.171553	0	0	0	0	0.015137	0.295676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113528	0.242192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.938247
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909091
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0	0	0	0	0.0807292	0.15377	0.0902117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076885	0.352283	0.317797	0.0395409	0.063432	0.30755	0.144546	0.15377	0.116865	0	0.030754	0.15377	0.15377	0.0580909	0	0	0	0	0	0	0.114815	0.15377	0.0743222	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.348648	0.219358	0	0	0	0.315443	0.436778	0.176261	0.232432	0.00242117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132064	0.268265	0.0477316	0.266934	0.440652	0.0174324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897401
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	0	0	0	0	0	0	0.394269	0.0294784	0	0	0	0	0.400718	0.439099	0	0	0	0	0	0	0	0	0	0	0	0.0236879	1.37833	0.584253	0.239151	0	0	0	0	0	1.3423	1.07472	0	0	0	0	0	0.20727	0.368475	0	0	0	0	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	0	0	0	0	0	0	0.278051	0.0520561	0	0	0	0	0	0.0126967	0.322487	0.282739	0.352324	0.19045	0.01465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62406
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.cebe85ed-98d7-40f0-b727-1c2dfca5020a.fc.signal	0	0	0	0	0	0	0.0419051	0.354416	0.154234	0	0	0	0	0	0	0	0	0	0	0	0.004365	0.144919	0.13095	0.0857127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896657
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.a5362628-573c-4f29-aabc-203a1f7daa08.fc.signal	0.403366	0.263365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.889801
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001458.1.95d5ed16-4642-4ac8-b3c3-c6d52abdacb8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000244.3.e3307280-fd43-48ec-bfea-65dc3dbb16cb.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357595
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001471.1.0c91e2e5-1304-4ccf-8240-a439ef5e19fb.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0799031
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003828.3.fa27d843-786a-4e79-8835-42abca97de87.fc.signal	0.147444	0.297191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172786	0.34557	0.153203	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557377	0.542686	0	0	0	0	0	0	0	0.659607
