	chr1:149090255-149090404	chr1:149090405-149090504	chr1:149090505-149090554	chr1:149090555-149090654	chr1:149090655-149090704	chr1:149090705-149090854	chr1:149090855-149091004	chr1:149091005-149091154	chr1:149091155-149091304	chr1:149091305-149091454	chr1:149091455-149091604	chr1:149091605-149091754	chr1:149091755-149091904	chr1:149091905-149091994	chr1:149091995-149092054	chr1:149092055-149092144	chr1:149092145-149092204	chr1:149092205-149092354	chr1:149092355-149092504	chr1:149092505-149092654	chr1:149092655-149092714	chr1:149092715-149092764	chr1:149092765-149092804	chr1:149092805-149092954	chr1:149092955-149093104	chr1:149093105-149093144	chr1:149093145-149093254	chr1:149093255-149093304	chr1:149093305-149093404	chr1:149093405-149093464	chr1:149093465-149093504	chr1:149093505-149093554	chr1:149093555-149093704	chr1:149093705-149093854	chr1:149093855-149093904	chr1:149093905-149094004	chr1:149094005-149094154	chr1:149094155-149094234	chr1:149094235-149094304	chr1:149094305-149094454	chr1:149094455-149094594	chr1:149094595-149094604	chr1:149094605-149094754	chr1:149094755-149094824	chr1:149094825-149094904	chr1:149094905-149094994	chr1:149094995-149095054	chr1:149095055-149095204	chr1:149095205-149095285	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.499571	0.292343	0.0851138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159126	0.124234	0.18503	0.0904591	0	0	0	0.505747
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.242754	0.567863	0.47923	0.230011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.453027
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	4.45104	4.4634	2.28964	0.942902	0.095608	0	0	0	0	0	0	0	0	0.0159347	0.464097	0.784782	0.372473	0.130664	0.574445	0.0334628	0.0517877	0.11951	0.549746	3.97622	4.32673	2.56631	0.59103	0.807888	0.810278	0.382432	0.170302	0	0	0	0.047804	0.228264	0.351359	0.225575	0.124632	0.0191216	0	0	0.0820635	0.162192	1.5266	1.46985	0.145404	0	0	0.609756
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.445596
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.246229	0.0847672	0	0	0	0	0	0	0	0	0	0	0	0	0.13371	0.15137	0.0176598	0.0292649	0.122105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0938494	0.123258	0.128665	0.137915	0	0	0	0.653061
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512411
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0507441	0.15377	0.0326761	0	0	0	0	0	0	0	0	0	0	0	0.465565
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	2.57583	2.95301	1.63555	0.739377	0.180135	0.0135585	0	0	0	0	0	0	0	0	0.111374	0.14527	0.0460022	0.0610134	0.0890989	0	0	0	0.3341	3.63331	3.52577	1.89921	0.845133	1.41767	1.23179	0.469706	0.188851	0.0522972	0.13268	0	0	0	0.129775	0.0381334	0	0	0	0.043581	0.346711	0.425424	1.52517	1.21368	0.029054	0	0	0.551613
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.572979	0.698259	0	0	0.176869	1.31269	0.838278	0.006909	0	0	0	0	0	0	0	0	0	0	0.027636	0.421902	0.01974	0.404172	0.331629	0	0	0	0.666667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.a5362628-573c-4f29-aabc-203a1f7daa08.fc.signal	0.455558	0.413765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.487885
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001458.1.95d5ed16-4642-4ac8-b3c3-c6d52abdacb8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.567204
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000244.3.e3307280-fd43-48ec-bfea-65dc3dbb16cb.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449704
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001471.1.0c91e2e5-1304-4ccf-8240-a439ef5e19fb.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518293
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.49e5ea45-59d8-417f-b446-420c07cf032e.fc.signal	0.581691	0.24514	0.176501	0.12257	0.24514	0.0817133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024514	1.91932	1.37252	0.073542	0.0334282	0.299031	1.10294	1.10704	0.453365	0.142181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498328
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003828.3.fa27d843-786a-4e79-8835-42abca97de87.fc.signal	0.541513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32714	0.0184305	0	0	0	0	0	0	0	0	0	0	0	0.124405	0.34557	0.0789877	0	0	0	0	0	0	0	0	0	0	0.494845
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.69656c3b-1dfd-41af-af20-57e8f19233a1.fc.signal	1.09481	0.60997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115135	0.524246	0.356677	0.0221851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597328
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001918.1.9e638be4-fa7a-454b-8210-0976e280183f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.626801
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.f2b75171-e2d2-4fe1-8ece-a2ab6c448cec.fc.signal	0.232455	0.342482	0.30994	0.0836838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131724	0.652815	1.24266	0.747597	0.435241	1.01641	1.70124	1.71724	0.983863	0.260296	0	0	0	0	0	0	0	0	0	0	0	0	0.67396	0.845276	0.157553	0	0	0.705882
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.5720ead7-dd43-4b40-b17e-b9f7cda69ec0.fc.signal	0.239619	0.132908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272808	0.229662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279768	0.302502	0.0083515	0	0	0.570093
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000195.3.986cff92-5d42-4625-83db-98aad85f151e.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540816
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.ea8a1015-0f82-48f9-9c20-42da2550bfd3.fc.signal	0	0.005198	0.145566	0.254875	0.114356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12349	0.26008	0.182002	0.075371	0	0	0	0	0	0	0	0	0	0	0.121294	0.161553	0.550996	0.462346	0.0303217	0	0	0.639423
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.11a61f63-d38d-4a9b-820e-fb836fb9105a.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10894	0.2251	0.184339	0.138183	0	0	0	0.588435
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000303.2.6ad801c5-71a9-474a-9628-4aa448792462.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.470339
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000324.2.aee1956d-7eef-43f7-b3cc-8c134b0ab626.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.556391
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296567	0.097867	0.27582	0.331062	0.0753279	0.08897	0.140734	0.08897	0.062279	0	0	0	0	0.0183871	0.08897	0.120999	0.10024	0.0155697	0	0	0	0	0	0	0	0	0	0	0	0.492188
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.81777bd7-a811-47be-9ebc-c73408291448.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111271	0.26705	0.453922	2.01694	2.50294	1.78909	0.686957	0.53401	0.232329	0	0	0	0	0	0	0	0	0	0	0	0	0	0.664006	1.06811	1.06811	0.495485	0	0	0	0.49
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.8de637e5-a5d6-4185-adf0-6cd26a8c9528.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677165
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000261.2.923b8fcc-4125-4fc8-8b47-0afcc64dbae5.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.68c7e067-2bf1-45f2-8e15-c75a696edb6c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.348214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.49953b3d-9030-4a88-85fe-119abc3077c8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436548
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.52ed6dfc-f444-41dd-94ff-8e67dd11315f.fc.signal	1.89403	0.853859	0.63129	0.334594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153885	2.64432	2.08766	0.840469	0.208091	0.378852	1.1317	1.21011	0.43801	0.28414	0.00841493	0	0	0	0	0	0	0	0	0	0.730269	0.791395	1.62377	1.21357	0	0	0	0.534946
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.e0c0800b-3b56-4a12-9e86-6c2b014acbe6.fc.signal	0.285773	0.434226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515875	0.11134	0	0	0	0	0	0	0	0	0	0	0	0.486811
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.e5c74e2f-fdd7-452c-ab9b-6ee0ab9d0cdc.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.784097	1.63354	1.40211	0.0544547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.461051	0.54455	0.428831	0	0	0	0	0.382609
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.e03cd402-356e-42a8-a5d3-47467ef89fb6.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.482955
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001526.1.1f52ccac-321d-48d1-a5dd-159e559bb6f6.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529915
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d2972a82-a806-4e56-afab-8a78ae137176.fc.signal	0	0.392879	0.388829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0513038	0.340225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.580952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.20a7277a-189d-447e-b862-19ad112ed91b.fc.signal	0.4284	0.352701	0.11275	0.0694026	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233285	0.0944305	0.0401777	0	0.0361216	0.177608	0.661738	0.607993	0.112768	0.149855	0.26843	0.309267	0.22551	0.126863	0	0	0	0	0	0.0447324	0.11275	0.10551	0.00736963	0	0	0	0	0	0	0	0	0	0.53012
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000230.3.c59c5d40-3fa1-4268-aee6-d3649316b884.fc.signal	0.819269	1.18944	0.557317	0.363917	0.062373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249517	2.21775	2.89773	1.00852	0.0472523	0.303595	0.41592	0.41592	0.343116	0.112271	0	0	0.0873222	0.395119	0.386799	0.0259888	0	0	0.00594029	0.20791	1.10625	1.66357	1.25285	0.337339	0	0	0	0.436975
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.15c43137-8b62-45aa-904f-5b9257a45d2c.fc.signal	0.339047	0.501262	0.337421	0.219263	0.0231458	0	0	0	0	0	0	0	0	0.0419602	0.096435	0.12181	0.063955	0.012182	0.0316732	0.0556311	0.0233488	0.154702	0.312149	1.38818	1.52866	0.351736	0.20376	0.432437	0.646218	0.602979	0.406552	0.0706546	0.0251761	0	0	0	0.0251761	0.06091	0.06091	0.0012182	0.0500332	0.06091	0.15105	0.209694	0.177392	0.06091	0.0142123	0	0	0.408163
