	chr16:89428756-89428905	chr16:89428906-89429055	chr16:89429056-89429145	chr16:89429146-89429205	chr16:89429206-89429255	chr16:89429256-89429295	chr16:89429296-89429355	chr16:89429356-89429425	chr16:89429426-89429505	chr16:89429506-89429655	chr16:89429656-89429735	chr16:89429736-89429805	chr16:89429806-89429955	chr16:89429956-89430105	chr16:89430106-89430255	chr16:89430256-89430405	chr16:89430406-89430475	chr16:89430476-89430555	chr16:89430556-89430705	chr16:89430706-89430855	chr16:89430856-89431005	chr16:89431006-89431155	chr16:89431156-89431305	chr16:89431306-89431455	chr16:89431456-89431605	chr16:89431606-89431755	chr16:89431756-89431905	chr16:89431906-89432055	chr16:89432056-89432205	chr16:89432206-89432355	chr16:89432356-89432505	chr16:89432506-89432655	chr16:89432656-89432805	chr16:89432806-89432955	chr16:89432956-89433105	chr16:89433106-89433255	chr16:89433256-89433405	chr16:89433406-89433555	chr16:89433556-89433625	chr16:89433626-89433705	chr16:89433706-89433826	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.484443	1.05824	0.642414	0.128019	0.012562	0	0	0	0	0	0	0	0.0160844	0.225098	0.0522494	0.768773	1.27901	1.70062	2.4787	1.97744	2.21697	1.26842	1.08622	1.44248	1.74396	2.98005	3.93365	3.44064	2.75354	2.21112	2.02986	1.17958	1.6084	1.56325	0.784594	1.58052	2.87671	4.21033	2.32769	0.898456	0.902018	0.417458
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	1.58399	1.33126	1.52533	0.854522	0.33539	0.0658762	0	0	0	0	0	0	0.012776	0.23955	0.059089	0	0.811981	1.67945	3.75481	6.19987	5.73567	2.94694	3.0682	1.35481	2.15783	2.89736	1.96465	2.04327	1.96069	1.89942	2.71721	1.65622	1.61833	0.634085	0.851905	0.926243	1.5821	0.953012	1.0842	0.482377	0.199497	0.821256
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	1.04839	0.511123	0.519087	0.228552	0	0	0	0.0460967	0.23902	0.143412	0.11951	0.00512186	0.0732995	0.0462105	0.179265	0.215118	0.353408	0.848521	2.53504	3.9811	6.21499	4.97751	4.44579	3.4745	4.81097	4.5053	2.84645	4.07285	3.26425	1.68623	2.1905	1.69085	2.91718	1.83275	1.99275	1.76707	1.56673	1.32835	0.897649	0.284743	0.355661	0.0617231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	1.67712	2.28042	1.40164	0.187308	0	0	0	0	0	0	0	0	0	0	0	0.0120847	1.77103	5.29237	12.1024	14.316	17.4049	15.169	16.0922	11.6848	9.45782	15.4933	13.7319	8.93673	11.8548	18.9805	25.2337	16.0441	13.1488	9.61327	7.16042	9.35578	7.36459	4.77018	5.77474	4.31364	6.61771	0.744817
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0	2.40028	3.87829	2.29867	0.189996	0	0	0	0	0	0	0	0	0	0	0	0	0.92437	4.37778	2.58829	4.97091	4.01133	3.46962	2.85956	3.32032	4.34104	6.35922	5.37055	2.15589	1.94956	5.10618	0.228992	0.573709	2.84813	1.08193	2.09898	3.7931	2.75504	4.59779	4.24001	3.6742	0.830846
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.746849	0.93662	0.158105	0	0	0	0	0	0	0	0	0	0	0	0	0.351193	0.875954	1.07111	0.967971	1.34019	2.13507	2.53243	2.29071	2.10414	1.83454	2.97889	2.21965	3.2439	4.17713	2.7502	3.29817	2.56349	4.65646	2.57891	2.69067	4.32965	5.54948	4.14797	2.14969	0.601762	0.865779	0.0543332
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0.0419452	0.592887	0.543162	0	0	0	0	0	0	0	0	0	0	0	0	0.181786	1.19892	4.24913	7.57534	5.88443	6.74423	3.4313	4.64212	4.28102	2.66411	6.40726	5.55025	1.95778	5.55631	7.33748	4.48879	5.56032	3.53445	1.31154	2.99293	5.3354	2.66894	2.44476	2.25968	3.74087	0.62931
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.904188	0.654048	0.369057	0.15377	0.15377	0.0538195	0	0	0	0	0	0	0	0.00410053	0.15377	0.0471561	0.120819	0.341655	0.627387	1.28929	1.22719	0.839862	0.715313	0.73312	1.16405	1.81967	1.69486	1.79892	1.77506	1.11563	0.912273	0.97676	1.37507	0.793193	1.13681	1.21894	0.986199	1.5039	0.797424	0.615091	0.826056	0.0355246
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.376486	0.247744	0.180189	0.136634	0.0027398	0	0	0	0	0	0	0	0.0457467	0.408322	0.372689	0.599991	0.968191	1.98275	2.95249	3.78563	4.33627	4.37956	4.4421	2.9371	3.34835	3.60594	3.07256	3.19851	3.00817	1.4849	1.15822	0.688175	1.71314	1.27767	1.44078	1.96851	1.20643	1.15717	0.317654	0.13662	0.250447	0.0456702
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	2.94115	1.09673	0.386523	0.409929	0.0773808	0	0	0	0	0	0	0	0	0	0	0.668782	0.395449	1.02028	0.740213	0.0704853	0.588494	1.43453	1.52372	1.79988	1.97307	2.50903	2.12581	2.05808	2.61842	2.30481	2.11253	3.48325	3.17994	3.88188	2.41904	1.99266	3.23664	1.67903	1.09358	0.179633	1.21962	0.592902
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	0.866516	1.44254	2.35624	1.25786	0.703089	0	0	0.0198607	0.186675	0.605392	0.311127	0.889101	0.903642	2.70712	2.67552	2.53312	1.70982	3.38745	3.23635	2.47161	4.27397	2.28682	2.40967	3.96603	2.98265	4.40927	4.76683	3.16858	3.2941	3.51833	6.28654	2.20919	1.42415	2.91643	1.14726	1.6095	2.56916	3.2492	3.08621	1.07084	2.0911	0.293561
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000022.3.0306f18d-10d7-45c4-9e4b-9343e880bf9d.fc.signal	0.291251	0.460686	0.7926	1.27682	0.637615	0	0	0	0	0	0	0	0	0	0	0	0.0407811	0.725638	2.71218	4.94851	4.39031	4.59964	7.91714	9.66134	10.3569	9.68445	11.537	10.3887	5.92985	13.4117	18.8931	10.5037	9.11346	8.83045	7.45751	7.66349	13.1184	11.4259	11.8478	8.16622	8.48213	0.777778
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.a5362628-573c-4f29-aabc-203a1f7daa08.fc.signal	4.15028	6.50584	4.92142	1.82855	0.426332	0	0	0	0	0	0	0	0	0	0	0	0.465732	4.04765	9.45003	11.0037	6.06962	3.02881	3.49207	6.87465	13.8472	16.8669	18.5829	18.9981	13.7465	11.2553	15.1576	8.98292	6.4005	6.51171	4.57241	2.42552	0.947421	2.94449	3.12123	2.3118	2.49478	0.538714
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001458.1.95d5ed16-4642-4ac8-b3c3-c6d52abdacb8.fc.signal	3.45855	3.1152	2.49054	1.46794	0.221641	0	0	0	0	0	0	0	0	0	0	0.0716416	0.997744	2.58972	4.11221	5.59485	6.74698	8.96989	10.6376	12.8426	14.6253	9.08577	12.8536	13.8191	10.3801	10.8189	18.1546	11.5723	8.18736	10.0216	8.12982	10.668	12.3069	11.2263	12.4143	11.1731	11.1169	0.89843
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000159.3.ef7cd299-7014-4a6e-aff5-047fdd433b97.fc.signal	0.435631	2.07747	1.01942	0.130543	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0699337	2.23395	6.37363	6.35872	3.74435	3.61755	2.94627	7.67147	9.96509	7.01509	5.37041	3.58398	4.535	9.33853	3.76356	2.10774	3.77791	3.3869	9.64581	8.38752	7.26869	6.60111	4.53824	4.88217	0.816901
