	chr19:54506535-54506684	chr19:54506685-54506834	chr19:54506835-54506914	chr19:54506915-54506984	chr19:54506985-54507064	chr19:54507065-54507134	chr19:54507135-54507214	chr19:54507215-54507284	chr19:54507285-54507354	chr19:54507355-54507434	chr19:54507435-54507584	chr19:54507585-54507734	chr19:54507735-54507884	chr19:54507885-54508034	chr19:54508035-54508184	chr19:54508185-54508334	chr19:54508335-54508484	chr19:54508485-54508634	chr19:54508635-54508784	chr19:54508785-54508844	chr19:54508845-54508894	chr19:54508895-54508934	chr19:54508935-54508974	chr19:54508975-54509084	chr19:54509085-54509194	chr19:54509195-54509234	chr19:54509235-54509334	chr19:54509335-54509384	chr19:54509385-54509534	chr19:54509535-54509564	chr19:54509565-54509624	chr19:54509625-54509684	chr19:54509685-54509834	chr19:54509835-54509924	chr19:54509925-54509984	chr19:54509985-54510054	chr19:54510055-54510134	chr19:54510135-54510184	chr19:54510185-54510284	chr19:54510285-54510374	chr19:54510375-54510434	chr19:54510435-54510504	chr19:54510505-54510584	chr19:54510585-54510734	chr19:54510735-54510884	chr19:54510885-54511034	chr19:54511035-54511104	chr19:54511105-54511184	chr19:54511185-54511234	chr19:54511235-54511334	chr19:54511335-54511484	chr19:54511485-54511585	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	8.81774	8.30587	5.8225	2.78082	2.61899	1.09783	0.743088	2.08173	5.4322	8.13337	9.46585	7.31992	6.37743	8.5325	5.65559	7.31991	9.13478	5.22954	1.26872	0	0	0	0	0	0	0	0	0	0	0.241667	2.13265	2.72475	2.33446	0.86998	0.72496	0.367717	0.0135953	0	0	0	0	0	0.110762	0.24365	0.321074	0.285198	0.24342	0.36254	0.36254	0.26464	1.07169	0.857802	0.160377
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	1.72814	0.287411	1.28985	0.909799	0.0034545	0	0	0	0.027636	0.480169	1.14738	0.326438	0.377688	1.04831	1.93449	0.825383	0.223363	1.66349	0.451793	0	0	0	0	0	0	0	0	0	0	0	0	0.234903	0.805117	0.617197	0.004606	0	0	0	0	0	0	0.110544	1.32651	2.1206	0.957492	0.0257933	0	0.240262	1.26807	1.07006	0.534289	0.730567	0.171271
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.cebe85ed-98d7-40f0-b727-1c2dfca5020a.fc.signal	3.90093	2.59244	1.73151	1.54679	0.757771	0.491915	0.705327	1.14659	1.00629	0.393155	3.33613	4.32827	3.7818	1.66034	2.82298	3.29427	3.7856	4.34457	5.0585	1.4686	0.120474	0	0	0	0.0464289	0.363333	0.472606	0.128336	0.119605	0.30556	0.408098	1.34858	2.6893	2.45855	0.813942	0.1534	0.101486	0	0.453026	0.830644	0.386279	0.306805	0.954138	0.852798	0.106507	0.024444	0.13095	0.636643	1.72827	2.95238	2.3713	1.07383	0.887324
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.20a7277a-189d-447e-b862-19ad112ed91b.fc.signal	2.89246	3.12474	1.53927	0.957801	0.726998	0.845015	0.922191	1.49914	1.69891	2.13795	2.57641	3.42277	4.69813	4.22336	3.1878	3.90366	5.54686	5.89368	3.85705	1.09676	0.266134	0.143798	0.0916338	0.0189844	0	0.029631	0.0553394	0.05644	0.0501203	0.201109	0.7274	1.41629	2.16167	1.78897	1.01969	0.286785	0.129762	0.195103	0.344307	0.551563	0.82889	1.20671	1.56408	1.77265	1.39508	0.895053	1.18978	1.55773	1.91833	2.87639	4.35255	3.72318	0.612133
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.15c43137-8b62-45aa-904f-5b9257a45d2c.fc.signal	4.79231	3.5792	2.31661	1.70961	1.73724	1.83926	2.20851	2.92688	2.96603	3.94499	5.72856	6.97222	7.22517	7.2926	6.31473	6.62316	7.03853	8.0232	5.66722	1.98442	0.723571	0.137037	0.12181	0.0636746	0	0	0	0	0.0694348	0.379651	0.993746	1.66161	3.61236	3.44372	1.83114	0.646478	0.164449	0.06091	0.0334994	0.445297	0.904434	1.77835	2.49629	3.189	1.50963	0.832949	1.4138	2.92489	3.78327	4.19074	4.75804	6.27877	0.579742
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001916.1.e7613ff6-6db0-405e-a3e1-4d00a7bd21ef.fc.signal	3.03617	2.07632	0.971976	0.402456	0.297592	0.0226737	0.39679	0.980491	1.20155	3.87326	7.01716	4.60757	3.27449	2.28263	0.907259	2.80897	2.46859	3.91668	3.39355	1.15054	0.0317432	0	0	0	0	0	0	0	0	0	0.310819	0.634789	1.53145	1.28282	0.39679	0.0680211	0	0.103165	0.39679	0.185169	0	0.277753	0.595109	1.32512	0.687697	0	0	0.302504	0.79342	1.21005	0.40731	0	0.549072
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000142.3.18759d1b-59c9-4498-92ea-5d8422e5f213.fc.signal	6.80938	4.69457	3.67104	1.60076	1.51609	0.721251	0	0.0175909	0.78724	1.1852	3.57099	4.65869	7.06399	9.93856	6.66899	10.477	8.44518	3.81726	1.3607	0	0	0	0	0	0	0	0	0	0	1.06719	1.61618	2.04206	1.69521	0.434403	0.153905	0	0	0	0	0	0	0	0.196229	0.447405	0.459722	0.439178	0.725676	0.61574	0.547995	0.0123124	0	0.207238	0.387097
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001921.1.6ac99a85-2fe0-4cc8-86a0-6bf7b17d53bb.fc.signal	6.3089	3.97762	2.52504	1.30644	0.844995	0.437408	0.591494	1.48065	3.45742	5.96598	9.90873	12.2768	17.1799	23.0389	18.7776	19.0443	19.1759	15.8439	7.62904	2.52269	1.38634	0.672681	0.367822	0.172315	0.18798	0.13255	0.0569965	0	0.484242	1.00734	2.44316	3.51451	3.84189	1.9881	1.20391	0.653272	0.42415	0.381735	0.131225	0.0456561	0.13255	0.369238	0.495396	0.534608	0.114877	0	0.124976	0.240244	0.453311	0.429452	0.470102	0.879282	0.523379
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001914.1.efe1ef25-e6b3-4cdb-b8c5-2c894fd1d880.fc.signal	8.4793	2.31996	1.26501	1.6017	1.48999	0.792421	0.402029	0.164418	0.320375	1.38304	6.37496	8.48748	6.81556	12.1657	7.2365	6.99062	7.65744	4.76993	1.43786	0.0147555	0	0	0	0	0.160969	0.29511	0.483878	0.29511	0.0511524	0.19674	1.00807	1.98176	2.74001	1.15726	0.029511	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0118044	0.454837	1.3375	1.28825	0.521127
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.1e064882-e572-482d-b86a-86e4adf3de86.fc.signal	5.38808	2.85643	1.31917	0.342381	0.111776	0.00700214	0.634519	0.863078	0.272085	1.34009	5.36004	5.65356	5.57813	2.71043	3.68497	3.94715	5.41096	5.80536	7.9973	3.25051	0.290247	0	0	0	0.0327932	1.53904	2.28199	0.461458	0.215457	0.253431	0.632274	2.47094	5.47477	4.32833	1.21418	0.331592	0.0883409	0.0029588	1.20544	1.73323	0.501297	0.215112	1.43193	1.62575	0.024173	0	0.00780229	0.183201	1.07355	3.08861	2.81886	2.71745	0.626781
