	chr2:15939448-15939597	chr2:15939598-15939747	chr2:15939748-15939807	chr2:15939808-15939897	chr2:15939898-15939977	chr2:15939978-15940047	chr2:15940048-15940197	chr2:15940198-15940347	chr2:15940348-15940497	chr2:15940498-15940647	chr2:15940648-15940797	chr2:15940798-15940947	chr2:15940948-15941097	chr2:15941098-15941247	chr2:15941248-15941397	chr2:15941398-15941547	chr2:15941548-15941697	chr2:15941698-15941847	chr2:15941848-15941997	chr2:15941998-15942147	chr2:15942148-15942297	chr2:15942298-15942447	chr2:15942448-15942517	chr2:15942518-15942597	chr2:15942598-15942747	chr2:15942748-15942897	chr2:15942898-15943047	chr2:15943048-15943197	chr2:15943198-15943347	chr2:15943348-15943497	chr2:15943498-15943647	chr2:15943648-15943797	chr2:15943798-15943947	chr2:15943948-15944097	chr2:15944098-15944247	chr2:15944248-15944397	chr2:15944398-15944547	chr2:15944548-15944697	chr2:15944698-15944847	chr2:15944848-15944997	chr2:15944998-15945147	chr2:15945148-15945297	chr2:15945298-15945354	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	1.66979	0.643905	0.399072	0.273107	0.289994	0.489585	0.512023	0.306936	0.154392	0.155021	0.101085	0.173137	0.0826584	0.0438506	0.257963	0.112202	0.0739735	0.0414371	0.125329	0.129362	0.103322	0.110174	0.0912523	0.0731494	0.0904292	0.123347	0.168859	0.226903	0.186093	0.112945	0.520539	0.953793	0.954435	0.701322	0.284855	0.50637	0.309128	0.687277	0.89975	0.505959	0.620632	0.818677	0.406807	0.670533
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	4.12344	2.53291	3.19431	0.708533	1.41458	1.54834	0.763271	0.859675	0.407927	0.672443	1.11622	0.827009	1.16476	2.37091	2.0213	1.78335	0.910646	0.190419	0.972785	0.707499	0.961657	1.13216	0.102437	0	0.0581615	0.781679	1.55995	2.5888	3.05398	2.03568	3.37156	5.01756	6.77096	3.74696	6.5129	7.85679	6.79167	5.09463	3.11504	1.59948	1.06389	1.23857	1.26979	0.996656
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	3.88052	1.22552	0.784949	0.40533	0.603613	1.3733	1.51688	1.04461	0.732722	0.242205	0.972958	1.23836	1.37965	1.0214	1.06985	0.745856	0.57021	0.0262375	0.230082	0.137242	0.673554	0.15137	0.0259491	0.140017	0.541958	0.80845	1.26763	1.38267	2.17695	1.58046	2.83676	3.97833	3.77558	2.82263	2.52121	5.33388	4.75757	4.68749	3.98922	3.24603	4.18232	2.7714	1.6971	0.924441
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	6.0962	3.27088	0.72933	0.644056	1.5259	2.45919	3.93132	3.46389	1.05676	0.360751	1.02573	0.701858	2.77926	1.67597	1.77234	1.2579	1.48361	0.0584743	0.876799	0.614763	1.21633	1.29037	0.493384	0	0.495909	0.574713	0.788582	2.27004	2.7229	1.10381	2.65623	2.9769	2.34789	2.35651	1.29334	1.67531	1.74399	1.81054	3.14281	3.92565	0.62597	0.257942	1.99797	0.477645
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	2.37928	1.91457	1.1692	0.682304	1.34966	1.77194	2.00161	1.82786	1.2231	1.71924	1.42455	1.5639	1.27297	2.63503	2.52566	1.70125	1.28284	0.930664	2.06431	2.19529	1.9389	0.517964	0.133219	0	0.12069	1.07709	1.4217	1.65631	2.72803	1.32396	1.76654	1.81512	1.82968	1.24489	1.96387	1.51793	1.53945	1.54116	1.49308	1.48884	1.27754	0.659946	0.842772	0.755299
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.49e5ea45-59d8-417f-b446-420c07cf032e.fc.signal	2.23918	3.46502	4.23815	0.843301	1.89068	2.207	1.10386	1.53198	0.761481	0.252366	0.557459	0.428056	0.346849	0.205414	0.217824	0.768554	0.190635	0	0.152322	0.767288	0.206359	0.282713	0	0	0.0530687	0.559374	0.554981	0.355421	0.780242	0.616953	0.868936	2.42676	2.49692	4.16031	1.26956	3.12406	2.79239	3.00974	3.39465	2.2996	3.38125	3.64353	3.71217	0.505445
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.f2b75171-e2d2-4fe1-8ece-a2ab6c448cec.fc.signal	4.44892	4.55531	6.30102	2.45839	1.86534	2.51212	2.98519	2.03981	0.464855	0.526797	0.390496	1.95436	1.13521	1.67441	1.60726	1.17344	1.41923	0.230387	0.646603	0.685855	0.837701	0.607352	0.756975	0.263447	0.0103313	0.762338	1.93988	0.481363	1.61137	0.805707	1.6767	2.09639	3.80119	4.40367	4.80838	5.83183	5.9371	3.95669	3.93964	6.01035	5.31762	4.64454	4.29764	0.800153
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000303.2.6ad801c5-71a9-474a-9628-4aa448792462.fc.signal	1.85393	3.93921	4.22283	2.96579	2.82158	8.80071	14.3257	12.7133	7.03801	5.53723	7.1846	5.53295	5.50706	9.55369	7.09004	3.94088	8.0806	6.83866	4.94317	5.67623	7.94982	4.42883	2.45736	2.98311	4.18743	5.02126	5.03765	7.51524	4.53269	5.61022	7.42685	8.03156	5.7955	4.11607	2.78749	3.01101	3.50928	4.42557	5.70167	3.18017	0.370864	0	0.408518	0.496183
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	2.53324	2.01484	2.53194	1.35727	1.2968	1.50522	1.40384	1.62549	1.5003	0.999002	1.30209	2.0545	1.85589	2.63877	3.26051	2.27034	1.05657	0.386219	0.952765	0.907049	1.11293	1.28913	0.404256	0.15681	0.415866	0.958652	1.34075	1.73428	1.52581	1.54781	3.08845	3.19832	3.81695	4.0295	2.38478	2.74247	2.35422	3.12397	2.14277	1.24021	1.0906	1.52839	1.99005	0.877162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.81777bd7-a811-47be-9ebc-c73408291448.fc.signal	3.20863	2.27695	0.790309	0.272228	0.16796	0.330024	1.25405	2.14236	1.71151	1.08805	1.19409	1.12045	0.944205	1.87171	2.6538	1.55495	0.719262	0.509368	1.05478	0.597345	0.851238	1.3046	0.862179	0.219559	0.379175	1.50276	2.49158	2.54891	2.45043	2.46509	4.29889	5.55943	4.83415	3.99303	2.52178	1.27321	0.367559	0.299353	0.25512	0.62169	1.19547	0.950045	0.618915	0.607143
