	chr15:43257552-43257631	chr15:43257632-43257701	chr15:43257702-43257751	chr15:43257752-43257851	chr15:43257852-43257891	chr15:43257892-43258001	chr15:43258002-43258131	chr15:43258132-43258151	chr15:43258152-43258301	chr15:43258302-43258451	chr15:43258452-43258491	chr15:43258492-43258601	chr15:43258602-43258751	chr15:43258752-43258901	chr15:43258902-43258931	chr15:43258932-43259011	chr15:43259012-43259051	chr15:43259052-43259201	chr15:43259202-43259271	chr15:43259272-43259351	chr15:43259352-43259501	chr15:43259502-43259551	chr15:43259552-43259651	chr15:43259652-43259751	chr15:43259752-43259801	chr15:43259802-43259951	chr15:43259952-43260101	chr15:43260102-43260251	chr15:43260252-43260401	chr15:43260402-43260551	chr15:43260552-43260591	chr15:43260592-43260701	chr15:43260702-43260851	chr15:43260852-43260941	chr15:43260942-43261001	chr15:43261002-43261071	chr15:43261072-43261151	chr15:43261152-43261261	chr15:43261262-43261301	chr15:43261302-43261451	chr15:43261452-43261601	chr15:43261602-43261751	chr15:43261752-43261901	chr15:43261902-43261921	chr15:43261922-43262001	chr15:43262002-43262051	chr15:43262052-43262201	chr15:43262202-43262351	chr15:43262352-43262391	chr15:43262392-43262501	chr15:43262502-43262651	chr15:43262652-43262797	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0.569371	0.0438234	0	0	0	0	0	0	0	0	0.907974	3.24576	1.3767	1.9747	2.01454	0.66056	0.032223	0.729932	1.89382	0.166247	0	0	0	0	0	0.821225	1.78321	0.44456	0.847596	3.29224	2.58882	0.433964	0.170899	1.09636	3.72337	3.16743	0.0364414	0	0	0	0.92436	0.0330036	1.24004	0	0.407643	2.51465	2.92622	0.0687417	0	0.839294	1.09275	0.883578	0.432056
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.e5c74e2f-fdd7-452c-ab9b-6ee0ab9d0cdc.fc.signal	0	0	0	0.0134552	0.134103	0.244553	0.218364	0.10016	0.0619398	0.327747	0.561745	0.373332	0.254242	0.289788	0.291331	0.519727	0.873826	1.08233	0.654196	0.300103	0.0302555	0	0	0.0501127	0.173868	0.26902	0.0989704	0.288306	0.431459	0.241023	0.215008	0.251745	0.520478	0.563411	0.425487	0.27041	0.279107	0.250554	0.314336	0.643562	1.11278	1.04377	0.48052	0.415723	0.579937	0.773094	0.458126	0.273169	0.40843	0.654787	0.868148	0.926977	0.850932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.d37ba2fd-c103-41c2-a854-82a474c3bdc9.fc.signal	0.0690315	0	0	0	0	0	0	0.391502	0.44778	0.252927	0.473317	0.549585	1.57618	1.48279	0.597492	0.985242	1.04523	1.20135	1.00076	1.35829	0.356111	0	0	0.145593	0.903398	1.38381	1.54173	2.07863	2.45259	2.63358	0.583226	0.49986	0.997171	0.468548	0.127645	0	0	0	0	0	0.483835	0.785953	1.86509	1.24578	0.0273554	0.447665	1.96058	1.91368	2.08411	1.76403	1.6127	0.812036	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.f99ccc6c-1833-4f7b-8eed-cf0ddf179253.fc.signal	0.566407	0.244072	0.059304	0	0.07413	0.323407	0.431048	0.42344	0.62771	1.05558	1.49407	1.2511	0.804858	0.283916	0.14023	0.401727	0.412589	0.338385	0.138474	0.322284	0.425588	0.425051	0.651882	0.753943	0.838546	0.68413	0.510292	0.409208	0.271522	0.388614	0.640181	0.598015	0.694546	0.514457	0.1412	0.39724	0.441146	0.444017	0.490534	0.671952	0.484554	0.708281	0.807493	0.994517	0.811057	0.648375	0.688813	1.28657	1.37274	0.911265	0.926259	1.02854	0.974138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.3bd7fa2e-4676-4775-9e3e-5e080ad64395.fc.signal	0	0	0	0	0.0254327	0.290513	0.255167	0	0.0819504	0.506932	0.501723	0.601066	1.0653	0.905306	0.582762	0.717772	1.43747	1.61267	0.763313	0.217859	0	0	0	0.0799342	0.735721	1.27782	0.889021	0.711404	0.276268	0.270092	0.259188	0.129318	0.274391	0.433769	0.350144	0.158786	0.247354	0.293801	0.183441	0.195901	0.236401	0.253612	0.172727	0	0	0	0	0	0.0719593	0.991208	1.16889	0.533657	0.751953
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.26f0e8b3-e0d8-467c-92a7-4029668db296.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277538	0.570438	0.916844	0.334518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.653979	1.40655	1.93642	1.48023	2.41358	0.162162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000051.3.979897d0-cb56-457b-a6f7-b9460fb6fb55.fc.signal	0	0	0	0	0	0	0	0	0.33274	0.669498	0.0785685	0.182807	1.63897	3.55006	2.88366	0.74799	1.47253	1.76725	0.709455	0.310543	0.127417	0.3005	0.273075	0.132824	0.36572	1.2775	0.141423	0.587615	1.30964	1.0022	0.683553	0	0.103308	0.1925	0.102665	0.449531	0.541209	0.0650035	0.43037	0.522743	0.100353	0.566784	0.368845	0.566572	0.183624	0	0	0	0	0	0	0	0.0310559
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.a95e03a2-30ba-4d4b-a382-a7406068f4ff.fc.signal	0	0.00362429	0.196947	0.258029	0.260468	0.305161	0.182743	0.31814	0.685409	0.443245	0.234228	0.360211	0.538124	0.844648	0.661325	0.579212	0.36871	0.41725	0.316734	0.259674	0	0	0.0214604	0.340195	0.514882	1.16199	1.4364	1.10259	0.882041	0.428708	0.568476	0.586902	1.41517	1.08482	0.786322	1.05954	1.15075	0.943634	0.419929	0.349316	0.7017	0.684402	0.916966	0.91803	1.28661	1.20487	1.29801	0.646156	0.4744	0.539882	0.390647	0.108437	0.808696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000343.2.b68d835c-6f29-47d9-bc6d-a2a56a000741.fc.signal	0	0	0	0	0	0	0	0	0.0444548	0.371136	0.751398	0.41315	0.325525	1.4177	1.39281	0.649486	0.214564	0	0	0	0.209248	0.404201	0.846946	0.387718	0.217906	0.149922	0.571272	0.424771	0.373885	0.965676	1.14266	0.776208	0.0760777	1.04343	1.88736	1.68654	0.553313	0.311945	0.37996	0.332454	0.984386	1.6458	0.533098	0.25647	0.281935	0.131538	0.116332	0.208509	0.25331	0.164231	0	0	0.145161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.dec25b9b-6df6-4939-9e00-5325f2277db2.fc.signal	0.128581	0.155117	0.156322	0.104093	0	0	0	0	0	0.0386064	0.102342	0.158775	0.120294	0.12347	0.106993	0.136866	0.10812	0.156771	0.134341	0.0451843	0	0	0.0619921	0.148209	0.15741	0.162087	0.0500362	0.0707833	0.0995997	0.150988	0.227519	0.273276	0.165755	0.150594	0.0993988	0.033904	0	0	0.04159	0.249889	0.812431	0.470543	0.170305	0.25556	0.395374	0.726127	0.6306	0.619751	0.771624	0.720266	0.540751	0.2824	0.676856
