	chr16:29991406-29991555	chr16:29991556-29991705	chr16:29991706-29991855	chr16:29991856-29992005	chr16:29992006-29992155	chr16:29992156-29992305	chr16:29992306-29992455	chr16:29992456-29992605	chr16:29992606-29992755	chr16:29992756-29992905	chr16:29992906-29993055	chr16:29993056-29993205	chr16:29993206-29993355	chr16:29993356-29993505	chr16:29993506-29993655	chr16:29993656-29993805	chr16:29993806-29993955	chr16:29993956-29994105	chr16:29994106-29994255	chr16:29994256-29994405	chr16:29994406-29994555	chr16:29994556-29994705	chr16:29994706-29994855	chr16:29994856-29995005	chr16:29995006-29995155	chr16:29995156-29995305	chr16:29995306-29995455	chr16:29995456-29995605	chr16:29995606-29995755	chr16:29995756-29995905	chr16:29995906-29996055	chr16:29996056-29996205	chr16:29996206-29996355	chr16:29996356-29996505	chr16:29996506-29996655	chr16:29996656-29996805	chr16:29996806-29996955	chr16:29996956-29997105	chr16:29997106-29997255	chr16:29997256-29997343	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.280556	0.2304	0.247152	0.287071	0.247117	0.348672	0.316856	0.665253	0.452353	0.19583	0.238893	0.346976	0.273525	0.214425	0.363847	0.448606	0.722371	1.21752	1.78952	1.25288	1.09935	1.4405	1.30052	0.970178	0.455988	0.662005	0.268109	0.0694287	0.0535953	0.0898685	0.262768	0.213082	0.162952	0.122962	0.19051	0.733461	1.13526	1.54259	0.57994	0.405286	0.668091
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.537859	0.560677	0.768285	0.325361	0.372468	0.534106	0.472991	0.662192	0.0458616	0	0.418721	0.662944	0.572972	0.610677	0.465227	0.15718	0.426305	1.57137	2.46598	3.61374	3.83812	3.78421	3.22628	2.32663	1.63371	1.22862	1.02827	0.647727	0.153416	0.496773	0.327498	0.12088	0.249544	0.326582	0.338945	0.662155	1.90497	2.47345	2.59392	2.43423	0.363233
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.0102665	0.172154	0.289186	0.240068	0.254582	0.199707	0.518999	0.777076	0.277375	0.622359	0.782026	0.337801	0.442287	0.351768	0.310012	0.212828	0.253643	0.680486	0.712017	1.42344	2.3028	2.41995	3.02177	2.03375	1.89343	1.16937	0.270816	0.701853	1.01511	0.7951	0.495085	0.261224	0.301724	0.162332	0.413155	1.11427	1.84376	5.00722	5.04223	4.07938	0.755581
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	1.09993	0.136362	0	0.0107206	0.32928	0.313899	0.500465	1.171	1.1077	0.206866	1.02744	1.36355	0.544146	1.4036	1.45096	2.13345	2.94435	3.25829	2.66557	3.61233	6.26547	9.86577	13.6478	14.6257	11.9351	6.87393	5.55036	1.65815	0	0.113223	0.257235	0.102851	0.815856	1.14181	4.58369	6.08304	9.68781	10.7105	7.87956	8.41045	0.484694
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0.214914	1.79304	1.06278	0.340735	0.448623	0.604831	0.498959	1.7069	1.75128	1.83421	0.401035	0.364875	1.73919	1.53232	4.09359	3.82588	1.67127	1.76831	1.67304	1.48178	1.34204	5.54716	3.27069	4.42755	2.51269	2.78979	4.59037	1.98052	1.14665	0.268551	0	0.109616	0.868948	0.52175	1.32864	2.04744	2.82637	5.64487	0.457212	0.641973	0.67029
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.435939	0.503561	0.351175	0.126011	0.248266	0.878102	1.87114	1.36956	0.799315	0.605559	0.283593	0.185681	0.117059	0.0787115	0.849813	0.816548	0.483399	0.513411	0.853525	1.26164	1.17734	1.07022	1.63103	2.29301	1.73335	1.13051	0.409702	0.335536	0.116978	0.236478	0.511622	0.663813	0.790606	0.249271	0.397623	0.855299	2.55795	2.91169	2.25665	3.91886	0.754827
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	4.02188	3.75706	2.02341	0.964941	0.423285	0.501912	0.595384	0.562756	0.686684	0.575169	0	0	0.303338	1.07998	1.04357	0.577877	0.215138	0.558342	4.17502	5.15536	2.98343	3.08091	3.13295	2.95917	3.319	2.42393	2.27577	3.39519	1.05583	0.314078	0.847352	0.728677	0.374069	1.14378	1.28762	2.08365	2.30937	3.44082	1.97777	3.28814	0.66087
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.88676	0.88974	0.565884	0.60574	0.196305	0.384303	0.364004	0.478879	0.517512	0.625876	0.591884	0.172223	0.0891866	0.32805	0.868049	0.650974	0.697106	0.704282	0.706333	1.23634	1.75387	1.70331	2.3023	2.17628	1.79261	1.2032	1.96884	1.43349	0.58391	0.809818	0.302476	0.202051	0.530232	0.871962	0.541888	1.33998	2.18572	2.02357	1.96853	2.36168	0.345563
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.208238	0	0	0	0.0160579	0.265172	0.394102	0.125278	0.487232	0.540884	0.473633	0.105772	0.230087	0.154925	0.109326	0.223572	0.163697	0.601413	0.551105	0.956252	1.04756	1.43006	2.33355	2.12053	1.66614	1.43366	0.748124	0.892217	0.904513	0.782858	1.07058	0.509076	0.862514	0.791846	0.885762	1.31423	1.85844	3.71935	1.80088	2.10663	0.622362
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	0.0700112	0.353736	0.191609	0.486386	0.928556	1.31188	0.0221085	1.17175	0.552713	0.520361	0.249417	0.124117	0.596991	0.750049	0.910302	0.842765	2.50378	1.76684	0.576662	1.10542	1.49394	2.21269	2.46675	1.87674	2.12702	0.908634	0.0760673	0.254274	0.188023	0.434889	0.612954	0.0049812	0.502861	0.598102	0.504641	0.546874	1.40898	2.54899	1.64697	1.01388	0.776224
