	chr15:88853021-88853170	chr15:88853171-88853260	chr15:88853261-88853320	chr15:88853321-88853470	chr15:88853471-88853620	chr15:88853621-88853720	chr15:88853721-88853770	chr15:88853771-88853860	chr15:88853861-88853920	chr15:88853921-88853990	chr15:88853991-88854070	chr15:88854071-88854150	chr15:88854151-88854220	chr15:88854221-88854250	chr15:88854251-88854370	chr15:88854371-88854520	chr15:88854521-88854670	chr15:88854671-88854820	chr15:88854821-88854970	chr15:88854971-88855010	chr15:88855011-88855120	chr15:88855121-88855270	chr15:88855271-88855420	chr15:88855421-88855470	chr15:88855471-88855510	chr15:88855511-88855570	chr15:88855571-88855590	chr15:88855591-88855680	chr15:88855681-88855720	chr15:88855721-88855870	chr15:88855871-88856020	chr15:88856021-88856170	chr15:88856171-88856320	chr15:88856321-88856470	chr15:88856471-88856620	chr15:88856621-88856670	chr15:88856671-88856730	chr15:88856731-88856770	chr15:88856771-88856790	chr15:88856791-88856850	chr15:88856851-88856920	chr15:88856921-88857070	chr15:88857071-88857110	chr15:88857111-88857220	chr15:88857221-88857310	chr15:88857311-88857370	chr15:88857371-88857430	chr15:88857431-88857520	chr15:88857521-88857670	chr15:88857671-88857820	chr15:88857821-88857890	chr15:88857891-88857970	chr15:88857971-88858079	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.320632	0.282453	0.22404	0.0576504	0.0400579	0.11332	0.123143	0.0264797	0.29992	0.490083	0.410835	0.275662	0.133096	0.203625	0.383474	0.283297	0.265013	0.0696267	0.187046	0.270283	0.162068	0.138272	0.1906	0.015459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125344	0.466606	0.687791	0.406608	0.22537	0.184275	0.365463	0.594091	0.458016	0.678185	0.419553	0.25905	0.450502
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.0722959	0.122457	0.0687115	0.541206	0.768068	0.375393	0.15137	0.154734	0.46927	0.774304	0.677824	0.775835	0.867678	0.768076	0.704939	0.471407	0.155073	0.380278	0.116645	0.110849	0.170961	0.788465	0.36743	0.090822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0948585	0.280035	0.173387	0.0252283	0.163984	0.30274	0.443266	0.15355	0.112806	0.325535	0.221719	0.355362	0.460208
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	0.177573	0.241589	0.253457	0.349389	0.174449	0.092938	0.143729	0.345699	0.375131	0.273275	0.182795	0.318451	0.280932	0.32824	0.281327	0.0777089	0.0842646	0.120371	0	0.074831	0.0832862	0.0601708	0.0838371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0569884	0.088108	0.0614923	0.165766	0.176926	0.184335	0.128099	0.19336	0.441805	0.29734	0.108744	0.105917	0.068311	0.390244
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.49953b3d-9030-4a88-85fe-119abc3077c8.fc.signal	0.920615	0.317865	0.324193	0.816886	0.488869	0.666894	0.687022	1.0388	0.854413	0.820913	0.964784	0.61413	0.738239	0.713194	0.683792	0.586885	0.709719	0.407521	0.389004	0.458444	0.871455	0.586291	0.406689	0.311231	0.500108	0.370487	0.2779	0.256286	0	0	0	0	0	0	0	0	0	0	0.013895	0.578879	0.93281	1.06512	1.25034	1.61153	0.953957	0.379743	0.203793	0.44147	0.503818	1.21098	1.23139	1.30243	0.953388	0.439921
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.20a7277a-189d-447e-b862-19ad112ed91b.fc.signal	0.794838	0.683787	0.239301	0.284304	0.289702	0.132021	0.138821	0.260011	0.494712	0.535604	0.447872	0.398371	0.456366	0.359193	0.285618	0.175545	0.298265	0.26088	0.310005	0.652679	0.722293	0.730695	0.69874	0.341743	0.212866	0.097734	0.016932	0.00250844	0	0	0	0	0	0	0	0	0.022576	0.05644	0.112813	0.304526	0.385054	0.44903	0.350722	0.365304	0.531687	0.557336	0.550426	0.46913	0.724762	1.07297	1.16864	0.975942	0.695307	0.403446
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.15c43137-8b62-45aa-904f-5b9257a45d2c.fc.signal	0.218301	0.278818	0.316712	0.368993	0.276109	0.403203	0.381277	0.445294	0.372546	0.371531	0.417971	0.561105	0.619508	0.54613	0.212156	0.0239567	0.300548	0.382947	0.400699	0.560343	0.508848	0.45274	0.485224	0.344731	0.30453	0.0649673	0	0	0	0	0	0	0	0	0	0	0	0.065474	0.12181	0.275097	0.4655	0.454769	0.263423	0.36987	0.411459	0.629846	0.664899	0.88033	0.963563	0.784512	0.83268	0.73567	0.40798	0.503742
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.2bdb0d55-cf7c-42db-b5e9-1e7fc8464aa8.fc.signal	0.256425	0.0242494	0.212299	0.450652	0.174463	0.164811	0.0752124	0.272794	0.703213	0.624537	0.313495	0.538143	0.537711	0.525244	0.424514	0.437546	1.09158	1.09074	0.367523	0.221703	0.12425	0.163541	0.291209	0.14507	0.14507	0.0483567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208057	0.43538	0.51148	0.843152	0.3915	0.019701	0.106682	0.0690223	0	0.109534	0.460671	0.802324	0.554318
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.604f0a28-681a-4e69-b09a-96c7d6e32ad9.fc.signal	0.309245	0.489747	0.212528	0.0246539	0.147919	0.43483	0.550866	0.521157	0.508302	0.438861	0.40061	0.305359	0.201197	0.18704	0.229985	0.0726823	0	0.0411256	0.0902781	0.0119443	0.0791082	0.104781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0236823	0.187875	0.357046	0.360089	0.221619	0.08604	0	0	0	0.112215	0.25503	0.216777	0.0374371	0.5
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001963.2.142b6389-99b2-4c91-9b9d-3ef0423dd139.fc.signal	0.643861	0.427874	0.078632	0.0079456	0	0.041446	0.152757	0.222146	0.228023	0.155624	0.15224	0.282985	0.407036	0.371331	0.264524	0.484424	0.32996	0.00331627	0.0605433	0.401199	0.574638	0.328384	0.258162	0.0555426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0475696	0.338117	0.267963	0.116077	0.123576	0.177466	0.293544	0.392715	0.355645	0.402598	0.657938	0.595231	0.334598	0.449102
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.18576743-b1b7-40af-bbff-f6570943d6bc.fc.signal	0.562018	0.446056	0.385822	0.496479	0.543904	0.298951	0.238972	0.322507	0.464301	0.584461	0.60197	0.445569	0.480452	0.416312	0.866181	1.02155	1.12555	1.39509	1.32752	1.01761	0.925454	0.896014	0.642064	0.47993	0.371383	0.113671	0.05287	0.00455269	0	0	0	0	0	0	0	0	0	0.0766615	0.126888	0.275762	0.558026	0.82147	0.684536	0.412922	0.200612	0.23439	0.419331	0.627995	0.865792	0.499281	0.247708	0.53602	0.550334	0.508899
