	chr8:12426133-12426282	chr8:12426283-12426382	chr8:12426383-12426402	chr8:12426403-12426432	chr8:12426433-12426582	chr8:12426583-12426732	chr8:12426733-12426882	chr8:12426883-12427032	chr8:12427033-12427182	chr8:12427183-12427332	chr8:12427333-12427482	chr8:12427483-12427592	chr8:12427593-12427632	chr8:12427633-12427722	chr8:12427723-12427782	chr8:12427783-12427932	chr8:12427933-12428082	chr8:12428083-12428112	chr8:12428113-12428162	chr8:12428163-12428232	chr8:12428233-12428272	chr8:12428273-12428342	chr8:12428343-12428382	chr8:12428383-12428532	chr8:12428533-12428562	chr8:12428563-12428612	chr8:12428613-12428682	chr8:12428683-12428722	chr8:12428723-12428832	chr8:12428833-12428982	chr8:12428983-12429082	chr8:12429083-12429132	chr8:12429133-12429252	chr8:12429253-12429282	chr8:12429283-12429342	chr8:12429343-12429432	chr8:12429433-12429582	chr8:12429583-12429632	chr8:12429633-12429732	chr8:12429733-12429882	chr8:12429883-12429912	chr8:12429913-12430032	chr8:12430033-12430182	chr8:12430183-12430332	chr8:12430333-12430482	chr8:12430483-12430632	chr8:12430633-12430782	chr8:12430783-12430932	chr8:12430933-12431082	chr8:12431083-12431232	chr8:12431233-12431382	chr8:12431383-12431398	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.011951	0.199582	0.23902	0.179265	0.0262922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368888	0.254955	0.172094	0.00170729	0	0	0	0	0	0	0.095608	0.133453	0.482024	0.838163	0.315506	0.111144	0.0549746	0	0	0	0	0	0	0	0	0	0	0	0	0.805797
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.113023	0.231596	0.15137	0.075685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0397328	0.198454	0.144115	0.153986	0.1847	0.29054	0.180927	0	0	0	0	0	0	0	0.136554	0.0987836	0.14527	0.0338963	0	0	0	0.0329279	0.245022	0.0222747	0	0	0	0	0	0	0.72818
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.52ed6dfc-f444-41dd-94ff-8e67dd11315f.fc.signal	0.0873049	0.15778	0.126224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087906	0.276243	0.222036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137363
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.e03cd402-356e-42a8-a5d3-47467ef89fb6.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378788
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.2bdb0d55-cf7c-42db-b5e9-1e7fc8464aa8.fc.signal	0.157658	0.143619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164492	0.29032	0.174124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208556
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.b5568014-372c-40aa-9405-3d27c34b9363.fc.signal	0	1.10448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288591
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.b45ed777-a5dc-4527-b410-7a0e01173bd4.fc.signal	0.0550993	0.302259	0.295175	0.11807	0.0968174	0.0558865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0556225	0.33489	0.059035	0.11807	0.11807	0.0560832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258856
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001851.4.627c47c9-d19a-4fba-9f0d-ed8820985d99.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15674
