	chr8:37742196-37742345	chr8:37742346-37742395	chr8:37742396-37742495	chr8:37742496-37742575	chr8:37742576-37742645	chr8:37742646-37742795	chr8:37742796-37742945	chr8:37742946-37743095	chr8:37743096-37743245	chr8:37743246-37743395	chr8:37743396-37743545	chr8:37743546-37743695	chr8:37743696-37743845	chr8:37743846-37743995	chr8:37743996-37744145	chr8:37744146-37744295	chr8:37744296-37744445	chr8:37744446-37744595	chr8:37744596-37744745	chr8:37744746-37744825	chr8:37744826-37744895	chr8:37744896-37745045	chr8:37745046-37745195	chr8:37745196-37745345	chr8:37745346-37745495	chr8:37745496-37745645	chr8:37745646-37745795	chr8:37745796-37745945	chr8:37745946-37746095	chr8:37746096-37746245	chr8:37746246-37746395	chr8:37746396-37746545	chr8:37746546-37746695	chr8:37746696-37746845	chr8:37746846-37746995	chr8:37746996-37747145	chr8:37747146-37747295	chr8:37747296-37747445	chr8:37747446-37747595	chr8:37747596-37747745	chr8:37747746-37747815	chr8:37747816-37747895	chr8:37747896-37748045	chr8:37748046-37748069	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.468608	0.963668	0.698631	0.223203	0.210414	0.141083	0.340842	0.711664	0.632966	0.439724	0.365348	0.341485	0.466392	0.259136	0.269227	0.408108	0.168385	0.0898269	0.638298	1.00327	0.928977	0.486382	0.391203	0.615818	1.06599	1.13999	1.05839	0.546807	0.135323	0.287894	0.201207	0.276089	0.447161	0.183471	0.469444	1.56867	2.09563	2.47609	1.68677	1.17088	0.907623	0.638325	0.361474	0.145477	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.cebe85ed-98d7-40f0-b727-1c2dfca5020a.fc.signal	0.576004	0.144849	0	0.010894	0.277838	0.963537	0.752573	1.21137	0.615471	0.685696	0.521729	0.482416	0.657637	0.329863	0.281178	0.667886	1.27427	1.01773	0.550086	0.618125	0.971481	0.927558	0.641172	0.948954	0.739907	0.446071	0.252636	0.184033	0.192384	0.729934	0.567793	0.39807	1.45947	0.762111	0.61635	0.733276	1.21119	3.50392	4.72315	4.09729	3.36824	2.3234	1.84617	1.86072	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001016.4.fc2ea977-cbc8-4d3a-ab74-ef1a08c9be39.fc.signal	0.686895	0	0	0.165261	0.459891	0.248375	0.285123	0.658023	0.685006	0.593105	0.741444	1.01768	0.296688	0.280294	0.111986	0.339056	0.91917	0.475044	1.27298	1.69369	1.12182	1.54787	0.713258	0.149876	0.423718	0.468571	0.0470182	0.177911	0.430295	0.507653	0.990492	0.98582	0.752844	0.833405	0.391347	0.19492	0.656578	2.19009	3.27408	3.13403	3.19787	1.54583	0.481782	0.738202	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.8de637e5-a5d6-4185-adf0-6cd26a8c9528.fc.signal	0	0	0	0	0.0152391	0.821175	0.861295	1.0451	1.30577	0.664771	1.22715	0.688679	0.790241	0.277962	0.54017	0.703505	1.6933	1.65813	1.18396	0.795628	0.631913	0.385308	0.190552	0.0640805	0.0560056	0.24924	0.717314	0.78734	0.573881	0.950908	0.403674	0.685474	1.21678	0.960706	1.31265	2.70099	2.82481	3.01063	1.1309	2.3892	3.13823	1.47277	0.74426	1.65034	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000230.3.c59c5d40-3fa1-4268-aee6-d3649316b884.fc.signal	0.601695	0.171781	0.007123	0	0	0	0.372329	0.998476	0.707371	1.41212	1.29962	0.567152	0.111374	0	0.184356	1.05203	0.955841	0.77482	1.06443	0.983075	0.911134	1.35298	3.03938	2.13341	0.504789	0.59295	0.170864	0	0	0.299559	0.497893	0.524249	1.61671	0.997276	0	0.101217	0.880678	1.8415	2.03094	1.60311	1.35862	1.15749	0.915533	0.609472	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.c9356221-6b90-4965-9d95-323075444bf6.fc.signal	0.178526	0.134334	0.0645573	0.154755	0.275595	0.214044	0.424383	0.790873	0.348706	0.394675	0.598054	1.11234	1.15076	0.850992	0.637222	0.690476	0.545934	0.845479	0.597441	0.533741	0.453263	0.361709	0.708756	0.462513	0.44964	0.51744	0.239463	0.195097	0.813791	1.23915	1.10668	1.4737	1.18785	0.942461	1.5386	2.18058	3.57126	2.61801	1.91651	1.13605	0.915727	0.718858	0.850911	0.888435	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003848.5.24421c99-53f4-4f1c-8ef1-69e3df8de28a.fc.signal	0	0	0.202803	0.486629	0.210443	0.287302	0.899148	0.529001	0.42264	0.214348	0.273573	0.763905	1.07262	0.924003	1.0231	0.990799	0.307489	0.0265618	0.497383	0.647153	0.4475	0.356947	0.590607	1.00012	0.206767	0.606312	0.88643	1.0407	1.26721	1.49524	0.953905	0.479132	2.14949	2.57329	3.17207	3.8892	6.44144	5.10653	7.10127	4.79799	2.37662	1.26291	1.95898	1.32628	0.91342
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.6f165533-6331-40e2-865d-21b081721374.fc.signal	0.410495	0.14597	0.087582	0	0.224991	0.913312	0.618492	0.602067	1.02223	0.799352	1.04127	1.04255	1.91246	1.38386	0.307989	0.278203	0.597478	0.210776	0.550473	0.65952	0.721332	0.331766	0.293635	0.494819	0.296527	0.560525	1.38227	0.796249	1.43716	1.85768	1.66022	0.467241	1.26651	2.04191	1.35114	2.37528	1.59751	1.58786	3.26591	3.2229	0.749161	0.297854	1.13878	0.824027	0.647887
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.c02216f5-387b-4ad0-b451-f30307b31d6f.fc.signal	0.324582	0.240847	0.12686	0.157423	0.439846	0.799609	0.790516	0.701171	0.825466	1.26174	0.572064	0.266516	0.413838	0.302834	0.365868	0.404139	0.410721	0.763704	0.624085	0.235047	0.141613	0.227249	0.166014	0.142694	0.127908	0.405148	1.09185	1.08202	0.941989	1.19452	0.660989	0.4353	0.730302	0.706336	0.76724	1.08029	2.15575	4.55401	4.15565	4.14057	2.93948	2.05331	1.3495	0.785936	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000332.2.5497448a-601c-483d-a9cd-9eaf651148a5.fc.signal	0	0	0.0149512	0.37378	0.37378	0.0647885	0.565767	0.328014	0	0	0	0	0.0153563	0.402022	0.973313	1.67528	0.353486	1.01979	0.541144	0.387333	0.338346	0.480466	1.09909	0.426472	0.521516	0.156509	0.679746	0.19655	0.504082	0.402363	0.15886	0.155192	0.763664	1.30404	0.37549	1.17565	3.33873	4.17977	4.89308	7.14878	3.21607	1.7717	0.910989	1.51382	0.566038
