	chr1:181728675-181728734	chr1:181728735-181728824	chr1:181728825-181728904	chr1:181728905-181728974	chr1:181728975-181729034	chr1:181729035-181729084	chr1:181729085-181729124	chr1:181729125-181729224	chr1:181729225-181729274	chr1:181729275-181729424	chr1:181729425-181729574	chr1:181729575-181729724	chr1:181729725-181729874	chr1:181729875-181730024	chr1:181730025-181730174	chr1:181730175-181730324	chr1:181730325-181730474	chr1:181730475-181730624	chr1:181730625-181730714	chr1:181730715-181730774	chr1:181730775-181730924	chr1:181730925-181731074	chr1:181731075-181731224	chr1:181731225-181731374	chr1:181731375-181731524	chr1:181731525-181731674	chr1:181731675-181731824	chr1:181731825-181731884	chr1:181731885-181731974	chr1:181731975-181732034	chr1:181732035-181732124	chr1:181732125-181732194	chr1:181732195-181732274	chr1:181732275-181732424	chr1:181732425-181732524	chr1:181732525-181732574	chr1:181732575-181732724	chr1:181732725-181732834	chr1:181732835-181732874	chr1:181732875-181733024	chr1:181733025-181733174	chr1:181733175-181733324	chr1:181733325-181733474	chr1:181733475-181733624	chr1:181733625-181733731	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.270734	0.253552	0.103502	0	0	0	0.0460215	0.40827	0.876962	0.73519	0.684854	0.333181	0.177519	0.282999	0.401349	0.198465	0.408657	0.270035	0.33871	0.311436	0.36318	0.458829	0.311869	0.487109	0.274207	0.342657	0.343534	0.0651423	0.105545	0.219286	0.187549	0.0352059	0.038631	0.0743347	0.0829296	0.0753798	0.108411	0.0980772	0.117824	0.167739	0.165576	0.185689	0.324713	0.118811	0.0590101	0.666667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0.410194	0.70319	0.263696	0	0	0	0	0	0	0	0	0.258039	0.296597	0	0	0	0.155966	0.22919	0.32201	0.411527	0.217376	0.977325	0.379723	0.684438	0	0	0	0	0.368783	0.70319	1.37513	2.05933	0.984466	0.15939	1.13214	0.99853	0.206269	0	0	0	0	0.658128	0.0457584	0	0	0.423077
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000353.2.d5aa2b31-e719-4799-8359-f5ba7c375e73.fc.signal	0	0	0	0	0	0	0	0.023363	0.46726	0.451685	0	0	0	0.271011	0.635474	0.339542	0	0	0	0.155753	0.46726	0.404959	0.672854	0.261666	0	0	0	0	0	0	0	0	0	0	0.285029	0.46726	0.277241	0	0	0.32361	0.108723	0	0.363675	0.133712	0	0.804965
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	0.188004	0.133961	0.0433929	0	0	0	0	0	0.03333	0.100091	0.213101	0.372228	0.241681	0.189298	0.0849498	0.308976	0.364389	0.150598	0.234288	0.354132	0.304271	0.0953323	0.0144778	0.112497	0.179437	0.199254	0.301411	0.36613	0.477989	0.483331	0.219533	0.0863854	0.129652	0.0686301	0	0	0.0211673	0.127789	0.135329	0.0294329	0.127817	0.224751	0.0598733	0.13065	0.267784	0.462877
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.68c7e067-2bf1-45f2-8e15-c75a696edb6c.fc.signal	0.052938	0	0	0	0	0	0	0	0	0.251728	0.4108	0.423156	0.273349	0.431389	1.21962	1.09193	1.12284	0.833966	0.383517	0.0424692	0.849432	0.809272	0.65944	0.0741288	0.253276	0.455586	0.356666	0.23529	0.220038	0.379703	0.480164	0.539326	0.738394	0.554543	0.942835	0.750556	0.471029	0.202167	0.0289562	0.381457	0.213121	0.027798	0.542196	0.221667	0.114743	0.540902
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d2972a82-a806-4e56-afab-8a78ae137176.fc.signal	0.417816	0.353793	0.408844	0.231446	0	0	0	0.352376	0.624455	0.494014	0.299757	1.6771	0.69942	1.16938	1.39679	0.48172	0.918473	0.73645	0.688608	0.979275	1.53602	0.691063	1.01757	1.34116	0.780507	0.96937	0.34572	0.366585	0.18714	0.08952	0	0	0.102107	0.201255	0.348326	0.40503	0.0243018	0	0	0.696349	0.543831	0.629246	0.054004	0.281254	0.00836598	0.495402
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000308.2.8dd08285-52b6-49fe-8f83-344760bca02e.fc.signal	1.42669	0.11578	0	0	0	0	0.427973	0.7443	0.7443	0.133974	0.66987	0.32253	0.977564	1.00734	0	0	0	0	0	0	0.734376	0.258024	0	0	0.542247	0.140362	0	0	0	0	0	0	0	0.317568	0.7443	0.535896	0	0	0.279113	0.668245	0.153076	0	0	0	0	0.95
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.d690d3e6-ed87-46ee-9d2a-0a5b66f16245.fc.signal	0.52598	0.343792	0.273673	0.158032	0.24587	0.176763	0.12274	0.0751834	0.243438	0.658427	0.887246	0.851002	0.422094	0.544862	0.569557	0.638516	0.824602	0.876146	0.722893	0.769514	0.556099	0.312972	0.284968	0.416741	0.524966	0.624197	0.283887	0.086636	0.10213	0.131418	0.251592	0.25005	0.183545	0.121557	0.374182	0.601506	0.48038	0.238424	0.169755	0.028895	0.0213946	0.526174	0.543111	0.122559	0.0338924	0.0996785
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000265.2.ac61a378-e845-4fcf-9b87-5aebeef69444.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973872	0.817755	1.07795	1.7433	0.86112	0.483219	0.55756	0.203281	0.514605	1.52125	0.412037	1.21102	1.93099	1.76763	1.02833	0.420823	0.00502489	0	0.13939	2.14846	2.58708	1.19318	0.0223024	0	0	0	0	0.538975	1.78419	2.53132	0.541927	0.933594
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.d51198c1-7a73-4d86-97a2-4552cc10d322.fc.signal	0.482157	0.917435	0.651158	0.0700633	0	0	0.013375	0.69163	1.07507	0.553395	0.451663	0.193062	0.384212	0.79735	0.809595	0.609333	0.51974	0.741227	1.2469	1.03149	0.704796	0.781311	0.544034	0.53118	0.759563	1.70983	1.30605	1.07163	1.25044	2.36211	2.78881	2.04439	1.50011	1.97375	1.34388	0.459716	0.404355	1.21431	0.550462	0.785609	0.443697	0.719033	0.753231	0.872909	1.29533	0.773234
