	chr16:488634-488783	chr16:488784-488933	chr16:488934-489083	chr16:489084-489233	chr16:489234-489383	chr16:489384-489533	chr16:489534-489683	chr16:489684-489833	chr16:489834-489983	chr16:489984-490133	chr16:490134-490283	chr16:490284-490433	chr16:490434-490583	chr16:490584-490733	chr16:490734-490883	chr16:490884-491033	chr16:491034-491183	chr16:491184-491333	chr16:491334-491483	chr16:491484-491633	chr16:491634-491783	chr16:491784-491933	chr16:491934-492083	chr16:492084-492233	chr16:492234-492383	chr16:492384-492533	chr16:492534-492683	chr16:492684-492833	chr16:492834-492983	chr16:492984-493133	chr16:493134-493283	chr16:493284-493433	chr16:493434-493583	chr16:493584-493733	chr16:493734-493768	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.0737497	0.132724	0.122204	0.0162473	0.0643837	0.268145	0.414026	0.105749	0.147469	0.217921	0.264491	0.128547	0.155201	0.0699277	0.0893853	0.190658	0.243995	0.198202	0.301249	0.161722	0.162436	0.0893065	0.132425	0.11576	0.0714511	0.0849501	0.118229	0.173234	0.220406	0.253733	0.248826	0.184678	0.267572	0.0778654	0.141263	0.493906
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.0501942	0.313272	0.0781993	0.0282779	0.0470073	0.734588	0.174485	0	0	0.0770497	0.253637	0.119349	0.223066	0.39757	0.476447	0.108356	0.169704	0.290369	0.453017	0.28539	0.258339	0.230259	0.218551	0.0500921	0	0.235833	0.427086	0.217412	0.101968	0.392735	0.0752951	0.0530747	0	0.0925135	0.143412	0.347345
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	0.427776	0.937664	1.04397	0.628163	0.398441	0	0.330408	0.695481	0.830348	1.39196	0.730403	0.211425	1.45869	1.12897	1.86842	2.50333	1.99571	2.43099	3.68029	2.75628	3.57027	5.02518	8.71101	8.95747	9.42163	10.8171	5.66348	4.12888	4.89694	1.99635	1.96669	1.66396	1.03307	0.659937	0.72496	0.486207
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0.537426	1.90257	1.18936	0	0	0.0094296	0.904282	0.936632	1.06335	0.639432	0.246134	0.514183	0.267434	0.13061	0	0.64043	1.64426	0.9239	0.551413	0	0.0229141	0.450812	0.141503	1.07808	0	0	0.265418	1.18174	1.36139	0.282859	0.0216219	0.731315	0.524041	0	0	0.618557
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.394612	0.135424	0.493458	0.127149	0.185689	0.900316	0.659048	0.269437	0.10495	0.300716	0.396582	0.257328	0.245219	0.114032	0.562077	0.475293	0.315858	0.580319	1.09003	0.670417	0.790164	0.355214	0.668437	0.427886	0.153387	0.33301	0.0996425	0	0.102932	0.199808	0.0433927	0.259347	0	0.110725	0.229217	0.342575
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0.0312704	1.40282	0.726414	0.969666	0.464389	0.39652	0.155196	1.58422	1.58122	0.0584697	0.360219	0.147625	0	0.732926	1.80947	1.43058	0.144147	0.645284	0.847249	0.894731	0.35336	0	0.400517	0.263403	0	0.0546599	0.484793	0	0	0.370696	0.288804	0.419271	0.266383	0	0.388338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.362036	0.52898	0.627393	0.327027	0.581602	0.78937	0.599717	0.201687	0.340886	0.124895	0.345042	0.75881	1.36998	0.884296	1.01409	1.98057	2.35166	1.25751	1.65088	1.93857	1.62275	1.17136	0.231592	0.398132	0.787319	0.624089	0.376333	0.296856	0.476696	0.729911	0.152747	0.420379	0.460295	0.462345	0.606303	0.323343
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.0645276	0	0.0819779	0.210157	0.00774773	0	0	0.134617	0.0154955	0.149926	0.27795	0.337995	0.485247	0.323917	0.223716	0.313352	0.394141	0.597193	0.298288	0.563301	0.115799	0.434979	0.198673	0.0348298	0.256488	0.0535551	0.232465	0.364796	0.34039	0.0656585	0.117829	0.110039	0.56231	0.200387	0	0.263632
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	0.566388	0.225321	0.565276	0.486387	0.221084	0.355955	0.298467	0.151077	0.235024	0.734782	0.508014	0.661557	0.847413	0.222804	0.208229	0.671235	0.114227	0.611669	0.549027	0.415054	0.695519	0.934006	0.2174	0	0	0.009212	0.41303	0	0.491515	0.660321	0.253733	0.350287	1.76834	0.37216	0	0.670051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	0.213796	1.93414	1.01362	0.232302	0.565604	0.191875	0.709453	0.513544	0.688634	0.565787	0.466793	0.681199	0.576868	0.0175085	0.499096	0.583299	0.552597	0.578625	0.95734	0.485257	0.519952	0.249661	0.465604	0.740366	0.554465	0.724507	0.042051	0.357728	0.928521	0.363047	0.356295	0.501897	0.436334	0.472711	0.781863	0.0583832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.cebe85ed-98d7-40f0-b727-1c2dfca5020a.fc.signal	0.324067	0.884335	0.313673	0.489289	0.454346	0.362066	0.464236	0.48771	0.456505	0.818359	0.487762	0.564623	0.950945	0.96193	0.729826	1.25034	0.798078	0.626495	1.06692	0.451847	0.35051	0.446462	0.943223	1.04991	1.06419	0.550915	0.794884	0.732932	0.807339	1.08861	0.30111	0.306662	0.340364	0.409976	0.101344	0.0272206
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.a5362628-573c-4f29-aabc-203a1f7daa08.fc.signal	0.284742	0.257848	0.291595	0.597377	0	0	0	0	0	0	0.170097	0.183205	0.946949	0.632414	0.292312	0.158586	0.55594	0.264522	0.288403	0.44304	0	0.229768	0.120379	0.0752539	0.868068	0.395585	1.20494	0.386719	0.493731	0.116459	0.291056	0.0647962	0	0	0	0.817697
