	chr9:9412252-9412341	chr9:9412342-9412401	chr9:9412402-9412551	chr9:9412552-9412671	chr9:9412672-9412701	chr9:9412702-9412761	chr9:9412762-9412851	chr9:9412852-9413001	chr9:9413002-9413041	chr9:9413042-9413101	chr9:9413102-9413151	chr9:9413152-9413301	chr9:9413302-9413371	chr9:9413372-9413391	chr9:9413392-9413451	chr9:9413452-9413511	chr9:9413512-9413601	chr9:9413602-9413751	chr9:9413752-9413901	chr9:9413902-9414051	chr9:9414052-9414201	chr9:9414202-9414351	chr9:9414352-9414501	chr9:9414502-9414651	chr9:9414652-9414691	chr9:9414692-9414751	chr9:9414752-9414801	chr9:9414802-9414951	chr9:9414952-9415031	chr9:9415032-9415101	chr9:9415102-9415251	chr9:9415252-9415401	chr9:9415402-9415461	chr9:9415462-9415551	chr9:9415552-9415611	chr9:9415612-9415701	chr9:9415702-9415751	chr9:9415752-9415851	chr9:9415852-9415961	chr9:9415962-9416001	chr9:9416002-9416061	chr9:9416062-9416101	chr9:9416102-9416151	chr9:9416152-9416301	chr9:9416302-9416451	chr9:9416452-9416521	chr9:9416522-9416601	chr9:9416602-9416651	chr9:9416652-9416751	chr9:9416752-9416901	chr9:9416902-9416921	chr9:9416922-9416981	chr9:9416982-9417021	chr9:9417022-9417051	chr9:9417052-9417151	chr9:9417152-9417201	chr9:9417202-9417323	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	2.20373	2.70584	2.13158	1.75088	1.32662	1.43965	1.12607	0.724354	0.44498	0.298119	0.0106764	0	0	0	0.0043595	0.0866045	0.2168	0.362798	0.477726	0.399232	0.411387	0.250876	0.400967	0.576026	0.614728	0.497446	0.475762	0.70078	0.618156	0.850997	1.01594	0.575137	0.198661	0.165303	0.405899	0.859592	1.2771	1.41908	1.43792	1.03955	0.861632	0.86083	1.16479	0.936695	0.524614	0.58098	0.403988	0.170413	0.138733	0.339707	0.558249	0.652604	0.861735	1.03632	1.69943	2.2296	1.79228	0.223022
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.68c7e067-2bf1-45f2-8e15-c75a696edb6c.fc.signal	0.536256	0.554482	0.783775	0.312963	0.431357	0.556891	1.1518	0.514328	0.22345	0.193657	0	0	0	0.0347475	0.451725	0.69496	0.64863	0.0509631	0	0.250183	0.379911	0.59149	1.09346	0.917809	0.122253	0.137248	0.287826	0.651938	0.588263	0.300831	0.11555	0.220842	0.13926	0.366542	0.683377	0.864854	1.01933	1.12362	0.718125	0.521223	0.517362	0.69496	0.593034	0.483385	0.327404	0.397118	0.703647	0.792253	1.09813	0.871053	0.6023	0.938258	1.1584	1.18157	1.536	1.33446	1.09183	0.372576
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d2972a82-a806-4e56-afab-8a78ae137176.fc.signal	1.81818	0.992289	1.32584	1.97116	0.985848	0.38909	0.0651417	0.663474	0.777269	0.402283	0.305999	0	0	0	0.145464	0.22379	0.187871	0.064902	0.268024	0	0	0.223825	0.514155	0	0	0.318914	0.181497	0.0460267	0	0	0.0841849	0.473257	0.374987	0.0368256	0.477483	1.49392	1.67705	1.24767	1.26682	1.58992	1.31653	0.820366	0.0810132	0	0.321766	1.00627	0.392388	0.232973	0.425454	1.10318	2.18324	1.16364	0.537204	0.48125	0.81506	0.659882	0.0403234	0.503683
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.d690d3e6-ed87-46ee-9d2a-0a5b66f16245.fc.signal	0.665901	1.54324	3.92788	4.82267	3.05478	2.12464	0.623611	0.0803219	0	0	0	0	0	0	0	0	0	0	0.236738	0.477759	0.257875	0.2854	0.63423	0.0528492	0	0	0	0	0.277432	0.797293	1.16062	0.78431	0.63423	0.331169	0	0	0.215605	0.63423	0.605396	0.459787	0.581368	0.63423	0.63423	0.509476	0.803345	1.53116	1.26846	1.10988	0.171227	0.689157	1.09402	1.51682	1.41113	0.983007	0.922755	0.399524	0.189716	0.118721
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.7a7e31ec-6ff6-498c-99aa-3347eef341d7.fc.signal	0.773811	0.79342	0.989612	0.665611	0.505678	0.654954	0.508398	0.51256	0.169402	0.198397	0.17082	0.12025	0.0467384	0.165116	0.115559	0.210617	0.328161	0.451014	0.290689	0.589348	0.576982	0.295673	0.281921	0.0956233	0	0	0	0.219484	0.31578	0.0994797	0.250946	0.524579	0.246102	0.406309	0.960086	1.59025	1.72472	1.25033	0.937573	0.790472	0.794616	0.777622	0.59008	0.611616	0.249694	0.610469	0.870031	1.03643	0.823271	0.922308	1.28724	1.19595	1.04596	1.17095	0.878114	0.498665	0.407937	0.415094
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.fa7392b1-17c1-4691-ba8f-d211a0f93db5.fc.signal	0.252922	0.314178	0.238202	0.669094	0.60672	0.722456	0.319103	0.127098	0	0	0	0	0	0	0	0	0.435753	0.53748	0.0195666	0.267445	1.40791	0.864547	0.424258	0.196765	0.474531	0.422154	0.573475	0.64523	0.505944	0.343768	0.185745	0.211394	0.681613	0.932217	0.514513	0.251513	0.215172	0.315349	0.442167	0.495851	0.653322	0.749595	0.634255	0.163658	0.300057	0.69277	0.662438	0.907482	1.03215	0.998626	0.86451	0.635587	0.422658	0.550733	0.967934	0.962892	0.573499	0.351351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.9b5b0cc0-4302-439e-a9d9-d779f62c822e.fc.signal	0.251269	0.2006	0.955458	1.06947	1.17293	1.00724	0.0296207	0.316199	0.241906	0.641213	0.48384	0.0032256	0	0	0.325334	0.433824	0.026878	0	0.572108	0.105779	0.145977	0.164893	0.0026878	0.275472	0.566535	1.38864	1.134	0.307763	0.484069	1.8546	0.876297	0.734922	0.746696	0.639223	0.751911	0.51276	0	0.593568	0.22514	0.26878	1.35034	0.71694	0.433737	0.442561	1.38491	0.684936	0.323927	0.777497	1.6021	0.424397	0.398904	0.0167933	0.502249	0.497383	0.187598	0.681791	1.28269	0.405612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.baa2a3ca-0f47-4bf7-901e-dd73f7a290b4.fc.signal	1.55603	1.86279	1.28717	0.528801	0.288292	0.139591	0.528961	1.09381	0.891452	0.513171	0.240024	0.0419205	0	0	0	0.182666	0.183773	0.125474	0.404937	0.329953	0.433516	0.043794	0.240252	0.0496132	0.0164783	0.188204	0.206435	0.141767	0.232999	0.299322	0.366537	0.416623	0.425575	0.223886	0.011705	0.709983	1.028	1.08893	0.995787	1.0296	1.04072	0.477896	0.114983	0.10254	0.161404	0.035864	0.204849	0.210621	0.222688	0.994771	1.37984	1.00186	0.865007	0.793937	0.797847	0.785383	0.406868	0.354111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.03cd26f6-8245-4dba-a43d-b085dc5fbdba.fc.signal	0.0503289	0.0588027	0.794147	0.867354	0.376422	0.265742	0.300457	0.621075	0.714359	0.478929	0.185002	0.0925884	0.185202	0.188733	0.287157	0.279642	0.254452	0.6689	0.585828	0.160524	0.176119	0.579807	0.447511	0.583957	0.323068	0.264642	0.204281	0.243112	0.775188	0.963437	0.623367	0.499803	0.552943	0.341801	0.51358	1.20954	0.931231	0.903403	0.872636	0.806855	0.532063	0.490959	0.562765	0.607224	1.00013	0.696941	0.635528	0.718136	0.553056	0.41841	0.54768	0.622864	0.671132	0.776624	0.91377	1.16297	1.14357	0.422609
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.469e2b5a-9cc0-4ba2-a1af-32ae688b6e56.fc.signal	1.01928	0.886799	0.58016	0.842473	1.08013	0.800367	0.520745	0.451045	0.45284	0.388674	0.131295	0.0200501	0.277318	0.82036	0.82036	0.860781	0.590252	0.0845144	0.328403	0.592855	0.481933	0.827195	1.04607	0.534163	0.27341	0.381879	0.184136	0.255353	0.286666	0.34284	0.379284	0.377945	0.509433	0.413693	0.252862	0.0759472	0.298854	1.05233	1.37893	0.724504	0.654056	0.264117	0.367905	0.501142	0.709056	0.449466	0.389664	0.286754	0.464833	0.834377	0.943324	0.784896	0.928393	0.6358	0.571952	1.09725	1.97575	0.359799
