	chr9:122167145-122167294	chr9:122167295-122167444	chr9:122167445-122167494	chr9:122167495-122167594	chr9:122167595-122167744	chr9:122167745-122167894	chr9:122167895-122168044	chr9:122168045-122168114	chr9:122168115-122168194	chr9:122168195-122168344	chr9:122168345-122168494	chr9:122168495-122168644	chr9:122168645-122168794	chr9:122168795-122168944	chr9:122168945-122169094	chr9:122169095-122169244	chr9:122169245-122169394	chr9:122169395-122169444	chr9:122169445-122169544	chr9:122169545-122169694	chr9:122169695-122169774	chr9:122169775-122169844	chr9:122169845-122169994	chr9:122169995-122170044	chr9:122170045-122170144	chr9:122170145-122170264	chr9:122170265-122170294	chr9:122170295-122170444	chr9:122170445-122170594	chr9:122170595-122170744	chr9:122170745-122170894	chr9:122170895-122171044	chr9:122171045-122171104	chr9:122171105-122171194	chr9:122171195-122171284	chr9:122171285-122171344	chr9:122171345-122171414	chr9:122171415-122171494	chr9:122171495-122171584	chr9:122171585-122171644	chr9:122171645-122171704	chr9:122171705-122171794	chr9:122171795-122171944	chr9:122171945-122172024	chr9:122172025-122172094	chr9:122172095-122172244	chr9:122172245-122172256	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.218563	0.134534	0	0.0720379	0.166088	0.21655	0.219592	0.394618	0.413877	0.448359	0.105819	0.339145	0.455812	0.558595	0.368041	0.331951	0.536116	0.924054	0.792291	0.290107	0.243526	0.206536	0.283776	0.315988	0.211333	0.133388	0.127259	0.53333	0.50959	0.509296	0.215544	0.000895333	0.257476	0.524431	0.471715	0.419671	0.243162	0.114981	0.197049	0.125277	0	0.227263	0.375033	0.0769378	0.136822	0.138058	0.40625	0.348066
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d2972a82-a806-4e56-afab-8a78ae137176.fc.signal	0.636136	0.467699	0.518489	1.13021	0.4105	0	0	0.0752199	0.957012	0.599458	0.797123	0.901341	0.397646	0.422013	0	0.387723	0.381179	0	0.11202	1.41759	1.09874	0.549494	0.151915	0.291019	0.478392	0.143137	0.216331	0.173067	0.386317	0.521191	0.264664	0	0.249769	0.338011	0.06714	0	0.171043	0.220297	0.294667	0.38163	0.362099	0.332512	0	0.367172	0.258164	0.112381	0.35615	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.b52bc708-220e-4d24-be07-a57b59ce9422.fc.signal	0.247983	0.128155	0.639066	1.41707	0.949311	0.26525	0.691392	0.626907	1.07449	1.30012	0.55966	1.23279	1.96025	0.672679	1.11653	1.278	1.17889	0.578843	0.435264	0.557479	1.00857	1.06486	0.431145	0.219945	0.177498	0	0	0.0485824	0.362591	1.00199	0.421485	0.673969	1.18156	1.07633	1.45499	1.61116	1.00328	0.532786	1.09734	1.13926	0.744313	0.876262	1.46421	0.702082	0.627627	0.822074	0.49931	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.d690d3e6-ed87-46ee-9d2a-0a5b66f16245.fc.signal	0.279133	0.0327627	0	0	0	0.159559	0.418357	0.282791	0.196033	0.0358968	0	0	0	0	0	0	0	0	0	0.171482	0.433902	0.477392	0.384737	0.202638	0.282518	0.560491	0.810292	0.480375	0.397288	0.822334	0.342496	0.0224367	0	0	0	0	0.0636466	0.116317	0.453661	0.575958	0.650268	0.517343	0.421035	0.476805	0.272042	0.25484	0.27125	0.473282
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.2bdb0d55-cf7c-42db-b5e9-1e7fc8464aa8.fc.signal	0.136896	0.302953	0.162752	0.173783	0.364124	0.309442	0.495821	0.523593	0.273753	0.479863	0.492551	0.75843	0.647715	0.929828	0.706408	0.196657	0.317854	0.399951	0.242862	0.172902	0	0.00821	0.400437	0.337829	0.207862	0.264582	0.09249	0.534475	0.577293	0.205009	0.0613893	0.189275	0.411552	0.484667	0.367048	0.310088	0.458845	0.525533	0.437276	0.132998	0	0	0	0	0.1039	0.300929	0.317797	0.524351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.fa7392b1-17c1-4691-ba8f-d211a0f93db5.fc.signal	0	0.339444	1.08461	1.53932	0.880578	0.428118	0.143133	0	0.159238	0.370029	0.539034	0.49907	1.0899	1.7974	0.470667	0.0787555	0.328279	0.289656	0.234108	0.295518	0.92941	0.618209	0.273251	0.415801	0.151752	0.550774	1.01106	1.36217	1.42244	0.378654	0	0	0	0.05055	0.906701	1.25314	0.802789	0.261288	0.186337	0	0.24264	0.319197	0.647903	0.991876	0.680648	1.37976	2.01726	0.603774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.9b5b0cc0-4302-439e-a9d9-d779f62c822e.fc.signal	0.292338	0.477228	0.431373	0	0.220825	0.840268	0.275593	0.398595	0.590364	0.615898	0.345268	1.42752	0.472275	0.268285	0.905186	1.07336	1.27976	0.193403	0.992168	0.314827	0.149955	1.535	1.1735	0.49805	0.477363	0.336559	0.339828	0.672578	0.443665	0.0786969	0.329096	0.629327	0.61513	1.16877	1.449	0.751336	0.997479	0.399556	0	0	0	0.202704	1.1064	0.516505	0.253008	1.30587	1.07339	0.686486
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.baa2a3ca-0f47-4bf7-901e-dd73f7a290b4.fc.signal	0.162706	0.00300267	0.263706	0.35671	0.623022	0.176497	1.27321	2.05836	1.05135	0.422826	1.02518	0.284251	0.766595	0.952952	0.461012	0.0478569	0.158574	0.807232	1.19092	0.908277	1.15348	1.31507	0.721942	0.556988	0.733643	0.516781	0.521707	0.782935	0.767762	0.72657	0.400607	0.0780304	0	0	0.51401	0.55736	0.549009	0.271995	0.360248	0.525329	0.793798	0.964309	0.559953	0	0	0.257548	0.27466	0.635359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.03cd26f6-8245-4dba-a43d-b085dc5fbdba.fc.signal	0.222399	0.750447	0.670405	0.563996	0.436457	0.210686	0.730751	1.05447	0.727676	0.221013	0.159953	0.490012	0.511878	0.545778	0.373103	0.146135	0.00928173	0.250025	0.56098	0.861246	0.597405	0.222469	0.312242	0.660992	0.781568	0.588341	0.307894	0.20052	0.960499	0.384452	0.157966	0.131452	0.215966	0.62809	0.588444	0.434042	0.636683	0.99	0.628445	0.209694	0	0	0.113233	0.20969	0.146783	0.20969	0.20969	0.620438
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.469e2b5a-9cc0-4ba2-a1af-32ae688b6e56.fc.signal	0.612184	0.61635	0.644548	0.435462	0.679982	0.879835	0.740104	1.31653	1.53065	0.896288	0.22785	0.2132	0.203204	0.721782	0.560367	0.048587	0.0601235	0.26264	0.804755	1.38069	0.708703	0.280337	0.507487	1.07161	0.857825	0.0408993	0	0.139505	0.954209	0.578895	0.598704	0.333924	0.290652	0.146728	0.137239	0.205009	0.576593	0.664121	0.815132	0.656944	0.800138	0.571304	0.276249	0.741665	0.880397	0.647836	0.462264	0.47619
