	chr6:30151271-30151420	chr6:30151421-30151570	chr6:30151571-30151720	chr6:30151721-30151870	chr6:30151871-30152020	chr6:30152021-30152170	chr6:30152171-30152320	chr6:30152321-30152470	chr6:30152471-30152620	chr6:30152621-30152770	chr6:30152771-30152920	chr6:30152921-30153070	chr6:30153071-30153220	chr6:30153221-30153370	chr6:30153371-30153430	chr6:30153431-30153520	chr6:30153521-30153610	chr6:30153611-30153670	chr6:30153671-30153820	chr6:30153821-30153970	chr6:30153971-30154120	chr6:30154121-30154270	chr6:30154271-30154420	chr6:30154421-30154570	chr6:30154571-30154720	chr6:30154721-30154870	chr6:30154871-30155020	chr6:30155021-30155170	chr6:30155171-30155320	chr6:30155321-30155470	chr6:30155471-30155620	chr6:30155621-30155770	chr6:30155771-30155920	chr6:30155921-30156070	chr6:30156071-30156220	chr6:30156221-30156370	chr6:30156371-30156520	chr6:30156521-30156670	chr6:30156671-30156811	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	2.45443	3.37473	2.55714	5.00798	3.00671	3.56191	2.80881	3.12365	3.56502	2.49176	1.8318	3.96245	3.43575	4.24813	6.19761	3.9205	2.23366	2.76849	6.36997	8.94999	6.79321	8.05329	11.138	7.54354	7.82232	3.21545	3.58459	5.16421	2.43996	1.19041	0.789148	2.40173	5.8127	8.95129	6.67861	3.58276	3.75126	3.10612	4.08375	0.808853
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.4d6f1353-0c69-4685-862a-70e4ba9d694d.fc.signal	0.744058	1.64663	1.8248	1.21347	0.521038	2.13795	2.57682	0.556388	3.42573	4.25507	1.67857	3.08362	3.00843	3.14805	1.03652	0.403668	0.867316	1.53004	2.07822	1.5454	2.49971	1.90707	2.38588	1.63818	2.00729	2.33762	1.71247	1.06401	1.19822	1.51786	1.143	1.2837	2.30883	4.72638	2.15326	1.29809	2.89381	0.658906	1.18723	0.78453
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.ff176449-fe74-4f56-97cc-e3565a6ea39c.fc.signal	10.6739	17.1449	15.6975	13.9095	13.9774	8.46763	12.2061	12.8619	19.155	21.6611	18.8114	15.2664	8.93526	5.42138	7.8849	6.27556	7.88998	8.96746	6.13983	7.34627	9.74824	6.71224	5.17497	5.24889	6.86407	8.63245	10.4422	14.8873	11.4056	9.0486	7.52578	7.6021	7.88021	12.6104	14.1911	14.8931	12.7445	11.9326	15.2504	0.642857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.11a61f63-d38d-4a9b-820e-fb836fb9105a.fc.signal	0.996936	1.12266	1.1786	2.00066	1.04283	0.909307	1.34863	1.29558	0.470942	0.693968	0.677282	0.358109	0.848053	0.809297	1.10113	0.835817	0.644589	0.681999	1.14151	0.710715	0.661769	0.647836	0.500195	1.3764	2.78664	3.05445	3.08522	3.1449	4.5362	3.58089	3.3903	2.9481	2.3966	3.50346	4.57023	3.40854	2.10615	1.31945	1.97537	0.735849
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.f30cfd28-f0bb-4e61-a8ad-120bd3fb3681.fc.signal	1.26862	1.10117	1.76079	1.55607	1.1372	2.11837	2.84409	2.38034	3.73999	4.18789	4.11117	2.84122	2.45091	2.12373	1.79678	1.12614	1.34331	1.90248	2.34758	1.84218	2.25452	3.0724	3.51207	3.37136	3.27964	3.8747	3.91034	3.02823	2.00284	1.91693	2.71511	2.36466	2.89549	3.45399	3.18503	1.6516	1.51662	1.79657	3.29408	0.528736
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001020.4.c512952b-84f9-420c-aa6f-798ebaf5413d.fc.signal	0.755908	0.615218	1.22745	1.93612	1.05669	1.30224	1.97647	1.34093	3.11131	2.75577	1.78462	1.70484	1.39075	1.51539	1.58273	1.02892	0.710079	1.06745	1.39435	1.29174	1.74386	3.02611	3.58326	3.13254	2.54383	2.78505	2.95934	2.33178	1.61602	1.79417	2.10939	1.4892	3.47241	4.55645	2.27818	2.65641	2.53667	1.50663	1.49812	0.488889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003396.1.d3bf1929-bb76-4033-8d58-57bb7c239aaf.fc.signal	1.40838	1.65237	0.536218	0.715748	1.65445	0.00443393	0.137937	0.971927	0.16561	1.74024	0.236627	1.47173	1.01242	1.84736	0.960505	1.77953	0.967531	1.60873	1.52085	1.72524	2.15879	1.72979	1.01299	0.932454	2.68735	1.12624	1.47049	0.988217	0.773775	0.400634	0.54037	0.375831	1.28726	3.25756	1.80883	1.11851	1.06829	0.360579	1.11023	0.67603
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003810.1.76180591-3bc4-4c81-ab95-3508a7e6f4b6.fc.signal	0.200579	0.0385151	0.0216526	0.160672	0.278126	0.932263	0.763419	0.494499	0.249623	0.193497	0.413593	0.149216	0.383559	0.666343	0.680731	0.375635	0.271675	0.454658	0.942071	0.6121	0.277469	0.175811	0.15966	0.196888	0.811119	0.788626	1.19171	1.49547	1.33413	1.5647	0.684998	0.564108	0.873265	1.1885	1.74891	1.92308	2.82306	2.26315	1.65028	0.915254
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001234.5.5cbe5650-3de6-4514-ab14-1c0f737014e5.fc.signal	1.38219	0.793284	1.03831	2.06128	0.429048	1.77134	2.76403	0.816966	1.81704	3.25097	0.90375	1.33049	1.8962	2.07721	2.49901	0.859696	0.807142	1.45605	2.33566	1.76358	2.00001	3.2782	4.01161	3.37662	3.13625	3.13111	2.86897	2.90367	2.16102	3.02694	1.34371	1.37596	2.61419	4.87956	2.19029	1.73614	2.55963	1.15324	0.658726	0.748744
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.b5568014-372c-40aa-9405-3d27c34b9363.fc.signal	0.454743	1.00442	0.693167	0.25993	1.08406	0.71522	0.459454	0.167403	0.667659	1.1231	0.40569	1.10802	1.11893	0.50342	1.23048	0.330239	1.3703	0.207363	0.459256	1.66745	1.18995	2.51865	1.57059	3.13029	1.19997	1.04529	2.05232	1.66962	1.54133	0.123384	0.618302	2.1461	1.84779	1.88185	1.84758	1.58865	0.583297	0.915643	2.73297	0.565657
