	chr15:41740046-41740195	chr15:41740196-41740345	chr15:41740346-41740495	chr15:41740496-41740645	chr15:41740646-41740795	chr15:41740796-41740945	chr15:41740946-41741095	chr15:41741096-41741245	chr15:41741246-41741395	chr15:41741396-41741545	chr15:41741546-41741695	chr15:41741696-41741845	chr15:41741846-41741995	chr15:41741996-41742145	chr15:41742146-41742295	chr15:41742296-41742445	chr15:41742446-41742595	chr15:41742596-41742745	chr15:41742746-41742895	chr15:41742896-41743045	chr15:41743046-41743195	chr15:41743196-41743345	chr15:41743346-41743495	chr15:41743496-41743645	chr15:41743646-41743795	chr15:41743796-41743945	chr15:41743946-41744095	chr15:41744096-41744245	chr15:41744246-41744395	chr15:41744396-41744545	chr15:41744546-41744695	chr15:41744696-41744845	chr15:41744846-41744995	chr15:41744996-41745145	chr15:41745146-41745295	chr15:41745296-41745445	chr15:41745446-41745595	chr15:41745596-41745672	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	1.4987	0.505736	0	0.122118	0.421555	0.134832	0.070408	0.462667	0.1115	0	0.0361999	0.467253	0.448	0.482786	1.51578	0.947331	0.773407	1.55545	0.859752	1.18663	2.22277	0.166523	0.531641	2.82595	0.897991	0	0	0	0.78821	1.38537	0.00381707	0.0768126	0.0408621	0.0689713	0.31381	0	0.0160359	1.28557	0.714588
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	1.31481	1.08981	0.232662	0.163513	0.608175	0.797604	0.726552	0.788547	0.601325	0.379829	0.448865	0.611503	0.477343	0.270093	0.832703	0.317758	0.431455	0.455909	0.335119	0.544772	0.846632	0.674244	1.70412	1.94496	1.3984	0.475585	0.229376	0.251656	0.315968	0.319973	0.76564	0.589074	0.904342	0.798412	0.343037	0.938587	0.915023	0.154456	0.527066
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.717624	1.15838	3.88939	5.57839	4.85497	5.26291	1.92475	0.619859	0.509113	0.437407	0.453341	0.612688	0.235558	0.0656757	0.0590887	0.225985	0.30477	0.438033	0.255495	0.127883	0.323664	0.262729	0.0358627	0.198109	0.214702	0.420549	0.568071	0.260532	0.388015	0.0606079	0.309715	0.265092	0.113136	0.0663892	0.241972	0.325864	0.289214	1.04765	0.698905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	0.357818	0.276617	0.236695	0.0692688	0.0376841	0.21831	0.0823004	0.14985	0.640411	0.6547	0.213976	0.359508	0.407563	0.103958	0	0	0.567728	1.25557	0.425291	0.755083	1.21079	0.284299	0.516058	0.316102	0.341877	0.323767	0.129941	0.188521	0.705631	0.169185	0.163628	0.344239	0.316328	0.139139	0	0	0	0.269872	0.531809
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	1.87798	1.14297	0	0	0	0.166584	0.855636	0	0	0	0	0.537612	0.484608	2.02172	1.04494	0.978033	0.276299	0.886945	0.800114	0.984032	0.81726	0	0	0.396217	0.718809	0	0	0	0	0.564291	0.275426	0	0	0.026733	0.419497	0	0	0	0.142857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.72605	0.741874	0.288874	0.0272067	0.0384066	0.79342	0.713777	0.641649	0.409751	0.626363	1.0093	0.967922	0.447039	0.376403	0.303693	0.51905	0.0215417	0.224667	0.233575	0.473119	0.741964	0.505198	0.851692	1.16216	1.91115	0.905469	0.85557	0.263741	0.00711133	0.251345	0.393622	0.740367	0.916597	0.500594	0.149352	0.388519	0.599442	0.638995	0.667447
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0.35144	0.110222	0.310368	0.300362	0.370822	0	0	0	0	0.277113	0.0749967	0	0.122022	0.412082	0	0.0114396	0.351269	0.327766	0.169006	0	0	0.14834	0.438537	0.470478	0.346623	0.500257	0.315038	0.638613	0	0	0	0	0	0.667605	0.218643	0.574198	0.121882	0.101526	0.645669
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.409975	0.596715	0.925257	0.737592	0.694225	0.754497	0.570984	0.367006	0.759422	1.20632	1.34879	0.841072	0.345952	0.240912	0.74264	1.26311	0.60662	0.518727	0.670406	0.931715	0.669113	0.919463	0.843846	0.810129	0.873408	0.835138	0.904282	0.83457	1.33167	0.823646	0.924694	1.55431	1.25635	1.08046	0.453778	0.696267	0.785753	0.647447	0.610895
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.807175	2.25721	4.73236	7.67134	7.37307	7.31401	3.58455	1.39527	0.594607	1.19053	0.92756	0.334649	0.271998	0.11073	0.246496	0.450405	0.689891	0.41274	0.411449	0.303197	0.52372	0.806284	0.824589	0.882897	1.95805	1.07975	1.20364	0.590184	0.653198	0.895947	0.999348	0.773699	0.480359	0.194662	0.136554	0.321509	1.37215	1.96942	0.605327
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	0.687065	0.977061	1.00605	0.623569	0.239053	0.917698	1.25519	1.47066	0.477243	1.46294	0.707372	0.590329	1.33046	0.897485	0.61388	0.457219	0.933694	1.21572	0.582942	0.857897	0.822116	1.04516	0.371258	0.740245	1.06218	0.881655	1.16252	0.600409	1.6291	1.10302	0.260457	0.489957	1.43281	1.93045	0.806269	0.889923	1.42579	0.664944	0.473768
