	chr5:179835385-179835474	chr5:179835475-179835534	chr5:179835535-179835684	chr5:179835685-179835834	chr5:179835835-179835984	chr5:179835985-179836054	chr5:179836055-179836134	chr5:179836135-179836284	chr5:179836285-179836434	chr5:179836435-179836584	chr5:179836585-179836734	chr5:179836735-179836884	chr5:179836885-179837034	chr5:179837035-179837184	chr5:179837185-179837334	chr5:179837335-179837484	chr5:179837485-179837634	chr5:179837635-179837784	chr5:179837785-179837934	chr5:179837935-179838084	chr5:179838085-179838234	chr5:179838235-179838384	chr5:179838385-179838534	chr5:179838535-179838684	chr5:179838685-179838834	chr5:179838835-179838984	chr5:179838985-179839134	chr5:179839135-179839194	chr5:179839195-179839284	chr5:179839285-179839434	chr5:179839435-179839584	chr5:179839585-179839734	chr5:179839735-179839884	chr5:179839885-179840034	chr5:179840035-179840184	chr5:179840185-179840334	chr5:179840335-179840484	chr5:179840485-179840634	chr5:179840635-179840784	chr5:179840785-179840934	chr5:179840935-179841084	chr5:179841085-179841234	chr5:179841235-179841384	chr5:179841385-179841534	chr5:179841535-179841684	chr5:179841685-179841834	chr5:179841835-179841984	chr5:179841985-179842134	chr5:179842135-179842284	chr5:179842285-179842434	chr5:179842435-179842584	chr5:179842585-179842734	chr5:179842735-179842884	chr5:179842885-179843034	chr5:179843035-179843184	chr5:179843185-179843334	chr5:179843335-179843372	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	0.502663	1.38485	2.62859	0.799388	0.120573	0.199584	0.609517	3.34424	3.14816	2.60494	2.50772	3.36101	2.44369	1.62841	0.257079	1.5273	1.89824	2.11469	2.61465	2.03451	1.35371	1.46456	1.5173	2.24524	2.70916	2.23206	0.881833	0.897238	1.15944	2.13618	1.72355	2.21599	2.51064	1.8206	1.62544	2.12098	2.04616	1.93207	1.20913	1.62754	1.5268	1.28943	1.40181	0.721072	1.25252	1.78126	1.7876	0.932287	1.08725	0.624986	0.258575	0.399041	1.18327	1.57137	0.748046	0.165546	0.249621	0.88
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.823ac744-5eeb-40f9-9f65-c42b0b5130dc.fc.signal	0.61109	1.47684	2.583	0.550013	0.619255	2.73258	6.82158	13.3142	18.9405	13.8287	13.7044	12.8637	9.86199	13.5714	9.59474	15.7039	14.5354	13.3882	16.0173	13.7351	11.5009	10.0284	5.81632	3.34551	3.95543	6.16003	2.17968	1.89451	4.15558	8.37228	8.60568	8.0924	8.12378	7.10117	6.37593	7.92386	5.74701	6.67125	4.67433	6.88469	7.16793	5.74985	5.95751	5.03988	9.88798	11.673	9.24644	7.76701	1.9427	0.635753	1.45854	2.70522	2.06154	1.98005	1.34324	1.07654	1.82486	0.754286
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0.216034	0.710182	1.4328	1.27571	0.44259	0.281468	1.07149	2.59147	3.10542	2.55918	3.04606	2.96865	3.49546	2.18298	1.18489	2.12736	2.69409	2.20797	2.62542	2.89071	3.05996	5.29632	6.38991	4.55584	3.51184	2.53342	1.63877	2.23982	2.22963	2.62782	2.91375	3.69928	3.47426	3.94205	2.85379	2.24109	2.48558	2.83711	2.86027	2.80456	2.99772	3.78299	4.02066	3.68308	3.50096	4.03965	2.98039	1.89708	1.82511	2.06026	1.21732	0.826005	1.02754	1.18488	1.00215	1.21419	1.66759	0.38961
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	0.134971	1.88422	2.97598	2.25517	1.11355	1.25017	2.96255	4.29072	5.78649	5.71653	2.92458	1.99041	1.49094	4.58812	1.1983	3.35764	4.30468	2.61815	3.57795	4.5987	2.30126	1.31918	1.40527	1.62707	2.74736	3.24726	1.35994	2.54864	2.5988	4.48472	2.9349	2.36071	4.45565	2.28233	3.16628	5.03906	4.57188	2.34614	1.86237	2.38768	0.579333	3.63344	2.82071	3.4309	3.51081	2.52173	0.84292	1.08088	1.51469	1.66589	2.46906	2.18632	2.13856	0.959232	0.0975819	1.34193	3.12921	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	0.382044	0.631055	0.545484	1.56771	3.90905	3.58108	5.44543	6.81914	4.92259	5.29009	4.58798	4.1315	3.29829	8.31379	8.45167	7.85684	7.72919	5.4429	4.12473	3.17792	2.64022	3.99997	4.17695	3.04834	5.50576	3.34719	0.977778	1.19442	1.93027	3.56961	4.35007	4.63149	4.35683	3.58403	4.31119	4.52396	4.467	4.98875	4.85586	4.08702	3.42938	3.29108	4.26108	5.94484	4.90422	4.65664	3.35685	2.63158	3.06285	2.60315	2.12961	1.45263	1.45263	0.477761	0.395576	1.29305	1.68356	0.962745
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	0	0.348206	1.99033	3.25955	2.76763	0.928486	2.8167	5.32815	3.12489	2.52743	3.97804	3.24823	3.15532	2.85354	2.83941	2.81776	2.18235	2.07827	2.30407	3.28293	1.53566	1.76427	0.949244	1.73117	2.43745	2.85834	1.2368	0.41656	0.993968	2.62446	2.67174	2.03795	1.68318	2.55134	3.44829	2.54733	2.06664	2.39389	1.91625	2.65161	1.10706	1.78912	4.44353	3.03548	2.78193	2.66303	2.76679	1.75344	1.13802	1.06294	0.705108	0.549536	1.30343	1.07966	1.13205	1.55586	1.81378	0.991321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0	0	2.47973	0.697668	0	0	1.14449	7.9578	10.2841	9.78436	6.41815	8.86741	5.7475	9.5978	2.42572	4.60248	8.26058	5.85698	6.87865	4.41756	3.12064	6.01622	1.91092	1.29504	4.57455	2.93247	1.01692	4.03343	2.35574	7.34783	3.37867	7.4654	3.20245	0.578413	0.729304	1.56557	3.31833	4.90068	3.83116	4.40823	7.35571	2.16192	4.15662	1.70727	3.43454	7.35399	4.0965	3.89913	5.93042	2.09123	0.527839	0.426709	0.894884	0	0.920819	0.281158	0.173731	0.736364
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000354.2.0500ebd0-c650-482a-8d75-3cf5ca9c1882.fc.signal	1.27924	1.42138	0.653832	0.603295	0.173724	2.36909	4.83285	8.86025	8.32026	6.43367	6.11019	3.74856	5.09225	5.20498	5.1493	7.61542	15.6717	11.084	12.8245	10.7031	7.443	11.9653	5.12347	5.35089	7.3764	5.36899	1.74676	4.04319	5.81732	6.99645	7.57273	12.3585	7.02061	5.69522	3.50623	4.59279	5.80609	11.4435	8.86464	9.5875	10.9074	8.72761	6.0888	8.41172	10.6647	8.17237	8.17798	4.91182	4.3938	4.81074	2.63758	1.87315	0.96654	1.86994	2.23204	4.42189	2.09472	0.939394
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	0.354159	1.2206	2.86559	4.03371	5.99207	5.69294	8.01422	13.2776	15.556	15.8716	14.7957	13.8362	11.6334	11.1536	7.93327	9.31902	13.619	13.7096	13.62	10.2117	9.47379	11.1987	7.70147	5.87963	4.91761	2.81477	1.04872	0.689389	0.996802	1.64081	2.40006	1.63605	1.70826	2.26097	2.25441	3.00489	4.12139	3.93441	3.70595	4.98295	6.6628	5.06009	5.94884	7.5869	6.79488	9.25808	7.49097	6.02141	5.12526	4.9252	4.48152	2.56639	2.9611	3.42848	3.32104	4.82169	5.62004	0.584071
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.69eb8040-32c4-4c18-85e7-a74953df6c51.fc.signal	0.151861	0.27335	0.315239	0.652235	0.0746965	1.12832	2.69197	5.1205	5.36752	4.68714	2.97838	4.39506	2.36427	2.79869	3.07376	4.77475	5.0573	4.2491	3.97883	1.93569	2.76207	3.00372	1.71397	1.4672	2.23844	4.56238	1.23712	0.337094	0.925953	2.91238	3.9154	3.47673	2.76048	1.39233	2.20437	1.83057	4.63973	5.17315	3.37486	3.08426	3.65967	3.13601	1.28498	2.03195	2.02654	3.48578	2.45087	3.96843	3.08032	2.88764	0.874675	1.00523	0.723067	0.998625	1.50057	1.8932	1.11214	0.382239
