	chr19:40219972-40220031	chr19:40220032-40220121	chr19:40220122-40220271	chr19:40220272-40220421	chr19:40220422-40220571	chr19:40220572-40220631	chr19:40220632-40220721	chr19:40220722-40220871	chr19:40220872-40221021	chr19:40221022-40221171	chr19:40221172-40221241	chr19:40221242-40221321	chr19:40221322-40221381	chr19:40221382-40221471	chr19:40221472-40221621	chr19:40221622-40221771	chr19:40221772-40221921	chr19:40221922-40222001	chr19:40222002-40222071	chr19:40222072-40222221	chr19:40222222-40222291	chr19:40222292-40222371	chr19:40222372-40222521	chr19:40222522-40222671	chr19:40222672-40222821	chr19:40222822-40222901	chr19:40222902-40222971	chr19:40222972-40223031	chr19:40223032-40223121	chr19:40223122-40223271	chr19:40223272-40223421	chr19:40223422-40223501	chr19:40223502-40223571	chr19:40223572-40223721	chr19:40223722-40223871	chr19:40223872-40223961	chr19:40223962-40224021	chr19:40224022-40224071	chr19:40224072-40224131	chr19:40224132-40224171	chr19:40224172-40224211	chr19:40224212-40224321	chr19:40224322-40224371	chr19:40224372-40224471	chr19:40224472-40224541	chr19:40224542-40224621	chr19:40224622-40224771	chr19:40224772-40224831	chr19:40224832-40224921	chr19:40224922-40225071	chr19:40225072-40225221	chr19:40225222-40225371	chr19:40225372-40225521	chr19:40225522-40225652	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0.233595	0.448333	0.694835	0.554259	0.676834	1.10959	1.33876	1.0573	1.19487	1.37841	1.09268	1.06501	0.873162	1.18527	2.22563	3.08607	2.25226	1.23996	0.581007	0.573629	1.00459	1.70827	2.25816	1.56517	1.27138	1.77018	2.05778	2.28704	2.33165	3.02743	3.2522	2.54065	1.77838	1.79334	1.27584	1.10964	1.13955	1.23471	1.32582	1.42329	1.71638	1.44796	1.28542	1.42983	1.51659	2.13344	1.87993	1.69422	1.32722	1.219	0.717414	0.428778	0.0920165	0.248743	0.954827
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.44df7b1b-5968-426b-8cea-e4fad8f3b32b.fc.signal	0	0	0.201147	0.945575	1.30989	0.115031	0	0.224149	0.605006	0	0.640128	0.820391	1.40552	2.92996	0.569549	0	0.493342	0.958784	0.61397	0.379571	0.477051	0.219023	1.27134	0.69386	0.876728	2.74359	2.31125	1.00195	0.071624	0.197951	0.330828	0	0.602521	0.554994	0.250495	0.255864	1.80624	1.76448	0.33992	0	0.339837	2.06395	2.58491	0.357539	0.106421	2.39533	1.72714	0.303117	0	0	0	0.663567	0.112548	0.662652	0.901961
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003689.3.cde87e50-dbba-4734-bd22-f35203f3b601.fc.signal	0.280729	0.27303	0.158854	0.172737	0.385084	0.365781	0.381018	0.200285	0.241281	0.24547	0.316379	0.428196	0.308046	0.204141	0.349251	0.13482	0.326353	0.260161	0.211015	0.301952	0.308691	0.593344	0.795038	0.959342	1.11828	0.701267	0.616913	0.480668	0.412601	0.994624	0.570309	1.02301	1.1313	0.772989	0.516939	0.244006	0.271673	0.352725	0.455467	0.622442	0.532246	0.450313	0.747153	0.704568	1.25834	2.12944	1.47398	1.66321	1.55883	0.628573	0.6026	0.622771	0.386902	0.71159	0.818182
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.5501f5e6-6354-4e9f-82a5-be852033207e.fc.signal	0.0680702	0.0790888	0.0339438	0.0712095	0.236506	0.329802	0.37441	0.396444	0.428306	0.448723	0.467169	0.434652	0.407062	0.335779	0.348839	0.358628	0.23891	0.219939	0.353651	0.502255	0.493183	0.287705	0.22079	0.394644	0.664562	0.68927	0.626897	0.317386	0.219868	0.167207	0.187663	0.08277	0.0804051	0.148484	0.436053	0.784686	0.816874	0.786525	0.764453	0.54438	0.455358	0.321398	0.298072	0.163067	0.08277	0.0300041	0.110372	0.24841	0.331182	0.434927	0.253905	0.105419	0.360979	0.509929	0.544262
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.a1a38b0a-4e6e-499f-9d4a-f9ed2dd3bf97.fc.signal	0.483241	0.560909	0.242581	0.426076	0.320132	0.0758447	0.0854351	0.132343	0.206227	0.587957	0.358692	0.28835	0.334778	0.477757	0.352563	0.261543	0.191633	0.187749	0.240994	0.213421	0.0717394	0.0304033	0.196158	0.12188	0.00679987	0.140252	0.339632	0.51917	0.649505	0.598941	0.12345	0.094157	0.220819	0.386564	0.436258	0.509142	0.67348	0.699893	0.780714	0.629672	0.549248	0.545681	0.433119	0.569646	0.725227	0.750309	0.490137	0.303392	0.2598	0.213421	0.110894	0.483859	0.694142	0.450418	0.627273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.dd479f7b-7d31-4292-a54c-bd7a49572346.fc.signal	0.884267	0.280624	0.184477	0.234197	0.236549	0.268037	0.795597	0.129268	0.0199912	0.234299	0.388711	0.78288	0.762241	0.677008	0.317004	0.457257	0.450937	0.273499	0.00669771	0	0.0208979	0.538444	2.16191	0.527151	1.36731	1.40787	0.494934	0.550446	0.365882	1.14583	1.31451	1.62196	0.704906	0.434559	0.312203	0.269095	0.189979	0.307158	0.160876	0.348413	0.503473	1.42322	1.21262	0.346255	0.66517	1.08191	1.78548	1.4722	0.469559	0.27669	1.00843	0.149581	0.285751	0.87549	0.136752
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.dbb73ee4-8810-4120-8cbd-bc932140ca51.fc.signal	0.148528	0.200318	0.161336	0.129705	0.0541601	0.21274	0.339161	0.592847	0.676733	0.355329	0.307798	0.610092	0.576038	0.747815	0.388357	0.35048	0.813507	0.67094	0.451709	0.417338	0.529116	0.635318	0.550531	0.382347	0.315705	0.479156	0.594544	0.75584	1.28143	1.43091	0.860355	0.699146	0.40507	0.228271	0.208849	0.42005	0.549515	0.663215	0.530554	0.386941	0.330007	0.126572	0.153734	0.227959	0.554297	0.884857	1.0073	0.633251	0.297793	0.154836	0	0.0088856	0.110718	0.293387	0.0165289
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.73c26a8d-02d6-4ea5-b361-6e62367bb307.fc.signal	0.202989	0.148756	0.0679807	0.180446	0.242293	0.17434	0.23248	0.228502	0.242272	0.490962	0.68827	0.83566	1.03776	0.836302	0.552985	0.358834	0.249618	0	0.115994	0.20647	0.27532	0.27532	0.144048	0.250655	0.321483	0.423769	0.394013	0.700777	0.90548	0.969098	0.688288	0.495555	0.306778	0.435901	0.331298	0.25543	0.22942	0.250534	0.27532	0.388865	0.516217	0.55064	0.62496	0.572658	0.623387	0.430161	0.3423	0.20878	0	0.0119271	0.156898	0.322114	0.445078	0.430915	0.697143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000233.3.d999326f-0bb9-43a3-80f2-21bc2de5bd70.fc.signal	0.130401	0.197818	0.44839	0.326489	0.117821	0.128642	0.127669	0.0945949	0.399208	0.302221	0.050636	0.0375526	0.146326	0.24787	0.332594	0.420104	0.655198	0.537259	0.403254	0.180289	0.195367	0.329	0.255005	0.193633	0.357535	0.430833	0.362305	0.383518	0.437525	0.369007	0.209042	0.351259	0.609043	0.552173	0.285173	0.391439	0.417901	0.394869	0.482877	0.405404	0.260263	0.256836	0.235564	0.16743	0.0487611	0.0526656	0.130632	0.311175	0.303768	0.30531	0.230962	0.257911	0.302335	0.186606	0.475728
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.bc7bca89-1cba-4915-bcc7-e8d2a2d115f4.fc.signal	0	0.105463	0.148094	0	0	0	0	0	0.432164	0.922303	0.14381	0.162098	0.393395	0.581745	0.540551	0.289145	0.292577	0.149298	0.0755647	0.313949	0.555598	0.596991	0.42762	0.209299	0.293389	0.249472	0.307125	0.34125	0.00758356	0.0523265	0.189967	0.0789164	0	0.10465	0.982129	0.846933	1.4301	2.23475	1.37321	0.345476	0.17063	0.217163	0.279827	0.199635	0.287627	0.230347	0.200203	0.17063	0.0265424	0.0250257	0.413918	0.599282	0.224087	0.3959	0.48125
