	chr2:113468533-113468682	chr2:113468683-113468802	chr2:113468803-113468832	chr2:113468833-113468982	chr2:113468983-113469032	chr2:113469033-113469092	chr2:113469093-113469132	chr2:113469133-113469282	chr2:113469283-113469342	chr2:113469343-113469432	chr2:113469433-113469502	chr2:113469503-113469532	chr2:113469533-113469582	chr2:113469583-113469732	chr2:113469733-113469832	chr2:113469833-113469882	chr2:113469883-113469922	chr2:113469923-113470032	chr2:113470033-113470182	chr2:113470183-113470332	chr2:113470333-113470382	chr2:113470383-113470402	chr2:113470403-113470482	chr2:113470483-113470542	chr2:113470543-113470582	chr2:113470583-113470632	chr2:113470633-113470712	chr2:113470713-113470782	chr2:113470783-113470932	chr2:113470933-113471082	chr2:113471083-113471162	chr2:113471163-113471232	chr2:113471233-113471382	chr2:113471383-113471432	chr2:113471433-113471532	chr2:113471533-113471682	chr2:113471683-113471832	chr2:113471833-113471912	chr2:113471913-113471982	chr2:113471983-113472092	chr2:113472093-113472132	chr2:113472133-113472202	chr2:113472203-113472282	chr2:113472283-113472352	chr2:113472353-113472432	chr2:113472433-113472492	chr2:113472493-113472552	chr2:113472553-113472582	chr2:113472583-113472692	chr2:113472693-113472732	chr2:113472733-113472862	chr2:113472863-113472882	chr2:113472883-113473032	chr2:113473033-113473182	chr2:113473183-113473332	chr2:113473333-113473482	chr2:113473483-113473589	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	0.00585713	0	0	0	0	0	0.075297	0.464215	0.282332	0.349891	0.150612	0.12551	0.12551	0.0259387	0	0	0	0.266964	0.532013	0.173204	0.158143	0.12551	0	0	0	0.100408	0.12551	0.077099	0.106265	0	0.28391	1.45198	1.02306	0.210857	0.391431	0.12131	0.103755	0.0329464	0	0	0	0	0	0	0	0	0	0	0.09128	0.12551	0.121648	0.12551	0.0200816	0	0	0	0	0.780952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	0	0	0	0	0	0	0.216731	2.11978	2.75425	1.22955	0.403147	0	0	0	0	0	0.11067	1.11601	2.21449	1.47674	0.22872	0.18445	0.0138338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413408
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.823ac744-5eeb-40f9-9f65-c42b0b5130dc.fc.signal	0	0	0	0	0	0	0	0.574425	0.61109	0.0271596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061109	1.8171	0.66002	0	0.375384	0.61109	0.146662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149123
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0	0	0	0	0	0.0970523	0.25318	0.688535	0.978786	0.683496	0.40865	0.00843933	0	0	0	0	0	0.0529376	0.87585	0.874171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136717	0.300634	0.50627	0.331408	0.25318	0.108506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.784521
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	0.656688	0.0870563	0	0	0.214717	0.355438	0.525904	0.673122	0.326447	0.00483767	0	0	0	0	0.0609546	0.14803	0.337297	0.725374	0.928473	0.294039	0	0	0	0.28293	0.478766	0.748598	0.995573	0.731601	0.662488	1.12284	1.5885	2.42466	3.61637	2.76237	1.14461	0.272738	0	0.0986429	0.354369	0.481915	0.384464	0.165736	0.0303046	0	0	0	0.142711	0.362699	0.535442	0.438885	0.155143	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	0.0928455	0	0	0	0	0	0.035724	1.04758	0.333296	0.22218	0.318791	0.077402	0	0	0	0.057154	0.35702	0.967442	2.42482	0.56662	0.160683	0	0	0	0.111632	2.01408	2.3837	0.311245	1.02251	1.02606	0.624946	4.01499	4.64965	2.74983	1.19635	0.321428	1.04991	0.154049	0.250005	0.363525	0.0312585	0	0	0	0	0	0.008931	0.297553	0.498302	0.0669825	0.13053	0.17862	0.011908	0	0	0	0	0.311644
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276596
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	0.875034	0.201472	0.104415	0.0441435	0.157584	0.241751	0.452157	0.98008	0.974414	0.382032	0.193149	0.0298267	0	0	0	0	0	0.185579	0.466761	0.407682	0.17909	0.17909	0.063787	0	0	0.193365	0.410712	0.551242	0.435731	0.70134	0.690516	0.819861	1.27554	1.23376	1.28927	0.844579	0.333662	0.44767	0.569193	0.353245	0.290982	0.156017	0.08948	0.0639143	0	0	0	0.0865363	0.293838	0.35819	0.196276	0.02237	0	0	0	0	0	0.259259
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.69eb8040-32c4-4c18-85e7-a74953df6c51.fc.signal	0	0	0	0	0.005467	0.27335	0.27335	0.665003	0.592154	0.255127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246015	0.631966	0.54654	0.0910932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735739
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000060.3.baf1b6b5-96f6-42d1-907a-07181459fd3c.fc.signal	0.184315	0.302391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149756	0.34559	0.241913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854938
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.88cb95dd-5a6d-4570-8a21-b967680b5521.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.816822
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.fae7194c-2bb7-414d-b747-986b067cce33.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.554241	1.69079	1.99733	1.25013	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0587831	0.71846	0.71846	0.035923	0	0	0	0	0	0.395973
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003829.4.85a47d94-3c5b-4fa0-8468-515ec8dc5b16.fc.signal	0.860952	0.375444	0	0	0	0.0342417	0.201784	0.491133	0.354654	0.136967	0	0	0	0	0.0484275	0.14675	0.278834	0.280168	0.625169	0.684848	0.184908	0.14675	0.0165094	0.496517	0.759451	1.51449	2.24349	1.9015	0.836493	0.798339	1.39048	2.53044	3.96723	3.2814	1.8036	0.297421	0.0430467	0.194445	0.681355	0.744443	0.418249	0.115305	0	0	0	0	0.259266	0.44026	0.771123	0.649383	0.281088	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.72ced85f-cc3d-4155-864f-c88e943e41cd.fc.signal	0.1157	0.2314	0.0771333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00661143	0.2314	0.0817613	0.02314	0.813197	0.868512	0.013884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.686825
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.58d4d6b8-e8d9-44c0-a8c7-fcdf9403bfe2.fc.signal	0	0	0	0	0	0.237911	0.43922	0.836086	0.677237	0.290373	0	0	0	0	0	0.0702752	0.614991	0.904504	1.46716	0.669152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.673759
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000126.3.0c600fad-76af-4396-b66d-45cc11ce045a.fc.signal	0.239357	0.459041	0	0	0	0	0	0.465599	0.352478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.708762	1.02063	1.04701	1.20348	0.629582	0.344281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643382
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.b264ae9e-8457-4fbc-9ae1-9ad1d872e973.fc.signal	0	0	0	0	0	0.00531	0.1593	1.5291	2.54324	1.94501	1.00802	0.0955817	0	0	0.146558	0.452395	1.26231	1.54649	1.62256	0.856954	0.146556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000071.3.dfc63e95-4862-4384-a735-dc9483aed805.fc.signal	0	0	0	0	0	0	0	0.566028	0.47169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041928	0.62892	0.62892	0.293496	0.62892	0.503136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.f1456df1-a617-44a6-a060-cb29786302bd.fc.signal	0.0136969	0	0	0	0	0	0	0.887152	0.966681	0.514513	0.408617	0.200209	0.060078	0	0	0.085374	0.1581	0.55606	2.52872	0.35399	0	0	0	0	0	0	0	0	0	0	0	0.167104	0.458307	0.224399	0	0	0.126441	0.515621	0.939241	1.34913	0.640073	0.243823	0.04743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833689
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.44df7b1b-5968-426b-8cea-e4fad8f3b32b.fc.signal	0.559964	0.423429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.580703	0.318004	0	0	0.297265	1.03697	0.383679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.626667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	0	0	0	0	0	0	0.379296	1.51731	1.2486	0.07024	0	0	0	0	0	0	0.063216	0.612046	0.853452	0.408797	0	0	0	0	0	0	0	0	0	0	0	0.189705	0.401791	0.405276	0.212472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001457.1.6d90e020-b6c2-4e95-920f-783e8068ccbc.fc.signal	0.298995	0	0	0	0	0	0	0.879722	0.580491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143918	0.49063	0.372879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.44d9234d-e938-4209-8bc5-a1f9ee0dcbe4.fc.signal	0.306893	0.23017	0	0	0	0	0	0.448064	0.107413	0	0	0	0	0	0	0	0	0	0.214148	0.12063	0	0	0	0	0	0	0	0	0.0184136	0.46034	0.023017	0	1.09579	3.25054	2.36192	0.174929	0	0	0.743249	0.866435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.142e6ed2-5832-4fa6-8a6b-9ed4d6f47d60.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237348	0.98895	0.237348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818868
