	chr18:670576-670725	chr18:670726-670875	chr18:670876-670935	chr18:670936-671025	chr18:671026-671175	chr18:671176-671325	chr18:671326-671475	chr18:671476-671625	chr18:671626-671775	chr18:671776-671925	chr18:671926-672075	chr18:672076-672225	chr18:672226-672375	chr18:672376-672525	chr18:672526-672675	chr18:672676-672825	chr18:672826-672975	chr18:672976-673125	chr18:673126-673275	chr18:673276-673425	chr18:673426-673575	chr18:673576-673725	chr18:673726-673875	chr18:673876-674025	chr18:674026-674175	chr18:674176-674325	chr18:674326-674475	chr18:674476-674625	chr18:674626-674775	chr18:674776-674925	chr18:674926-675075	chr18:675076-675225	chr18:675226-675375	chr18:675376-675525	chr18:675526-675675	chr18:675676-675825	chr18:675826-675975	chr18:675976-676125	chr18:676126-676275	chr18:676276-676425	chr18:676426-676575	chr18:676576-676661	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	4.55038	6.80127	2.42608	1.6357	3.18516	1.74755	1.97134	2.58732	3.18885	2.55832	3.30679	2.69826	2.9545	4.26504	5.36884	4.52741	2.40605	3.1468	2.94632	1.58965	1.59893	1.01466	1.35729	2.31611	1.60989	1.39631	2.19635	2.56704	2.59144	2.03142	2.97582	4.75657	4.24227	4.42947	3.91715	1.78347	3.14324	2.93824	5.52804	4.78095	3.12955	2.01017	0.361905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	3.87247	3.00467	1.52099	0.896815	0.258151	0.0593198	1.22252	11.8624	6.70149	5.37198	1.97109	0.538608	0.011067	0.180761	0.156168	0.130345	0	0	0	0	0	0	0	0	0	0.0127428	0.855936	5.85377	5.22281	1.61901	0.84295	3.80246	10.2476	6.60304	2.03014	2.74702	5.79165	2.79944	6.12034	6.91049	2.41529	0.180174	0.479042
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	4.983	5.03259	4.74551	4.02843	3.48568	1.94033	0.968096	3.83311	4.10932	3.52888	4.03412	1.89837	2.28911	4.94082	8.2026	8.06214	4.35145	2.38582	0.457432	0	0	0	0	0	0.0061756	0.148671	1.62642	3.58748	3.01468	1.63929	2.4031	5.48915	4.85512	4.3404	2.8661	1.96977	2.27569	2.62387	2.80046	3.03869	3.5519	2.07644	0.797963
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	5.18855	7.30366	7.68373	7.27595	8.43094	9.60984	9.31234	6.87231	5.88582	6.43806	9.0638	10.6537	8.24659	5.35965	4.91872	6.38295	7.53867	7.54351	8.94104	9.64896	7.63035	4.9249	6.16898	6.71856	7.92067	9.04154	6.47483	5.85585	7.20599	8.53244	8.97767	7.14826	4.9458	7.17522	4.74374	4.3513	5.5367	6.31427	5.44772	5.86426	9.07746	9.17599	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	3.37146	2.48162	2.39533	2.41583	3.53266	3.04227	4.61839	5.07697	3.15522	1.8872	2.8136	2.10456	2.07775	3.75169	6.01739	5.17305	4.21632	4.25574	5.20363	7.38393	3.59495	2.38738	3.53306	5.28138	5.68352	4.39613	3.82014	2.0136	2.76675	4.80817	4.15808	3.63153	3.89257	3.1482	2.41473	1.91843	2.4379	2.00922	1.85722	3.58876	3.63307	2.81718	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	4.86619	8.24519	4.44867	3.11613	2.04589	0.115807	1.76531	1.64772	3.50198	2.41133	0.408515	1.30521	4.2164	1.76294	3.10889	4.28964	2.46527	3.84735	0.771827	0.767429	0	0	1.33424	1.88065	0	0	0.676074	1.50503	0.5778	1.06789	3.46974	6.1132	7.86869	4.37791	4.94842	2.21159	2.7612	0.800798	6.88857	6.47034	0.248026	1.05403	0.415929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.88cb95dd-5a6d-4570-8a21-b967680b5521.fc.signal	1.63641	3.4718	2.73793	1.46709	0.342471	0.77976	0.823514	0.633575	0.478912	0.458521	0	0	0.648646	0.709038	0.391825	2.34546	2.43222	1.5404	0.458029	0.421452	0	0	0	0	0	0	0.690868	0.169832	0	0	1.23802	2.28922	1.54647	1.18204	0.785719	0.484905	1.04832	0.95169	0.912582	0.0142052	0.0675282	0.496782	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003829.4.85a47d94-3c5b-4fa0-8468-515ec8dc5b16.fc.signal	1.21728	1.4464	2.18662	2.54228	2.97975	3.26037	2.82451	2.6034	2.27811	1.48034	3.1903	4.8722	5.56528	3.43013	2.33556	1.53142	1.73734	2.60312	2.60665	2.73639	3.00706	2.85614	2.72167	3.09901	2.38425	2.91184	2.79032	1.40183	0.758903	1.99048	2.42501	2.31829	1.86156	1.44499	1.42579	0.914567	0.519352	0.843225	1.00431	1.38144	2.48338	3.16728	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.72ced85f-cc3d-4155-864f-c88e943e41cd.fc.signal	4.24655	3.72664	4.45477	4.56964	4.3337	3.78196	5.36376	7.69559	6.02944	3.04448	2.44567	3.64992	5.95147	6.32349	5.10119	6.28093	5.62132	6.63414	8.10718	5.52438	5.20174	2.8189	3.51216	4.1347	4.18324	5.14433	7.00932	3.4293	2.41583	3.16608	5.02508	6.56995	4.15543	3.07229	4.02417	3.44937	4.08503	4.15442	3.45411	5.2048	4.27505	2.73566	0.487562
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000330.2.5131ad66-51e2-42ac-b48a-1af75df9605f.fc.signal	14.585	10.1581	9.41623	9.88444	8.90904	8.74132	8.64716	18.9513	22.4728	13.5398	6.52793	15.3525	13.3822	16.0286	16.0615	17.342	13.2045	10.8926	13.8819	13.5531	10.6274	9.58798	5.51597	8.22216	8.57065	6.58626	5.86069	6.94388	3.70376	6.8885	7.89526	9.81219	11.7459	7.42818	8.10815	8.1389	8.40854	4.80123	11.6588	10.5932	10.0633	8.95604	1
